NOTA;PROJETO;TÍTULO;MUNICÍPIO;PLANO;CRITÉRIO;POSTES PREV;POSTES REAL;CLIET. PREV;CLIET. REAL;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;ENCARREGADO;INICIO;FIM;PERFIL;ORIGEM_ETL;FAIXA;TITULO;MUNICIPIO;STATUS;LV;PES S/I;PES DESLIG;RESUMO;OBS;CLIET.;CAVR;CAVD;PSTP;PSTR;EQPP;EQPR;RDEP;RDER;AVNP;AVNR;V. PRJ 25%;CART.;PV. INÍCIO;PV. FIM;AR;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;LATITUDE;LONGITUDE;V. REAL;RESUMO LV;Nº PES;DATA DESL;CRITERIO;COORDENADAS;PG'S;LINK PROJETO;CONCRETO;% POSTES;% CAVAS;OBS CAVA;CAT;DT DESL;AS BUILT;DEVOLUÇAO;CLIENT.;CART;DESLIG;DIAS;DIAS.1;BOOK;DIAS.2;LAT;LONG
;B-1172125;;;PLANO 14;;;;;;R$ 22.689,86;31/05/2025;JOÃO;JOILSON;;;;Maio 25;;AC-CIND-ROD-LOMANTO JUNIOR -RURAL;SENHOR DO BONFIM;Energizada;;;;;;0;;;0;0;;;;;100%;;;mai./25;25/05/2025;25/05/2025;;;;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1191012;;;PLANO 7;;;;;;R$ 7.501,49;31/05/2025;JOÃO;ISRAEL;;;;Maio 25;;ER-CIND-POV-TRES MORROS 136-RURAL;SENHOR DO BONFIM;Energizada;;;;;;1;;;1;1;;;;;100%;;;mai./25;31/05/2025;31/05/2025;;;;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1196174;;;PLANO 7;;;;;;R$ 7.848,50;31/05/2025;JOÃO;ISRAEL;;;;Maio 25;;ER-CIND-POV-LAGOA PEIXE-RURAL - SENHOR;SENHOR DO BONFIM;Energizada;;;;;;1;;;1;1;;;;;100%;;;mai./25;31/05/2025;31/05/2025;;;;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1178565;;;PLANO 1;;;;;;R$ 210.613,24;30/06/2025;DICSON;ALDAIR;;;;Junho 25;;AL-02-NOR-CONSTR;NORDESTINA;Energizada;Pendente;;Desligamento;DESL + LV;;0;;;12;13;;;;;100%;;;jun./1;01/06/2025;30/06/2025;HIAGO SANTANA - U470061;;;TRUE;TRUE;;;Q097849;-10,7776394;-39,5248747;;LV 9 POSTES 7 N1 3 N3 2 N4 2 4 CH 2 TENSIONAR;;10 e 11 60426 E 60427;;;;;;;;;;;;;;;;;;;;;
;B-1199258;;;PLANO 7;;;;;;R$ 32.236,96;30/06/2025;DICSON;MARCELO;;;;Junho 25;;ER-CIND-FAZ-BARAUNA-RURAL;QUEIMADAS;Energizada;;;Intercalar poste com trafo;DESL;;1;;;1;1;;;;;100%;;;jun./1;#REF!;#REF!;GUTTEMBERG SANTOS - U343220;;;TRUE;TRUE;;;D314218;-10,9747515;-39,6866611;;;;17 62799;;;;;;;;;;;;;;;;;;;;;
;B-1169805;;;PLANO 7;;;;;;R$ 206.354,39;30/06/2025;JOÃO;BADU;;;;Junho 25;;ER-CIND-FAZ-AROEIRA 9999-RURAL-AROEIRA;JAGUARARI;Energizada;Pendente;;20 UCS;LV + ENERGZ;;1;;;19;19;;;;;100%;;;jun./1;#REF!;#REF!;FERNANDA MACEDO - U465311;Confirma Edmeia 13/06;;TRUE;TRUE;FALSE;FALSE;D521684;-10,2874858;-40,1887176;;LV N1-3 CHP;;17 63436;;;;;;;;;;;;;;;;;;;;;
;B-1060739;;;PLANO 7;;;;;;R$ 219.780,55;30/06/2025;JOÃO;GESONI;;;;Junho 25;;MP-CCOL-POV-SANHARO-RURAL;PONTO NOVO;Energizada;Pendente;;21 UCS;LV + ENERGZ;;2;;;20;19;;;;;100%;;;jun./1;#REF!;#REF!;GUTTEMBERG SANTOS - U343220;;;TRUE;TRUE;FALSE;FALSE;D116625;-10,973153;-40,0211715;;LV N3/4 CHP;;18 64084;;;;;;;;;;;;;;;;;;;;;
;B-1146383;;;PLANO 14;;;;;;R$ 254.259,61;;JOÃO;GESONI;;;;Junho 25;;MP CIND POV BOA VISTA RURAL;FILADÉLFIA;Paralisada;Pendente;;3 UCS;LV + ENERGZ;;3;;;23;23;;;;;100%;;;jun./1;#REF!;#REF!;DIORLAN SOUZA - U352259;26/06/2025;;FALSE;FALSE;FALSE;FALSE;E451599;-10,6318672;-39,995069;;LV N3/4 CHP;72579;21 65538;;;;;;;;;;;;;;;;;;;;;
;B-1090074;;;PLANO 14;;;;;;R$ 126.511,97;;DICSON;MARCELO;;;;Junho 25;;MP CIND FAZ MUCAMBO RURAL;QUEIMADAS;;Pendente;;68 UCS;LV + ENERGZ;;1;;;15;15;;;;;100%;;;jun./1;#REF!;#REF!;GUTTEMBERG SANTOS - U343220;16/06 adIcional;;TRUE;TRUE;FALSE;FALSE;D186221;-11,1253775;-39,9327972;;LV N3/4 CHP;72486 72487 72489;21 65539;;;;;;;;;;;;;;;;;;;;;
;B-1173439;;;PLANO 14;;;;;;R$ 74.344,68;30/06/2025;JOÃO;BADU;;;;Junho 25;;ER-CIND-FAZ-VARZEA-DE FORA;ANDORINHAS;Energizada;Pendente;;29 UCS;LV + ENERGZ;;1;;;18;17;;;;;100%;;;jun./1;#REF!;#REF!;ADISON FERREIRA - U343222;21/06/2025;;FALSE;FALSE;FALSE;FALSE;D261283;-10,3828534;-39,7318872;;LV N1-3 ;72578;25 67744;;;;;;;;;;;;;;;;;;;;;
;B-1183168;;;PLANO 7;;;;;;R$ 159.373,98;;DICSON;BIGODE;;;;Junho 25;;RR-CIND-POV-LAGOA DA PEDRA-RURAL MONTE S;MONTE SANTO;Paralisada;Pendente;;81 UCS;LV + ENERGZ;;2;;;15;0;;;;;100%;;;jun./1;#REF!;#REF!;ADISON FERREIRA - U343222;;;FALSE;FALSE;FALSE;FALSE;D939343;-10,4075682;-39,1767321;;LV N3/4 E 3 N1;;25 67745;;;;;;;;;;;;;;;;;;;;;
;B-1199397;;;PLANO 8;;;;;;R$ 87.779,31;30/06/2025;JOÃO;ISRAEL;;;;Junho 25;;RC-CIND-FAZ-CURRAL DA VARA-RURAL;ITIÚBA;Energizada;;;Retirar rede do terreno do cliente ( 7 vaos bt e mt). Mas, a rede nova deve ser feita antes  ;DESL;;0;;;8;10;;;;;100%;;;jun./1;#REF!;#REF!;LUDIMILA BARBOSA - U464746;;;TRUE;TRUE;;;D000698;-10,850997;-39,9763629;;;;26 29 72634 72632;;;;;;;;;;;;;;;;;;;;;
;B-1168792;;;PLANO 14;;;;;;R$ 131.673,01;;JOÃO;GESONI;;;;Junho 25;;ER-CIND-LOT-RURAL-REASSENTAMENTO BARRAGE;PONTO NOVO;;Pendente;;36 UCS;LV + ENERGZ;;1;;;18;18;;;;;100%;;;jun./1;#REF!;#REF!;GUTTEMBERG SANTOS - U343220;21/06/2025;;;TRUE;;;E528962;-10,8994324;-40,1157079;;LV 18 N1;72598;26 68196 e 27 68962;;;;;;;;;;;;;;;;;;;;;
;B-0940009;;;PLANO 7;;;;;;R$ 178.644,65;;DICSON;JEFERSON;;;;Junho 25;;RR-CIND-POV RIACHO DAS P-R PEDRAS-CSC;CANSANÇÃO;Paralisada;Pendente;;;LV + ENERGZ;;2;;;45;45;;;;;100%;;;jun./1;#REF!;#REF!;GUTTEMBERG SANTOS - U343220;;;FALSE;TRUE;;;B305491;-10,7700442;-39,3392976;;LV N3/4;;26 68200;;;;;;;;;;;;;;;;;;;;;
;B-1158905;;;PLANO 7;;;;;;R$ 12.995,42;30/06/2025;JOÃO;ISRAEL;;;;Junho 25;;IT-CIND-FAZ-CASTELO-RURAL;ITIÚBA;Energizada;Realizado;;ADF (5 VAOS) a LV adicionar a chave antes;DESL + LV;;0;;;1;0;;;;;100%;;;jun./1;#REF!;#REF!;LUDIMILA BARBOSA - U464746;;;TRUE;TRUE;;;D580907;-10,9135903;-39,9202362;;LV +1 CH;;27 68963;;;;;;;;;;;;;;;;;;;;;
;B-1200672;;;PLANO 7;;;;;;R$ 119.404,34;;DICSON;JOSE;;;;Junho 25;;RR-CIND-POV-JUA-S O BENTO;MONTE SANTO;;;;Terminar estruturas AVIFAUNA;DESL;;0;;;5;5;;;;;100%;;;mai./1;01/06/2025;30/06/2025;;;;TRUE;TRUE;FALSE;FALSE;D517281;-10,238673;-39,2133007;;;;28 62798;;;;;;;;;;;;;;;;;;;;;
;B-1165562;;;PLANO 14;;;;;;R$ 143.923,01;30/06/2025;JOÃO;ISRAEL;;;;Junho 25;;ER-CIND-FAZ-MAMOTE-RURAL-ITIUBA;ITIÚBA;Energizada;Pendente;;Intercalar 5 poste MT;LV + BT;;0;;;15;15;;;;;100%;;;jun./1;#REF!;#REF!;LUDIMILA BARBOSA - U464746;;;TRUE;TRUE;;;E573828;-10,7983685;-39,959938;;LV 5 BI;72580;28 68964;;;;;;;;;;;;;;;;;;;;;
;B-1041188;;;PLANO 8;;;;;;R$ 15.682,30;30/06/2025;DICSON;JOSE;;;;Junho 25;;RC-CIND-POV-TAPERA-RURAL;MONTE SANTO;Energizada;;;Realocar rede MT;DESL;;0;;;2;2;;;;;100%;;;mai./1;01/06/2025;30/06/2025;;16/06;;TRUE;TRUE;FALSE;FALSE;A269411;-10,4762649;-39,3442719;;;72470;30 62797;;;;;;;;;;;;;;;;;;;;;
;B-0545761;;;PLANO 14;;;;;;R$ 107.491,64;;DICSON;ALDAIR;;;;Junho 25;;MP-CCOL-POV. SAO PEDRO COMPL-RURAL;NORDESTINA;;Pendente;;MUITO CLIENTES 220;LV + BT + ENERGZ;;2;;;23;23;;;;;100%;;;jun./1;#REF!;#REF!;HIAGO SANTANA - U470061;14/06;;TRUE;TRUE;;;D144635;-10,9330151;-39,3748213;;7;72596 72597;30 69760;;;;;;;;;;;;;;;;;;;;;
;B-0477336;;;PLANO 14;;;;;;R$ 1.077.227,77;30/06/2025;DICSON;OSMAR/GESONI/ANAILTON;;;;Junho 25;;MP-CCOL-POV CURRAL FALSO AROEIRA-RURAL;MONTE SANTO;Energizada;Pendente;;;LV;;46;;;281;327;;;;;100%;;;jun./1;#REF!;#REF!;ADISON FERREIRA - U343222;16/06;;TRUE;TRUE;FALSE;FALSE;D149983;-10,5538389;-39,2735588;;LV N3/4 + N3 P/ N1;72587 72586;30 69761;;;;;;;;;;;;;;;;;;;;;
;B-1192258;;;PLANO 7;;;;;;R$ 39.431,57;30/06/2025;JOÃO;ISRAEL;;;;Junho 25;;ER-CIND-POV-PEDRA SOLTA-RURAL;ITIÚBA;Energizada;Pendente;;ADF (4 VAOS) (No dia dos desligamento levar duas turmas, uma para intercalar o poste e outra para fazer a ADF;DESL + LV;;1;;;1;1;;;;;100%;;;jun./1;#REF!;#REF!;LUDIMILA BARBOSA - U464746;;;TRUE;TRUE;;;Q093067;-10,7858834;-39,8239698;;LV +1 CH + N1;;30 72967;;;;;;;;;;;;;;;;;;;;;
;B-1134925;;;PLANO 7;;;;;;R$ 17.257,70;;JOÃO;BADU;;;;Junho 25;;UB-CIND-RUA-DO CURRAL-CENTRO-ANDORINHA;ANDORINHAS;Paralisada;;;;BT;;1;;;4;0;;;;;100%;;;mai./1;01/06/2025;30/06/2025;;;;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1011966;;;PLANO 14;;;;;;R$ 107.354,71;30/06/2025;JOÃO;GESONI;;;;Junho 25;;RR-CIND-FAZ-BANANEIRA-VANVANA;CAMPO FORMOSO;Energizada;Pendente;;;LV + ENERGZ;;1;;;24;22;;;;;100%;;;mai./1;01/06/2025;30/06/2025;;;;TRUE;TRUE;FALSE;FALSE;D134562;-10,4574857;-40,2785532;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1170277;;;PLANO 8;;;;;;R$ 134.004,23;;JOÃO;RAEL;;;;Junho 25;;IE-RELIGADOR-JNC-09X1-Q022984;CAMPO FORMOSO;;Pendente;;;LV + ENERGZ;;0;;;1;1;;;;;100%;;;mai./1;01/06/2025;30/06/2025;;;;FALSE;TRUE;FALSE;FALSE;Q022985;-10,2054067;-40,5745999;;;72468 72469;;;;;;;;;;;;;;;;;;;;;;
;B-1209528;;;PLANO 7;;;;;;R$ 21.940,45;30/06/2025;JOÃO;JOILSON;;;;Junho 25;;PROVISORIA;CAMPO FORMOSO;Energizada;;;;;;0;;;0;0;;;;;100%;;;jun./1;15/06/2025;30/06/2025;;;;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1170254;;;PLANO 7;;;;;;R$ 131.840,28;;DICSON;JEFERSON;;;;Junho 25;;ER-CIND-POV-PAU DE COLHER-1260;CANSANÇÃO;;Pendente;;MUITO CLIENTES 276;LV + BT + ENERGZ;;5;;;12;12;;;;;100%;;;jun./1;#REF!;#REF!;GUTTEMBERG SANTOS - U343220;16/06/2025;;TRUE;TRUE;;;D576724;-10,6299415;-39,4706341;;LV 3 N1;72475 72476;;;;;;;;;;;;;;;;;;;;;;
;B-1015193;;;PLANO 14;;;;;;R$ 72.238,45;30/06/2025;DICSON;JEFERSON;;;;Junho 25;;ER-CIND-POV-PATOS-LAGOA DOS PATOS;CANSANÇÃO;Energizada;Pendente;;;LV + BT + ENERGZ;;1;;;21;25;;;;;100%;;;jun./1;#REF!;#REF!;GUTTEMBERG SANTOS - U343220;;;TRUE;TRUE;FALSE;FALSE;D249197;-10,5532926;-39,6122308;;LV N3/4;;;;;;;;;;;;;;;;;;;;;;;
;B-0938472;;;PLANO 7;;;;;;R$ 247.064,96;;JOÃO;ISRAEL;;;;Junho 25;;AC-REG-FV-CIND-FAZ GROT O-RL ADRO S GON;ITIÚBA;Cancelada;;;Realocar Poste p/ poste novo;DESL + LV;;3;;;43;0;;;;;100%;;;jun./1;;;LUDIMILA BARBOSA - U464746;;;;TRUE;;;J09505;-10,7099947;-39,8362919;;LV N3/4;;;;;;;;;;;;;;;;;;;;;;;
;B-1165543;;;PLANO 7;;;;;;R$ 17.943,38;;JOÃO;ISRAEL;;;;Junho 25;;UB-CIND-RUA-SIMOES-N S DA CONCEI O;ITIÚBA;Paralisada;;;;BT;;5;;;3;3;;;;;100%;;;jun./1;#REF!;#REF!;LUDIMILA BARBOSA - U464746;;;TRUE;TRUE;;;D057586;-10,6950092;-39,8572339;;;72582;;;;;;;;;;;;;;;;;;;;;;
;B-1198416;;;PLANO 7;;;;;;R$ 27.910,35;30/06/2025;JOÃO;ISRAEL;;;;Junho 25;;ER-SEIN-RUA-RIO BRANCO-RURAL;ITIÚBA;Energizada;;;Avaliar necessidade realocar o cabo;BT;;8;;;6;6;;;;;100%;;;jun./1;#REF!;#REF!;LUDIMILA BARBOSA - U464746;;;TRUE;TRUE;;;D397341;-10,5792539;-39,7664223;;;;;;;;;;;;;;;;;;;;;;;;;
;B-0265379;;;PLANO 14;;;;;;R$ 85.485,63;30/06/2025;JOÃO;BADU;;;;Junho 25;;MP-CCOL-POV FERRO II-RURAL;JAGUARARI;Energizada;Realizado;;;LV + BT + ENERGZ;;1;;;22;28;;;;;100%;;;jun./1;#REF!;#REF!;FERNANDA MACEDO - U465311;12/06;;TRUE;TRUE;FALSE;FALSE;B475834;-10,2193822;-40,1869726;;LV N3/4;;;;;;;;;;;;;;;;;;;;;;;
;B-1202056;;;PLANO 7;;;;;;R$ 14.665,30;30/06/2025;JOÃO;BADU;;;;Junho 25;;ER-CIND-POV-BARRAGEM VELHA-JAGUARARI;JAGUARARI;Energizada;;;;BT;;1;;;2;2;;;;;100%;;;jun./1;#REF!;#REF!;FERNANDA MACEDO - U465311;;;TRUE;TRUE;FALSE;FALSE;D803248;-9,7922609;-39,9436612;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1184458;;;PLANO 7;;;;;;R$ 71.093,68;;DICSON;BIGODE;;;;Junho 25;;ER-CIND-FAZ-LAGOA DA VOLTA-RURAL;MONTE SANTO;Paralisada;Pendente;;MUITO CLIENTES 4411;LV + ENERGZ;;1;;;7;0;;;;;100%;;;jun./1;#REF!;#REF!;ADISON FERREIRA - U343222;;;;;;;A249905;-10,4632632;-39,2439461;;LV N1 + TRF;;;;;;;;;;;;;;;;;;;;;;;
;B-1132965;;;PLANO 14;;;;;;R$ 49.487,93;;DICSON;BIGODE;;;;Junho 25;;ER-CIND-POV-PEDREGULHO-RURAL;MONTE SANTO;;;;;BT;;1;;;8;8;;;;;100%;;;jun./1;#REF!;#REF!;ADISON FERREIRA - U343222;16/06/2025;;TRUE;TRUE;;;D152839;-10,6547057;-39,2549557;;;72590;;;;;;;;;;;;;;;;;;;;;;
;B-0945717;;;PLANO 14;;;;;;R$ 183.151,91;;DICSON;;;;;Junho 25;;ER-CIND-POV PEDRA BRANCA-RURAL;MONTE SANTO;Cancelada;;;;LV + ENERGZ;;4;;;38;38;;;;;100%;;;jun./1;;;ADISON FERREIRA - U343222;;;;;;;D130316;-10,2955638;-39,1852922;;LV 2 NI CHP;;;;;;;;;;;;;;;;;;;;;;;
;B-1181949;;;PLANO 7;;;;;;R$ 199.612,52;;DICSON;BIGODE;;;;Junho 25;;RC-SEIN-FAZ-QUIQUIM-RURAL-PEDRA VERMELHA;MONTE SANTO;Paralisada;Pendente;;Alterar local da rede, prox SE;DESL + LV;;0;;;15;0;;;;;100%;;;jun./1;#REF!;#REF!;ADISON FERREIRA - U343222;;;;;;;A189347;-10,4152608;-39,3339679;;LV 5 AN4;;;;;;;;;;;;;;;;;;;;;;;
;B-1043096;;;PLANO 14;;;;;;R$ 190.175,54;;DICSON;BIGODE;;;;Junho 25;;MP-CCOL-FAZ-LAGOA DO CORREDOR-RURAL;MONTE SANTO;Paralisada;Pendente;;Realocar vão de Rede e intercalar poste MT;DESL + LV;;3;;;22;0;;;;;100%;;;jun./1;#REF!;#REF!;ADISON FERREIRA - U343222;16/06;;;;;;D408484;-10,5064322;-39,4858086;;LV N4-3 CHP;;;;;;;;;;;;;;;;;;;;;;;
;B-1149335;;;PLANO 14;;;;;;R$ 6.726,17;30/06/2025;DICSON;BIGODE;;;;Junho 25;;ER-CIND-FAZ-LAGOA DA VOLTA-LAGE;MONTE SANTO;Energizada;;;;BT;;1;;;1;1;;;;;100%;;;jun./1;#REF!;#REF!;ADISON FERREIRA - U343222;25/06/2025;;;TRUE;;;E398688;-10,4656727;-39,2416118;;;72592;;;;;;;;;;;;;;;;;;;;;;
;B-1141711;;;PLANO 14;;;;;;R$ 87.996,29;;DICSON;BIGODE;;;;Junho 25;;RR-CIND-POV-PEDRA VERMELHA 40-RURAL;MONTE SANTO;Paralisada;Pendente;;MUITO CLIENTES 6105;LV + ENERGZ;;5;;;12;0;;;;;100%;;;jun./1;#REF!;#REF!;ADISON FERREIRA - U343222;;;;TRUE;;;A254727;-10,3596809;-39,4978574;;LV N1-3;;;;;;;;;;;;;;;;;;;;;;;
;B-1177813;;;PLANO 1;;;;;;R$ 417.638,43;30/06/2025;DICSON;ALDAIR;;;;Junho 25;;AL-02-NOR-CONSTR;NORDESTINA;Energizada;Pendente;;;DESL + LV;;1;;;25;25;;;;;100%;;;jun./1;#REF!;#REF!;HIAGO SANTANA - U470061;13/06;;TRUE;TRUE;;;B412976;-10,7818925;-39,516279;;LV 1 POSTE N1-3 E INTERLIGAR FRONTEIRA N/A DE N3-N4;72473;;;;;;;;;;;;;;;;;;;;;;
;B-1193890;;;PLANO 1;;;;;;R$ 108.463,80;30/06/2025;DICSON;ALDAIR;;;;Junho 25;;AL 02-NOR-RT-2-3-G17233;NORDESTINA;Energizada;Pendente;;;LV + EQUIP;;1;;;1;1;;;;;100%;;;jun./1;#REF!;#REF!;HIAGO SANTANA - U470061;25/06/2025;;;;;;G17233;-10,7776394;-39,5248747;;LV N4 C/ RELIGADOR;72472;;;;;;;;;;;;;;;;;;;;;;
;B-1177723;;;PLANO 1;;;;;;R$ 388.702,22;;DICSON;ALDAIR;;;;Junho 25;;AL-02-NOR-CONSTR-EQ;NORDESTINA;;Pendente;;;LV + EQUIP;;1;;;2;0;;;;;100%;;;jun./1;#REF!;#REF!;HIAGO SANTANA - U470061;13/06;;TRUE;;;;D026487;-10,8273031;-39,4923821;;LV INTERCALAR 2 POSTE C/ REG;72481 72482;;;;;;;;;;;;;;;;;;;;;;
;B-1194252;;;PLANO 1;;;;;;R$ 525.831,16;;DICSON;ALDAIR;;;;Junho 25;;RS-AL 2-COEL-SE NORDESTINA II;NORDESTINA;Cancelada;;;;SE;;0;;;0;0;;;;;100%;;;jun./1;#REF!;#REF!;HIAGO SANTANA - U470061;;;;TRUE;;;X000000;-14,070039;-42,4859567;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1152856;;;PLANO 7;;;;;;R$ 500.760,90;;DICSON;MARCELO;;;;Junho 25;;AC-CIND-POV-ANGIGAL-RURAL;NORDESTINA;Paralisada;;;;LV;;0;;;4;4;;;;;100%;;;mai./1;01/06/2025;30/06/2025;;;;FALSE;FALSE;FALSE;FALSE;Q106463;-10,9446747;-39,4145806;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1082438;;;PLANO 7;;;;;;R$ 387.222,50;;JOÃO;EDVALDO;;;;Junho 25;;LD CIND FAZ IPUCA RURAL;PINDOBAÇU;Paralisada;Pendente;;Acredito que sera feito rede subterraneo (MUFLA) TRAVESSIA LT;DESL + LV;;1;;;29;29;;;;;100%;;;jun./1;#REF!;#REF!;DIORLAN SOUZA - U352259;13/06/2025 tarde;;TRUE;TRUE;FALSE;FALSE;B306389;-10,7209586;-40,3289308;;LV N3/4 CHP;;;;;;;;;;;;;;;;;;;;;;;
;B-1104966;;;PLANO 8;;;;;;R$ 15.693,82;;JOÃO;EDVALDO;;;;Junho 25;;RC-SEIN-POV-PEDRO ALVES-PINDOBACU;PINDOBAÇU;Cancelada;;;Retirar rede do terreno do cliente ( 4 vaos bt e mt). Mas, a rede nova deve ser feita antes  ;DESL;;0;;;2;2;;;;;100%;;;jun./1;#REF!;#REF!;DIORLAN SOUZA - U352259;13/06/2025;;;TRUE;;;Q039384;-10,7547983;-40,3543048;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1179710;;;PLANO 14;;;;;;R$ 156.753,38;30/06/2025;JOÃO;EDVALDO;;;;Junho 25;;ER-CIND-FAZ-BARREIRA 1500-RURAL;PINDOBAÇU;Energizada;Pendente;;;LV + ENERGZ;;1;;;18;18;;;;;100%;;;jun./1;#REF!;#REF!;DIORLAN SOUZA - U352259;;;TRUE;TRUE;FALSE;FALSE;B306369;-10,7275001;-40,3461075;;LV N1-3 CHP + N1 TRF;;;;;;;;;;;;;;;;;;;;;;;
;B-1195749;;;PLANO 7;;;;;;R$ 10.681,56;30/06/2025;JOÃO;EDVALDO;;;;Junho 25;;UB-CIND-RUA-CIRIACO ROCHA-CENTRO;PINDOBAÇU;Energizada;;;;BT;;1;;;2;2;;;;;100%;;;jun./1;#REF!;#REF!;DIORLAN SOUZA - U352259;;;TRUE;TRUE;;;D001041;-10,9070848;-40,0633912;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1161822;;;PLANO 7;;;;;;R$ 88.451,73;30/06/2025;JOÃO;GESONI;;;;Junho 25;;ER-CIND-FAZ-DOMINO-RURAL;PONTO NOVO;Energizada;Realizado;;;LV + ENERGZ;;2;;;15;11;;;;;100%;;;jun./1;#REF!;#REF!;GUTTEMBERG SANTOS - U343220;;;TRUE;TRUE;FALSE;FALSE;B288131;-11,0869909;-40,0817798;;LV N3;;;;;;;;;;;;;;;;;;;;;;;
;B-0636485;;;PLANO 14;;;;;;R$ 94.527,05;;DICSON;ISRAEL;;;;Junho 25;;MP-CCOL-F. PAPAGAIO-POÇA DA SEREIA-RURAL;QUEIMADAS;Cancelada;;;;PROJETO INCOMPLETO;;2;;;23;0;;;;;100%;;;jun./1;;;LUDIMILA BARBOSA - U464746;;;;;;;D314243;-10,9719001;-39,7030752;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1206994;;;PLANO 7;;;;;;R$ 24.141,62;30/06/2025;DICSON;JEFERSON;;;;Junho 25;;PR-PREF-RUA-ELZIO FERREIRA-A STO ANTONIO;QUEIMADAS;Energizada;;;;;;0;;;0;0;;;;;100%;;;jun./1;20/05/2025;17/06/2025;;;;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1187662;;;PLANO 14;;;;;;R$ 31.643,38;30/06/2025;DICSON;MARCELO;;;;Junho 25;;ER-CIND-FAZ-PONTE NOVA 130-RURAL;QUEIMADAS;Energizada;;;;BT;;5;;;6;9;;;;;100%;;;jun./1;#REF!;#REF!;GUTTEMBERG SANTOS - U343220;;;TRUE;TRUE;;;D627461;-10,9660382;-39,6280522;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1148107;;;PLANO 14;;;;;;R$ 240.479,16;;DICSON;MARCELO;;;;Junho 25;;MP CIND POV TIRIRCA E BANABEIRA RURAL;QUEIMADAS;Paralisada;Pendente;;;LV + ENERGZ;;5;;;25;25;;;;;100%;;;jun./1;#REF!;#REF!;GUTTEMBERG SANTOS - U343220;;;;;;;D277799;-11,2970312;-39,8701245;;LV N4-3;;;;;;;;;;;;;;;;;;;;;;;
;B-1169740;;;PLANO 14;;;;;;R$ 168.471,33;30/06/2025;JOÃO;EDVALDO;;;;Junho 25;;ER-CIND-FAZ-TAMBURI-RURAL;SENHOR DO BONFIM;Energizada;Pendente;;;LV + ENERGZ;;6;;;22;22;;;;;100%;;;jun./1;#REF!;#REF!;FERNANDA MACEDO - U465311;21/06/2025;;;;;;D355041;-10,5313601;-39,9976944;;LV N1-3 CH;72497 72498;;;;;;;;;;;;;;;;;;;;;;
;B-1165857;;;PLANO 14;;;;;;R$ 56.468,84;30/06/2025;JOÃO;BADU;;;;Junho 25;;ER CIND FZ CACUCAR RURAL;SENHOR DO BONFIM;Energizada;;;;BT;;1;;;8;8;;;;;100%;;;jun./1;#REF!;#REF!;FERNANDA MACEDO - U465311;;;TRUE;TRUE;;;E529014;-10,4946339;-40,0626526;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1114891;;;PLANO 14;;;;;;R$ 16.384,74;30/06/2025;JOÃO;BADU;;;;Junho 25;;ER-CCOL-FAZ-CACUCAR-RURAL;SENHOR DO BONFIM;Energizada;;;;BT;;2;;;3;3;;;;;100%;;;jun./1;#REF!;#REF!;FERNANDA MACEDO - U465311;;;TRUE;TRUE;;;E323752;-10,4973788;-40,0598958;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1044425;;;PLANO 14;;;;;;R$ 17.766,32;30/06/2025;JOÃO;BADU / JOILSON;;;;Junho 25;;ER-CCOL-POV-TEIU-RURAL;SENHOR DO BONFIM;Energizada;Pendente;;;LV + BT;;1;;;4;3;;;;;100%;;;jun./1;#REF!;#REF!;FERNANDA MACEDO - U465311;;;TRUE;TRUE;;;B039085;-10,4996474;-40,1072064;;LV 2 N1;;;;;;;;;;;;;;;;;;;;;;;
;B-1213036;;;PLANO 7;;;;;;R$ 33.002,98;30/06/2025;JOÃO;BADU;;;;Junho 25;;PROVISORIA;SENHOR DO BONFIM;Energizada;;;;;;0;;;0;0;;;;;100%;;;jun./1;18/06/2025;30/06/2025;;;;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
