CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;SITUAÇÃO;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 30%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;SITUAÇÃO.1;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;ORIGEM_ETL;VALOR 25%;LINK MAPS;PRE FECHAMENTO;OBS;TITULO;STATUS 1.1;DATA DE ENERG.;VALOR/PST;Unnamed: 5;GPM;VALOR A FATURAR;TITULO.1;STATUS 2;REPROGRAMAÇÃO;CRITERIO;ESTÁGIO DE OBRAS;RESPONSÁVEL;CLIENTE;PSTP INICIAL;PSTP FINAL;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OBS.1
REPUTACIONAL;9002801571;237059;MP-CCOL-POV DESTERRO-CAIÇARA-RURAL;CASA NOVA;;LV APENAS;;;NÃO INICIADA;66;733;367;;;;PLANO 14;50%;R$ 4.373.226,44;R$ 1.311.967,93;01/01/2025;31/03/2025;JORGE;JORGE;DIEGO;-9,31621797;-41,81448;;jan.-25;FALSE;;FALSE;FALSE;APROVADA;E680195;E680939;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPUTACIONAL;9101940561;1093655;AL - GRUA - FAZ. BAIXA - RURAL;JUAZEIRO;ALIMENTADOR;;MIGRAR;;EM EXECUÇÃO;0;188;141;;;;PLANO 7;100%;R$ 3.555.398,98;R$ 1.066.619,69;13/01/2025;28/02/2025;CARLOS / PAULO;SANTIAGO;VICTOR;-9,5502028;-40,5219799;;jan.-25;FALSE;;FALSE;FALSE;APROVADA;E628933;E629122;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUDICIAL;9101937359;1097831;ER-CIND-POV-TAPARICA-RURAL;JUAZEIRO;08/01;LV;MIGRAR;;NÃO INICIADA;1;3;3;;;;PLANO 7;100%;R$ 33.577,54;R$ 8.394,39;10/01/2025;18/01/2025;GERALDO;EDIE JONNES;CARLOS EDUARDO;-9,10517;-40,275412;;jan.-25;FALSE;;FALSE;FALSE;1013573/APROVADA;E681541;E681544;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPT;9101964733;1108281;ER-CIND-POV-PAUDARCO-MUQUEM;JUAZEIRO;08/01;EXT BT;MIGRAR;;NÃO INICIADA;1;8;8;;;;PLANO 14;100%;R$ 24.317,68;R$ 6.079,42;13/01/2025;25/01/2025;GERALDO;EDIE JONNES;CARLOS EDUARDO;-9,287844172;-39,96277385;;jan.-25;FALSE;;FALSE;FALSE;959519/APROVADA;E420795;E420803;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPUTACIONAL;9102008167;1125306;RR-SEIN-RUA-JOSE CARLOS-PEDRA GRANDE;UAUÁ;10/01;POSSIVEL DL MT 7 UCS;MIGRAR;;NÃO INICIADA;1;38;38;;;;PLANO 14;100%;R$ 192.848,09;R$ 57.854,43;15/01/2025;30/01/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;-9,919625;-39,542327;;jan.-25;FALSE;;FALSE;FALSE;1016703/APROVADA;E710556;E710600;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOLICITAÇÃO ATENDIMENTO;9101977212;1115260;AC-CIND-RUA-PADRE JOAO FRE-CENTRO;PILÃO ARCADO;21/01;PES REMAT;MIGRAR;06/02;EM EXECUÇÃO;1;4;4;;;;PLANO 7;100%;R$ 69.502,35;R$ 17.375,59;18/01/2025;31/01/2025;DOMINGOS;PAULO JUNIOR / RODRIGUES;DIEGO;-10,000539;-42,480473;;jan.-25;FALSE;;FALSE;FALSE;1016690/APROVADA;E710834;E710841;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPUTACIONAL;9101757730;1043511;MP-CCOL-POV-SANTA RITA-RURAL;CASA NOVA;21/01; POSSIVEL DL MT 21 UCS;MIGRAR;;EM EXECUÇÃO;2;30;30;;;;PLANO 14;100%;R$ 369.654,25;R$ 92.413,56;01/10/2025;28/01/2025;DANIEL;PAULO JUNIOR / RODRIGUES;DIEGO;-9,023164033;-40,92362632;;jan.-25;FALSE;;FALSE;FALSE;1016656/APROVADA;E710440;E710474;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPUTACIONAL;9102041484;1135698;MP CIND POV LAGOA CANAFISTA RURAL;PILÃO ARCADO;15/01;POSSIVEL DL MT 5 UCS;ENTREGA 31/01;;CONCLUIDA;19;47;47;;;;PLANO 14;100%;R$ 514.349,86;R$ 128.587,47;13/01/2025;29/01/2025;DOMINGOS;PAULO JUNIOR / RODRIGUES;DIEGO;-10,01191718;-42,54126269;;jan.-25;FALSE;;FALSE;FALSE;1016657/APROVADO ;E710475;E710529;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPT;9101886245;1077021;ER-CIND-FAZ-MACAMBIRA 52-RURAL;CURAÇÁ;;EXT BT;;;NÃO INICIADA;1;6;6;;;;PLANO 14;100%;R$ 20.555,43;R$ 6.166,63;10/01/2025;17/01/2025;EMERSON;EMERSON;CARLOS EDUARDO;-8,979004;-39,840509;;jan.-25;FALSE;;FALSE;FALSE;1016659/APROVADA;E710530;E710539;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPUTACIONAL;9101905381;1090457;MP-CIND-POV-TRAIRAS-RURAL;SENTO SÉ;09/01;PG+ENCABÇ (LV);ENTREGA 31/01;;CONCLUIDA;1;14;14;;;;PLANO 7;100%;R$ 141.631,29;R$ 35.407,82;13/01/2025;28/01/2025;FABIO;SANTIAGO;SANDRO;-9,839898;-41,660409;;jan.-25;FALSE;;FALSE;FALSE;1016660/APROVADA;E710540;E710555;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPT;9102012198;1124543;LD - CIND - FAZ RANCHO VELHO - RURAL;JUAZEIRO;;POSSIVEL DL MT 10 UCS;MIGRAR;22/01;NÃO INICIADA;1;7;7;;;;PLANO 14;100%;R$ 84.941,86;R$ 25.482,56;13/01/2025;22/01/2025;PEPEU;EDIE JONNES / ANDERSON;CARLOS EDUARDO;-9,480355;-40,14202;;jan.-25;FALSE;;FALSE;FALSE;1016668/APROVADA;E710807;E710814;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPUTACIONAL;9102140320;1171632;ER-CIND-FAZ-BEIRA RIO-SANTA TEREZINHA;UAUÁ;10/01;EXT BT;MIGRAR;;NÃO INICIADA;2;16;16;;;;PLANO 7;100%;R$ 96.099,88;R$ 24.024,97;15/01/2025;25/01/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;-10,021087;-39,258733;;jan.-25;FALSE;;FALSE;FALSE;1017632/APROVADO ;E711871;E711886;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPUTACIONAL;9102094308;1153137;ER-CCOL-SI-FELICIANO-FELICIANO;UAUÁ;10/01;POSSIVEL DL MT 6 UCS;ENTREGA 31/01;;CONCLUIDA;6;31;31;;;;PLANO 7;100%;R$ 187.168,14;R$ 46.792,04;15/01/2025;30/01/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;-9,853718;-39,434687;;jan.-25;FALSE;;FALSE;FALSE;1016704/APROVADA;E710631;E710668;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUDICIAL;9101972316;1111815;LD - CIND - FAZ VERMELHO - RURAL;JUAZEIRO;08/01;DESLIG BT;ENTREGA 31/01;24/01;CONCLUIDA;2;16;16;;;;PLANO 14;100%;R$ 197.295,38;R$ 49.323,85;13/01/2025;29/01/2025;GERALDO;EDIE JONNES;CARLOS EDUARDO;-9,290996;-39,917513;;jan.-25;FALSE;;FALSE;FALSE;1016661/APROVADA;E710669;E710686;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECLAMAÇÃO REITERADA;9101982721;1122163;ER-CIND-POV-TOME 11-RURAL;JUAZEIRO;13/01;SEM ACESSO;MIGRAR;15/01 / 28/01;EM EXECUÇÃO;1;6;6;;;;PLANO 14;100%;R$ 74.332,27;R$ 18.583,07;10/01/2025;15/01/2025;PEPEU;EDIE JONNES / ANDERSON;VICTOR;-9,433107;-40,284259;;jan.-25;FALSE;;FALSE;FALSE;1016663/APROVADA ;E710687;E710694;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPUTACIONAL;9102027642;1127953;MP-SEIN-FAZ-BOQUEIRAO 1800 --W-RURAL;CURAÇÁ;;POSSIVEL DL MT 25 UCS (PG+ENCABÇ);;;NÃO INICIADA;9;71;36;;;;PLANO 14;50%;R$ 375.226,34;R$ 112.567,90;10/01/2025;15/02/2025;EMERSON;EMERSON;CARLOS EDUARDO;-8,9086063;-39,8259879;;jan.-25;FALSE;;FALSE;FALSE;1016714/APROVADA;E710695;E710774;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL/MELHORAMENTO;9101909684;1085090;AL-01V2-NOVA TOURÃO-CONSTRUÇÃO (ITEM 2);JUAZEIRO;;;;;NÃO INICIADA;0;41;;;;;;75%;R$ 717.378,39;R$ 215.213,52;01/01/2025;28/02/2025;;;SANDRO DUARTE;-9,436886049;-40,38081355;;;FALSE;;FALSE;FALSE;1017649/APROVADA ;E711976;E712016;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPT;9101952332;1103386;ER-CIND-SI-MORADA NOVA-RURAL SISTEMA MAN;JUAZEIRO;08/01;EXT BT;;;CONCLUIDA;1;7;7;;;;PLANO 14;100%;R$ 22.464,98;R$ 5.616,25;13/01/2025;22/01/2025;GERALDO;EDIE JONNES;VICTOR;-9,2609408;-40,2261639;;jan.-25;FALSE;;FALSE;FALSE;1016665/APROVADA;E710775;E710782;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPT;9102014140;1123817;ER CIND POV POÇO DE DENTRO RURAL CRC;CURAÇÁ;;LV;;;NÃO INICIADA;1;8;8;;;;PLANO 14;100%;R$ 50.364,62;R$ 15.109,39;10/01/2025;23/01/2025;EMERSON;EMERSON;CARLOS EDUARDO;-9,6221324;-39,7727407;;jan.-25;FALSE;;FALSE;FALSE;1016686/APROVADA;E710783;E710790;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL/MELHORAMENTO;9101909686;1085374;AL-01V3-NOVA TOURÃO-CONSTRUÇÃO ITEM 1, 2;JUAZEIRO;;;;;NÃO INICIADA;0;10;;;;;;75%;R$ 491.175,01;R$ 147.352,50;01/01/2025;31/01/2025;;;SANDRO DUARTE;-9,436886049;-40,38081355;;;FALSE;;FALSE;FALSE;1010296;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QLP;9101974951;1115227;ER-CIND-POV-SITIO FORMOSO-SITIO FORMOSO;CAMPO ALEGRE DE LOURDES;13/01;LV;ENTREGA 31/01;;CONCLUIDA;1;12;12;;;;PLANO 7;100%;R$ 199.757,49;R$ 49.939,37;13/01/2025;30/01/2025;AILTON;PAULO JUNIOR / RODRIGUES;DIEGO;-9,734801;-43,19299;;jan.-25;FALSE;;FALSE;FALSE;1016682/APROVADA;E710791;E710806;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL/MELHORAMENTO;9101909688;1085227;AL - 01V4 - NOVA TOURÃO - CONSTRUÇÃO;JUAZEIRO;;;;;NÃO INICIADA;0;2;;;;;;75%;R$ 450.205,34;R$ 135.061,60;01/01/2025;28/02/2025;;;SANDRO DUARTE;-9,436886049;-40,38081355;;;FALSE;;FALSE;FALSE;1017645/2025;E711971;E711972;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QLP;9101827904;1045844;AC-CCOL-POV.ENTRONCAMENTO-REG.FV-RURAL;CASA NOVA;;LV+LM;MIGRAR;;NÃO INICIADA;15;40;20;;;;PLANO 7;50%;R$ 485.086,60;R$ 145.525,98;12/01/2025;31/01/2025;JORGE;JORGE;DIEGO;-9,306105312;-41,15838127;;jan.-25;FALSE;;FALSE;FALSE;1016654;E710395;E710439;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUDICIAL;9102042683;1131422;LD - CIND POV  LAGEDO - RURAL;SENTO SÉ;09/01;pes 5847, oc 86180 - 23/01;;15/01;CONCLUIDA;1;1;0;;;;PLANO 7;100%;R$ 33.082,28;R$ 8.270,57;13/01/2025;15/01/2025;FABIO;SANTIAGO;SANDRO;-10,261539;-41,294504;;jan.-25;FALSE;;FALSE;FALSE;1016696/APROVADA;E710817;E710818;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QLP;9101693797;1003084;IT-CIND-FAZ-JURITI-RURAL;CURAÇÁ;;VERIFICAR NOTA;;;NÃO INICIADA;0;1;1;;;;PLANO 7;100%;R$ 6.396,29;R$ 1.918,89;;;EMERSON;EMERSON;CARLOS EDUARDO;-9,0490943;-39,9517277;;jan.-25;FALSE;;FALSE;FALSE;APROVADA;E681678;E681679;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPT;9102098911;1157071;ER-CIND-POV-JUREMAL-RURAL;JUAZEIRO;08/01;EXT BT;;;CONCLUIDA;1;2;2;;;;PLANO 14;100%;R$ 7.300,62;R$ 1.825,16;10/01/2025;13/01/2025;PEPEU;EDIE JONNES / ANDERSON;EDVALDO;-9,729372;-40,36558;;jan.-25;FALSE;;FALSE;FALSE;1016673/APROVADO ;E710819;E710821;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUIPAMENTO;9102089653;1148050;IE-REGULADOR SE:CNN ALIM:01C3-RURAL;CASA NOVA;;LV+LM;MIGRAR;;NÃO INICIADA;0;2;2;;;;PLANO 8;100%;R$ 336.662,56;R$ 100.998,77;01/01/2025;31/01/2025;DANIEL;PAULO JUNIOR / RODRIGUES;DIEGO;-9,1847286;-41,0068512;;jan.-25;FALSE;;FALSE;FALSE;1016689/APROVADA;E710864;E710867;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECLAMAÇÃO;9102047558;1130857;RC-CIND-RUA-JOAQUIM CARDOSO 571-CENTRO;UAUÁ;10/01;pes 3540, oc 85910 - 23/01;;23/01;CONCLUIDA;1;1;2;;;;PLANO 8;100%;R$ 3.585,16;R$ 896,29;14/01/2025;15/01/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;-9,840855;-39,481041;;jan.-25;FALSE;;FALSE;FALSE;1016705/APROVADA;E710822;E710823;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATURA PG CLIENTE;9102040988;1137653;AC-CIND-FAZ-PROJETO CURACA-RURAL;JUAZEIRO;08/01;LM PG E LV ENCABÇ;ENTREGA 31/01;;CONCLUIDA;2;2;2;;;;PLANO 7;100%;R$ 39.100,45;R$ 9.775,11;13/01/2025;23/01/2025;GERALDO;EDIE JONNES;EDVALDO;-9,122282;-40,090877;;jan.-25;FALSE;;FALSE;FALSE;1013610/APROVADA ;E681605;E681607;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTRATÉGICA;9101979029;1112593;UB-CIND-RUA-NOSSA S  DE NAZARE-PALMARES;JUAZEIRO;11/01;pes 3678, oc 87207 - 23/01;;;CONCLUIDA;16;9;9;;;;PLANO 7;100%;R$ 32.553,04;R$ 8.138,26;13/01/2025;28/01/2025;PEPEU;EDIE JONNES / ANDERSON;VICTOR;-9,433927;-40,523223;;jan.-25;FALSE;;FALSE;FALSE;1016674/APROVADA;E710824;E710833;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRIORIDADE PLANO ANEEL;9102070311;1143605;ER-CIND-POV-CALDEIRAO DA ONCA-CAMPO GRAN;PILÃO ARCADO;;;MIGRAR;;NÃO INICIADA;1;1;;;;;;100%;R$ 16.361,47;R$ 4.090,37;30/01/2025;15/01/2025;;;DIEGO DE CARVALHO;;;;;;;;;APROVADA ;E663597;E663598;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOLICITAÇÃO ATENDIMENTO;9102011034;1122838;RR-CIND-FAZ-PROJETO NILO COELHO-CASA NOV;CASA NOVA;;LV APENAS;MIGRAR;;PARALIZADA;0;10;10;;;;PLANO 7;100%;R$ 151.350,89;R$ 45.405,27;01/01/2025;31/01/2025;DANIEL;PAULO JUNIOR / RODRIGUES;DIEGO;-9,3623562;-40,751915;;jan.-25;FALSE;;FALSE;FALSE;APROVADA ;E681297;E681307;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPT;9102056031;1136433;ER-CIND-POV-JAZIDA-RURAL;JUAZEIRO;08/01;EXT BT;;;CONCLUIDA;1;6;6;;;;PLANO 14;100%;R$ 19.450,28;R$ 4.862,57;10/01/2025;18/01/2025;GERALDO;EDIE JONNES;VICTOR;-9,240037101;-40,2438927;;jan.-25;FALSE;;FALSE;FALSE;1016677/APROVADA ;E710855;E710861;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPUTACIONAL;9102065798;1142928;RR-CIND-FAZ-LAGOS-RURAL;CURAÇÁ;EMERSON;pes 4209, oc 88812 - 24/01;ENTREGA 31/01;;CONCLUIDA;0;1;1;;;;PLANO 7;100%;R$ 10.982,21;R$ 2.745,55;13/01/2025;18/01/2025;EMERSON;EMERSON;CARLOS EDUARDO;-8,8179616;-39,832914;;jan.-25;FALSE;;FALSE;FALSE;1016715/APROVADA;E710862;E710863;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTRATÉGICA;9101893156;1084183;RR-CCOL-RCL-POV-DE LAJES-LAJES;JUAZEIRO;;DL BT(APENAS SECCIONAR);MIGRAR;;NÃO INICIADA;75;55;55;;;;PLANO 7;50%;R$ 274.737,62;R$ 82.421,29;13/01/2025;22/02/2025;JUAREZ;SANTIAGO;SANDRO;-9,479125;-40,506838;;jan.-25;FALSE;;FALSE;FALSE;1016647/APROVADA;E710334;E710393;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPUTACIONAL;9102094171;1149341;RR-SEIN-RUA-DO CEMITERIO-RETIRO DE CIMA;SENTO SÉ;09/01;LV;ENTREGA 31/01;;CONCLUIDA;18;24;24;;;;PLANO 7;100%;R$ 135.640,45;R$ 33.910,11;13/01/2025;30/01/2025;FABIO;SANTIAGO;SANDRO;-9,980689652;-42,1290698;;jan.-25;FALSE;;FALSE;FALSE;1016697/APROVADO ;E710838;E710897;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECLAMAÇÃO;9102092784;1151682;UB-CIND-RUA-B-CENTRO;JUAZEIRO;13/01;LV+LM;ENTREGA 31/01;;CONCLUIDA;45;7;7;;;;PLANO 7;100%;R$ 72.090,21;R$ 18.022,55;13/01/2025;29/01/2025;PEPEU;EDIE JONNES / ANDERSON;VICTOR;-9,438884;-40,502059;;jan.-25;FALSE;;FALSE;FALSE;1017629/APROVADA ;E711864;E711870;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPT;9102105678;1157330;ER-CIND-SI-SOCORRO-CHACARAS UNIDAS;JUAZEIRO;11/01;EXT BT;;;CONCLUIDA;1;6;0;;;;PLANO 14;100%;R$ 20.325,05;R$ 5.081,26;13/01/2025;24/01/2025;PEPEU;EDIE JONNES / ANDERSON;VICTOR;-9,513265;-40,43766;;jan.-25;FALSE;;FALSE;FALSE;SEM SI;E688593;E688598;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOLICITAÇÃO ATENDIMENTO;9102122526;1160450;RR-CIND-FAZ-DUNAS-RURAL;CURAÇÁ;;pes 5057, oc 87233 - 23/01;;;CONCLUIDA;1;1;1;;;;PLANO 7;100%;R$ 14.634,85;R$ 3.658,71;14/01/2025;20/01/2025;EMERSON;EMERSON;CARLOS EDUARDO;-8,9442269;-39,8760226;;jan.-25;FALSE;;FALSE;FALSE;1016716/APROVADA;E710908;E710909;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECLAMAÇÃO;9101900453;1090033;MP-CIND-RUA DANTA CATARINA BAZUCA-RURAL;SENTO SÉ;09/01;POSSIVEL DL MT 4 UCS;MIGRAR;;NÃO INICIADA;1;22;22;;;;PLANO 14;100%;R$ 211.069,41;R$ 63.320,82;13/01/2025;28/01/2025;FABIO;SANTIAGO;SANDRO;-9,801903;-41,554951;;jan.-25;FALSE;;FALSE;FALSE;APROVADA;E663478;E663505;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUIPAMENTO;9102125740;1161662;ME-COEL-RUA-TIRADENTES 1-CENTRO-C ALEGRE;CAMPO ALEGRE DE LOURDES;;LV+LM;;;RETIRADA ;0;3;3;;;;PLANO 8;100%;R$ 803.302,22;R$ 240.990,67;;;AILTON;PAULO JUNIOR / RODRIGUES;DIEGO;-9,354759;-43,401637;;jan.-25;FALSE;;FALSE;FALSE;CANCELADA;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QLP;9101955953;1106668;ER-PREF-POV-CANAL DA BATATEIRA-RURAL;SOBRADINHO;;LV+LM;MIGRAR;;NÃO INICIADA;1;1;1;;;;PLANO 7;100%;R$ 22.297,35;R$ 5.574,34;13/01/2025;18/01/2025;FERNANDO;PAULO JUNIOR / RODRIGUES;SANDRO;-9,504162;-40,84397;;jan.-25;FALSE;;FALSE;FALSE;APROVADA;E681680;E681681;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPUTACIONAL;9101987109;1113589;IE ENT JUNCO SALITRE (RELIGADOR )ITEM 03;JUAZEIRO;;LV+LM;MIGRAR;;NÃO INICIADA;0;1;1;;;;PLANO 7;100%;R$ 107.292,93;R$ 32.187,88;13/01/2025;30/01/2025;PEPEU;EDIE JONNES / ANDERSON;SANDRO;-9,510815;-40,59996;;jan.-25;FALSE;;FALSE;FALSE;CANCELADA ;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUDICIAL;9102130283;1165337;RC-CIND-AV-DA POUSADA-NOBRE;UAUÁ;10/01;pes 2220, oc 82931 - 22/01;;22/01;CONCLUIDA;0;2;2;;;;PLANO 8;100%;R$ 11.719,28;R$ 2.929,82;20/01/2025;22/01/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;-9,834556023;-39,48345248;;jan.-25;FALSE;;FALSE;FALSE;1016707/APROVADO ;E710933;E710934;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTRATÉGICA;9102125395;1166448;RU-CIND-AV-1-QDL-N33-DESTRITO INDUSTRIAL;JUAZEIRO;;NOTA INTERROMPIDA;;;PARALIZADA;0;0;0;;;;PLANO 7;100%;R$ 10.018,73;R$ 3.005,62;;;PEPEU;EDIE JONNES / ANDERSON;SANDRO;-9,457314;-40,487222;;jan.-25;FALSE;;FALSE;FALSE;CANCELADA;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPUTACIONAL;9102130864;1164126;ER-CIND-POV-ALTO MULUNGU-RURAL;SENTO SÉ;09/01;POSSIVEL DL 21 UCS (6 VIP 8);MIGRAR;;NÃO INICIADA;1;7;7;;;;PLANO 7;100%;R$ 39.878,44;R$ 11.963,53;13/01/2025;25/01/2025;FABIO;SANTIAGO;SANDRO;-9,704572;-41,293141;;jan.-25;FALSE;;FALSE;FALSE;1016699/APROVADA ;E710923;E710932;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GOVERNO;9102096483;1132085;ER-SEIN-RUA-DAS FLORES-XIQUE-XIQUE;PILÃO ARCADO;;LV+LM;;;RETIRADA ;11;26;26;;;;PLANO 7;100%;R$ 191.541,40;R$ 57.462,42;;;;;DIEGO;-10,5568842;-42,6234047;;jan.-25;FALSE;;FALSE;FALSE;CANCELADA;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOLICITAÇÃO ATENDIMENTO;9101949445;1101591;IT-GRUA-FAZ-PROJETO NILO COELH-RURAL-MOD;CASA NOVA;;NOTA INTERROMPIDA;;;PARALIZADA;0;174;74;;;;PLANO 7;75%;R$ 2.747.325,73;R$ 824.197,72;;;FERNANDO;PAULO JUNIOR / RODRIGUES;SANDRO;-9,3695686;-40,79822;;jan.-25;FALSE;;FALSE;FALSE;APROVADA;E480960;E481159;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPUTACIONAL;9101980372;1115402;AC-GRUA-AV-DES OUVALDO-CENTRO;SENTO SÉ;09/01;DL MT;;10/01;CONCLUIDA;0;1;1;;;;PLANO 7;100%;R$ 12.576,55;R$ 3.144,14;13/01/2025;10/01/2025;FABIO;SANTIAGO;SANDRO;-9,744120357;-41,89289758;;jan.-25;FALSE;;FALSE;FALSE;CONCLUIDA;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOLICITAÇÃO ATENDIMENTO;9102099889;1158206;AC-GRUA-FAZ-MASSAYIO-RURAL-MOD;JUAZEIRO;;SEM PROJETO;;;RETIRADA ;0;0;0;;;;PLANO 7;100%;R$ 0,00;R$ 0,00;;;PEPEU;EDIE JONNES / ANDERSON;VICTOR;;;;jan.-25;FALSE;;FALSE;FALSE;CANCELADA;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPUTACIONAL;9102079755;1143104;IT-CIND-CEMCO-REMANSO;REMANSO;;LV+LM;ENTREGA 31/01;;CONCLUIDA;0;1;1;;;;PLANO 7;100%;R$ 8.586,11;R$ 2.146,53;13/01/2025;25/01/2025;AILTON;PAULO JUNIOR / RODRIGUES;DIEGO;-9,683899;-42,252442;;jan.-25;FALSE;;FALSE;FALSE;1016693/APROVADA ;E710955;E710958;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOLICITAÇÃO ATENDIMENTO;9102075349;1167687;RC-CIND-RUA-J SEABRA-CENTRO CAMPO;CAMPO ALEGRE DE LOURDES;09/01;10/01;;10/01;CONCLUIDA;0;2;2;;;;PLANO 8;100%;R$ 12.698,37;R$ 3.174,59;08/01/2025;10/01/2025;AILTON;PAULO JUNIOR / RODRIGUES;DIEGO;-9,516134645;-43,0082721;;jan.-25;FALSE;;FALSE;FALSE;1016685;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
