CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;SITUAÇÃO;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 30%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;SITUAÇÃO.1;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;ORIGEM_ETL;VALOR 25%;LINK MAPS;PRE FECHAMENTO;OBS;TITULO;STATUS 1.1;DATA DE ENERG.;VALOR/PST;Unnamed: 5;GPM;VALOR A FATURAR;TITULO.1;STATUS 2;REPROGRAMAÇÃO;CRITERIO;ESTÁGIO DE OBRAS;RESPONSÁVEL;CLIENTE;PSTP INICIAL;PSTP FINAL;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OBS.1
;;1212624;;JUAZEIRO;;CONCLUÍDA;;;;;;;;;;7.1.2.3;100%;;;;;GISMARIO;EDIE JONNES;;-9.3657259;-40.2655602;;OUTUBRO;;;;;;;;Novembro 25;;;;;AC-CIND-POV-CAMPOS-CAMPOS;;;;;;;;;;;CONCLUÍDA;MARLOS LOPES ;1;1;1;;14/10/2025;14/10/2025;;;NÃO;;Ver no Mapa;14/10/2025;14/10/2025;14/10/2025;15/10/2025;
;;1190607;;JUAZEIRO;;RETIRADA COELBA;;;;;;;;;;7.1.2.4;100%;;;;;PAULO;SANTIAGO;;-9.4558324;-40.4694899;;SETEMBRO;;;;;;;;Novembro 25;;;;;ER-CIND-SI-S O JOSE-RURAL;;;;;;;;;;;;VICTOR BARROS;;11;;12/09/2025;;;;;;;Ver no Mapa;;;;;OBRA VAI SER ATENDIDA PELA A 1221851
;;1116565;;SENTO SÉ;;CONCLUÍDA;;;;;;;;;;7.1.2.3;100%;;;;;JACSON;SANTIAGO;;-10.1037102;-42.1469957;;NOVEMBRO;;;;;;;;Novembro 25;;;COMPLETO;JACSON / FABIO;MP-CIND-POV-MALVINAS 1000-RURAL-MOD;;;;;;;;;;QLA;ENERGIZADA;SANDRO SANTOS;1;23;23;;20/11/2025;22/11/2025;;SIM;NÃO;;Ver no Mapa;20/11/2025;29/11/2025;29/11/2025;SIM;
;;1187735;;REMANSO;;CONCLUÍDA;;;;;;;;;;7.1.1.3;100%;;;;;MANUTENÇÃO;ANDERSON;;-9.6172162;-42.0840119;;OUTUBRO;;;;;;;;Novembro 25;;;;;AC-CIND-AV-BARAO DO RIO B-QUADRA 19;;;;;;;;;;;CONCLUÍDA;MARLOS LOPES ;1;1;1;;10/10/2025;10/10/2025;;NÃO;NÃO;2025-110663;Ver no Mapa;25/09/2025;10/10/2025;10/10/2025;10/10/2025;
;;1181008;;JUAZEIRO;;AVANÇO;;;;;;;;;;7.1.2.3;80%;;;;;TURMA NOVA;EDIE JONNES;;-9.5961849;-40.4236876;;SETEMBRO;;;;;;;;Novembro 25;;;;;RR-CIND-FAZ-S O PEDRO 11-S O PEDRO;;;;;;;;;;;NÃO INICIADA;VICTOR BARROS;1;21;;08/10/2025;01/10/2025;08/10/2025;;NÃO;;;Ver no Mapa;;;;;
;;1153460;;JUAZEIRO;;AVANÇO;;;;;;;;;;7.1.2.3;90%;;;;;TURMA NOVA;EDIE JONNES;;-9.5992005;-40.3925912;;SETEMBRO;;;;;;;;Novembro 25;;;;;MP-CIND-RUA-DOS VERMELHOS-RURAL;;;;;;;;;;;NÃO INICIADA;VICTOR BARROS;3;26;;18/10/2025;09/10/2025;18/10/2025;;NÃO;;;Ver no Mapa;;;;;
;;1132085;;PILÃO ARCADO;;MIGRAR;;;;;;;;;;14.4.12.1;100%;;;;;;;;-10.5568842;-42.6234047;;SETEMBRO;;;;;;;;Novembro 25;;;;OURO;ER-SEIN-RUA-DAS FLORES-XIQUE-XIQUE;;;;;;;;;;;VISITA PRÉVIA;MARLOS LOPES ;11;26;;;;;;;;;Ver no Mapa;;;;;
;;1113834;;PILÃO ARCADO;;AVANÇO;;;;;;;;;;7.1.2.3;80%;;;;;AILTON;PAULO JUNIOR;;-9.9331343;-42.9012232;;SETEMBRO;;;;;;;;Novembro 25;;;;;AC-CIND ESCOLA MUN.DE BREJINHO-RURAL;;;;;;;;;;;IMPLANTAÇÃO;MARLOS LOPES ;65;416;;17/09/2025;;30/10/2025;;SIM;NÃO;;Ver no Mapa;;;;;
;;1172127;;SENTO SÉ;;CONCLUÍDA;;;;;;;;;;7.1.1.3;100%;;;;;JACSON;SANTIAGO;;-9.8360102;-41.7652151;;NOVEMBRO;;;;;;;;Novembro 25;;;COMPLETO;;UB CIND RUA DO CASCALHO - CENTRO;;;;;;;;;;QLA;ENERGIZADA;SANDRO SANTOS;1;1;1;;17/11/2025;17/11/2025;;SIM;NÃO;;Ver no Mapa;13/11/2025;13/11/2025;13/11/2025;SIM;
;;997469;;SENTO SÉ;;CONCLUÍDA;;;;;;;;;;14.7.3;100%;;;;;JACSON;SANTIAGO;;-10.2638619;-41.3329393;;OUTUBRO;;;;;;;;Novembro 25;;;;OURO;ER-CIND-POV-ALMAS-ALEGRE;;;;;;;;;;;CONCLUÍDA;DIEGO ALMEIDA;2;43;43;;23/09/2025;16/10/2025;;SIM;SIM;;Ver no Mapa;15/10/2025;27/10/2025;27/10/2025;27/10/2025;
;;1211778;;SENTO SÉ;;CONCLUÍDA;;;;;;;;;;7.1.2.3;100%;;;;;FABIO;SANTIAGO;;-9.790585;-41.377931;;OUTUBRO;;;;;;;;Novembro 25;;;;FABIO / TURMA NOVA;ER-CIND-POV-DO PREDIO-PIRI;;;;;;;;;;;CONCLUÍDA;SANDRO SANTOS;1;40;40;;07/10/2025;16/10/2025;;SIM;NÃO;;Ver no Mapa;07/10/2025;28/10/2025;28/10/2025;28/10/2025;
