PROJETO_FATO;Carteira;COORD;% CAVAS;% POSTES;AR;AS BUILT;AVANÇO;AVNR;BOOK;CAVD;CAVR;CLIENT.;CLIET.;CLIET. PREV;CLIET. REAL;CONCRETO;COORDENADAS;CRITERIO;DATA DESL;DESLIG;DEVOLUÇAO;DIAS;DIAS.1;DIAS.2;DT DESL;DT. SEPARAÇÃO;ENCARREGADO;ENERGIZAÇÃO;EQPP;EQPR;FAIXA;FIM;INICIO;LAT;LATITUDE;LINK PROJETO;LONG;LONGITUDE;LV;MUNICIPIO;NOTA;Nº PES;OBRAS SIMPLIFICADAS;OBS;OBS CAVA;PERFIL;PES DESLIG;PES S/I;PG'S;PLANO;PROJETO;PRÉ FECHAMENTO;PST EXEC;PSTP;PV. FIM;PV. INICIO;PV. INÍCIO;RDEP;RDER;REFERÊNCIA;RESERVA;RESUMO;RESUMO LV;SACADO;STATUS;SUPERVISOR;TÍTULO;V. PRJ 25%;V. PROJETO;V. REAL;VISITA PRÉVIA
1053427;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;3;;;;REPUTACIONAL;;;;;;;;;;;;;;;;;;;;;;ITIÚBA;;;;;;6-15 POSTES;;;;;B-1053427;;;11;2025-01-24 00:00:00;;;;;;;;;;NÃO DEFINIDO;;MP-CCOL-FAZ OLHOS DAGUA-RURAL;;65807.63;;
1168522;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;0;1;;;RECLAMAÇÃO;;;;;;;;;ALDAIR;2025-01-22 00:00:00;;;;;;;;;;;;ITIÚBA;;;;;;0-5 POSTES;;;;;X-1168522;;0;0;2025-01-20 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;ME-COEL-AV-ROGERIO BENTO PITANGA 99999;;29834.15;;
1085264;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;11;18;;;NOVOS QUESTIONAMENTOS ANEEL;;;;;;;;;REGINALDO;2025-01-31 00:00:00;;;;;;;;;;;;PINDOBAÇU;;;;;;16-50 POSTES;;;;;B-1085264;;41;39;2025-01-24 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;MP CIND RUA DA LINHA PINDOBAÇU RURAL;;366503.58;;
1161107;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;0;0;;;REPUTACIONAL;;;;;;;;;JOSE SILVA;2025-01-30 00:00:00;;;;;;;;;;;;PINDOBAÇU;;;;;;0-5 POSTES;;;;;X-1161107;;1;3;2025-01-17 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;RC-GOVE-RUA-CARNAIBA DE BAIXO-RURAL;;65125.21;;
0948330;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;1;1;;;REPUTACIONAL;;;;;;;;;JOSE SILVA;2024-01-09 00:00:00;;;;;;;;;;;;ANTÔNIO GONÇALVES;;;;;;0-5 POSTES;;;;;B-0948330;;3;3;2025-01-14 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;RR-CIND-POV JIBOIA ZU-RL ANTO GON ALVES;;17004.96;;
1139377;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;1;1;;;RECLAMAÇÃO;;;;;;;;;VAGNER;2025-01-09 00:00:00;;;;;;;;;;;;ANTÔNIO GONÇALVES;;;;;;0-5 POSTES;;;;;X-1139377;;2;2;2025-01-16 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;ER-CIND-POV-BREJAO DA GROTA 530-RURAL;;31019.1;;
1114986;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;0;0;;;REPUTACIONAL;;;;;;;;;GERSONI;2025-01-31 00:00:00;;;;;;;;;;;;SENHOR DO BONFIM;;;;;;51-100 POSTES;;;;;X-1114986;;68;68;2025-01-31 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;IP-CCOL-AV-CONTORNO-CENTRO-TIJUACU;;461717.75;;
0952864;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;0;1;;;REPUTACIONAL;;;;;;;;;JOILSON;2025-01-27 00:00:00;;;;;;;;;;;;SENHOR DO BONFIM;;;;;;16-50 POSTES;;;;;B-0952864;;28;28;2025-01-24 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;RI-SEIN-POV-TANQUINHO DE CIMA-RURAL-TANQ;;123130.57;;
1024130;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;2;2;;;REPUTACIONAL;;;;;;;;;JOSE SILVA;2025-01-21 00:00:00;;;;;;;;;;;;FILADÉLFIA;;;;;;6-15 POSTES;;;;;X-1024130;;7;7;2025-01-10 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;RR-CIND-POV-VARZEA DOS PATOS-RURAL;;54185.57;;
1093839;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;1;1;;;SOLICITAÇÃO ATENDIMENTO;;;;;;;;;REGINALDO;2025-01-09 00:00:00;;;;;;;;;;;;ANDORINHAS;;;;;;0-5 POSTES;;;;;B-1093839;;0;1;2025-01-20 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;AC-CIND-POV  TANQUINHO DO POÇO-RURAL;;25421.07;;
1094402;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;1;1;;;SOLICITAÇÃO ATENDIMENTO;;;;;;;;;REGINALDO;2025-01-23 00:00:00;;;;;;;;;;;;ANDORINHAS;;;;;;0-5 POSTES;;;;;B-1094402;;0;0;2025-01-17 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;AC-PREF-AV-CARLOS HUMBERTO FILHO-MEDRADO;;2158.36;;
1160430;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;1;;;;RECLAMAÇÃO;;;;;;;;;;;;;;;;;;;;;;JAGUARARI;;;;;;0-5 POSTES;;;;;X-1160430;;;1;2025-01-09 00:00:00;;;;;;;;;;NÃO DEFINIDO;;ER-CIND-RUA-DO MATADOURO 95-CATUNY;;9171.67;;
1073129;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;6;6;;;REPUTACIONAL;;;;;;;;;REGINALDO;2025-01-24 00:00:00;;;;;;;;;;;;ANDORINHAS;;;;;;0-5 POSTES;;;;;X-1073129;;6;5;2025-01-13 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;ER-CCOL-POV-GAMELEIRA-GAMELEIRA;;15032.02;;
1131409;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;1;1;;;REPUTACIONAL;;;;;;;;;JOILSON;2025-01-28 00:00:00;;;;;;;;;;;;SENHOR DO BONFIM;;;;;;0-5 POSTES;;;;;X-1131409;;2;2;2025-01-19 00:00:00;;;;;;;;;;NÃO DEFINIDO;WESLEY;AC-CIND-AV-ANTONIO LAURINDO-CENTRO;;42042.49;;
1044483;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;27;;;;REPUTACIONAL;;;;;;;;;;;;;;;;;;;;;;CAMPO FORMOSO;;;;;;;;;;;B-1044483;;;324;2025-03-31 00:00:00;;;;;;;;;;NÃO DEFINIDO;;MP-CCOL-POV.CACIMBINHA-RURAL;;3518237.37;;
0914747;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;10;;;;JUDICIAL;;;;;;;;;;;;;;;;;;;;;;CAMPO FORMOSO;;;;;;51-100 POSTES;;;;;B-0914747;;;96;2025-01-31 00:00:00;;;;;;;;;;NÃO DEFINIDO;;RU-CCOL-FAZ GENIO-RURAL-CRB;;660273.67;;
1156377;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;;1;;;;;;;;;;;;REGINALDO;2025-01-11 00:00:00;;;;;;;;;;;;SENHOR DO BONFIM;;;;;;;;;;;B-1156377;;5;;;;;;;;;;;;NÃO DEFINIDO;DICSON;AC-CIND-LOT-RIO DA PRATA-MISSAO DO SAHY;;;;
1158654;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;1;1;;;JUDICIAL;;;;;;;;;VAGNER;2025-01-22 00:00:00;;;;;;;;;;;;CAMPO FORMOSO;9102124526;;;;;;;;;;B-1158654;;6;6;2024-12-19 00:00:00;2024-12-17 00:00:00;;;;;;;;;NÃO DEFINIDO;ALAN;ER-CIND-POV-FOLHA LARGA-RURAL;;;;
1140793;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;;0;;;;;;;;;;;;GERSONI;2025-01-28 00:00:00;;;;;;;;;;;;FILADÉLFIA;;;;;;;;;;;B-1140793;;0;;;;;;;;;;;;NÃO DEFINIDO;DICSON;ER-CIND-POV-SANTO ANTONIO-RURAL;;;;
1121963;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;;1;;;;;;;;;;;;GERSONI;2025-01-25 00:00:00;;;;;;;;;;;;FILADÉLFIA;9101905218;;;;;;;;;;B-1121963;;63;65;;;;;;;;;;;NÃO DEFINIDO;DICSON;IT-GRUA-POV-CONSORCIO BA SOLAR 2-RURAL;;1172396;;
1183001;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;;1;;;;;;;;;;;;JOILSON;2025-01-29 00:00:00;;;;;;;;;;;;SENHOR DO BONFIM;;;;;;;;;;;B-1183001;;4;;;;;;;;;;;;NÃO DEFINIDO;WESLEY;ER-CIND-POV-CARIACA DE CIMA-CARIACA;;;;
1121944;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;;1;;;;;;;;;;;;ALDAIR;2025-01-30 00:00:00;;;;;;;;;;;;ITIÚBA;;;;;;;;;;;B-1121944;;0;;;;;;;;;;;;NÃO DEFINIDO;DICSON;ER-CIND-FAZ-BOM SUCESSO-ROMULO CAMPOS;;;;
