NOTA;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;OBRA SIMPLIFICADA;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;SOLICITAÇÃO DE TRANSPORTE CONCRETO;PES LV;PES ENCAB. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG'S;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNP;AVNR;INCIO PREVISTO;FIM PREVISTO;INCIO REAL;FIM REAL;DATA ENERG REAL;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;VALOR SERVIÇO;SERV. X % AVNP;TICKET MÉDIO;% VLR SERV X VLR PROJETO;PROVAVEL ROCHA;OBS;AVALIAÇÃO SERVIÇO;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102322926;B-1225672;UB-CIND-AV-STO AMARO-SAO LUIZ;CAPIM GROSSO;HERMOGENES;ENERGIZADA;ANDERSON;MANOEL CONCEICAO;PLANO 7;QLP;NÃO;14/10/2025;21/10/2025;04/11/2025;;;;;;;;E878561;0;1;;1;0;;;04/11/2025;05/11/2025;04/11/2025;04/11/2025;04/11/2025;;R300032;-11,384693;-40,003282;;;;;;;PES DE ENERGIZAÇÃO DE OBRA ENCABEÇAMENTO REDE BT;POSTE NA OBRA;JACOBINA;2025-11-01;1225672;Consolidado;N/A
9102323375;B-1224389;ER-CIND-FAZ-SAPUCAIA-RURAL;JACOBINA;JOSE ROBERTO;ENERGIZADA;EDLECIO;NATALICIO SILVA;PLANO 7;QLP;NÃO;14/10/2025;29/10/2025;04/11/2025;;;CRIAR;;;;;E878562 AO E878566;1;5;5;5;0;;;10/11/2025;11/11/2025;06/11/25;06/11/25;06/11/2025;;B723798;-11,224585;-40.402.402;;;;;;;PES DE ENERGIZAÇÃO DE OBRA ENCABEÇAMENTO REDE BT;SACAR POSTE NA BASE;JACOBINA;2025-11-01;1224389;Consolidado;N/A
9102333392;B-1225777;ER-CIND-FAZ-LAGOA DO GAG 30-RURAL;JACOBINA;OLISVALDO;ENERGIZADA;EDLECIO;NATALICIO SILVA;PLANO 7;QLP;NÃO;14/10/2025;30/10/2025;12/11/2025;;;;2025-142281;21/11/2025;APROVADO;;;1;0;;;0;;;19/11/2025;20/11/2025;21/11/2025;21/11/2025;;;E355358;-11,189905;-40,570439;;;;;;;PES DE DESLIGAMENTO  SUBSTITUIÇÃO DE TRAFO E TROCA DE CABO BT;;JACOBINA;2025-11-01;1225777;Consolidado;N/A
9102334919;B-1225750;ER-CIND-FAZ-SANTA MARTA 46-JACOBINA;JACOBINA;OLISVALDO;ENERGIZADA;EDLECIO;NATALICIO SILVA;PLANO 7;QLP;NÃO;14/10/2025;30/10/2025;05/11/2025;;2025-142180;2025-142192;;;;;E878567;0;1;1;1;0;;;05/11/2025;06/11/2025;07/11/2025;07/11/2025;07/11/2025;;R010654;-11,1710062;-40,5863699;;;;;;;PES DE LINHA VIVA INSTALAR  POSTE MT E N1 E BANCADA DE TRAFO E PES DE ENERGIZAÇÃO DE TRAFO;;JACOBINA;2025-11-01;1225750;Consolidado;N/A
9102140192;B-1175126;RR-CIND-FAZ-BOSQUE DAS ALGAROBAS-RURAL;OUROLÂNDIA;EUDÁRIO/ JOSÉ MIZAEL/ JAIRO/ JOSÉ ROBERTO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;22/10/2025;06/11/2025;10/11/2025;;2025-143142;2025-143182;;;;1040843;E899533 AO E899564;3;32;32;31;1;;;24/11/2025;28/11/2025;24/11/2025;28/11/2025;;;B170844;-10,868114;-41.169.321;;;;;;;(PES DE LV  INTERCALAR POSTE MT E INSTALAR ESTRUTURA N4-3  E ENCABECAMENTO MT) ( PES DE ENERGIZAÇÃO DE OBRA );FALTA 3 TRAFOS;JACOBINA;2025-11-01;1175126;Consolidado;N/A
9102227011;B-1064548;MP-CIND-POV.DA CHAPADA RURAL;OUROLÂNDIA;EUDÁRIO/ JOSÉ MIZAEL/ JAIRO/ JOSÉ ROBERTO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;22/10/2025;27/10/2025;8/11/2025;;2025-143197;2025-143200;"2025-134721
2025-144089";"12/11/2025
27/11/2025";APROVADO;1040845;E899583 AO E899590;1;20;20;19;1;;;10/11/2025;14/11/2025;10/11/2025;27/11/2025;27/11/2025;;R036651;-10,681019;-4.128.662;;;;;;;LV ENCABECAR REDE MT NO POSTE  R036651 / DESLIGAMENTO;;JACOBINA;2025-11-01;1064548;Consolidado;N/A
9102310727;B-1214685;ER-CIND-POV-ALCAPAO-RURAL;OUROLÂNDIA;EUDÁRIO// JAIRO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;22/10/2025;06/11/2025;10/11/2025;;;;2025-140707;19/11/2025;APROVADO;1040846;E899633 AO E899645;1;23;23;23;0;;;17/11/2025;21/11/2025;17/11/2025;20/11/2025;;;B496110;-10,786439;-41,311597;;;;;;;PES DE SUBSTITIUÇÃO POSTE BT POR MT DESLIGAMENTO;REALIZADO PRÉ VISTORIA;JACOBINA;2025-11-01;1214685;Consolidado;N/A
9102335750;B-1221766;ER-CIND-FAZ-SAO MAURICIO-RURAL;OUROLÂNDIA;EUDÁRIO/ JOSÉ MIZAEL/ JAIRO/ JOSÉ ROBERTO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;14/10/2025;06/11/2025;10/11/2025;;;;"2025-137338
2025-143224";"14/11/2025
25/11/2025";APROVADO;;E878568;1;1;;1;0;;;14/11/2025;26/11/2025;14/11/2025;18/11/2025;;;B667186;-10,681203;-41,281684;;;;;;;2 DESLIGAMENTO;;JACOBINA;2025-11-01;1221766;Consolidado;N/A
9102336239;B-1221838;ER-CIND-POV-GITIRANA-RURAL;OUROLÂNDIA;EUDÁRIO/OLISVALDO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;14/10/2025;27/10/2025;04/11/2025;;;;;;;;E878519 AO E878536;1;18;18;18;0;;;03/11/2025;07/11/2025;03/11/2025;06/11/25;06/11/2025;;D088372;-10,884503;-41,225721;;;;;;;PES LV E ENERGIZAÇÃO;REALIZADO PRÉ VISTORIA;JACOBINA;2025-11-01;1221838;Consolidado;N/A
9102150682;B-1196986;RR-CIND-FAZ-GAFIEIRA-RURAL;PIRITIBA;JOAOZITO/ ANTÔNIO/ ALESSANDRO;ENERGIZADA;ANDERSON;NAILTON SANTANA;PLANO 7;QLP;NÃO;22/10/2025;29/10/2025;04/11/2025;;2025-143228;;;;;1040856;E899683 AO E899708;1;27;5;27;0;;;04/11/2025;15/11/2025;04/11/2025;20/11/2025;;;D098619;-11,831854;-40,611866;;;;;;;PES DE LV E PES DE ENERGIZAÇÃO DE OBRA;;JACOBINA;2025-11-01;1196986;Consolidado;N/A
9101734073;B-1033157;MP-CCOL-POV-INGAZEIRA-RURAL;TAPIRAMUTÁ;JOAOZITO/ ANTÔNIO/ ALESSANDRO;MIGRADA PARA DEZEMBRO;ANDERSON;NAILTON SANTANA;PLANO 7;JUDICIAL;NÃO;;;;;;2025-124629;;;;;;2;65;;;65;;;10/11/2025;29/11/2025;;;;;;-11,898634;-40,801908;;;;;;;;;JACOBINA;2025-11-01;1033157;Consolidado;N/A
9102242064;B-1207984;RR-CIND-POV-VOLTA GRANDE-RURAL;TAPIRAMUTÁ;JOAOZITO/ ANTÔNIO/ ALESSANDRO;ENERGIZADA;ANDERSON;NAILTON SANTANA;PLANO 7;QLP;NÃO;23/10/2025;07/11/2025;11/11/2025;;;;;???;;1040857;E899733 AO E899760;1;31;29;31;0;;;04/11/2025;20/11/2025;17/11/2025;26/11/25;;;E444822;-11,904483;-40,9332;;;;;;;PES DE TRANSFERENCIA CABO BT E SUBSTITUIÇÃO DE POSTE BT POR AT /  E LV encabecar rede MT N3 PRA N4 ENERGIZAÇÃO;FALTA PODA;JACOBINA;2025-11-01;1207984;Consolidado;N/A
9102330414;B-1225203;ER-CIND-FAZ-OVELHA AMARRADA 1095-RURAL;VÁRZEA DA ROÇA;ALESSANDRO;ENERGIZADA;ANDERSON;MANOEL CONCEICAO;PLANO 7;QLP;NÃO;14/10/2025;22/10/2025;04/11/2025;;;2025-132933;;;;;E878570 AO E878575;1;6;6;6;0;;;03/11/2025;06/11/2025;03/11/2025;08/11/2025;08/11/2025;;L439361;-11,5893246;-40,08127;;;;;;;PES DE EXTENSÃO DE REDE BT;;JACOBINA;2025-11-01;1225203;Consolidado;N/A
9102326343;B-1225194;ER-CIND-POV-GASPAR-RURAL;VÁRZEA NOVA;EUDÁRIO/ JAIRO/ JOSÉ MIZAEL;ENERGIZADA;EDLECIO;RICARDO BRITO;PLANO 7;QLP;NÃO;14/10/2025;06/11/2025;10/11/2025;;;2025-143238;;;;;E878632 AO E878642;1;11;11;;11;;;20/11/2025;28/11/2025;;28/11/2025;;;D036077;-11,1451255;-41,1070286;;;;;;;PES LV E ENERGIZAÇÃO;FALTA CABO 1X25 520MTS E TRAFO;JACOBINA;2025-11-01;1225194;Consolidado;N/A
9102313067;B-1212044;ER-CIND-RUA-BEIRA RIO-LAGE DE BAIXO;CAMPO FORMOSO;JAIRO;ENERGIZADA;EDLECIO;HIAGO SANTANA;PLANO 7;;NÃO;17/10/2025;21/10/2025;05/11/2025;;2025-140512;;;;;;E878545 AO E878547;1;3;3;3;0;;;06/11/2025;11/11/2025;05/11/2025;05/11/2025;05/11/2025;;Q026014;-10,184515;-40,958895;;;;;;;;;JACOBINA;2025-11-01;1212044;Consolidado;N/A
9102325410;B-1225530;MP-CIND-FAZ-GRUNA-RURAL;UMBURANAS;JAIRO/ EUDÁRIO/ JOSÉ MIZAEL;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;27/10/2025;07/11/2025;10/11/2025;;2025-143245;2025-143246;;;;1040867;E899783 AO E899817;1;37;37;37;0;;;10/11/2025;28/11/2025;;28/11/2025;;;D03001/R071280;-10.647.241;-41.41667;;;;;;;PES DE LINHA VIVA E PES DE SUBSTITIUÇÃO DE POSTE BT POR AT;FALTA TRAFO;JACOBINA;2025-11-01;1225530;Consolidado;N/A
9102351090;B-1229707;UB-CIND-RUA-RECREIO-COQUEIRO;MAIRI;ALESSANDRO;ENERGIZADA;ANDERSON;MANOEL CONCEICAO;PLANO 7;QLP;NÃO;27/10/2025;03/11/2025;06/11/2025;;2025-143248;;2025-135570;12/11/2025;;;E899591 AO E899598;1;15;15;15;0;;;03/11/2025;12/11/2025;03/11/2025;17/11/2025;;;D337663;-11,712726;-40,1562691;;;;;;;PES DESLIG.:ABRIR CHAVE DO TRAFO W11507 PARA POSSIBILITAR A SUBSTITUIÇÃO DOS POSTES DO PG D531302 AO D699534, D699534 AO D715418 E ENERGIZAR OBRA.;;JACOBINA;2025-11-01;1229707;Consolidado;N/A
