NOTA;PROJETO;TÍTULO;;STATUS;ENCARREGADO;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG'S;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNP;AVNR;INCIO;FIM;DATA ENERG REAL;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;VALOR SERVIÇO;SERV. X % AVNP;TICKET MÉDIO;% VLR SERV / VLR PROJETO;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;DIAS PREVISTOS;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9101971862;B-1112161;UB-CIND-AV-ALVINO RODRIGUES-CENTRO-MOD;OUROLÂNDIA;ENERGIZADA;ELIEZER;GABRIEL;RICARDO SANTOS;7.1.1.3;GOVERNO;21/03/25;21/03/25;;2025-31453;2025-31469;;;;;E732663 AO E732675;1;13;13;13;0;100,00%;0%;01/04/25;08/04/25;16/04/2025;PES 31469 /OC 41592;R024994;-10.959489;-41.072239;R$ 218.530,78;R$ 33.300,00;R$ 33.300,00;R$ 33.300,00;15%;;;LV - INTERCALAR POSTE COM N43 EM BAIXO DA REDE EXISTENTE ENTRE O POSTE R024994 E O POSTE 155447 E ENERGIZAR A OBRA. PES ENCABELÇAMENTO - FECHAR CAHEVE NOVA INSTALADA NO PG NOVO E ENERGIZAR A OBRA;3;JACOBINA;2025-04-01;1112161;Consolidado;N/A
9102004559;B-1123135;MP-CCOL-FAZ.MELANCIAS-RURAL;OUROLÂNDIA;ENERGIZADA;ELIEZER;GABRIEL;RICARDO SANTOS;14.4.12.1;AIC OBJETIVO;24/03/25;25/03/25;;2025-31657;2025-31671;;;;1022930;E742913 ao E742936;3;24;23;23;1;100,00%;4%;03/04/25;08/04/25;29/04/2025;PES 48504 / OC 75580;D162479;-10.905619;-41.120740;R$ 199.416,78;R$ 49.950,00;R$ 49.950,00;R$ 49.950,00;25%;;;LV - INSTALAR N3 NO PG D162479, EXTENDER REDE NOVA MT E ENERGIZAR A OBRA. ENCABEÇAMENTO - FECHAR CHAVE NOVA INSTALADA NO PG NOVO E ENERGIZAR A OBRA.;5;JACOBINA;2025-04-01;1123135;Consolidado;N/A
9100623386;B-0702792;ER-CCOL-FAZ CACHOEIRA-LAGOA DA ONÇA-PRB;PIRITIBA;OBRA JÁ EM EXECUÇÃO PEÇA DINAMO;JOSÉ MISAEL;GABRIEL;NAILTON;14.7.2003;NOVOS QUESTIONAMENTOS ANEEL;27/03/25;27/03/25;;2025-31696;2025-33988;;;;1023156;E745909 ao  E745947;5;;;;;100,00%;0%;10/04/25;23/04/25;;;L432121;-11.622129;-40.525819;R$ 187.905,94;R$ 0,00;;;;;;PES LV - TRANSFORMAR N3 EM N4 NO PG L432153. PES DE ENCABEÇ - TRANSFERIR REDE BT NO TRECHO ENTRE OS PGS L432153 E D929728 PARA OS PGS NOVOS AT INSTALADOS.;16;JACOBINA;2025-04-01;0702792;Consolidado;N/A
9101634025;B-1063440;MP CIND SITIO BELO CAMPO RURAL;PIRITIBA;OBRA CANCELADA, JÁ ATENDIDA PELO PROJETO Y-0707543;JOSÉ MISAEL;GABRIEL;NAILTON;14.7.2003;AIC OBJETIVO;;;;2025-31777;2025-31852;;;;;E732676 AO E734665;2;;;;;100,00%;0%;24/04/25;26/04/25;;;R210947;-11.719836;-40.755421;R$ 92.699,04;R$ 0,00;;;;;;PES LV - INTERCALAR POSTE COM N4-3 ENTRE OS PGS R210947 E R210948, EXTENDER REDE MT E ENERGIZAR A OBRA. PES ENCABEÇ. - FECHAR A CHAVE NOVA INSTALADA NO PG NOVO, E ENERGIZAR A OBRA.;3;JACOBINA;2025-04-01;1063440;Consolidado;N/A
9101812469;B-1057380;MP-CCOL-SI-RANCHO ALEGRE-PORTO FELIZ-RUR;PIRITIBA;ENERGIZADA;JOSÉ MISAEL;GABRIEL;NAILTON;7.1.2.3;AIC OBJETIVO;04/02/25;02/04/25;;2025-46726;2025-31863;;;;1022931;E742937ao E742948;2;12;13;13;-1;100,00%;-8%;28/04/25;4/30/2025;29/04/2025;PES 46726 / OC 75227;D685779;-11.77182;-40.722900;R$ 142.547,86;R$ 23.400,00;R$ 23.400,00;-R$ 23.400,00;16%;;;PES LV - INTERCALAR POSTE COM N4-3 ENTRE OS PGS D685779 E O D685780, EXTENDER REDE MT E ENERGIZAR A OBRA. PES ENCAB.- FECHAR A CHAVE NOVA INSTALADA O PG NOVO E ENERGIZAR A OBRA.;3;JACOBINA;2025-04-01;1057380;Consolidado;N/A
9102142021;B-1167501;UB-CIND-RUA-DO COLEGIO 16-CENTRO;TAPIRAMUTÁ;ENERGIZADA;JOSÉ MISAEL;GABRIEL;NAILTON;7.1.2.3;PRIORIDADE PLANO ANEEL;25/03/25;25/03/25;;;2025-31886;;;;;E734667;1;1;1;1;1;100,00%;100%;05/04/25;4/5/2025;04/04/2025;PES 31886 / OC 9158;D921807;-11.855613;-40.784243;R$ 9.630,70;R$ 1.695,00;R$ 1.695,00;R$ 1.695,00;18%;;;PES ENCAB. ENCABEÇAR REDE BT NOVA NO PG EXISTENTE E273910 E ENERGIZAR A OBRA;1;JACOBINA;2025-04-01;1167501;Consolidado;N/A
9102139157;B-1168718;ER-CIND-POV-PINDOBEIRA 165-PINDOBEIRA;TAPIRAMUTÁ;ENERGIZADA;JOSÉ MISAEL;GABRIEL;NAILTON;7.1.2.3;LPT;24/03/25;24/03/25;;;2025-31904;;;;;E734668 ao E734674;1;7;7;7;7;100,00%;100%;02/04/25;4/4/2025;03/04/2025;PES 31904 / OC 7808;D174746;-11.772438;-40.756661;R$ 39.584,47;R$ 11.300,00;R$ 11.300,00;R$ 1.614,29;29%;;;PES ENCABEÇ - ENCABEÇAR REDE BT NOVA NO PG EXISTENTE D174746;2;JACOBINA;2025-04-01;1168718;Consolidado;N/A
9101977642;B-1114109;AL GRUA AG SERRA RURAL;MUNDO NOVO;MIGRADA;HEMORGENES/JOÃOZITO;GABRIEL;NAILTON;PLANO 7;TRANSGRESSÃO;20/03/25;20/03/25;;;2025-49329;CRIAR;AGUARDAR;DEFINIR;1019600/2025;E719592 ao E719768;0;62;;;62;100,00%;0%;06/04/25;30/04/25;;;D262172;-11.851556;-40.481278;R$ 2.996.234,13;R$ 123.370,00;R$ 123.370,00;R$ 1.989,84;4%;;;;22;JACOBINA;2025-04-01;1114109;Consolidado;N/A
9102042888;B-1146078;MP CIND RUA DO POÇO RURAL;UMBURANAS;;LUCIANO / ELIEZER;GABRIEL;RICARDO SANTOS;PLANO 7;;27/03/25;27/03/25;;2025-31930;01: 2025-31925 02:2025-31936;;;;1023164;E734675 ao E734676/E745956 ao E746010;11;57;;;57;100,00%;0%;09/04/25;30/04/25;;;D174027;-10.451263;-41.2045201;R$ 533.205,29;R$ 117.062,00;R$ 117.062,00;R$ 2.053,72;22%;;;;22;JACOBINA;2025-04-01;1146078;Consolidado;N/A
9102089498;B-1156133;MP CIND POV PANELINHA RURAL;CAMPO FORMOSO;MIGRADA;ANTONIO;EDILECIO;DIORLAN;PLANO 7;REPUTACIONAL;16/03/25;17/03/25;;2025-31569;2025-29194;;;;1021926;E734571 ao E734621;5;57;;;57;100,00%;0%;27/03/25;17/04/25;;;E279783;-10.312722;-40.510141;R$ 499.023,93;R$ 108.231,00;R$ 108.231,00;R$ 1.898,79;22%;;;;22;JACOBINA;2025-04-01;1156133;Consolidado;N/A
