PROJETO;TITULO;MUNICIPIO;PSTP;PST EXEC;ENCARREGADO;STATUS;LV;RESUMO;RESUMO LV;PLANO;Nº PES;DATA DESL;PES DESLIG;CRITERIO;CAVR;CAVD;CLIET.;AVANÇO;CART.;V. PROJETO;V. REAL;PV. INÍCIO;PV. FIM;ENERGIZAÇÃO;SUPERVISOR;AR;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1198161;ER-CCOL-FAZ-QUIXABEIRA-RURAL;ITIÚBA;1;1;ISRAEL;Energizada;;BT;;PLANO 7;97478(BT);;;GOVERNO;;;1;100%;;R$ 7.643,61;;06/08/2025;07/08/2025;01/08/2025;JOÃO;;06/08/2025;;;;;;D401973;-10,5473803;-39,8069426;SENHOR DO BONFIM;2025-08-01;1198161;Consolidado;N/A
B-1215852;UB-CIND-RUA-DA ENTRADA-CENTRO ANDORINHA;ANDORINHAS;1;1;REGINALDO;Energizada;Realizado;LV + DESL;1 N1-3;PLANO 7;100595 (LV);27 95157 95181;;;;;;100%;;R$ 37.457,04;;06/08/2025;09/08/2025;01/08/2025;JOÃO;;25/08/2025;;FALSE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-08-01;1215852;Consolidado;N/A
B-1214384;ME-COEL-CO-BOSQUE DAS MANGUEIRAS-CENTRO;CAMPO FORMOSO;1;1;EDVALDO;Energizada;Realizado;LV;1 N1 + CAP;PLANO 8;;;;AL/MELHORAMENTO;;;0;100%;;R$ 29.696,14;;06/08/2025;09/08/2025;01/08/2025;JOÃO;;06/08/2025;;;;;;D271667;-10,5388285;-40,3958004;SENHOR DO BONFIM;2025-08-01;1214384;Consolidado;N/A
B-1192007;ER-CIND-FAZ-RIACHAO-RIACHO DOS BOIS;QUEIMADAS;1;1;ANAILTON;Energizada;Realizado;LV + BT;1 N1;PLANO 7;94170(LV);;;RECLAMAÇÃO;;;1;100%;;R$ 8.814,01;;04/08/2025;15/08/2025;01/08/2025;DICSON;;04/08/2025;;TRUE;;;;D228474;-10,9041745;-39,5975937;SENHOR DO BONFIM;2025-08-01;1192007;Consolidado;N/A
B-1199714;IE-RELIGADOR-JAC-09Z3-Q097526;CANSANÇÃO;1;;JEFFERSON;Em execução;Pendente;LV;1 RELIG;PLANO 8;94576(LV);;;AL/MELHORAMENTO;;;0;100%;;R$ 131.264,76;;22/08/2025;22/08/2025;;DICSON;;18/08/2025;;;;;;Q090197;-10,6667636;-39,5065648;SENHOR DO BONFIM;2025-08-01;1199714;Consolidado;N/A
1188374;ER-CIND-POV-LAGOA DA ROCA-LAGOA DA ROCA;CAMPO FORMOSO;0;0;EDVALDO;Energizada;;;;;;;;OBRA ZERO POSTE;;;1;100%;;R$ 2.466,42;;01/08/2025;30/08/0205;01/08/2025;JOÃO;;;;FALSE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-08-01;1188374;Consolidado;N/A
1202020;ER-CIND-FAZ-GATO-RURAL;ITIUBA;0;0;REGINALDO;Energizada;;;;;;;;OBRA ZERO POSTE;;;1;100%;;R$ 1.449,89;;01/08/2025;30/08/0205;01/08/2025;JOÃO;;;;FALSE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-08-01;1202020;Consolidado;N/A
1174584;ER-CIND-POV-CARRAPATO-RURAL;ITIUBA;0;0;REGINALDO;Energizada;;;;;;;;OBRA ZERO POSTE;;;1;100%;;R$ 1.449,89;;01/08/2025;30/08/0205;01/08/2025;JOÃO;;;;FALSE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-08-01;1174584;Consolidado;N/A
B-1172820;ER-CIND-POV-TAPUIA 942-RURAL;SENHOR DO BONFIM;0;0;EDVALDO;Energizada;Realizado;LV +  ENERGZ;TRF;PLANO 7;90937(LV) 92853(BT);;;RECLAMAÇÃO;;;1;100%;;R$ 14.670,89;;02/08/2025;04/08/2025;01/08/2025;JOÃO;;02/08/2025;;;;;;Q044197;-10,3663569;-40,0748063;SENHOR DO BONFIM;2025-08-01;1172820;Consolidado;N/A
B-1127991;ER-CIND-POV-DERROTA 1010-RURAL;PONTO NOVO;0;0;GESONI;Energizada;Realizado;LV + ENERGZ;TRF;PLANO 14;90932(LV) 92085(BT);;;RECLAMAÇÃO;;;1;100%;;R$ 13.361,61;;04/08/2025;08/08/2025;01/08/2025;JOÃO;;01/08/2025;;TRUE;;;;D184986;-10,9242311;-40,1475487;SENHOR DO BONFIM;2025-08-01;1127991;Consolidado;N/A
B-1196953;AC-CIND-RUA-DO CAMPO-CENTRO;FILADÉLFIA;0;1;GESONI;Energizada;;DESL;;PLANO 7;92069(LV);19 90721;;RECLAMAÇÃO;;;0;100%;;R$ 5.302,40;;14/08/2025;14/08/2025;01/08/2025;JOÃO;;18/08/2025;;;;;;D700717;-10,7516911;-40,1229423;SENHOR DO BONFIM;2025-08-01;1196953;Consolidado;N/A
B-1183168;RR-CIND-POV-LAGOA DA PEDRA-RURAL MONTE S;MONTE SANTO;0;;OSMAR;Cancelada;Pendente;LV + BT + ENERGZ;N3/4;PLANO 14;;;;PRIORIDADE PLANO ANEEL;;;2;100%;;R$ 159.373,98;;18/08/2025;30/08/2025;;DICSON;;;;;;;;D939343;-10,4075682;-39,1767321;SENHOR DO BONFIM;2025-08-01;1183168;Descartado;Status Excluído (STATUS)
B-1194252;RS-AL 2-COEL-SE NORDESTINA II     subt;NORDESTINA;0;0;ALDAIR;Energizada;;SE;;PLANO 1;;;;AL/MELHORAMENTO;;;0;100%;;R$ 390.193,62;;01/08/2025;30/08/2025;01/08/2025;DICSON;;;;FALSE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-08-01;1194252;Consolidado;N/A
