CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;LINK MAPS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
QLP;9102126239;1161975;ER CIND SITIO NOVO RURAL;UAUÁ;;LV;;RETIRADA;1;2;;;;;PLANO 7;100%;R$ 32.184,30;R$ 8.046,08;;;MAURICIO GERALDO;EDIE JONNES;CARLOS EDUARDO;-10,0722696;-39,563685;https://maps.app.goo.gl/bvEzYQWafn7dg8AN7;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1161975;Descartado;Status Excluído (STATUS, STATUS 1)
SOLICITAÇÃO ATENDIMENTO;9102099889;1183243;AC-GRUA - FAZ. MASSAYO - RURAL;JUAZEIRO;;DL;28/02;CANCELADA;0;2;;;;;;100%;R$ 48.263,35;R$ 62.192,27;03/02/2025;28/02/2025;MANUTENÇÃO;ANDERSON / EDIE JONNES;VICTOR COSTA;-9,457915;-40,4390327;;;;;;;1020118/APROVADA;E725953;E725954;JUAZEIRO;2025-02-01;1183243;Descartado;Status Excluído (STATUS, STATUS 1)
AIC OBJETIVO;9102089657;1146819;NT-RECOND-MND-01N3-Q028290 -Q028297;CASA NOVA;;MIGRAR;;NÃO INICIADA;0;2;;;;;PLANO 8;100%;R$ 221.908,41;R$ 55.477,10;15/02/2025;28/02/2025;;PAULO JUNIOR;DIEGO;-9,3531261;-40,8462015;https://maps.app.goo.gl/eSJfeLhTy1bFg16h8;fev.-25;FALSE;;FALSE;FALSE;1019155/APROVADA;E752880;E755881;JUAZEIRO;2025-02-01;1146819;Consolidado;N/A
QLP;9102134938;1171528;ER-CIND-SI-FERNANDO BENEVIDES 8-RURAL;CASA NOVA;;LM;;RETIRADA;2;2;;;;;PLANO 7;100%;R$ 14.698,40;R$ 3.674,60;;;;PAULO JUNIOR;DIEGO;-9,1576681;-41,0152376;https://maps.app.goo.gl/vJtQDTzv2wpc7KGPA;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1171528;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102125755;1162925;ER-CIND-POV-PINHOES-RURAL;JUAZEIRO;;LV+LM;;RETIRADA;2;2;;;;;PLANO 7;100%;R$ 26.412,06;R$ 6.603,02;;;CARLOS / PAULO;;VICTOR;-9,5703319;-39,9111348;https://maps.app.goo.gl/BA2mUM4yaYW7NPwx6;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1162925;Descartado;Status Excluído (STATUS, STATUS 1)
SOLICITAÇÃO ATENDIMENTO;9102093083;1148458;IS-COEL-AV-AGUAS BELAS-MALHADA DA AREIA;JUAZEIRO;;LM;OBRA JA EXECUTADA;CANCELADA;1;2;;;;;PLANO 8;100%;R$ 10.051,45;R$ 2.512,86;;;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,4421728;-40,5041418;https://maps.app.goo.gl/JwAJL1DjUBuNwKTH7;fev.-25;FALSE;;FALSE;FALSE;1019625;;;JUAZEIRO;2025-02-01;1148458;Descartado;Status Excluído (STATUS, STATUS 1)
GOVERNO;9102157612;1172946;IE-REGULADOR-RMN-09X1-Q076477;PILÃO ARCADO;;MIGRAR;;NÃO INICIADA;0;2;;;;;PLANO 8;100%;R$ 189.769,75;R$ 47.442,44;15/03/2025;28/02/2025;;PAULO JUNIOR;DIEGO;;;;fev.-26;FALSE;;FALSE;FALSE;1020107/APROVADA;E725932;E725933;JUAZEIRO;2025-02-01;1172946;Consolidado;N/A
QLP;9101693797;1003084;IT-CIND-FAZ-JURITI-RURAL;CURAÇÁ;;LV;;CONCLUIDA;0;1;;;;;PLANO 7;100%;R$ 6.396,29;R$ 1.918,89;03/02/2025;12/02/2024;EMERSON;EMERSON;CARLOS EDUARDO;-9,0490943;-39,9517277;;;;;;;APROVADA;E681678;E681679;JUAZEIRO;2025-02-01;1003084;Consolidado;N/A
QLP;9102104328;1157410;ER-CIND-POV-JUNCO 7 SN-JUNCO;SENTO SÉ;;Pes 16576 / oc 45736 - 18/02;;CONCLUIDA;1;1;;;;;PLANO 7;100%;R$ 19.704,12;R$ 4.926,03;17/02/2025;20/02/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-10,3059369;-41,8705767;https://maps.app.goo.gl/zBVnwMFp9QzjqoZD8;fev.-25;FALSE;;FALSE;FALSE;1020108;E725934;E725934;JUAZEIRO;2025-02-01;1157410;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102149066;1171279;RR-CIND-POV-RODEADOURO 300-RURAL;JUAZEIRO;19/02;LV;;CONCLUIDA;1;1;;;;;PLANO 7;100%;R$ 9.025,18;R$ 2.256,30;19/02/2025;22/02/2025;ANDERSON/MANUTENÇÃO;ANDERSON/MANUTENÇÃO;VICTOR;-9,4839376;-40,5803548;https://maps.app.goo.gl/TPkqdAZG25Kxxp9A8;fev.-25;FALSE;;FALSE;FALSE;1019620/APROVADA;E725928;E725928;JUAZEIRO;2025-02-01;1171279;Consolidado;N/A
