CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;LINK MAPS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
REPUTACIONAL;9002801571;237059;MP-CCOL-POV DESTERRO-CAIÇARA-RURAL;CASA NOVA;;AVANÇO;;NÃO INICIADA;66;733;;;;;PLANO 14;60%;R$ 4.373.226,44;R$ 1.093.306,61;01/02/2025;31/03/2025;JORGE;JORGE;DIEGO;;;;fev.-25;FALSE;;FALSE;FALSE;APROVADA;E680195;E680939;JUAZEIRO;2025-02-01;0237059;Consolidado;N/A
NOVOS QUESTIONAMENTOS ANEEL;9101575275;1040604;MP-CCOL-POV DESENGANO-RURAL;SENTO SÉ;;AVANÇO;;NÃO INICIADA;32;278;;;;;PLANO 14;20%;R$ 2.756.104,87;R$ 689.026,22;17/02/2025;30/03/2025;EMERSON;EMERSON;SANDRO;-9,7533815;-41,8857659;https://maps.app.goo.gl/9EQsCG7L6GFLusNs6;fev.-25;FALSE;;FALSE;FALSE;1019161/APROVADA;E724391;E724668;JUAZEIRO;2025-02-01;1040604;Consolidado;N/A
REPUTACIONAL;9101940561;1093655;AL - GRUA - FAZ. BAIXA - RURAL;JUAZEIRO;SACADO;MIGRAR;;NÃO INICIADA;0;188;;;;;PLANO 7;100%;R$ 3.555.398,98;R$ 1.066.619,69;01/02/2025;22/02/2025;PAULO / CARLOS;SANTIAGO;VICTOR;-9,5502028;-40,5219799;;;;;;;APROVADA;E628933;E629122;JUAZEIRO;2025-02-01;1093655;Consolidado;N/A
ESTRATÉGICA;9101751200;1015820;IT-GOVE-RUA-QUADRA N 24-VILA S O JOAQUIM;SOBRADINHO;SACADO;;;CONCLUIDA;0;155;;;;;;100%;R$ 1.307.124,22;R$ 326.781,06;;;JUAREZ;SANTIAGO;SANDRO DUARTE;;;;;;;;;APROVADA;E612120;E612279;JUAZEIRO;2025-02-01;1015820;Consolidado;N/A
REPUTACIONAL;9102027642;1127953;MP-SEIN-FAZ-BOQUEIRAO 1800 --W-RURAL;CURAÇÁ;;ENTREGA;;CONCLUIDA;9;71;;;;;PLANO 14;100%;R$ 375.226,34;R$ 93.806,59;03/02/2025;28/02/2025;EMERSON;EMERSON;CARLOS EDUARDO;-8,9086063;-39,8259879;https://maps.app.goo.gl/pZ8zRr7EMRB6BJPS6;fev.-25;FALSE;;FALSE;FALSE;1016714/APROVADA;E710695;E710774;JUAZEIRO;2025-02-01;1127953;Consolidado;N/A
GOVERNO;9102125670;1159894;UB-CIND-RUA-JUAZEIRO-2;JUAZEIRO;;AVANÇO;;NÃO INICIADA;0;66;;;;;PLANO 7;50%;R$ 1.402.835,24;R$ 350.708,81;15/02/2025;31/05/2025;GISMARIO;EDIE JONNES;VICTOR;-9,46663;-40,4997943;https://maps.app.goo.gl/8jsdC8pjdtr6ARU38;fev.-25;FALSE;;FALSE;FALSE;1016645/APROVADA;E710264;E710333;JUAZEIRO;2025-02-01;1159894;Consolidado;N/A
ESTRATÉGICA;9101893156;1084183;RR-CCOL-RCL-POV-DE LAJES-LAJES;JUAZEIRO;;AVANÇO;;NÃO INICIADA;75;55;;;;;PLANO 7;50%;R$ 274.737,62;R$ 68.684,41;17/02/2025;31/03/2025;JUAREZ;EDIE JONNES;VICTOR;-9,4790867;-40,5060819;https://maps.app.goo.gl/BfMTiBAKX6n2Bryx9;fev.-25;FALSE;;FALSE;FALSE;1019173/APROVADA;E724694;E724750;JUAZEIRO;2025-02-01;1084183;Consolidado;N/A
AL/MELHORAMENTO;9101909684;1085090;AL-01V2-NOVA TOURÃO-CONSTRUÇÃO (ITEM 2);JUAZEIRO;;MIGRAR;25/02;NÃO INICIADA;0;41;;;;;PLANO 8;100%;R$ 717.378,39;R$ 179.344,60;01/02/2025;28/02/2025;IVONALDO;SANTIAGO;SANDRO;-9,436886049;-40,38081355;;fev.-25;FALSE;;FALSE;FALSE;1019622;;;JUAZEIRO;2025-02-01;1085090;Consolidado;N/A
QLP;9101827904;1045844;AC-CCOL-POV.ENTRONCAMENTO-REG.FV-RURAL;CASA NOVA;;ENTREGA 26/02;;CONCLUIDA;15;40;;;;;PLANO 7;100%;R$ 485.086,60;R$ 121.271,65;10/02/2025;25/02/2025;JORGE;JORGE;DIEGO;-9,29959;-41,1599821;https://maps.app.goo.gl/GB2TTVP97MzZ8D7s6;fev.-25;FALSE;;FALSE;FALSE;1016654/APROVADA;E710395;E710439;JUAZEIRO;2025-02-01;1045844;Consolidado;N/A
REPUTACIONAL;9102008167;1125306;RR-SEIN-RUA-JOSE CARLOS-PEDRA GRANDE;UAUÁ;SACADO;ENTREGA;;CONCLUIDA;1;38;;;;;PLANO 14;100%;R$ 192.848,09;R$ 48.212,02;13/02/2025;27/02/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;-9,919625;-39,542327;;;;;;;1016703/APROVADA;E710556;E710600;JUAZEIRO;2025-02-01;1125306;Consolidado;N/A
LPT;9101503225;984432;RR-CIND-POV-SAO MIGUEL-RURAL;CASA NOVA;;LV;;RETIRADA;1;35;;;;;PLANO 14;100%;R$ 210.818,71;R$ 52.704,68;;;;PAULO JUNIOR;DIEGO;-9,2419512;-41,4160863;https://maps.app.goo.gl/R3h9T6RAojyvqtiS6;fev.-25;FALSE;;FALSE;FALSE;1019178;;;JUAZEIRO;2025-02-01;0984432;Descartado;Status Excluído (STATUS, STATUS 1)
JUDICIAL;9101772675;1024582;ER CIND POV MALHADA DA AREIA RURAL;JUAZEIRO;;AVANÇO;;NÃO INICIADA;1;35;;;;;PLANO 14;50%;R$ 276.441,01;R$ 69.110,25;17/02/2025;27/02/2025;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,5731822;-40,1167404;https://maps.app.goo.gl/SHuPqzUnNvLDvTxt9;;;;;;1019631/APROVADA;E724751;E724785;JUAZEIRO;2025-02-01;1024582;Consolidado;N/A
JUDICIAL;9102145299;1173118;ER-CIND-FAZ-SERRA BRANCA-RURAL-SENTO SE;SENTO SÉ;;AVANÇO;;NÃO INICIADA;1;31;;;;;PLANO 14;50%;R$ 228.569,67;R$ 57.142,42;25/02/2025;31/03/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-10,550458;-41,847607;https://maps.app.goo.gl/6U9P9kH75TKuESsBA;;;;;;1019884;;;JUAZEIRO;2025-02-01;1173118;Consolidado;N/A
REPUTACIONAL;9101757730;1043511;MP-CCOL-POV-SANTA RITA-RURAL;CASA NOVA;SACADO;;;CONCLUIDA;2;30;;;;;PLANO 14;100%;R$ 369.654,25;R$ 92.413,56;;;;PAULO JUNIOR;DIEGO;-9,023164033;-40,92362632;;;;;;;1016656/APROVADA;E710440;E710474;JUAZEIRO;2025-02-01;1043511;Consolidado;N/A
AL/MELHORAMENTO;9101915080;1088197;AL - 01V5 - NOVA TOUR O - CONSTRU  O;JUAZEIRO;;MIGRAR;;NÃO INICIADA;0;27;;;;;PLANO 1;100%;R$ 321.516,58;R$ 80.379,15;01/02/2025;28/02/2025;IVONALDO;SANTIAGO;SANDRO;-9,436886049;-40,38081355;;;;;;;1017641/APROVADA;E711944;E711970;JUAZEIRO;2025-02-01;1088197;Consolidado;N/A
REPUTACIONAL;9101993671;1121713;ER-CIND-POV-ALTAO 600-PAPAGAIO;UAUÁ;17/02;ENTREGA;;CONCLUIDA;1;25;;;;;PLANO 14;100%;R$ 143.990,76;R$ 35.997,69;22/02/2025;26/02/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;-9,9232761;-39,4793267;https://maps.app.goo.gl/9ZFYMK2nmMiYAi9g9;fev.-25;FALSE;;FALSE;FALSE;1019196/APROVADA;E725719;E725743;JUAZEIRO;2025-02-01;1121713;Consolidado;N/A
REPUTACIONAL;9102030558;1122206;AL GRUA ROD BR 324 RURAL;REMANSO;;AVANÇO;;NÃO INICIADA;0;25;;;;;PLANO 7;50%;R$ 503.024,54;R$ 125.756,14;20/02/2025;31/03/2025;;PAULO JUNIOR;DEBORA;-9,6020105;-42,0841233;https://maps.app.goo.gl/A4T6HkdpGguU5Pe77;fev.-25;FALSE;;FALSE;FALSE;1019168/APROVADA;E724669;E724693;JUAZEIRO;2025-02-01;1122206;Consolidado;N/A
QLP;9102097507;1155600;LD CIND RUA DO POÇO VELHO RURAL;CASA NOVA;;OUROLANDIA;;RETIRADA;2;23;;;;;PLANO 7;100%;R$ 217.628,58;R$ 54.407,15;;;;PAULO JUNIOR;DIEGO;;;;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1155600;Descartado;Status Excluído (STATUS, STATUS 1)
RECLAMAÇÃO;9101900453;1090033;MP-CIND-RUA DANTA CATARINA BAZUCA-RURAL;SENTO SÉ;07/02;ENTREGA 25/02;;CONCLUIDA;1;22;;;;;PLANO 14;100%;R$ 211.069,41;R$ 52.767,35;01/02/2025;22/02/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-9,801903;-41,554951;;;;;;;APROVADA;E663478;E663505;JUAZEIRO;2025-02-01;1090033;Consolidado;N/A
AL/MELHORAMENTO;9101909683;1085504;AL - 01V1 - NOVA TOURÃO - CONSTRUÇÃO;JUAZEIRO;;MIGRAR;;NÃO INICIADA;0;19;;;;;PLANO 8;100%;R$ 609.832,67;R$ 152.458,17;01/02/2025;28/02/2025;IVONALDO;SANTIAGO;SANDRO;-9,436886049;-40,38081355;;;;;;;1017639;;;JUAZEIRO;2025-02-01;1085504;Consolidado;N/A
ESTRATÉGICA;9101963531;1106990;UB-COEL-RCL-AV-JORGE KHOURY-QUIDE;JUAZEIRO;13/02;ENTREGA;;NÃO INICIADA;45;17;;4;;;PLANO 7;100%;R$ 90.640,50;R$ 22.660,13;17/02/2025;22/02/2025;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,426099;-40,5204124;https://maps.app.goo.gl/uomEHKtg9E6ZFUmz5;fev.-25;FALSE;;FALSE;FALSE;DA PLANILHA;E710944;E711828;JUAZEIRO;2025-02-01;1106990;Consolidado;N/A
REPUTACIONAL;9102140320;1171632;ER-CIND-FAZ-BEIRA RIO-SANTA TEREZINHA;UAUÁ;SACADO;;;CONCLUIDA;2;16;;;;;PLANO 7;100%;R$ 96.099,88;R$ 24.024,97;03/02/2025;11/02/2025;MAURICIO GERALDO;EDIE JONNES;CARLOS EDUARDO;-10,021087;-39,258733;;;;;;;1017632/APROVADA;E711871;E711886;JUAZEIRO;2025-02-01;1171632;Consolidado;N/A
LPT;9102044194;1132153;ER-CIND-POV-LAGOA DO PEIXE 10-RURAL;CASA NOVA;;LM;;CONCLUIDA;1;13;;;;;PLANO 14;100%;R$ 44.761,47;R$ 11.190,37;03/02/2025;13/02/2025;;PAULO JUNIOR;DIEGO;-9,2369508;-41,1979035;https://maps.app.goo.gl/k5jGvDXPK87mFh5j8;fev.-25;FALSE;;FALSE;FALSE;1019872/APROVADA;E725755;E725767;JUAZEIRO;2025-02-01;1132153;Consolidado;N/A
LPT;9101731670;1041388;MP CIND POV. BARRA POÇO DA PEDRA RURAL;CASA NOVA;;LV;;RETIRADA;1;13;;;;;PLANO 14;100%;R$ 133.578,06;R$ 33.394,52;;;;PAULO JUNIOR;DIEGO;-9,0240293;-41,0531992;https://maps.app.goo.gl/dCorPDrwdeYZmy1H9;fev.-25;FALSE;;FALSE;FALSE;1019188;;;JUAZEIRO;2025-02-01;1041388;Descartado;Status Excluído (STATUS, STATUS 1)
LPT;9101867167;1062389;LD - CIND POV. LAGES VELHA - RURAL;REMANSO;;7970 / 46920 / 18/02;;CONCLUIDA;1;13;;;;;PLANO 14;100%;R$ 90.568,07;R$ 22.642,02;;;;PAULO JUNIOR;DIEGO;;;;fev.-28;FALSE;;FALSE;FALSE;854583/APROVADA;E180283;E180295;JUAZEIRO;2025-02-01;1062389;Consolidado;N/A
LPT;9101924775;1093845;LD-CIND-POV LIMOEIRO-RURAL;SENTO SÉ;;LV;;RETIRADA;1;12;;;;;PLANO 14;100%;R$ 167.005,37;R$ 41.751,34;;;FABIO / FERNANDO;;SANDRO;-10,0744655;-41,3705398;https://maps.app.goo.gl/d7yRWrc151o7qxSL6;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1093845;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102102966;1157357;RR-CIND-POV-POCO DE PEDRA-RURAL-CASA NOV;CASA NOVA;;LV+LM;;RETIRADA;1;12;;;;;PLANO 7;100%;R$ 89.399,76;R$ 22.349,94;;;;PAULO JUNIOR;DIEGO;-8,9763479;-41,0178819;https://maps.app.goo.gl/jVv4wkqWz2i3Zevz9;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1157357;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102124586;1161420;ER-CIND-FAZ-BRANDAO-RURAL;CURAÇÁ/UAUA;;LV+LM;;RETIRADA;1;12;;;;;PLANO 7;100%;R$ 75.221,06;R$ 18.805,27;;;MAURICIO GERALDO;EDIE JONNES;CARLOS EDUARDO;-9,7416471;-39,6509647;https://maps.app.goo.gl/dXiuoQ6LuEBv9GNB6;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1161420;Descartado;Status Excluído (STATUS, STATUS 1)
LPT;9102041735;1132752;ER-CIND-POV-OURICURI-RURAL;CASA NOVA;;19336 - 44195 - 17/02;;CONCLUIDA;1;11;;;;;PLANO 14;100%;R$ 89.659,07;R$ 22.414,77;01/02/2025;15/02/2025;;PAULO JUNIOR;DIEGO;-8,9619109;-41,3678994;https://maps.app.goo.gl/DkMdzjKfBqT8EhkV6;fev.-25;FALSE;;FALSE;FALSE;1019868/APROVADA;E725744;E725754;JUAZEIRO;2025-02-01;1132752;Consolidado;N/A
LPT;9101743901;1058016;MP-CIND POV-MARAVILHA-RURAL;REMANSO;;DL REALOCAR RD;;RETIRADA;1;11;;;;;PLANO 14;100%;R$ 94.874,50;R$ 23.718,63;;;;PAULO JUNIOR;DEBORA;-9,7565455;-42,5074212;https://maps.app.goo.gl/ZboThX527ADbx1Nq5;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1058016;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102070977;1157044;MP-CIND -POV-SERRA DA B VISTA -RURAL;JUAZEIRO;;LV;;RETIRADA;1;11;;;;;PLANO 7;100%;R$ 122.571,24;R$ 30.642,81;;;CARLOS / PAULO;;EDVALDO;-9,9115869;-40,3273726;https://maps.app.goo.gl/9XvnkqTSpd4TF8HVA;fev.-25;FALSE;;FALSE;FALSE;1019182;;;JUAZEIRO;2025-02-01;1157044;Descartado;Status Excluído (STATUS, STATUS 1)
LPT;9102039855;1135743;ER-CIND-FAZ-QUEIMADAS DOS LOIOLAS-RURAL;UAUÁ;;LV+LM;;RETIRADA;8;10;;;;;PLANO 14;100%;R$ 65.779,41;R$ 16.444,85;;;MAURICIO GERALDO;EDIE JONNES;CARLOS EDUARDO;-9,8115887;-39,4774961;https://maps.app.goo.gl/i8rA1gJwPdyR5xJF8;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1135743;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102139875;1173044;ER-CIND-POV-CAMPOS-CAMPOS;JUAZEIRO;;LM;;RETIRADA;1;10;;;;;PLANO 7;100%;R$ 48.513,48;R$ 12.128,37;;;CARLOS / PAULO;;CARLOS EDUARDO;-9,377967;-40,2530841;https://maps.app.goo.gl/nVYuQQiThEnbXyyW6;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1173044;Descartado;Status Excluído (STATUS, STATUS 1)
AL/MELHORAMENTO;9101909686;1085374;AL-01V3-NOVA TOURÃO-CONSTRUÇÃO ITEM 1, 2;JUAZEIRO;;MIGRAR;;NÃO INICIADA;0;10;;;;;PLANO 8;100%;R$ 491.175,01;R$ 122.793,75;01/02/2025;28/02/2025;IVONALDO;SANTIAGO;SANDRO;-9,436886049;-40,38081355;;fev.-25;FALSE;;FALSE;FALSE;1019623;;;JUAZEIRO;2025-02-01;1085374;Consolidado;N/A
LPT;9101205768;884168;MP-CCOL-POV SALGADINHA-RURAL;CASA NOVA;;LV+LM;;RETIRADA;1;9;;;;;PLANO 14;100%;R$ 48.586,56;R$ 12.146,64;;;;PAULO JUNIOR;DIEGO;-9,2064123;-40,8080123;https://maps.app.goo.gl/PogbnBzGx5Uc6ZeU8;fev.-25;FALSE;;FALSE;FALSE;1019191;;;JUAZEIRO;2025-02-01;0884168;Descartado;Status Excluído (STATUS, STATUS 1)
LPT;9100838148;728506;MP-CIND-SIT TANQUINHO DO ROMAO-RURAL;CASA NOVA;;;;RETIRADA;1;9;;;;;PLANO 14;100%;R$ 44.489,82;R$ 11.122,46;;;;PAULO JUNIOR;DIEGO;;;;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;0728506;Descartado;Status Excluído (STATUS, STATUS 1)
LPT;9101964733;1108281;ER-CIND-POV-PAUDARCO-MUQUEM;JUAZEIRO;SACADO;LM (ENCABEÇAR RD);;CONCLUIDA;1;8;;;;;PLANO 14;100%;R$ 24.317,68;R$ 6.079,42;01/02/2025;19/02/2025;MANUTENÇÃO;ANDERSON / EDIE JONNES;CARLOS EDUARDO;-9,287844172;-39,96277385;;;;;;;959519/APROVADA;E420795;E420803;JUAZEIRO;2025-02-01;1108281;Consolidado;N/A
LPT;9102014140;1123817;ER CIND POV POÇO DE DENTRO RURAL CRC;CURAÇÁ/UAUA;;;;RETIRADA;1;8;;;;;PLANO 14;100%;R$ 50.364,62;R$ 12.591,16;;;MAURICIO GERALDO;EDIE JONNES;CARLOS EDUARDO;-9,6221324;-39,7727407;https://maps.app.goo.gl/JKA2DkTTmJWLx4r58;;;;;;;;;JUAZEIRO;2025-02-01;1123817;Descartado;Status Excluído (STATUS, STATUS 1)
LPT;9101437623;945802;RR-CIND-FAZ JUREMAL-ITAPERA;SENTO SÉ;19/02;MIGRAR;;NÃO INICIADA;1;8;;;;;PLANO 14;100%;R$ 29.017,36;R$ 7.254,34;22/02/2025;26/02/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-9,755965;-41,9242724;https://maps.app.goo.gl/EVeVs3HVHQ8JbCov9;fev.-25;FALSE;;FALSE;FALSE;1019907;;;JUAZEIRO;2025-02-01;0945802;Consolidado;N/A
QLP;9102129602;1161606;ER-CIND-FAZ-POCINHO 70-RURAL;UAUÁ;;LV+LM;;RETIRADA;1;8;;;;;PLANO 7;100%;R$ 49.405,65;R$ 12.351,41;;;MAURICIO GERALDO;EDIE JONNES;CARLOS EDUARDO;-10,005654;-39,2632219;https://maps.app.goo.gl/8rhn3crv7qGbgMkd9;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1161606;Descartado;Status Excluído (STATUS, STATUS 1)
GOVERNO;9102104318;1157570;ER-CCOL-RUA-DO ASFALTO -PIRI - RURAL;SENTO SÉ;07/02 - POSTE;13335 - 43626 - 17/02;;CONCLUIDA;1;7;;;;;PLANO 7;100%;R$ 49.679,93;R$ 12.419,98;10/02/2025;15/02/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-9,7823852;-41,415294;https://maps.app.goo.gl/1vLk6aSopkkVaEvXA;fev.-25;FALSE;;FALSE;FALSE;DA PLANILHA;E688666;E688672;JUAZEIRO;2025-02-01;1157570;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102095232;1152297;RU-PREF-CA-DAS AVES-PARQUE UMBUZEIROS;UAUÁ;07/02;LV;;CONCLUIDA;1;7;;;;;PLANO 7;100%;R$ 52.216,95;R$ 13.054,24;10/02/2025;17/02/2025;MAURICIO GERALDO;EDIE JONNES;CARLOS EDUARDO;-9,836194;-39,48777;https://maps.app.goo.gl/PjHtQsMdRg15gwTh9;fev.-25;FALSE;;FALSE;FALSE;DA PLANILHA;E710936;E710942;JUAZEIRO;2025-02-01;1152297;Consolidado;N/A
LPT;9101872943;1074313;ER-CIND-POV-L  DO BARRO -BARRO DOS BAIOS;REMANSO;;LV;;RETIRADA;1;7;;;;;PLANO 14;100%;R$ 50.505,91;R$ 12.626,48;;;;PAULO JUNIOR;DEBORA;-9,5270265;-42,5103315;https://maps.app.goo.gl/RG6bEvrJToHFctnH6;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1074313;Descartado;Status Excluído (STATUS, STATUS 1)
LPT;9101982936;1117258;LD-CIND-POV DESENGANO-RURAL;SENTO SÉ;;ENTREGA;;CONCLUIDA;1;7;;;;;PLANO 14;100%;R$ 94.178,01;R$ 23.544,50;15/02/2025;28/02/2025;EMERSON;EMERSON;SANDRO;-9,8503651;-41,8163697;https://maps.app.goo.gl/oj27cqeS7QnxmAVb6;fev.-25;FALSE;;FALSE;FALSE;1019184/APROVADA;E725711;E725717;JUAZEIRO;2025-02-01;1117258;Consolidado;N/A
REPUTACIONAL;9102130864;1164126;ER-CIND-POV-ALTO MULUNGU-RURAL;SENTO SÉ;SACADO;;;CONCLUIDA;1;7;;;;;PLANO 7;100%;R$ 39.878,44;R$ 9.969,61;;;FABIO / FERNANDO;SANTIAGO;SANDRO;-9,7047012;-41,2933329;;;;;;;;;;JUAZEIRO;2025-02-01;1164126;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102138571;1166776;ER-CIND-POV-NOVO MARCOS-MARCOS;REMANSO;;ENTREGA;;CONCLUIDA;1;7;;;;;;100%;R$ 89.583,34;R$ 22.395,84;;;DOMINGOS;PAULO JUNIOR;DEBORA;-9,5633678;-42,0505186;https://maps.app.goo.gl/eKhXz3ySFBcsJmqT6;fev.-25;FALSE;;FALSE;FALSE;1020095/APROVADA;E725904;E725910;JUAZEIRO;2025-02-01;1166776;Consolidado;N/A
QLP;9102127351;1164987;UB-CIND-RUA 628 LOT HUMBERTO PEREIRA CEN;JUAZEIRO;12/02;DL REALOCAR RD;13/02;CONCLUIDA;6;6;;;;;PLANO 7;100%;R$ 88.864,72;R$ 22.216,18;05/02/2025;15/02/2025;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,460531;-40,5304727;https://maps.app.goo.gl/g1R2Gsz35qXNmnoj9;fev.-25;FALSE;;FALSE;FALSE;DA PLANILHA;E688646;E688651;JUAZEIRO;2025-02-01;1164987;Consolidado;N/A
LPT;9101886245;1077021;ER-CIND-FAZ-MACAMBIRA 52-RURAL;CURAÇÁ;;;;CONCLUIDA;1;6;;;;;PLANO 14;100%;R$ 20.555,43;R$ 5.138,86;;;EMERSON;EMERSON;CARLOS EDUARDO;-8,979004;-39,840509;https://maps.app.goo.gl/vrP748rXKPPBQ6Ea6;;;;;;;;;JUAZEIRO;2025-02-01;1077021;Consolidado;N/A
RECLAMAÇÃO REITERADA;9101982721;1122163;ER-CIND-POV-TOME 11-RURAL;JUAZEIRO;SACADO;;;CONCLUIDA;1;6;;;;;PLANO 14;100%;R$ 74.332,27;R$ 18.583,07;;;GISMARIO;EDIE JONNES;VICTOR;-9,433107;-40,284259;;;;;;;1016663/APROVADA;E710687;E710694;JUAZEIRO;2025-02-01;1122163;Consolidado;N/A
QLP;9102099917;1158859;ER-CIND-POV-RURAL-ESFOMEADO;CURAÇÁ/UAUA;;LV+LM;;RETIRADA;1;5;;;;;PLANO 7;100%;R$ 29.480,87;R$ 7.370,22;;;MAURICIO GERALDO;EDIE JONNES;CARLOS EDUARDO;-9,6597732;-39,8303821;https://maps.app.goo.gl/p94PbMpxyGEfqS5u9;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1158859;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102131257;1163416;ER CIND POV JUNCO SALITRE RURAL;JUAZEIRO;;LV+LM;;RETIRADA;1;5;;;;;PLANO 7;100%;R$ 52.884,17;R$ 13.221,04;;;CARLOS / PAULO;;VICTOR;-9,6748125;-40,6029115;https://maps.app.goo.gl/LjnP7TZ9WBrJPu8K7;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1163416;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102141835;1173393;ER-CIND-POV-S O DOMINGOS-RURAL;CURAÇÁ/UAUA;;LM;;RETIRADA;1;5;;;;;PLANO 7;100%;R$ 22.376,37;R$ 5.594,09;;;MAURICIO GERALDO;EDIE JONNES;CARLOS EDUARDO;-9,5295794;-39,7842152;https://maps.app.goo.gl/ZV8XgQmkBfNxdoku5;fev.-25;FALSE;;FALSE;FALSE;;;;JUAZEIRO;2025-02-01;1173393;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102151774;1177448;UB-CIND-RUA-E 35-URBANO;JUAZEIRO;07/02;;;CONCLUIDA;5;5;;;;;PLANO 7;100%;R$ 32.180,80;R$ 8.045,20;;07/08/2025;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,4596513;-40,5112049;;;;;;;DA PLANILHA;E688655;E688659;JUAZEIRO;2025-02-01;1177448;Consolidado;N/A
LPT;9101783582;1028355;ER-CIND-POV-SANTA BARBARA-RURAL;SOBRADINHO;;LV+LM;;RETIRADA;1;4;;;;;PLANO 14;100%;R$ 25.946,33;R$ 6.486,58;;;FABIO / FERNANDO;;SANDRO;-9,4641322;-40,8145123;https://maps.app.goo.gl/A99qyP9rqVY8aA868;fev.-25;FALSE;;FALSE;FALSE;1019185;;;JUAZEIRO;2025-02-01;1028355;Descartado;Status Excluído (STATUS, STATUS 1)
AL/MELHORAMENTO;9101909688;1085227;AL - 01V4 - NOVA TOURÃO - CONSTRUÇÃO;JUAZEIRO;;MIGRAR;;NÃO INICIADA;0;4;;;;;PLANO 8;100%;R$ 616.794,25;R$ 154.198,56;03/02/2025;28/02/2025;IVONALDO;SANTIAGO;SANDRO;-9,4307884;-40,3956456;https://maps.app.goo.gl/fKjeR4jXpmznhD6L6;fev.-25;FALSE;;FALSE;FALSE;1017645/APROVADA;E711971;E711972;JUAZEIRO;2025-02-01;1085227;Consolidado;N/A
AIC OBJETIVO;9102089651;1146682;NT-RECOND-RMN-09X1-Q076416-Q076429;PILÃO ARCADO;;MIGRAR;;NÃO INICIADA;0;4;;;;;PLANO 8;100%;R$ 473.229,74;R$ 118.307,44;15/02/2025;28/02/2025;;PAULO JUNIOR;DEBORA;-9,9609048;-42,4062434;https://maps.app.goo.gl/4Vv98j2JQceokfvD7;fev.-25;FALSE;;FALSE;FALSE;1019014/APROVADA;E725862;E725865;JUAZEIRO;2025-02-01;1146682;Consolidado;N/A
REPUTACIONAL;9102125688;1161869;ER-CIND-FAZ-MASSAYO -RURAL;JUAZEIRO;26/02;MIGRAR;;NÃO INICIADA;0;4;;;;;PLANO 7;100%;R$ 362.692,55;R$ 90.673,14;15/02/2025;28/02/2025;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,475;-40,428328;;;;;;;1020086/APROVADA;E725899;E725902;JUAZEIRO;2025-02-01;1161869;Consolidado;N/A
