CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;TITULO.1;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
SUBSÍDIO DE DEFESA;9101906957;1087208;LD CIND ROD BA 210 RURAL;SENTO SÉ;;APP;;;;;CONCLUIDA;;4;32;29;29;;;14.4.12.1;100%;R$ 244.575,89;;R$ 54.400,00;05/08/2025;20/08/2025;FABIO;RODRIGUES;SANDRO DUARTE;-9,8627895;-41,7991658;;DA PLANILHA;E819529;E819560;JUAZEIRO;2025-08-01;1087208;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102132923;1167478;ER-CIND-POV-CANAA 3-RURAL;SOBRADINHO;;APP;;;;;CONCLUIDA;;0;0;0;;;;7.1.2.3;100%;R$ 18.515,05;;R$ 0,00;05/08/2025;11/08/2025;PEDRO LINO;ANDERSON;SANDRO DUARTE;-9,5178207;-40,8168339;;0 POSTE;;;JUAZEIRO;2025-08-01;1167478;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102167799;1189286;AC-CIND-POV-ALGODAO VELHO-ALGODAO VELHO;SOBRADINHO;;;;;;;CONCLUIDA;;1;0;0;;;;7.1.2.3;100%;R$ 21.736,21;;R$ 0,00;25/08/2025;26/08/2025;PEDRO LINO;ANDERSON;SANDRO DUARTE;-9,4892458;-40,9372263;;0 POSTE;;;JUAZEIRO;2025-08-01;1189286;Consolidado;N/A
JUDICIAL;9102145299;1173118;ER-CIND-FAZ-SERRA BRANCA-RURAL-SENTO SE;SENTO SÉ;;;;;;;NÃO INICIADA;;1;31;;;;;14.4.12.1;50%;R$ 228.569,67;;R$ 52.700,00;25/08/2025;29/09/2025;JACSON;RODRIGUES;SANDRO DUARTE;-10,6688349;-41,7234453;;DA PLANILHA;E750989;E751019;JUAZEIRO;2025-08-01;1173118;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102243208;1203075;UB-CIND-RUA-05 QDA-VILA SAO JOAQUIM;SOBRADINHO;;APP;;;;;CONCLUIDA;;2;2;2;;;;7.1.1.3;100%;R$ 13.136,68;;R$ 3.400,00;04/08/2025;09/08/2025;JUAREZ;RODRIGUES;SANDRO DUARTE;-9,4707912;-40,7903158;;DA PLANILHA;E820185;E820186;JUAZEIRO;2025-08-01;1203075;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102145973;1180176;ER-CIND-FAZ-OURICURI-UAUA;UAUÁ;;;;;;;CONCLUIDA;;1;1;1;;;;7.1.2.3;100%;R$ 6.556,76;;R$ 1.700,00;15/08/2025;23/08/2025;MANUTENÇÃO;ANDERSON;CARLOS EDUARDO;-9,8461864;-39,6618246;;DA PLANILHA;E820317;E820317;JUAZEIRO;2025-08-01;1180176;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102211531;1193249;UB-CIND-RUA-S O PAULO 999-D-CENTRO;UAUÁ;;;;;;;CONCLUIDA;;1;1;1;;;;7.1.1.3;100%;R$ 7.357,54;;R$ 1.700,00;18/08/2025;23/08/2025;RUBEILTON;EDIE JONNES;CARLOS EDUARDO;-9,8368676;-39,4781102;;DA PLANILHA;E820323;E820323;JUAZEIRO;2025-08-01;1193249;Consolidado;N/A
JUDICIAL;9101664952;997469;ER-CIND-POV-ALMAS-ALEGRE;SENTO SÉ;;;;;;;NÃO INICIADA;;2;43;;;;;7.1.2.3;50%;R$ 431.856,15;;R$ 73.100,00;;;ESCAVAÇÃO;RODRIGUES;SANDRO DUARTE;-10,2638619;-41,3329393;;DA PLANILHA;E751020;E751062;JUAZEIRO;2025-08-01;0997469;Consolidado;N/A
REPUTACIONAL;9102139558;1162074;AC-CIND-FAZ-MASSAYO-RURAL;JUAZEIRO;;;;;;;RETIRADA;EM REVISÃO;0;65;;;;;7.1.2.3;100%;R$ 1.466.884,47;;R$ 110.500,00;;;;SANTIAGO;VICTOR COSTA;-9,4570754;-40,3571651;;DA PLANILHA;E819397;E819461;JUAZEIRO;2025-08-01;1162074;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
GOVERNO;9102125670;1159894;UB-CIND-RUA-JUAZEIRO-2;JUAZEIRO;;;;;;;NÃO INICIADA;;0;66;;;;;7.1.1.3;25%;R$ 1.460.659,08;;R$ 112.200,00;04/08/2025;29/11/2025;IVONALDO;SANTIAGO;VICTOR COSTA;-9,4665442;-40,4999899;;DA PLANILHA;E750526;E750585;JUAZEIRO;2025-08-01;1159894;Consolidado;N/A
REPUTACIONAL;9101949328;1103537;MP-CIND-FAZ-DOS LOIOLAS-RURAL;UAUÁ;;;;;;;CONCLUIDA;;1;23;23;;;;14.4.12.1;100%;R$ 287.020,10;;R$ 39.100,00;23/08/2025;29/08/2025;JUAREZ;EDIE JONNES;CARLOS EDUARDO;-10,1413335;-39,485266;;DA PLANILHA;E750731;E750753;JUAZEIRO;2025-08-01;1103537;Consolidado;N/A
GOVERNO;9102222606;1194918;ER-SEIN-FAZ-ALGODAO-ALGODAO;UAUÁ;;;;;;;CONCLUIDA;;0;31;32;;;;7.1.2.3;100%;R$ 223.935,04;;R$ 52.700,00;08/08/2025;19/08/2025;RUBEILTON;EDIE JONNES;CARLOS EDUARDO;-9,8305908;-39,25449;;DA PLANILHA;E820213;E820243;JUAZEIRO;2025-08-01;1194918;Consolidado;N/A
RECLAMAÇÃO;9102030324;1120926;MP CIND POV MANTEIGA RURAL MOD;REMANSO;;;;;;;NÃO INICIADA;;17;111;;;;;14.4.12.1;33%;R$ 1.228.147,83;;R$ 188.700,00;21/08/2025;30/09/2025;SILVONEY;PAULO JUNIOR;MARLOS PEREIRA;-9,5834495;-42,1018369;;DA PLANILHA;E778061;E778176;JUAZEIRO;2025-08-01;1120926;Consolidado;N/A
REPUTACIONAL;9102031594;1128536;MP-CCOL-POV-XIQUE XIQUE-RURAL;CASA NOVA;;;;;;;NÃO INICIADA;;17;166;;;;;14.4.12.1;40%;R$ 1.425.753,93;;R$ 282.200,00;18/08/2025;27/12/2025;FERNANDO;SANTIAGO;DIEGO CARVALHO;-9,6263923;-41,838502;;DA PLANILHA;E819709;E819874;JUAZEIRO;2025-08-01;1128536;Consolidado;N/A
;9102069137;1146087;MP-CCOL-FAZ.NOVA TAPUA-RURAL;REMANSO;;;;;;;EM EXECUÇÃO;;12;172;;;;;7.1.2.3;10%;R$ 1.518.885,35;;;;;;JORGE;;;;;DA PLANILHA;E750817;E750988;JUAZEIRO;2025-08-01;1146087;Consolidado;N/A
JUDICIAL;9102151543;1173964;RR-CIND-POV-SALINA GRANDE-RURAL;REMANSO;;JORGE;;;;;NÃO INICIADA;;36;227;;;;;14.4.12.1;50%;R$ 1.356.414,52;;R$ 385.900,00;;;JORGE;JORGE;MARLOS PEREIRA;0;0;;;;;JUAZEIRO;2025-08-01;1173964;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9101867742;1058100;AC-CIND-POV-PONTA DA SERRA-RURAL;REMANSO;;RUBEM;;;;;NÃO INICIADA;;59;380;;;;;7.1.2.3;40%;R$ 4.341.201,10;;R$ 646.000,00;;;RUBEM;RUBEM;MARLOS PEREIRA;-9,392305;-42,1929795;;DA PLANILHA;E774354;E774683;JUAZEIRO;2025-08-01;1058100;Consolidado;N/A
QLP;9101976713;1113834;AC-CIND ESCOLA MUN.DE BREJINHO-RURAL;PILÃO ARCADO;;APP;;;;;EM EXECUÇÃO;;65;416;;;;;7.1.2.3;75%;R$ 5.716.579,81;;R$ 707.200,00;;30/09/2025;AILTON / MAURICIO;PAULO JUNIOR;MARLOS PEREIRA;-9,9331343;-42,9012232;;DA PLANILHA;E799950;E800365;JUAZEIRO;2025-08-01;1113834;Consolidado;N/A
JUDICIAL;9100096585;515938;MP-CCOL-FAZ SERRA BRANCA E ARRED.-RURAL;REMANSO;;JORGE;;;;;NÃO INICIADA;;93;1392;;;;;14.4.12.1;100%;R$ 10.351.277,04;;R$ 2.366.400,00;;;JORGE;JORGE;MARLOS PEREIRA;0;0;;;;;JUAZEIRO;2025-08-01;0515938;Consolidado;N/A
AL/MELHORAMENTO;9101915087;1101887;IE 01V2 NOVA TOURÃO RURAL EQUIP  N61580;JUAZEIRO;;;;;;;EM EXECUÇÃO;;0;2;;2;;;PLANO 1;100%;;;R$ 3.400,00;;;IVONALDO;SANTIAGO;;;;;DA PLANILHA;E799863;E799864;JUAZEIRO;2025-08-01;1101887;Consolidado;N/A
GOVERNO;9102329124;1219676;ER-CIND-POV-SABIA II-RURAL;JUAZEIRO;;;OURO;;;;CONCLUIDA;26/08/2025;1;2;;;;;7.1.2.3;100%;R$ 15.190,27;;;01/09/2025;01/09/2025;MICHEL;MICHEL;VICTOR BARROS;#N/D;#N/D;;DA PLANILHA;E864175;E864176;JUAZEIRO;2025-08-01;1219676;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;2025-08-01;0000nan;Consolidado;N/A
