CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;TITULO.1;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
RECLAMAÇÃO;9102156669;1178531;UB-CIND-RUA-DA AREIA-PAU A PIQUE;CASA NOVA;;;;;;;CONCLUIDA;;1;1;1;;;;7.1.1.3;100%;R$ 35.607,56;;R$ 1.700,00;;;;PAULO JUNIOR;DIEGO CARVALHO;-9,6160048;-41,6163648;;DA PLANILHA;E750768;E750768;JUAZEIRO;2025-08-01;1178531;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102146718;1173795;RR CIND SI PASCACIO RURAL;CASA NOVA;;;;;;;CONCLUIDA;;1;3;2;;;;7.1.2.3;100%;R$ 52.531,45;;R$ 5.100,00;;;FERNANDO;SANTIAGO;DIEGO CARVALHO;-9,2749398;-41,1308252;;DA PLANILHA;E750765;E750767;JUAZEIRO;2025-08-01;1173795;Consolidado;N/A
GOVERNO;9002156455;224007;MP-CCOL-POV SANTANA DO SOBRADO -RURAL;CASA NOVA;;APP;;;;;CONCLUIDA;;3;27;26;;;;;100%;R$ 264.602,50;;R$ 45.900,00;01/08/2025;16/08/2025;FERNANDO;PAULO JUNIOR;DIEGO CARVALHO;-9,60687;-41,7955;;DA PLANILHA;E819990;E820016;JUAZEIRO;2025-08-01;0224007;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102147505;1170083;ER-CIND-POV-SEROTIM-RURAL;CURAÇÁ;;;;;;;CONCLUIDA;;1;1;1;;;;7.1.2.3;100%;R$ 18.148,90;;R$ 1.700,00;28/08/2025;30/08/2025;PEDRO LINO;ANDERSON;CARLOS EDUARDO;-9,1034972;-39,9332619;;DA PLANILHA;E750785;E750785;JUAZEIRO;2025-08-01;1170083;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102154873;1190660;AC-CIND-FAZ-JACARE-RURAL;CURAÇÁ;;;;;;;CONCLUIDA;;1;2;2;;;;7.1.2.3;100%;R$ 40.104,54;;R$ 3.400,00;29/08/2025;30/08/2025;JUAREZ;EDIE JONNES;CARLOS EDUARDO;-9,1100092;-40,1397842;;DA PLANILHA;E750769;E750770;JUAZEIRO;2025-08-01;1190660;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102145393;1174527;ER-CIND-FAZ-OITEIRO 5-RURAL;CURAÇÁ;;;;;;;CONCLUIDA;;1;2;2;;;;7.1.2.3;100%;R$ 38.281,05;;R$ 3.400,00;27/08/2025;30/08/2025;PAULO;EDIE JONNES;CARLOS EDUARDO;-8,8222191;-39,7946197;;DA PLANILHA;E750771;E750772;JUAZEIRO;2025-08-01;1174527;Consolidado;N/A
GOVERNO;9102242592;1202706;AC-CIND-RUA-LEOVIGILDO M ALMEIDA-CENTRO;CURAÇÁ;;APP;DETONAÇÃO;;;;CONCLUIDA;;1;4;4;;;;7.1.1.3;100%;R$ 62.385,22;;R$ 6.800,00;13/08/2025;15/08/2025;PEDRO LINO;EDIE JONNES;CARLOS EDUARDO;-8,98791;-39,9066;;DA PLANILHA;E819958;E819961;JUAZEIRO;2025-08-01;1202706;Consolidado;N/A
QLP;9101561021;960856;AC-REG-FV-CIND-POV BARRO VERMELHO-BARRO-;CURAÇÁ;;APP;;;;;CONCLUIDA;;7;27;27;;;;7.1.2.3;100%;R$ 102.908,49;;R$ 45.900,00;01/08/2025;27/08/2025;GISMARIO;EDIE JONNES;CARLOS EDUARDO;0;0;;DA PLANILHA;E819625;E819651;JUAZEIRO;2025-08-01;0960856;Consolidado;N/A
JUDICIAL;9101293497;921232;ER-CIND-POV BARRO VERMELHO-BARRO-CRC;CURAÇÁ;;APP;;;;;CONCLUIDA;;6;70;70;;;;14.4.12.1;100%;R$ 368.797,60;;R$ 119.000,00;01/08/2025;27/08/2025;GISMARIO;EDIE JONNES;CARLOS EDUARDO;-9,43326;-39,8093;;DA PLANILHA;E799688;E799757;JUAZEIRO;2025-08-01;0921232;Consolidado;N/A
REPUTACIONAL;9102158345;1183107;EQ-GRUA-CJN-MINERACAO CARAIBA-RURAL;JUAZEIRO;;;;;;;CONCLUIDA;08/08/2025;0;0;0;;;;7.1.2.3;100%;R$ 677.454,86;;R$ 0,00;25/08/2025;30/08/2025;GISMARIO;EDIE JONNES;CARLOS EDUARDO;-9,35344;-39,9153;;0 POSTE;;;JUAZEIRO;2025-08-01;1183107;Consolidado;N/A
AL/MELHORAMENTO;9102150088;1191216;IE-RELIGADOR-NCU-01Z5-G08787;JUAZEIRO;;APP;;;;;CONCLUIDA;01/08/2025;0;1;0;;;;8.2.2.3;100%;R$ 107.904,17;;R$ 1.700,00;08/08/2025;22/08/2025;MANUTENÇÃO;ANDERSON;CARLOS EDUARDO;-9,1658459;-40,0614361;;DA PLANILHA;E820212;E820212;JUAZEIRO;2025-08-01;1191216;Consolidado;N/A
MAIS OBRAS;9102311033;1211880;UB-CIND-RUA-CODEVASF-PIRANGA;JUAZEIRO;;;;;;;CONCLUIDA;04/08/2025;1;1;1;;;;7.1.1.3;;R$ 6.702,17;;;;;MICHEL;MICHEL;;;;;DA PLANILHA;E750812;E750812;JUAZEIRO;2025-08-01;1211880;Consolidado;N/A
RECLAMAÇÃO;9102080524;1141807;ER-CIND-POV-ENTRONCAMENTO-RECREIO;CASA NOVA;;;;;;;NÃO INICIADA;;1;2;;;;;7.1.2.3;100%;R$ 54.390,13;;R$ 3.400,00;;;;PAULO JUNIOR;DIEGO CARVALHO;-9,318951;-41,123503;;DA PLANILHA;E750756;E750757;JUAZEIRO;2025-08-01;1141807;Consolidado;N/A
REPUTACIONAL;9102248113;1203217;AC-CIND-ROD-BA 210-VL TIRADENTES;JUAZEIRO;;APP;;;;;CONCLUIDA;;1;2;2;;;;7.1.2.3;100%;R$ 43.486,87;;R$ 3.400,00;01/08/2025;01/08/2025;IVONALDO;EDIE JONNES;DIEGO CARVALHO;0;0;;DA PLANILHA;E820023;E820024;JUAZEIRO;2025-08-01;1203217;Consolidado;N/A
EQUIPAMENTO;9102103396;1136743;EQ-CIND-POV-CURAÇA PEQUENO-RURAL;JUAZEIRO;;APP;;;;;CONCLUIDA;;0;2;2;;;;7.1.2.3;100%;R$ 423.821,91;;R$ 3.400,00;04/08/2025;15/08/2025;RICARDO LV;SANTIAGO;CARLOS EDUARDO;0;0;;DA PLANILHA;E774768;E774769;JUAZEIRO;2025-08-01;1136743;Consolidado;N/A
;;1204052;ME-COEL-FAZ-POR DO SOL-RURAL-CURACA;CURAÇÁ;;APP;;;;;NÃO INICIADA;;0;2;;;;;8.4.1.1;100%;R$ 75.104,43;;;;;MANUTENÇÃO;ANDERSON;;;;;DA PLANILHA;E750786;E750787;JUAZEIRO;2025-08-01;1204052;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102157200;1180213;ER-CIND-FAZ SAO JOAO 3-RURAL;JUAZEIRO;;;;;;;CONCLUIDA;;1;2;2;;;;7.1.1.3;100%;R$ 28.223,39;;R$ 3.400,00;09/08/2025;14/08/2025;PEDRO LINO;ANDERSON;VICTOR COSTA;0;0;;DA PLANILHA;E820244;E820245;JUAZEIRO;2025-08-01;1180213;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102100385;1157155;UB-CIND-ROD-LOMANTO-CARNAIBA DO SERTAO;JUAZEIRO;;APP;;;;;CONCLUIDA;;1;3;3;;;;7.1.1.3;100%;R$ 42.065,35;;R$ 5.100,00;19/08/2025;20/08/2025;PEDRO LINO;ANDERSON;VICTOR COSTA;-9,59304;-40,4201;;DA PLANILHA;E820017;E820019;JUAZEIRO;2025-08-01;1157155;Consolidado;N/A
INTERV SEGURANÇA;9102143355;1173180;UB-CIND-SI-DA TININHA-DOM JOSE RODRIGUES;JUAZEIRO;;APP;;;;;CONCLUIDA;;1;9;9;;;;;100%;R$ 42.204,03;;R$ 15.300,00;05/08/2025;09/08/2025;PEDRO LINO;ANDERSON;VICTOR COSTA;-9,4595326;-40,5170832;;DA PLANILHA;E820176;E820184;JUAZEIRO;2025-08-01;1173180;Consolidado;N/A
QLP;9102019137;1127877;ER-CIND-POV-CURACA-RURAL;JUAZEIRO;;;;;;;RETIRADA;SETEMBRO;1;2;;;;;PLANO 7;100%;;;R$ 3.400,00;18/08/2025;21/08/2025;PEDRO LINO;ANDERSON;;;;;DA PLANILHA;E799867;E799868;JUAZEIRO;2025-08-01;1127877;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
PRIORIDADE PLANO ANEEL;9102169624;1186775;ER-CIND-RUA-DAS FLORES-RETIRO DE BAIXO;SENTO SÉ;;;;;;;RETIRADA;;1;2;;;;;7.1.2.3;100%;R$ 34.505,85;;R$ 3.400,00;27/08/2025;30/08/2025;FABIO;RODRIGUES;SANDRO DUARTE;-9,9179862;-42,0964309;;DA PLANILHA;E751063;E751064;JUAZEIRO;2025-08-01;1186775;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
SOLICITAÇÃO ATENDIMENTO;9101996009;1119796;RR-CIND-FAZ-FRADE-CANOA;JUAZEIRO;;APP;;;;;CONCLUIDA;;1;12;12;;;;14.4.12.1;100%;R$ 91.881,95;;R$ 20.400,00;20/08/2025;29/08/2025;PAULO;EDIE JONNES;VICTOR COSTA;-9,8586256;-40,216032;;DA PLANILHA;E820164;E820175;JUAZEIRO;2025-08-01;1119796;Consolidado;N/A
EQUIPAMENTO;9102237181;1195081;EQ COEL ROD BR 324 RURAL;REMANSO;;;;;;;RETIRADA;SETEMBRO;0;2;;;;;7.1.2.3;100%;R$ 289.857,73;;R$ 3.400,00;;;;PAULO JUNIOR;DEBORAH LUMA;-9,60195;-42,0841;;DA PLANILHA;E819654;E819655;JUAZEIRO;2025-08-01;1195081;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
RECLAMAÇÃO;9102034763;1137111;RR-CCOL-POV-MASSAPE-RURAL-BOQUEIRAO;JUAZEIRO;;APP;;;;;CONCLUIDA;;4;17;17;;;;14.4.12.1;100%;R$ 115.345,67;;R$ 28.900,00;13/08/2025;23/08/2025;PAULO;EDIE JONNES;CARLOS EDUARDO;-9,37832;-40,2753;;DA PLANILHA;E819585;E819601;JUAZEIRO;2025-08-01;1137111;Consolidado;N/A
AIC AUDITORIA;9102149357;1176366;RU-CIND-RUA-DAS PALMEIRAS-CENTRO;CAMPO ALEGRE DE LOURDES;;;;;;;NÃO INICIADA;;1;3;;;;;PLANO 7;100%;;;R$ 5.100,00;13/08/2025;27/08/2025;MANUTENÇÃO;ANDERSON;;;;;DA PLANILHA;E819987;E819989;JUAZEIRO;2025-08-01;1176366;Consolidado;N/A
RECLAMAÇÃO;9102086709;1152831;LD-CIND POV.CARNAIBA DO SERTÃO;JUAZEIRO;;APP;;;;;CONCLUIDA;;1;24;24;;;;14.4.12.1;100%;R$ 225.254,43;;R$ 40.800,00;04/08/2025;15/08/2025;PAULO;EDIE JONNES;VICTOR COSTA;-9,5597985;-40,4351991;;DA PLANILHA;E819561;E819584;JUAZEIRO;2025-08-01;1152831;Consolidado;N/A
RECLAMAÇÃO;9102112129;1159828;ER-CIND-FAZ-ANGICO-ARVORE;CURAÇÁ;;;;;;;RETIRADA;SETEMBRO;1;3;;;;;7.1.2.3;100%;R$ 28.600,08;;R$ 5.100,00;26/08/2025;30/08/2025;JUAREZ;EDIE JONNES;CARLOS EDUARDO;-8,72027;-39,6778;;DA PLANILHA;E819657;E819659;JUAZEIRO;2025-08-01;1159828;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
RECLAMAÇÃO;9102149813;1177525;AC-CIND-RUA- XIQUE XIQUE-CENTRO;PILÃO ARCADO;;;;;;;CONCLUIDA;;0;1;1;;;;7.1.2.3;100%;R$ 18.370,16;;R$ 1.700,00;;;;RUBEM;RUBEM;-10,0018269;-42,4756757;;DA PLANILHA;E750813;E750813;JUAZEIRO;2025-08-01;1177525;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102148629;1173082;ER-CIND-POV-SÃO PEDRO-RURAL;SENTO SÉ;;;;;;;NÃO INICIADA;;1;3;;;;;7.1.2.3;100%;R$ 32.910,72;;R$ 5.100,00;18/08/2025;23/08/2025;JACSON;RODRIGUES;SANDRO DUARTE;0;0;;DA PLANILHA;E820320;E820322;JUAZEIRO;2025-08-01;1173082;Consolidado;N/A
AL/MELHORAMENTO;9102150071;1191081;IE-RELIGADOR-RMN-09X1-D611928;PILÃO ARCADO;;APP;;;;;CONCLUIDA;;0;1;0;;;;8.2.2.3;100%;R$ 145.417,78;;R$ 1.700,00;10/08/2025;20/08/2025;;PAULO JUNIOR;MARLOS PEREIRA;-9,9992998;-42,471481;;DA PLANILHA;E820246;E820246;JUAZEIRO;2025-08-01;1191081;Consolidado;N/A
RECLAMAÇÃO;9102154509;1175575;AC-CIND-POV-LAGOA GRANDE-RURAL;SOBRADINHO;;;;;;;RETIRADA;SETEMBRO;1;5;;;;;7.1.2.3;100%;R$ 65.539,44;;R$ 8.500,00;27/08/2025;29/08/2025;PEDRO LINO;SANTIAGO;SANDRO DUARTE;-9,50951;-40,7745;;DA PLANILHA;E819704;E819708;JUAZEIRO;2025-08-01;1175575;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
PRIORIDADE PLANO ANEEL;9102033317;1128925;LD-CIND-POV BAIXAO-RURAL-CSN;CASA NOVA;;;;;;;NÃO INICIADA;;1;6;;;;;7.1.2.3;100%;R$ 162.320,73;;R$ 10.200,00;;;;PAULO JUNIOR;DIEGO CARVALHO;-9,3252248;-41,0629379;;DA PLANILHA;E750759;E750764;JUAZEIRO;2025-08-01;1128925;Consolidado;N/A
REPUTACIONAL;9102144836;1173776;RR-GRUA-FAZ-VERMELHO-RURAL;JUAZEIRO;;;;;;;NÃO INICIADA;;0;6;;;;;;100%;R$ 103.628,89;;R$ 10.200,00;12/08/2025;18/08/2025;GISMARIO;EDIE JONNES;VICTOR COSTA;-9,4324292;-39,7844031;;DA PLANILHA;E820263;E820268;JUAZEIRO;2025-08-01;1173776;Consolidado;N/A
