PROJETO;TITULO;MUNICIPIO;PSTP;STATUS;ENCARREGADO;LV;RESUMO;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;PLANO;CRITERIO;PST EXEC;CAVR;CAVD;CLIET.;AVANÇO;CART.;V. PROJETO;V. REAL;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;PG'S;LINK PROJETO;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1204914;ER-CIND-POV-CARRAPATO-CARRAPATO;ITIÚBA;2;Energizada;ISRAEL;;BT;;107515(BT);;;PLANO 14;QLP;;;;0;100%;ago./1;R$ 9.542,09;;;JOÃO;;02/09/2025;06/09/2025;02/09/2025;Sim;FALSE;TRUE;FALSE;FALSE;D003935;-10.7095779,-40.0118378;E860311 - E860312;https://drive.google.com/file/d/1BGZLteeAm0zYHNYAaD0cVglLdzibuJQT/view?usp=drive_link;-10,7095779;-40,0118378;SENHOR DO BONFIM;2025-09-01;1204914;Consolidado;N/A
B-1205995;UB-CIND-RUA-ANTONIO P DA SILVA 7-CENTRO;ITIÚBA;2;Energizada;ISRAEL;;BT;;108525(BT);;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 17.353,84;;;JOÃO;;08/09/2025;13/09/2025;02/09/2025;Sim;FALSE;TRUE;FALSE;FALSE;D337170;-10.6836193,-39.8684191;E860346 - E860347;https://drive.google.com/file/d/1DadKvivrNbyZpvALf4uoNIwlFH_pIZDo/view?usp=drive_link;-10,6836193;-39,8684191;SENHOR DO BONFIM;2025-09-01;1205995;Consolidado;N/A
B-1208878;ER-CIND-POV-PEDRA VERMELHA-RURAL;MONTE SANTO;2;Cancelada;JOSE;;BT;;111648(BT);;;PLANO 7;QLP;;;;3;100%;ago./1;R$ 14.453,91;;;DICSON;;10/09/2025;11/09/2025;08/09/2025;;FALSE;TRUE;FALSE;FALSE;D554481;-10.3595262,-39.5068009;E860365 - E860366;https://drive.google.com/file/d/1D9w0pAiYJiZRJfU0QOqFFYYEUWF8IB7S/view?usp=drive_link;-10,3595262;-39,5068009;SENHOR DO BONFIM;2025-09-01;1208878;Descartado;Status Excluído (STATUS)
B-1203955;UB-CIND-AV PEDRA VERMELHA-CENTRO;MONTE SANTO;2;Energizada;JOSE;Pendente;LV + BT;2 CE1;108865(LV)   BT(110658);;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 13.420,51;;;DICSON;;15/09/2025;16/09/2025;08/09/2025;;FALSE;TRUE;FALSE;FALSE;D660024;-10.4319098,-39.3258685;E860363 - E860364;https://drive.google.com/file/d/1BjVLso9TVj0-j5mXNPERq0-kukBEQhfa/view?usp=drive_link;-10,4319098;-39,3258685;SENHOR DO BONFIM;2025-09-01;1203955;Consolidado;N/A
B-1206653;ER-CIND-FAZ-PO O SANTAS-PEDRA VERMELHA;MONTE SANTO;2;Energizada;JOSE;Pendente;LV + BT;2 AN1;108876(LV)   112462(BT);;;PLANO 14;QLP;;;;0;100%;ago./1;R$ 15.954,44;;;DICSON;;19/09/2025;19/09/2025;08/09/2025;;FALSE;TRUE;FALSE;FALSE;D239865;-10.3964692,-39.2948442;E860367 - E860368;https://drive.google.com/file/d/1DW3p2WaTXHd0WLIEkUaN5pBmbdpBHmXc/view?usp=drive_link;-10,3964692;-39,2948442;SENHOR DO BONFIM;2025-09-01;1206653;Consolidado;N/A
B-1165914;EQ-COEL-RUA-MARCOS DE JESUS-ALTO DAS POP;NORDESTINA;2;Energizada;ALDAIR;Pendente;LV + ENERGZ;2 N1 E REGUL;94567(LV);;;PLANO 8;AL/MELHORAMENTO;;;;0;100%;ago./1;R$ 525.831,16;;;DICSON;;15/08/2025;30/09/2025;;;TRUE;;FALSE;FALSE;Q095459;-10.6886805,-39.4846989;E860598 - E860599;Não precisa;-10,6886805;-39,4846989;SENHOR DO BONFIM;2025-09-01;1165914;Consolidado;N/A
B-1205166;ER-CIND-FAZ-CANJAO 1204-CANJAO;MONTE SANTO;2;Energizada;OSMAR;;BT;;;;;PLANO 14;QLP;;;;1;100%;ago./1;R$ 10.140,45;;;DICSON;;08/09/2025;09/09/2025;08/09/2025;;FALSE;TRUE;FALSE;FALSE;D239997;-10.5209917,-39.4805121;E860403 - E860404;https://drive.google.com/file/d/1BFHtAT38CrnzAZ61m2rcXLizRslL6ptW/view?usp=drive_link;-10,5209917;-39,4805121;SENHOR DO BONFIM;2025-09-01;1205166;Consolidado;N/A
B-1202536;UB-CIND-RUA-MANDACARU-CRNTRO;JAGUARARI;2;Energizada;REGINALDO;Pendente;LV + BT;N1;109649(LV);;;PLANO 7;RECLAMAÇÃO;;;;1;100%;ago./1;R$ 15.235,49;;;JOÃO;;02/09/2025;06/09/2025;03/09/2025;;FALSE;TRUE;FALSE;FALSE;Q067768;-9.891134,-39.971109;E860607 - E860608;https://drive.google.com/file/d/1CCTOh9AUck6MWGzA2ASs8zs0izRme7nU/view?usp=drive_link;-9,891134;-39,971109;SENHOR DO BONFIM;2025-09-01;1202536;Consolidado;N/A
B-1204056;UB-CIND-RUA-FRANCISCO ROCHA-CENTRO;PINDOBAÇU;2;Energizada;WAGNER;;BT;;107639(BT);;;PLANO 7;QLP;;;;2;100%;ago./1;R$ 12.494,83;;;JOÃO;;03/09/2025;10/09/2025;02/09/2025;Sim;FALSE;TRUE;FALSE;FALSE;B034301;-10.7286818,-40.3575009;E860336 - E860337;https://drive.google.com/file/d/1BZhCZTh08Gcl5_KbaPHCGK0wqXALTCgc/view?usp=drive_link;-10,7286818;-40,3575009;SENHOR DO BONFIM;2025-09-01;1204056;Consolidado;N/A
B-1203275;ER-CIND-RUA-DA PALHA-CENTRO;PINDOBAÇU;2;Energizada;WAGNER;;BT;;109504(BT);;;PLANO 14;QLP;;;;0;100%;ago./1;R$ 14.359,72;;;JOÃO;;06/09/2025;13/09/2025;02/09/2025;Sim;FALSE;TRUE;FALSE;FALSE;Q063813;-10.7226902,-40.4540074;E860338 - E860339;https://drive.google.com/file/d/1BvmyYublJAnP0F77FTWPXAbUpjsG942z/view?usp=drive_link;-10,7226902;-40,4540074;SENHOR DO BONFIM;2025-09-01;1203275;Consolidado;N/A
B-1206688;ER-CIND-POV-BREJOS DOS PAULOS-RURAL;PINDOBAÇU;2;Energizada;WAGNER;Pendente;LV + BT;1 N1;108868(LV) 111646(BT);;;PLANO 14;QLP;;;;1;100%;ago./1;R$ 12.892,11;;;JOÃO;;16/09/2025;17/09/2025;02/09/2025;Sim;FALSE;TRUE;FALSE;FALSE;E168212;-10.7876246,-40.2885779;E860343 - E860344;https://drive.google.com/file/d/1DRR8NBWVi66pyCqvG2tUk-_rHEfv7Ae0/view?usp=drive_link;-10,7876246;-40,2885779;SENHOR DO BONFIM;2025-09-01;1206688;Consolidado;N/A
B-1203779;ER-CIND-POV-LAGOA DO ALTO-LAGOA DO ALTO;QUEIMADAS;1;Energizada;ANAILTON;;BT;;111401(BT);;;PLANO 14;QLP;;;;1;100%;ago./1;R$ 5.254,53;;;DICSON;;03/09/2025;06/09/2025;08/09/2025;;FALSE;TRUE;FALSE;FALSE;D201081;-10.7832017,-39.6529635;E860315;https://drive.google.com/file/d/1Ns1X-zT_bvK6UFaI8x3tfQB6TUHUldP3/view?usp=drive_link;-10,7832017;-39,6529635;SENHOR DO BONFIM;2025-09-01;1203779;Consolidado;N/A
B-1195905;ER-CIND-POV-CARNAIBA DE CIMA-RURAL;PINDOBAÇU;1;Energizada;EDVALDO;Pendente;LV + ENERGZ;N3/N4;108888(LV);;;PLANO 7;SOLICITAÇÃO ATENDIMENTO;;;;1;100%;ago./1;R$ 112.572,70;;;JOÃO;;26/09/2025;30/09/2025;12/09/2025;;FALSE;FALSE;FALSE;FALSE;Q065478;-10.7201924,-40.4417586;E860348 - E860358;https://drive.google.com/file/d/1ClMX6ZyO7jF2CRDWGIjcJ8Z-uLOnX3mC/view?usp=drive_link;-10,7201924;-40,4417586;SENHOR DO BONFIM;2025-09-01;1195905;Consolidado;N/A
