PROJETO;TITULO;MUNICIPIO;PSTP;STATUS;ENCARREGADO;LV;RESUMO;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;PLANO;CRITERIO;PST EXEC;CAVR;CAVD;CLIET.;AVANÇO;CART.;V. PROJETO;V. REAL;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;PG'S;LINK PROJETO;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1192755;RR-SEIN-FAZ-CORRENCIA-RURAL;JAGUARARI;105;Em execução;ALDAIR/GESONI;Pendente;LV + ENERGZ;1 N1-3;108859(LV);29/09;113355;PLANO 7;GOVERNO;;;;1;100%;ago./1;R$ 1.060.332,60;;;JOÃO;;08/09/2025;30/09/2025;16/09/2025;;FALSE;FALSE;FALSE;FALSE;D253996;-10.0171927,-39.8492799;E860609 - E860713;Não precisa;-10,0171927;-39,8492799;SENHOR DO BONFIM;2025-09-01;1192755;Consolidado;N/A
B-1134327;LD CIND FAZ SÃO JOÃO RURAL;CANSANÇÃO;56;Em execução;JEFERSON;Pendente;LV + ENERGZ;N3/4;108861(LV);29/09;113356;PLANO 14;PRIORIDADE PLANO ANEEL;;;;1;100%;ago./1;R$ 756.608,39;;;DICSON;;14/09/2025;30/09/2025;15/09/2025;;;;;;E284390;-10.8421072,-39.308;E843809 - E843864;Não precisa;-10.8421072;-39.308;SENHOR DO BONFIM;2025-09-01;1134327;Consolidado;N/A
B-1137567;MP CIND-POV-NOVO ACORDO RURAL;CANSANÇÃO;51;Energizada;JEFERSON;Pendente;LV + ENERGZ;1 N4-3 + N3;94547 94548(LV) 98339(BT)  98357(BT);;;PLANO 14;PRIORIDADE PLANO ANEEL;;;;6;100%;ago./1;R$ 465.190,43;;;DICSON;;20/08/2025;13/09/2025;;;TRUE;;;;D708789;-10.7369388,-39.3225267;E843869 - E843919;Não precisa;-10,7369388;-39,3225267;SENHOR DO BONFIM;2025-09-01;1137567;Consolidado;N/A
B-0877780;MP-CCOL-FAZ RAIO DO SOL-RURAL;QUEIMADAS;49;Em execução;MARCELO;Pendente;DESL + LV + BT + ENERGZ;N1/3;108873(LV);27/09;111338;PLANO 14;REPUTACIONAL;;;;9;100%;ago./1;R$ 196.839,24;;;DICSON;;19/09/2025;30/09/2025;15/09/2025;;FALSE;FALSE;FALSE;FALSE;Q104891;-10.9814946,-39.6346926;E843924 - E843973;Não precisa;-10,9814946;-39,6346926;SENHOR DO BONFIM;2025-09-01;0877780;Consolidado;N/A
B-1154340;MP-CIND-POV-SANTA ROSA-RURAL-MOD;MONTE SANTO;37;Energizada;OSMAR;Pendente;LV + ENERGZ;N4-3;108882(LV);;;PLANO 14;PRIORIDADE PLANO ANEEL;;;;6;100%;ago./1;R$ 339.861,54;;;DICSON;;22/09/2025;30/09/2025;15/09/2025;;FALSE;TRUE;FALSE;FALSE;A284276;-10.1933987,-39.4527863;E860407 - E860443;https://drive.google.com/file/d/1Fcuhka_18iXbaxSIoli_oFijEgGvt3IC/view?usp=drive_link;-10,1933987;-39,4527863;SENHOR DO BONFIM;2025-09-01;1154340;Consolidado;N/A
B-1180936;ER-CCOL-POV TANQUE VELHO-TANQUE VELHO;JAGUARARI;37;Energizada;REGINALDO;Pendente;LV + ENERGZ;N1-3;108860(LV)   ENERG-(112562);;;PLANO 7;GOVERNO;;;;8;100%;ago./1;R$ 290.366,94;;;JOÃO;;09/09/2025;20/09/2025;09/09/2025;;FALSE;TRUE;FALSE;FALSE;Q046632;-10.2120057,-40.1889997;E860444 - E860480;Não precisa;-10,2120057;-40,1889997;SENHOR DO BONFIM;2025-09-01;1180936;Consolidado;N/A
B-1171500;MP - CIND - POV VARZEA DA PEDRA - RURAL;JAGUARARI;36;Energizada;REGINALDO;Pendente;LV + ENERGZ;N3/N4;108884(LV);30/09;113357;PLANO 14;PRIORIDADE PLANO ANEEL;;;;3;100%;ago./1;R$ 269.705,40;;;JOÃO;;22/09/2025;30/09/2025;22/09/2025;;FALSE;FALSE;FALSE;FALSE;D002995;-10.2197973,-40.0382803;E860481 - E860516;Não precisa;-10,2197973;-40,0382803;SENHOR DO BONFIM;2025-09-01;1171500;Consolidado;N/A
B-0583003;MP-CCOL-POV. FOVEIRO - COMPL. I-RURAL;MONTE SANTO;33;Energizada;JOSE;Pendente;LV + ENERGZ;N3;108881(LV);;;PLANO 14;RECLAMAÇÃO;;;;5;100%;ago./1;R$ 387.155,97;;;DICSON;;22/09/2025;30/09/2025;15/09/2025;;FALSE;TRUE;FALSE;FALSE;D366157;-10.365062,-39.3533881;E860370 - E860402;https://drive.google.com/file/d/15XutZB2Evn28tTauCeUks27-QxnBieO0/view?usp=drive_link;-10,365062;-39,3533881;SENHOR DO BONFIM;2025-09-01;0583003;Consolidado;N/A
B-1066471;MP-CCOL RUA DO CAMPO RURAL;NORDESTINA;29;Energizada;ANAILTON;Pendente;DESL + LV + BT + ENERGZ;4 N1, 2 N3-3, 1 N4;ENERG-(112568)   BT-(112574);26/09 25/09;112625(25) 110216(26);PLANO 14;GOVERNO;;;;18;100%;ago./1;R$ 241.890,75;;;DICSON;;15/09/2025;30/09/2025;15/09/2025;;FALSE;FALSE;FALSE;FALSE;Q108264;-10.7844436,-39.5742173;E860361 - E860389;https://drive.google.com/file/d/1L395ttYUHG8qr0tgjS2oTbHVsg7RPRiy/view?usp=drive_link;-10,7844436;-39,5742173;SENHOR DO BONFIM;2025-09-01;1066471;Consolidado;N/A
B-1075602;AC-CIND-FAZ-NOVA ESPERAN A-RURAL;QUEIMADAS;29;Energizada;GESONI;Pendente;LV + ENERGZ;N3;94571(LV) 99742(BT);;;PLANO 7;RECLAMAÇÃO;;;;1;100%;ago./1;R$ 155.068,88;;;DICSON;;01/09/2025;19/09/2025;;;TRUE;;;;D555004;-11.1998166,-39.8280442;E844059 - E844087;Não precisa;-11,1998166;-39,8280442;SENHOR DO BONFIM;2025-09-01;1075602;Consolidado;N/A
B-1148107;MP CIND POV TIRIRCA E BANABEIRA RURAL;QUEIMADAS;25;Energizada;EDVALDO;Pendente;LV + ENERGZ;1 N4-3;94561 (LV) 99714(BT);;;PLANO 14;AIC AUDITORIA;;;;5;100%;ago./1;R$ 240.479,16;;;DICSON;;26/08/2025;11/09/2025;;;TRUE;;;;D277799;-11.2970312,-39.8701245;E844089 - E844113;Não precisa;-11,2970312;-39,8701245;SENHOR DO BONFIM;2025-09-01;1148107;Consolidado;N/A
B-1155426;ER-CCOL-POV-VAZEA CURRAL-RURAL;QUEIMADAS;24;Energizada;ISRAEL;Pendente;LV + ENERGZ;N3;94572 (LV) 99788(BT) 99765(BT);;;PLANO 7;GOVERNO;;;;1;100%;ago./1;R$ 211.324,50;;;DICSON;;25/08/2025;13/09/2025;;;TRUE;;;;D205317;-11.0629465,-39.5846894;E844114 -E844138;Não precisa;-11,0629465;-39,5846894;SENHOR DO BONFIM;2025-09-01;1155426;Consolidado;N/A
B-1161877;ER-SEIN-POV-BOQUEIRAO-BOQUEIRAO;QUEIMADAS;23;Energizada;MARCELO;Pendente;LV + BT + ENERGZ;N3/4;94563(LV) 98206(BT);;;PLANO 7;GOVERNO;;;;1;100%;ago./1;R$ 229.942,73;;;DICSON;;08/09/2025;18/09/2025;;;TRUE;;;;D668425;-10.9428983,-39.802938;E844162 - E844184;Não precisa;-10,9428983;-39,802938;SENHOR DO BONFIM;2025-09-01;1161877;Consolidado;N/A
B-0984964;ER-CIND-RUA-PE DE MONTE 4566 --B-RURAL;SENHOR DO BONFIM;16;Energizada;JOILSON;Pendente;DESL + LV + BT + ENERGZ;1 N1-3;108858(LV)  112307-BT  112323 LV;17/09;104957;PLANO 14;QLP;;;;1;100%;ago./1;R$ 91.671,67;;;JOÃO;;08/09/2025;19/09/2025;12/09/2025;;FALSE;FALSE;FALSE;FALSE;Q050602;-10.4446056,-40.1845477;E860295 - E860310;https://drive.google.com/file/d/1lVKEGoWiGQTI4bK-KlYSpv4p_eLZ7aqK/view?usp=drive_link;-10,4446056;-40,1845477;SENHOR DO BONFIM;2025-09-01;0984964;Consolidado;N/A
B-1133580;ER-CIND-POV-LAGOA DA PEDRA-RURAL;MONTE SANTO;15;Energizada;OSMAR;Pendente;LV + ENERGZ;1 N1 C/ TRF;94549(LV) 98935(BT) 98942(BT);;;PLANO 14;RECLAMAÇÃO;;;;0;100%;ago./1;R$ 20.301,31;;;DICSON;;03/09/2025;09/09/2025;;;TRUE;;;;D939343;-10.4075682,-39.1767321;E860581 - E860595;https://drive.google.com/file/d/13kLp5DcUZzfTZjqJ3_0HZhloS8eHQ6-P/view?usp=drive_link;-10,4075682;-39,1767321;SENHOR DO BONFIM;2025-09-01;1133580;Consolidado;N/A
B-1092121;RR-CIND-POV-CACHIMBO-CACHIMBO;PINDOBAÇU;14;Energizada;EDVALDO;Pendente;DESL + ENERGZ;;112323(ENERG);23/09;108905;PLANO 14;NOVOS QUESTIONAMENTOS ANEEL;;;;1;100%;ago./1;R$ 66.090,67;;;JOÃO;;18/09/2025;23/09/2025;12/09/2025;;FALSE;FALSE;FALSE;FALSE;Q058253;-10.79384,-40.253584;E860551 - E860564;https://drive.google.com/file/d/1DQsb8w17yKBWCeMkzhT4I3uPMPqGQt8z/view?usp=drive_link;-10,79384;-40,253584;SENHOR DO BONFIM;2025-09-01;1092121;Consolidado;N/A
B-0972150;RR-CIND-RUA-DA AREIA-CARNAIBA;PINDOBAÇU;11;Em execução;EDVALDO;Pendente;LV + ENERGZ;1 N1-3;108885(LV);;;PLANO 7;QLP;;;;1;100%;ago./1;R$ 59.465,82;;;JOÃO;;22/09/2025;25/09/2025;12/09/2025;;FALSE;FALSE;FALSE;FALSE;Q063843;-10.7118401, -40.4764177;E860565 - E860578;https://drive.google.com/file/d/1cSMCjmGCfeyj4MQsh2710bSbQRCyuNEy/view?usp=drive_link;;;SENHOR DO BONFIM;2025-09-01;0972150;Consolidado;N/A
B-1175533;ER-CIND-POV-LAGOA GRANDE-RURAL;MONTE SANTO;9;Energizada;OSMAR;Pendente;LV + ENERGZ;1 N1 C/ TRF;94559(LV)99036(BT);;;PLANO 14;PRIORIDADE PLANO ANEEL;;;;2;100%;ago./1;R$ 91.398,66;;;DICSON;;17/09/2025;20/09/2025;;;TRUE;FALSE;;;A284303;-10.1943803,-39.4088117;E844385 - E844393;https://drive.google.com/file/d/1x_xk_tSHsm3JoNWxJDy98zFyh4Stat7f/view?usp=drive_link;-10,1943803;-39,4088117;SENHOR DO BONFIM;2025-09-01;1175533;Consolidado;N/A
B-1138650;ER-CCOL-FAZ-BEIRA DAGUA 51-RURAL;ITIÚBA;8;Energizada;ISRAEL;Pendente;LV + ENERGZ;1 N1-3;108864(LV);;;PLANO 7;PRIORIDADE PLANO ANEEL;;;;3;100%;ago./1;R$ 71.767,33;;;JOÃO;;15/09/2025;20/09/2025;02/09/2025;Sim;;TRUE;;;Q097715;-10.6050323,-39.7385837;E844411 - E844418;https://drive.google.com/file/d/1BDbcwGtlbLxqNdpZvcVEFr3O_uCFwBJa/view?usp=drive_link;-10,6050323;-39,7385837;SENHOR DO BONFIM;2025-09-01;1138650;Consolidado;N/A
B-1191920;UB-CIND-RUA-MATA FUNDA 138-MATA FUNDA;JAGUARARI;6;Energizada;REGINALDO;;BT;;(BT-109767);;;PLANO 7;RECLAMAÇÃO;;;;2;100%;ago./1;R$ 41.363,03;;;JOÃO;;03/09/2025;06/09/2025;03/09/2025;;FALSE;TRUE;FALSE;FALSE;Q046595;-10.2559277,-40.2015178;E860284 - E860289;https://drive.google.com/file/d/1Cvk2W99szGNZixqM9d-OJHQHsBeJbR5m/view?usp=drive_link;-10,2559277;-40,2015178;SENHOR DO BONFIM;2025-09-01;1191920;Consolidado;N/A
B-1192137;ER-CIND-POV-PICOS-RURAL;ITIÚBA;5;Energizada;ISRAEL;Realizado;DESL + LV + ENERGZ;5 N1;108866(LV)    112390(ENERGI);26/09;111064;PLANO 7;GOVERNO;;;;1;100%;ago./1;R$ 58.088,16;;;JOÃO;;16/09/2025;20/09/2025;15/09/2025;;FALSE;TRUE;FALSE;FALSE;D294689;-10.6321634,-39.8987568;E844432 - E844436;https://drive.google.com/file/d/1ECOK5CnqZjiqR_XeA6ZvchhmYoG64Z6-/view?usp=drive_link;-10,6321634;-39,8987568;SENHOR DO BONFIM;2025-09-01;1192137;Consolidado;N/A
B-1206954;ER-CIND-ROD-LOMANTO JUNIOR 1708-RURAL;SENHOR DO BONFIM;5;Energizada;JOILSON;Realizado;LV + ENERGZ;1 N1;103027(LV);;;PLANO 7;QLP;;;;2;100%;ago./1;R$ 27.801,39;;;JOÃO;;04/09/2025;10/09/2025;02/09/2025;Sim;FALSE;TRUE;FALSE;FALSE;D030928;-10.3865038,-40.1755112;E860276 - E860280;https://drive.google.com/file/d/1DQF3zhtY_44-dbhtbiUX3-Xz8Z452qu8/view?usp=drive_link;-10,3865038;-40,1755112;SENHOR DO BONFIM;2025-09-01;1206954;Consolidado;N/A
B-1206228;ER-CIND-FAZ-SANTO ANTONIO-RURAL;QUEIMADAS;5;Energizada;MARCELO;;DESL;;;24/09;110074;PLANO 7;QLP;;;;1;100%;ago./1;R$ 70.400,69;;;DICSON;;23/09/2025;23/09/2025;08/09/2025;;FALSE;TRUE;FALSE;FALSE;D003068;-10.9790921,-39.6573284;E860517 - E860521;https://drive.google.com/file/d/1WAFF1_9PGHhrpkF9x36XPLwzsrEvbOgc/view?usp=drive_link;-10,9790921;-39,6573284;SENHOR DO BONFIM;2025-09-01;1206228;Consolidado;N/A
B-1206014;ER-CIND-RUA-DO CAJUEIRO-CENTRO;PINDOBAÇU;5;Energizada;WAGNER;;BT;;109474(BT);;;PLANO 14;QLP;;;;1;100%;ago./1;R$ 23.255,18;;;JOÃO;;05/09/2025;11/09/2025;02/09/2025;Sim;FALSE;TRUE;FALSE;FALSE;E584971;-10.723571,-40.461421;E860331 - E860335;https://drive.google.com/file/d/1Da7bZORtL90tBM6tBKxNnjpfe5qQpGmH/view?usp=drive_link;-10,723571;-40,461421;SENHOR DO BONFIM;2025-09-01;1206014;Consolidado;N/A
B-1204810;ER-CIND-POV-PAU DE COLHER 1-RURAL;CANSANÇÃO;4;Energizada;ANAILTON;Realizado;LV + ENERGZ;N3/N4;108875(LV)    BT(110445);;;PLANO 14;QLP;;;;2;100%;ago./1;R$ 36.575,78;;;DICSON;;19/09/2025;20/09/2025;08/09/2025;;FALSE;TRUE;FALSE;FALSE;D288287;-10.6108417,-39.4580384;E860290 - E860293;https://drive.google.com/file/d/1635uI2NeYJwj57kJ_JkwqMqoOmCh2-1D/view?usp=drive_link;-10,6108417;-39,4580384;SENHOR DO BONFIM;2025-09-01;1204810;Consolidado;N/A
B-1219940;IT-CIND-PR -SIMOES FILHO-CENTRO;SENHOR DO BONFIM;4;Energizada;REGINALDO;Pendente;LV + BT;CE3;108068(LV);;;PLANO 7;REPUTACIONAL;;;;1;100%;ago./1;33.932,12;;;JOÃO;;09/09/2025;12/09/2025;04/09/2025;;FALSE;TRUE;FALSE;FALSE;;;E860600 - E860603;Não precisa;;;SENHOR DO BONFIM;2025-09-01;1219940;Consolidado;N/A
B-1168671;UB-CIND-RUA-ANTONIO J FERNANDES-CENTRO;CANSANÇÃO;3;Energizada;ANAILTON;;BT;;BT(110415);;;PLANO 7;RECLAMAÇÃO;;;;0;100%;ago./1;R$ 17.394,64;;;DICSON;;04/09/2025;11/09/2025;08/09/2025;;FALSE;TRUE;FALSE;FALSE;Q098321;-10.6725007,-39.4993519;E844017 - E844019;https://drive.google.com/file/d/1OAF9eXfeuQv-0UEK5z-aV_kEHQpsMr6z/view?usp=drive_link;-10,6725007;-39,4993519;SENHOR DO BONFIM;2025-09-01;1168671;Consolidado;N/A
