PROJETO;TITULO;CRITERIO;MUNICIPIO;CARTEIRA;STATUS;ESTÁGIO DE OBRAS;PRE FECHAMENTO;OBS;SUPERVISOR;ENCARREGADO;RESPONSÁVEL;PLANO;AVANÇO;CLIENTE;PSTP INICIAL;PSTP FINAL;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;LATITUDE;LONGITUDE;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OBS.1;STATUS_AUDITORIA;MOTIVO_DESCARTE
1227190;ER-CIND-POV-ALGODAO VELHO-RURAL;QLP;SOBRADINHO;DEZEMBRO;CONCLUÍDA;CONCLUÍDA;COMPLETO;3 EQUIPES;EDIE JONNES;JUAREZ;SANDRO SANTOS;7.1.2.3;100%;1;15;nan;nan;18/12/2025;19/12/2025;nan;SIM;NÃO;nan;-9.4727577;-40.9236716;Ver no Mapa;16/12/2025;19/12/2025;19/12/2025;SIM;nan;Consolidado;N/A
1044215;AC-CIND-POV-BREJO DE DENTRO-RURAL;QLP;SOBRADINHO;DEZEMBRO;CONCLUÍDA;CONCLUÍDA;COMPLETO;3 EQUIPES;EDIE JONNES;JUAREZ;SANDRO SANTOS;7.1.2.3;100%;0;11;nan;nan;22/12/2025;23/12/2025;nan;NÃO;NÃO;nan;-9.5955852;-41.0431487;Ver no Mapa;22/12/2025;23/12/2025;23/12/2025;SIM;nan;Consolidado;N/A
1170764;ME-COEL-RUA-PAULO MACHADO -357🕯️;NOVOS QUESTIONAMENTOS ANEEL;UAUÁ;DEZEMBRO;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;RODRIGUES;CARLOS EDUARDO;CARLOS EDUARDO;8.2.1.3;100%;0;25;nan;nan;nan;24/12/2025;nan;nan;NÃO;nan;-9.8301307;-39.4773741;Ver no Mapa;20/11/2025;23/11/2025;23/11/2025;SIM;nan;Consolidado;N/A
1184625;ER-CIND-POV-MALVAO-RURAL;PRIORIDADE PLANO ANEEL;CASA NOVA;JANEIRO 2026;CONCLUÍDA;NÃO INICIADA;COMPLETO;nan;SANTIAGO;PAULO;DIEGO ALMEIDA;7.1.2.3;100%;1;1;nan;nan;15/01/2026;15/01/2026;nan;nan;NÃO;nan;-9.283943;-41.029831;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1198610;ER-CIND-ET-LAD SAO VITOR-RURAL-CASA NOVA;PRIORIDADE PLANO ANEEL;CASA NOVA;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;SANTIAGO;PAULO;DIEGO ALMEIDA;7.1.2.3;100%;1;5;nan;nan;19/01/2026;20/01/2026;nan;nan;NÃO;nan;-9.157261;-41.023223;Ver no Mapa;09/01/2026;10/1/2026;nan;12/01/2026;nan;Consolidado;N/A
1224493;ER-CIND-SI-ALGODAO-LAGEDO;INSTITUCIONAL;CASA NOVA;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;COMPLETO;nan;SANTIAGO;PAULO;DIEGO ALMEIDA;7.1.2.3;100%;2;24;nan;nan;nan;30/01/2026;nan;nan;NÃO;nan;-9.12067;-41.164259;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
269848;RR - SÍTIO PAU FERRO;INSTITUCIONAL;CASA NOVA;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;nan;PAULO JUNIOR;nan;DIEGO ALMEIDA;14.7.3;40%;4;49;nan;nan;25/01/2026;23/04/2026;nan;nan;NÃO;nan;-9.081642;-41.084308;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1200696;AC-CIND REG FV. SI BARRA - RURAL;GOVERNO;CASA NOVA;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;nan;SANTIAGO;PAULO;MARLOS LOPES;7.1.2.3;25%;5;80;nan;nan;19/01/2026;26/02/2026;nan;nan;NÃO;nan;-9.239918;-41.429965;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1146117;MP-CCOL-POV DESTERRO-CAI ARA-RURAL-II;GOVERNO;CASA NOVA;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;nan;PAULO JUNIOR;nan;DIEGO ALMEIDA;14.7.1;40%;14;455;nan;nan;08/01/2026;26/04/2026;nan;nan;NÃO;nan;-9.239698;-41.78977;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
763601;MP-CCOL-POV CANOINHA-RURAL;REPUTACIONAL;CASA NOVA;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;nan;PAULO JUNIOR;nan;nan;14.7.3;65%;25;541;nan;nan;04/10/2026;18/03/2026;nan;nan;NÃO;nan;-9.1112573;-41.3759639;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
724125;MP-CCOL-REG PEDRA DO BATISTA-RURAL;REPUTACIONAL;CASA NOVA;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;nan;PAULO JUNIOR;nan;MARLOS LOPES;14.7.3;40%;36;715;nan;nan;30/01/2026;30/04/2026;nan;nan;NÃO;nan;-9.244758;-41.26074;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
852090;MP-CCOL-FAZ CARAÍBA-RURAL;INSTITUCIONAL;CURAÇÁ;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;nan;nan;nan;CARLOS EDUARDO;14.7.3;40%;27;300;nan;nan;23/01/2026;17/05/2026;nan;nan;NÃO;nan;-9.130781;-39.697986;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1160620;ER-CIND-POV-MATINHA-RURAL-ARVORE;PRIORIDADE PLANO ANEEL;CURAÇÁ;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;COMPLETO;nan;RODRIGUES;EDVALDO;CARLOS EDUARDO;7.1.2.3;100%;2;24;nan;nan;06/01/2026;19/01/2026;19/01/2026;nan;NÃO;nan;-8.659391;-39.542661;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1210465;ER-CIND-FAZ-LAMINHA-RURAL;AVIFAUNA;CURAÇÁ;JANEIRO 2026;AVANÇO;NÃO INICIADA;COMPLETO;nan;nan;nan;CARLOS EDUARDO;14.7.3;40%;3;31;nan;nan;31/01/2026;27/02/2026;nan;nan;NÃO;nan;-9.384679;-39.695157;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
982827;RR-CIND-POV-BAIXA DAS QUIXADEIRAS-RURAL;nan;CURAÇÁ;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;nan;nan;nan;CARLOS EDUARDO;7.1.2.3;25%;1;5;nan;nan;29/01/2026;26/02/2026;nan;nan;NÃO;nan;-9.128851;-39.694123;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1235808;UB-CIND-AV-IRMA DULCE 10-URBANA;PRIORIDADE PLANO ANEEL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;IVONALDO;PEDRO LINO;VICTOR BARROS;7.1.2.3;100%;7;1;nan;nan;06/01/2026;06/01/2026;nan;NÃO;NÃO;nan;-9.448104;-40.507741;Ver no Mapa;05/01/2026;06/01/2026;06/01/2026;SIM;nan;Consolidado;N/A
1161591;RR-CIND-FAZ-MANICOBA VELHA-SISTEMA M;PRIORIDADE PLANO ANEEL;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;ESCAVAÇÃO;COMPLETO;nan;EDIE JONNES;NELSON;DIEGO ALMEIDA;7.1.2.3;100%;1;4;nan;nan;06/01/2026;07/01/2026;nan;NÃO;NÃO;nan;-9.225329;-40.295462;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
