CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;TITULO.1;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;LATITUDE;LONGITUDE;CARTEIRA;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
RECLAMAÇÃO;9102021225;1129437;LD CIND FAZ MANI OBA VELHA RURAL;JUAZEIRO;;;;;;;NÃO INICIADA;;1;15;;15;;;PLANO 7;100%;;;R$ 25.500,00;12/06/2025;21/06/2025;DOMINGOS;SANTIAGO;;;;;DA PLANILHA;E799948;E799948;JUAZEIRO;2025-06-01;1129437;Consolidado;N/A
ESTRATÉGICA;9102131257;1163416;ER CIND POV JUNCO SALITRE RURAL;JUAZEIRO;;;;;;;RETIRADA;;1;5;;5;;;PLANO 14;100%;;;R$ 8.500,00;;;PEDRO BATISTA;;;;;;DA PLANILHA;E799877;E799881;JUAZEIRO;2025-06-01;1163416;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
GRUPO A;9102238566;1193657;RR-GRUA-FAZ-VERMELHO-RURAL;JUAZEIRO;;OK;ENTREGA;;;;CONCLUIDA;05/06/2025;0;3;3;3;;;PLANO 8;100%;R$ 255.026,24;;R$ 5.100,00;01/06/2025;07/06/2025;LINHA VIVA;ANDERSON;;;;;DA PLANILHA;E619946;E619948;JUAZEIRO;2025-06-01;1193657;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102158911;1183616;UB-CIND-RUA- PROJETADA 21-M DA AREIA;JUAZEIRO;;;;;;;CONCLUIDA;14/06/2025;0;3;3;3;;;PLANO 7;100%;;;R$ 5.100,00;16/06/2025;20/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799871;E799873;JUAZEIRO;2025-06-01;1183616;Consolidado;N/A
AIC OBJETIVO;9101932015;1092651;MP-CCOL-RUA DA CONCEIÇÃO-RURAL;SENTO SÉ;;;MIGRAR;;;;NÃO INICIADA;;3;15;;15;;;PLANO 14;100%;;;R$ 25.500,00;04/06/2025;15/06/2025;JACKSON;SANTIAGO;;;;;DA PLANILHA;E750027;E750041;JUAZEIRO;2025-06-01;1092651;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102157567;1177513;UB-CIND-LOT-QD QUIL 100-URBANA;JUAZEIRO;;;;;;;CONCLUIDA;18/06/2025;0;2;2;2;;;PLANO 7;100%;;;R$ 3.400,00;20/06/2025;27/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799865;E799866;JUAZEIRO;2025-06-01;1177513;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102168277;1190765;ER-CIND-SI-MARTINS DO CORDEIRO-V DE CIMA;CAMPO ALEGRE DE LOURDES;;;;;;;RETIRADA;;1;2;;2;;;PLANO 7;100%;;;;;;;;;;;;;;;JUAZEIRO;2025-06-01;1190765;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
PRIORIDADE PLANO ANEEL;9102227609;1192026;UB-CIND-TRV-ALVORADA 10-CENTRO;CAMPO ALEGRE DE LOURDES;;;;;;;RETIRADA;;1;1;;1;;;PLANO 7;100%;;;;;;;;;;;;;;;JUAZEIRO;2025-06-01;1192026;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
GOVERNO;9102096483;1132085;ER-SEIN-RUA-DAS FLORES-XIQUE-XIQUE;PILÃO ARCADO;;;OURO;EMERSON;;;NÃO INICIADA;;11;26;;13;;;PLANO 7;50%;;;;25/06/2025;31/07/2025;AILTON / DANIEL;PAULO JUNIOR;;;;;DA PLANILHA;E799629;E799654;JUAZEIRO;2025-06-01;1132085;Consolidado;N/A
RECLAMAÇÃO;9102158308;1182674;ER-CIND-POV-SERRA DOS ESPINHOS-RURAL;JUAZEIRO;;;MIGRAR;;;;RETIRADA;;1;5;;5;;;PLANO 7;100%;;;R$ 8.500,00;;;;;;;;;DA PLANILHA;E799882;E799886;JUAZEIRO;2025-06-01;1182674;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
PRIORIDADE PLANO ANEEL;9102232840;1199748;UB-CIND-POV-NUCLEO-CENTRO-CURACA;JUAZEIRO;;;;;;;CONCLUIDA;16/06/2025;2;2;2;2;;;;100%;;;R$ 3.400,00;14/06/2025;20/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799869;E799870;JUAZEIRO;2025-06-01;1199748;Consolidado;N/A
RECLAMAÇÃO;9102156669;1178531;UB-CIND-RUA-DA AREIA-PAU A PIQUE;CASA NOVA;;;;;;;RETIRADA;;1;1;;1;;;PLANO 7;100%;;;;;;;;;;;;;;;JUAZEIRO;2025-06-01;1178531;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
ESTRATÉGICA;9101959815;1105624;ER-CIND-SI-BOM CONSELHO-RURAL-RIO SALITR;JUAZEIRO;;;;;;;RETIRADA;;1;7;;7;;;PLANO 14;100%;;;R$ 11.900,00;;;DOMINGOS;;;;;;DA PLANILHA;E799887;E799893;JUAZEIRO;2025-06-01;1105624;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
QLP;9102075676;1157515;MP-CIND-POV.RURAL;CURAÇÁ;;;;;;;EM EXECUÇÃO;;1;30;;30;;;PLANO 7;100%;;;R$ 51.000,00;16/06/2025;30/06/2025;FABIO;EDIE JONNES;;;;;DA PLANILHA;E799580;E799609;JUAZEIRO;2025-06-01;1157515;Consolidado;N/A
AL/MELHORAMENTO;9102051310;1142287;ME-INTERL-SBO-01S1-SBO-01S4;SOBRADINHO;;;;;;;PARALIZADA;;0;32;;32;;;PLANO 8;100%;;;R$ 54.400,00;03/06/2025;30/06/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E800439;E800470;JUAZEIRO;2025-06-01;1142287;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
PRIORIDADE PLANO ANEEL;9102034008;1129174;MP CIND POV LAGOINHA RURAL;PILÃO ARCADO;;;MIGRAR;EMERSON;;;NÃO INICIADA;;5;33;;33;;;PLANO 7;100%;;;;02/06/2025;30/06/2025;EMERSON;JORGE;;;;;DA PLANILHA;E799655;E799687;JUAZEIRO;2025-06-01;1129174;Consolidado;N/A
RECLAMAÇÃO;9101967243;1112429;MP-CIND-POV-JAZIDA RURAL;JUAZEIRO;;;;;;;EM EXECUÇÃO;;3;33;;33;;;PLANO 14;100%;;;R$ 56.100,00;03/06/2025;16/06/2025;DOMINGOS;SANTIAGO;;;;;DA PLANILHA;E800494;E800526;JUAZEIRO;2025-06-01;1112429;Consolidado;N/A
RECLAMAÇÃO;9102093355;1156209;AC REG FV CIND FAZ CAPUCHU 16 RURAL;CURAÇÁ;;;MIGRAR;;;;NÃO INICIADA;;2;37;;37;;;PLANO 7;100%;R$ 374.111,28;;R$ 62.900,00;23/06/2025;30/06/2025;JOÃO BATISTA;EDIE JONNES;;;;;DA PLANILHA;E773943;E773979;JUAZEIRO;2025-06-01;1156209;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102157612;1172946;IE-REGULADOR-RMN-09X1-Q076477;PILÃO ARCADO;;;;;;;RETIRADA;;0;2;;2;;;PLANO 8;100%;;;;;;;;;;;;1020107/APROVADA;E725932;E725933;JUAZEIRO;2025-06-01;1172946;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
JUDICIAL;9102238517;1196129;ER-CIND-POV-POCO DANTAS-PEDRA BRANCA;PILÃO ARCADO;;;MIGRAR;OURO;;;EM EXECUÇÃO;;2;41;;41;;;PLANO 7;100%;;;R$ 69.700,00;11/06/2025;28/06/2025;DANIEL;PAULO JUNIOR;;;;;DA PLANILHA;E799894;E799934;JUAZEIRO;2025-06-01;1196129;Consolidado;N/A
ESTRATÉGICA;9102026111;1127945;RR-CIND-FAZ-CAPELA CEMITERIO-RURAL;JUAZEIRO;;;;;;;RETIRADA;;1;9;;9;;;PLANO 14;100%;;;R$ 15.300,00;;;DOMINGOS;;;;;;DA PLANILHA;E799937;E799945;JUAZEIRO;2025-06-01;1127945;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
QLP;9102169524;1184428;ER-CIND-CJN-PROJETO CURACA-CURACA 1;JUAZEIRO;;;;;;;RETIRADA;;1;14;;14;;;PLANO 7;100%;;;R$ 23.800,00;;;PEDRO BATISTA;;;;;;DA PLANILHA;E799947;E799947;JUAZEIRO;2025-06-01;1184428;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
PRIORIDADE PLANO ANEEL;9102088735;1144724;AC CIND POV SÃO MATEUS (REGUL-FV) RURAL;CURAÇÁ;;;;;;;CANCELADA;;3;27;;27;;;PLANO 7;100%;;;;;;;;;;;;DA PLANILHA;E777267;E777293;JUAZEIRO;2025-06-01;1144724;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
SOLICITAÇÃO ATENDIMENTO;9101996009;1119796;RR-CIND-FAZ-FRADE-CANOA;JUAZEIRO;;;;;;;RETIRADA;;1;12;;12;;;PLANO 14;100%;;;R$ 20.400,00;;;DOMINGOS;;;;;;DA PLANILHA;E799946;E799946;JUAZEIRO;2025-06-01;1119796;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
PRIORIDADE PLANO ANEEL;9102081086;1144577;UB-CIND-AV-DEP R QUEIROZ-CENTRO;REMANSO;;;;;;;CONCLUIDA;26/06/2025;1;2;2;2;;;;100%;;;R$ 3.400,00;25/06/2025;30/06/2025;MANUTENÇÃO;ANDERSON;;;;;DA PLANILHA;E750523;E750524;JUAZEIRO;2025-06-01;1144577;Consolidado;N/A
RECLAMAÇÃO;9102160395;1189508;UCIND-RUA-11-VILA SAO JOAQUIM;SOBRADINHO;;OK;MIGRAR;;;;CONCLUIDA;02/06/2025;3;2;2;2;;;PLANO 7;100%;R$ 12.961,61;;R$ 3.400,00;02/06/2025;03/06/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E777235;E777236;JUAZEIRO;2025-06-01;1189508;Consolidado;N/A
QLP;9102060561;1138495;ER-CIND-RUA-DA BARRAGEM-PEDRA GRANDE;UAUÁ;;;MIGRAR;;;;EM EXECUÇÃO;;1;41;;41;;;PLANO 7;100%;;;R$ 69.700,00;10/06/2025;20/06/2025;JOÃO BATISTA;EDIE JONNES;;;;;DA PLANILHA;E800584;E800624;JUAZEIRO;2025-06-01;1138495;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102033317;1128925;LD-CIND-POV BAIXAO-RURAL-CSN;CASA NOVA;;;;;;;RETIRADA;;1;6;;6;;;PLANO 7;100%;;;;;;;;;;;;;;;JUAZEIRO;2025-06-01;1128925;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
PRIORIDADE PLANO ANEEL;9101980788;1116565;MP-CIND-POV-MALVINAS 1000-RURAL-MOD;SENTO SÉ;;;;;;;RETIRADA;;1;23;;23;;;PLANO 7;100%;;;;;;;;;;;;;;;JUAZEIRO;2025-06-01;1116565;Descartado;Status Excluído (STATUS, STATUS 1, STATUS 1.1)
AL/MELHORAMENTO;9101909687;1085220;AL - 01V3 - SE NOVA TOURÃO-EQUIP-Q008200;JUAZEIRO;;OK;ENTREGA;;;;CONCLUIDA;04/06/2025;0;2;2;2;;;PLANO 1;100%;R$ 90.897,71;;R$ 3.400,00;01/06/2025;07/06/2025;IVONALDO;SANTIAGO;;;;;DA PLANILHA;E619909;E619910;JUAZEIRO;2025-06-01;1085220;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102156197;1179957;ER-CIND-POV-BAIX O-RURAL;CASA NOVA;;;;;;;CONCLUIDA;30/06/2025;1;2;2;2;;;7.1.2.3;100%;R$ 34.124,54;R$ 6.824,91;R$ 3.400,00;;;JORGE;JORGE;DIEGO CARVALHO;0;0;;;;;JUAZEIRO;2025-06-01;1179957;Consolidado;N/A
GOVERNO;9102125670;1159894;UB-CIND-RUA-JUAZEIRO-2;JUAZEIRO;;;OURO;;;;NÃO INICIADA;;0;66;;52,8;;;PLANO 7;80%;;;;05/06/2025;31/07/2025;IVONALDO;EDIE JONNES;;;;;DA PLANILHA;E750526;E750585;JUAZEIRO;2025-06-01;1159894;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102052629;1137500;ER-CIND-POV-CURRAL-CURRAL VELHO;CURAÇÁ;;;;;;;CONCLUIDA;18/06/2025;1;1;1;1;;;PLANO 7;100%;;;R$ 1.700,00;18/06/2025;30/06/2025;GISMARIO;EDIE JONNES;;;;;DA PLANILHA;E799628;E799628;JUAZEIRO;2025-06-01;1137500;Consolidado;N/A
JUDICIAL;9101293497;921232;ER-CIND-POV BARRO VERMELHO-BARRO-CRC;CURAÇÁ / UAUÁ;;;OURO;;;;NÃO INICIADA;;6;70;;35;;;PLANO 14;50%;;;;25/06/2025;30/07/2025;JOÃO BATISTA;EDIE JONNES;;;;;DA PLANILHA;E799688;E799757;JUAZEIRO;2025-06-01;0921232;Consolidado;N/A
