NOTA;PROJETO;TÍTULO;MUNICÍPIO;ENCARREGADO;STATUS;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;OBRA SIMPLIFICADA;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;SOLICITAÇÃO DE TRANSPORTE CONCRETO;PES LV;PES ENCAB. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG'S;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNP;AVNR;INCIO;FIM;DATA ENERG REAL;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;VALOR SERVIÇO;SERV. X % AVNP;TICKET MÉDIO;% VLR SERV X VLR PROJETO;PROVAVEL ROCHA;OBS;AVALIAÇÃO SERVIÇO;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102140206;B-1173896;RR - CIND POV LAGE DE CIMA 25 - RURAL;CAMPO FORMOSO;JAIRO;ENERGIZADA;EDLECIO;DIORLAN REIS;PLANO 14;;;24/09/2025;ANALISAR;08/10/25;;;2025-125533;2025-123730;22/10/2025;APROVADO;1038551;E878459 AO E878518;;60;;52;;;;01/10/25;31/10/25;;;E126378;-10,110247;-40,80345;R$ 529.924,68;R$  102.265,06;531778312%;R$  5.317.783,12;19%;;ABRIR CHAVE V10800 PARA REALIZAR MUDANÇA DE ESTRUTURA N3 PARA N4 NO PG E126378, ENCABEÇAR REDE NOVA E ENERGIZAR OBRA. PONTOS DE ATERRAMENTO: E126378 E E126879. PES BT.: ENCABEÇAR REDE BT NOVA NO PG NOVO E ENERGIZAR A OBRA.;;JACOBINA;2025-10-01;1173896;Consolidado;N/A
9101485073;B-1053689;RI-SEIN-RUA-ALCEBIADES RIOS-CENTRO VARZE;VARZEA DO POÇO;ALESSANDRO/ hermógenes;ENERGIZADA;ANDERSON;RICARDO BRITO;;;;30/08/2025;01/09/2025;;;;;2025-120744;15/10/2025;APROVADO;;E857466 AO E857498;;30;;30;;;;01/10/25;30/10/25;;;;-11,533215;-40,308907;R$ 255.446,68;;0%;R$  (6.337,23);0%;;PES DESL.: ABRIR CHAVE DO TRAFO J60288, PARA POSSIBILITAR A SUBSTITUIÇÃO DOS POSTES BT PARA MT DE PG'S D014040 AO D014038 E REALOCAR TRAFO DE PLACA J60288 PARA O PG D014042 E ENERGIZAR OBRA.(ATERRAR PG'S D014041 E D014047)PES LV: TRANSFORMAR M3 EM M4 NO PG D014041 E ENCABEÇAR REDE NOVA MT E ENERGIZAR OBRA;;JACOBINA;2025-10-01;1053689;Consolidado;N/A
9102328677;B-1221296;AC-CIND-FAZ-NOVILHA-RURAL;CAPIM GROSSO;JOSÉ MIZAEL;ENERGIZADA;EDUARDO;WELLINGTON SOUZA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;20/09/2025;24/09/2025;06/10/2025;;;2025-124476;2025-116555;07/10/2025;APROVADO;;E838972 AO E838975;0;4;;;;100%;;01/10/25;07/10/2025;;;D036525;-11,365107;-39,927872;R$ 23.645,62;R$  6.375,65;0%;R$  -;27%;;PES DESL.: ABRIR A CHAVE J52630, PARA POSSIBILITAR INTERCALAR  POSTE ENTRE OS PG'S D036525 E D036526E, ENCABEÇAR REDE NOVA BT E ENERGIZAR OBRA.(ATERRAR OS PG'S D036525 E D036526). PES BT.: ENCABEÇAR REDE BT NOVA NO PG NOVO E ENERGIZAR A OBRA.;;JACOBINA;2025-10-01;1221296;Consolidado;N/A
9102075771;B-1144334;ER-SEIN-AV-LOMANTO JUNIOR-CENTRO;GAVIÃO;ANTÔNIO;ENERGIZADA;EDUARDO;MANOEL CONCEICAO;PLANO 7;GOVERNO;NÃO;18/09/2025;29/09/2025;06/10/2025;;2025-125177;2025-125560;;;;1038555;E857439 AO E857450;0;12;;12;;100%;;06/10/25;24/10/25;;;A236325;-11,4720518;-39,7859969;R$ 103.640,44;R$  21.728,19;26073828%;R$  260.738,28;21%;;PES LV: INTERCALAR POSTE MT COM ESTRUTURA N1 E CE3, ENTRE OS PGs A236325 E A262761 E INSTALAR BANCADA COM CHAVES FUSIVEIS E ENERGIZAR OBRA. PES BT: ENCABEÇAR REDE BT NO PG NOVO, FECHAR CHAVE DO TRAFO E ENERGIZAR OBRA;;JACOBINA;2025-10-01;1144334;Consolidado;N/A
9102319058;B-1209978;RR-CIND-POV-ALTAMIRA-MASSAMBAO;PIRITIBA;JOAOZITO;ENERGIZADA;ANDERSON;NAILTON SANTANA;PLANO 14;LPT;;30/09/2025;07/10/2025;09/10/2025;;;2025-125654;2025-120763;17/10/25;APROVADO;;E863221 AO E863235;3;15;;15;;100%;;07/10/25;30/10/25;;;R031774;-11,560574;-40,662033;R$ 135.337,96;;0%;R$  (3.328,36);0%;;ABRIR CHAVE J06232 PARA INTERCALAR POSTE ENTRE OS PGS R031773 E R031774, FECHAR CHAVE E TRAFO NOVO E ENERGIZAR OBRA. PONTOS DE ATERRAMENTO: R031773 E R031774 3 CI 18 CHI PES BT: ENCABEÇAR REDE MT NOVA DO PG NOVO, FECHAR CHAVE FUSIVEL NOVA E ENERGIZAR OBRA;;JACOBINA;2025-10-01;1209978;Consolidado;N/A
9102308815;B-1214777;ER-CIND-RUA-GAUDENCIA DE SOUZA R-RURAL;VÁRZEA DA ROÇA;ALEXSANDRO;ENERGIZADA;ANDERSON;MANOEL CONCEICAO;PLANO 7;PRIORIDADE PLANO ANEEL;;26/09/2025;30/09/2025;07/10/2025;;;2025-125749;;;;;E863242 AO E863243;1;2;;2;;100%;;23/10/25;24/10/25;;;D319668;-11,605276;-40,141989;R$ 14.217,09;;0%;R$  (354,17);0%;;PES BT: ENCABEÇAR REDE BT NOVA NO PG EXISTENTE D319668 E ENERGIZAR OBRA;;JACOBINA;2025-10-01;1214777;Consolidado;N/A
9102151274;B-1177741;UB-CIND-RUA-NOVA-CENTRO;OUROLÂNDIA;OLISVALDO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;22/09/2025;30/09/2025;07/10/2025;;;2025-138331;;;;;E857571 AO E857572;0;2;;0;;100%;;27/10/25;31/10/25;;;D153604;-10,9701258;-41,0746935;R$ 16.267,49;R$  3.121,11;0%;R$  -;19%;;PES BT: ENCABEÇAR REDE BT NOVA NO PG EXISTENTE D153604 E ENERGIZAR OBRA;;JACOBINA;2025-10-01;1177741;Consolidado;N/A
9102136511;B-1165579;ER-CIND-FAZ-VITORIA REGIA-RURAL;PIRITIBA;JOAOZITO;ENERGIZADA;ANDERSON;NAILTON SANTANA;PLANO 7;PRIORIDADE PLANO ANEEL;SIM;22/09/2025;30/09/2025;07/10/2025;;2025-125620;2025-126065;;;;;E863311;1;1;;;;100%;;08/10/25;16/10/25;;;L433885;-11,7096995;-40,6054533;R$ 24.098,07;R$  2.262,45;226245%;R$  (593,47);9%;;PES LV: INTERCALAR POSTE MT ENTRE OS PGs L433885 E L433944 COM ESTRUTURA N1, INSTALAR BANCADA DO TRAFO E INSTALAR TRAFO E ENCABEÇAR REDE NOVA E ENERGIZAR OBRA PES BT: FECHAR CHAVE DO TRAFO NOVO INSTALADO NO PG NOVO E ENERGIZAR OBRA;;JACOBINA;2025-10-01;1165579;Consolidado;N/A
9102336083;B-1219645;ER-CIND-POV-SOINHO 11-RURAL;VÁRZEA DA ROÇA;ALEXSANDRO;ENERGIZADA;ANDERSON;MANOEL CONCEICAO;PLANO 7;QLP;;26/09/2025;30/09/2025;07/10/2025;;;2025-126084;;;;;E863244 AO E863245;1;2;;;;100%;;25/10/25;25/10/25;;;B094104;-11,593429;-40,152383;R$ 17.293,61;;0%;R$  (430,70);0%;;PES BT: ENCABEÇAR REDE BT NOVA NO PG EXISTENTE B094104 E ENERGIZAR OBRA;;JACOBINA;2025-10-01;1219645;Consolidado;N/A
9102323824;B-1223729;ER-CIND-FAZ-OLIVEIRAS 48-RURAL;CAPIM GROSSO;JOSÉ MIZAEL;ENERGIZADA;EDUARDO;WELLINGTON SOUZA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;21/09/2025;30/09/2025;06/10/2025;;;2025-126091;;;;;E838976 AO E838977;1;2;;;;100%;;08/10/25;08/10/25;;;B492854;-11,3357464;-40,0307708;R$ 15.778,09;R$  3.421,58;0%;R$  -;22%;;PES BT: ENCABEÇAR REDE BT NO PG NOVO, FECHAR CHAVE DO TRAFO E ENERGIZAR OBRA;;JACOBINA;2025-10-01;1223729;Consolidado;N/A
