NOTA;PROJETO;TÍTULO;MUNICIPIO;STATUS;ENCARREGADO;SUPERVISOR;AR COELBA;NAN;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG'S;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNR;AVNP;INCIO;FIM;DATA ENERG REAL;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102133516;B-1160515;ER-CIND-POV-BREJAO DA CAATINGA-RURAL;CAMPO FORMOSO;ENERGIZADA;MARIO;ETEMILSON;RAMON SANTOS - U464714;;DIA C SIPEL JACOBINA;18/12/24;18/12/24;29/01/25;;2025-11504;;;;;E601310;;1;;;1;0,00%;100,00%;23/01/25;30/01/25;31/01/2025;;-10.4378655;-40.8402098;;;;;;Pendente perfuração e detonação de 1 cava;;JACOBINA;2025-01-01;1160515;Consolidado;N/A
9102130549;B-1160749;ER-CIND-RCL-RUA-DO SUMIDOURO-CENTRO;CAMPO FORMOSO;ENERGIZADA;EUDARIO;ETEMILSON;HIAGO SANTANA - U470061;;PRIORIDADE PLANO ANEEL;19/12/24;19/12/24;20/12/24;2025-9269;2025-11494;;;;;E615777 ao E615784;2;8;6;5;3;62,50%;100,00%;16/12/24;20/01/25;31/01/2025;R025541;-10.5917029;-40.9342058;R$ 74.801,03;;;380,00;;Não iniada;Intercalar poste com trafo com a LV e extender rede BT 7 postes (380mtrs). Trado;JACOBINA;2025-01-01;1160749;Consolidado;N/A
9102099150;B-1151265;ER CIND FAZ BAIXA DA MINA RURAL;CAMPO FORMOSO;EM ANDAMENTO - MIGRADA DEZ/25;WAGNER;ETEMILSON;HIAGO SANTANA - U470061;;PRIORIDADE PLANO ANEEL;23/12/24;23/12/24;26/12/24;;2024-150146;;;;;E615799 AO E615802;1;4;;;4;0%;100,00%;11/12/24;20/01/25;;D574604;-10.2691168;-40.6424555;R$ 24.119,08;;;235,00;;Não iniada;Extensão 4 BT cabo 1x25 (235mts), depois do povoado Panela, solo cava em rocha;JACOBINA;2025-01-01;1151265;Consolidado;N/A
9102092311;B-1151807;ER-CIND-POV-VARGEM DO SAL-VARGEM DO SAL;CAMPO FORMOSO;LPT;EUDARIO;ETEMILSON;RAMON - U464714;;PRIORIDADE PLANO ANEEL;19/12/24;19/12/24;21/12/24;2024-151786;;;;;;E615785 ao E615789;1;5;;;5;0%;100,00%;21/01/25;27/01/25;;E237974;-10.4096905;-40.6827986;R$ 50.830,09;;;240,00;;Pendente perfuração e detonação de 5 cavas;Instalar trafo no PG E237874, extensão 5 postes BT cabo 1x25 (235mts), Vargem do Sal, 100% detonada;JACOBINA;2025-01-01;1151807;Consolidado;N/A
9101691568;B-1044483;MP-CCOL-POV.CACIMBINHA-RURAL;CAMPO FORMOSO;SIPEL BONFIM;SIPEL BONFIM;SIPEL BONFIM;;;REPUTACIONAL;;;;;;;;;1014112/2024;E682438 AO E682767;38;324;;;324;0%;100,00%;05/12/24;31/01/25;;D010745;-9.9124989;-40.6843068;R$ 3.518.237,37;;;;;;;JACOBINA;2025-01-01;1044483;Consolidado;N/A
9102122531;B-1160634;RC-CIND-POV-LIMOEIRO-RURAL;CAMPO FORMOSO;SIPEL BONFIM;SIPEL BONFIM;SIPEL BONFIM;;;REPUTACIONAL;05/12/24;05/12/24;06/12/24;OK;;"2024-144408
MANOBRA";13/12/24;CONCLUÍDO;1014121/2024;E682935 AO  E682990;;56;10;10;46;18%;100,00%;05/12/24;31/01/25;;;-10.5203873;-40.3286489;R$ 613.384,87;;;;;;;JACOBINA;2025-01-01;1160634;Consolidado;N/A
9101290252;B-0914747;RU-CCOL-FAZ GENIO-RURAL-CRB;CAMPO FORMOSO;SIPEL BONFIM;SIPEL BONFIM;SIPEL BONFIM;;;JUDICIAL;26/12/24;27/12/24;DEFINIR;OK;CRIAR;;;;1014115/2024;E682787 AO  E682882;13;96;;;96;0%;100,00%;16/12/24;31/01/25;;D922297;-10.2468485;-40.5458005;R$ 660.273,67;;;;;;;JACOBINA;2025-01-01;0914747;Consolidado;N/A
;B-1139336;RR-CIND-POV-AVN PRINCIPAL-JEQUITIBA MOD;MUNDO NOVO;SUBST. PELA OBRA B-1077783;JAILTON;RENATO;;;REPUTACIONAL;;;;;;;;;;;2;22;;;22;;;09/01/25;21/01/25;;;;;R$ 152.631,18;;;;;;;JACOBINA;2025-01-01;1139336;Consolidado;N/A
9102057077;B-1138085;ER-CIND-SI-GENIO 1000-Z-RURAL;CAMPO FORMOSO;SIPEL BONFIM;JOSE SILVA;ETEMILSON;HIAGO;;PRIORIDADE PLANO ANEEL;12/11/24;12/11/24;13/11/24;2024-134208;;;;;1012174/2024;E669469 ao E669475;;8;2;;8;0,00%;100,00%;18/11/24;;;D922638;-10.314319;-40.485305;R$ 51.250,03;;;350,00;;Pendente perfuração e detonação de 8 cavas;Extenão BT cabo 1x25 (350mt) e intercalar poste MT em rede para fazer uma travessia;JACOBINA;2025-01-01;1138085;Consolidado;N/A
9102124526;B-1158654;ER-CIND-POV-FOLHA LARGA-RURAL;CAMPO FORMOSO;SIPEL BONFIM;JOSE SILVA;ETEMILSON;HIAGO SANTANA - U470061;;JUDICIAL;19/12/24;19/12/24;20/12/24;2024-151699;;;;;;E601317 ao E601322;1;6;;;6;0%;100,00%;17/12/24;30/12/24;;D922370;-10.2828275;-40.5142564;R$ 51.851,40;;;290,00;;Pendente perfuração e detonação de 6 cavas;Intercalar poste com trafo com a LV e extender rede BT 5 postes (290mtrs). Cava em rocha retro;JACOBINA;2025-01-01;1158654;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JACOBINA;2025-01-01;0000nan;Consolidado;N/A
