PROJETO;TITULO;MUNICIPIO;ENCARREGADO;STATUS;PSTP;CONCRETO;% POSTES;LV;RESUMO;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;PLANO;CRITERIO;PST EXEC;CAVR;% CAVAS;CLIET.;AVANÇO;CART.;V. PROJETO;V. REAL;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;PG'S;LINK PROJETO;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1199274;ER-CIND-FAZ-FZ PEDRA-PEDRA;MONTE SANTO;ANAILTON;Energizada;2;2;100%;;BT;;137410 BT;;;PLANO 7;QLP;;;0,0%;1;100%;out./1;R$ 13.325,25;;;;;27/10/2025;31/10/2025;06/10/2025;;TRUE;TRUE;;;D139987;-10,4684228, -39,2720763;E875157 – E875158;https://drive.google.com/file/d/1GLaUABIkivH2ZfSJMp6st-H-kWR1YRQO/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1199274;Consolidado;N/A
B-1139502;UB-CIND-AV-ANTONIO VICENTE M M-CENTRO;CANSANÇÃO;JEFFERSON;;4;4;100%;;LV + ENERGZ;TRF + N1;124968 (LV) 124350 (EN);;;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 56.169,24;;;;;20/10/2025;25/10/2025;13/10/2025;;TRUE;TRUE;;;D297035;-10,6594125, -39,4945877;E875322 – E875325;https://drive.google.com/file/d/1KB_Ffd8O0Ut7F3ftx26HSkUSUrsFtfj8/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1139502;Consolidado;N/A
B-1213134;ER-CIND-POV-DEIXAI 94 -FT-RURAL;CANSANÇÃO;JEFFERSON;;4;4;100%;;LV + BT;3 N1;125095 (LV) 123273 BT;;;PLANO 14;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 39.405,66;;;;;27/10/2025;31/10/2025;13/10/2025;;TRUE;TRUE;;;B164365;-10,6854032, -39,3437082;E875334 – E875337;https://drive.google.com/file/d/12N6F1E_ZjJZI1L2xFWVO0_vI9aQ949MB/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1213134;Consolidado;N/A
B-1158293;UB-CIND-RUA-HERMANO B SOUZA-URBANA;CANSANÇÃO;JEFFERSON;;4;4;100%;;LV + BT;N1;125076 (LV) 123269 BT;;;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 24.101,81;;;;;27/10/2025;31/10/2025;13/10/2025;;TRUE;TRUE;;;Q099328;-10,6652094, -39,4990013;E875326 – E875329;https://drive.google.com/file/d/1Vmqy-TWEwX0cNpdx1z-xx9aZjWHty6AK/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1158293;Consolidado;N/A
B-1172415;UB-CIND-RUA-M CAROLINA FERREIRA-CENTRO;CANSANÇÃO;JEFFERSON;;4;4;100%;;DESL;;;;123282;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;0;100%;out./1;R$ 39.552,26;;;;;20/10/2025;25/10/2025;13/10/2025;;TRUE;TRUE;;;Q099415;-10,6679905, -39,4917045;E875330 – E875333;https://drive.google.com/file/d/1-sawzub04_2yUJrRCX47jaDBUprjkuqa/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1172415;Consolidado;N/A
B-1186324;AC-CIND-POV-LAGOA DOS CAVALOS-RURAL;CANSANÇÃO;JEFFERSON;;4;4;100%;;LV + ENERGZ + BT + DESL;CE3;124947 (LV) 123271 BT;;127298;PLANO 7;QLP;;;0,0%;0;100%;out./1;R$ 84.103,37;;;;;20/10/2025;25/10/2025;13/10/2025;;TRUE;TRUE;;;D934348;-10,6544928, -39,4879905;E875318 – E875321;https://drive.google.com/file/d/1S_bIjmDjBZM-cDGRb8i-mv8jk9M_vX36/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1186324;Consolidado;N/A
B-1204768;UB-CIND-RUA-ALOISIO DE CASTRO-CENTRO;MONTE SANTO;OSMAR;Energizada;4;4;100%;;BT;;123295 BT;;;PLANO 7;PRIORIDADE PLANO ANEEL;;4;100,0%;1;100%;out./1;R$ 23.249,21;;;;;13/10/2025;18/10/2025;06/10/2025;;TRUE;TRUE;;;A258407;-10,4341169, -39,333322;E875381 – E875384;https://drive.google.com/file/d/1frnndN5zrnWkXYcti6Anwr8CKyzK9XNc/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1204768;Consolidado;N/A
B-1176230;ER-CIND-RUA-CORONEL J CORDEIRO-RURAL;MONTE SANTO;OSMAR;Energizada;3;3;100%;;LV + ENERGZ;N3;124452 (EN) 128897(LV);;;PLANO 7;PRIORIDADE PLANO ANEEL;;3;100,0%;1;100%;out./1;R$ 56.845,49;;;;;20/10/2025;25/10/2025;13/10/2025;;TRUE;TRUE;;;D765860;-10,4254957, -39,3336205;E875245 – E875247;https://drive.google.com/file/d/1Z65PfwzlFqTS6XH70eXu7WdRih7OSWYS/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1176230;Consolidado;N/A
B-1106526;RC-CIND-POV-JENIPAPO DE BAIXO-RURAL;MONTE SANTO;ANAILTON;Energizada;1;1;100%;;BT;;127146 BT;;;PLANO 8;RECLAMAÇÃO;;;0,0%;0;100%;out./1;R$ 5.154,52;;;;;13/10/2025;18/10/2025;06/10/2025;;TRUE;TRUE;;;B321718;-10,5469055, -39,4011689;E875159 – E875159;https://drive.google.com/file/d/100CAuaKshr7SMxHECrui-VuZ8PmDWDIR/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1106526;Consolidado;N/A
B-1165484;ER CIND LOT PANORAMA RURAL;SENHOR DO BONFIM;JOILSON;Energizada;3;3;100%;;BT;;123291 (BT);;;PLANO 14;PRIORIDADE PLANO ANEEL;;3;100,0%;2;100%;out./1;R$ 15.922,10;;;;;06/10/2025;10/10/2025;13/10/2025;;TRUE;TRUE;FALSE;FALSE;Q067379;-10,4303475, -40,1401728;E875206 – E875208;https://drive.google.com/file/d/19u9AXwEc1UgqVO_qjHwMSM5TCLzA73x7/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1165484;Consolidado;N/A
B-1195373;ER-CIND-POV-SOCOTO-RURAL;SENHOR DO BONFIM;JOILSON;Energizada;3;3;100%;;BT;;121391 BT;;;PLANO 14;QLP;;3;100,0%;1;100%;out./1;R$ 15.490,78;;;;;06/10/2025;10/10/2025;01/10/2025;;TRUE;TRUE;FALSE;FALSE;D135081;-10,4167964, -40,1809119;E875203 – E875205;https://drive.google.com/file/d/1x7HLnymoAkg-kKMphIQlFr6gLFl1TMbv/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1195373;Consolidado;N/A
B-1209446;ER-CIND-FAZ-BEBEDOURO-RURAL;QUEIMADAS;GESONI;Energizada;3;3;100%;;BT;;123342 BT;;;PLANO 14;PRIORIDADE PLANO ANEEL;;3;100,0%;1;100%;out./1;R$ 17.698,47;;;;;06/10/2025;11/10/2025;06/10/2025;;TRUE;TRUE;FALSE;FALSE;D314380;-10,9343905, -39,7139194;E875232 – E875234;https://drive.google.com/file/d/1ngURa18NyxJojR37YyfHHcbhUELKTKwN/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1209446;Consolidado;N/A
B-1194953;ER-CIND-POV-GENIPAPO DE BAIXO-RURAL;MONTE SANTO;ANAILTON;Energizada;1;1;100%;;BT;;127139 BT;;;PLANO 14;QLP;;;0,0%;1;100%;out./1;R$ 6.101,91;;;;;13/10/2025;18/10/2025;06/10/2025;;TRUE;TRUE;;;D129345;-10,5529584, -39,3971409;E875160 – E875160;https://drive.google.com/file/d/1oxfgyhN3-e6PTT2EOBu09dMnGjS1P1Sa/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1194953;Consolidado;N/A
B-1204798;UB-CIND-RUA-JOSE DE FRANCA-CANSANCAO;CANSANÇÃO;JEFFERSON;Energizada;3;3;100%;;DESL;;;;121454;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 20.714,69;;;;;13/10/2025;18/10/2025;06/10/2025;;TRUE;TRUE;;;D172241;-10,6693751, -39,5033644;E875189 – E875191;https://drive.google.com/file/d/1UwiHvwWb4VdZgd2BwheI-ixkUCBaqTCo/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1204798;Consolidado;N/A
B-1162988;UB-CIND-RUA-LEONIA COELHO FERREIRA-CENTR;CANSANÇÃO;JEFFERSON;Energizada;3;3;100%;;LV + BT;1 N3-3 + 1 N1;124892 (LV) 123043 BT;;122323;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 27.601,54;;;;;13/10/2025;18/10/2025;06/10/2025;;TRUE;TRUE;;;Q099283;-10,6674182, -39,4982849;E875186 – E875188;https://drive.google.com/file/d/1iE0cMT-BT0S_1WSNrL0uEXVhvk3mphtA/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1162988;Consolidado;N/A
B-1185410;ER-CIND-ET-SENHOR DO BONFIM-RURAL;SENHOR DO BONFIM;REGINALDO;Energizada;3;3;100%;;LV + ENERGZ;N1 C/ TRF;123508(LV)     124287 (EN);;;PLANO 7;RECLAMAÇÃO;;3;100,0%;1;100%;out./1;R$ 26.468,62;;;;;13/10/2025;18/10/2025;08/10/2025;;TRUE;TRUE;FALSE;FALSE;Q071127;-10,5773657, -40,1424433;E875215 – E875217;https://drive.google.com/file/d/1yG2jA9-3Le2rZfvytOu6oyYkD-qSvQb0/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1185410;Consolidado;N/A
B-1211141;ER-CIND-POV-CARAIBAS -RURAL;CAMPO FORMOSO;ISRAEL;Energizada;3;3;100%;;DESL;;;;122294;PLANO 14;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 19.429,55;;;;;27/10/2025;31/10/2025;14/10/2025;;TRUE;TRUE;;;Q063266;-10,4656053, -40,4449942;E875180 – E875182;https://drive.google.com/file/d/1h4JITGLQgHeXWaHARZF00ud4zoGEduwN/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1211141;Consolidado;N/A
B-1213046;ER-CIND-FAZ-NOVA ESPERANCA-RURAL;SENHOR DO BONFIM;JOILSON;Energizada;3;3;100%;;BT;;121409 BT;;;PLANO 14;PRIORIDADE PLANO ANEEL;;3;100,0%;0;100%;out./1;R$ 15.745,12;;;;;06/10/2025;10/10/2025;01/10/2025;;TRUE;TRUE;FALSE;FALSE;E657158;-10,501671, -40,0969;E875218 – E875220;https://drive.google.com/file/d/1WsPo9OQ2V_rKmZz8EXTtKuhZiGad8CUA/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1213046;Consolidado;N/A
B-1211192;ER-CIND-POV-CACIMBA-CACIMBINHA;CANSANÇÃO;JEFFERSON;;3;3;100%;;DESL + LV + BT;N1 C/ TRF;124981 (LV) 123279 (BT);;128903;PLANO 14;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 33.755,69;;;;;20/10/2025;25/10/2025;13/10/2025;;TRUE;TRUE;;;Q101267;-10,7173807, -39,453117;E875192 – E875194;https://drive.google.com/file/d/1rUdQCmjOqOYFwDCN2fKL62HfyI9ExvXd/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1211192;Consolidado;N/A
B-1194770;ER-CIND-POV-FLORES -FLORES;MONTE SANTO;OSMAR;;2;2;100%;;LV + BT;2 N1;123106 BT;;123285;PLANO 14;QLP;;;0,0%;1;100%;out./1;R$ 13.435,26;;;;;20/10/2025;25/10/2025;13/10/2025;;TRUE;TRUE;;;D107818;-10,150653, -39,5808952;E875248 – E875249;https://drive.google.com/file/d/14_po5iDUOFGdzDZjS1WGCLNsIJayKeN8/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1194770;Consolidado;N/A
B-1167442;UB CIND RUA JOSE BELAU DOS SANTO URBANO;CANSANÇÃO;JEFFERSON;Cancelada;2;2;100%;;BT;;119937 BT;;;PLANO 7;AIC AUDITORIA;;;0,0%;2;100%;out./1;R$ 17.771,84;;;;;06/10/2025;11/10/2025;06/10/2025;;TRUE;TRUE;;;D649803;-10,6594498, -39,4859276;E875195 – E875196;https://drive.google.com/file/d/19WTRZMqnJU7aHQlr5ckEnoJ3lNwlelb5/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1167442;Descartado;Status Excluído (STATUS)
B-1177169;UB-CIND-LOT-EMANUELA-URBANA;SENHOR DO BONFIM;JOILSON;Energizada;2;2;100%;;BT;;121366 BT;;;PLANO 7;PRIORIDADE PLANO ANEEL;;2;100,0%;2;100%;out./1;R$ 13.934,64;;;;;06/10/2025;10/10/2025;01/10/2025;;TRUE;TRUE;FALSE;FALSE;D116977;-10,4536602, -40,1991061;E875221 – E875222;https://drive.google.com/file/d/1l6jV7gGUsHYRHpqi4qajtrhnb6wjQh5m/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1177169;Consolidado;N/A
B-1198639;ER-CIND-FAZ-VOLTA DO RIO-RURAL;QUEIMADAS;GESONI;Energizada;2;2;100%;;BT;;123330 BT;;;PLANO 7;QLP;;2;100,0%;1;100%;out./1;R$ 15.879,66;;;;;06/10/2025;11/10/2025;06/10/2025;;TRUE;TRUE;FALSE;FALSE;D522909;-10,9877095, -39,7613463;E875237 – E875238;https://drive.google.com/file/d/1BcDjcIi-PNE8DW0aWtoWftdEvirQsBAT/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1198639;Consolidado;N/A
B-1179582;UB-CIND-RUA-ENCESLAU DOS SANTOS BELAU 18;CANSANÇÃO;JEFFERSON;Energizada;2;2;100%;;BT;;119961 BT;;;PLANO 7;PRIORIDADE PLANO ANEEL;;2;100,0%;1;100%;out./1;R$ 12.948,51;;;;;06/10/2025;11/10/2025;06/10/2025;;TRUE;TRUE;;;Q098563;-10,6695789, -39,4965427;E875197 – E875198;https://drive.google.com/file/d/1UIvdbSVN59mdPM_ybnq7xrAWEqD-VH-j/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1179582;Consolidado;N/A
B-1139486;ER-CIND-POV-ALTO LINDO-RURAL;CANSANÇÃO;JEFFERSON;Energizada;2;2;100%;;BT;;123318 BT;;;PLANO 7;QLP;;2;100,0%;1;100%;out./1;R$ 14.665,70;;;;;06/10/2025;11/10/2025;06/10/2025;;TRUE;TRUE;;;A000005;-10,659983, -39,651906;E875199 – E875200;https://drive.google.com/file/d/1K9gT97NvpZoxfHOrr8cQi_aK4RnRswBM/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1139486;Consolidado;N/A
B-1196233;ER-CIND-FAZ-VARGEM DE FORA-RURAL;QUEIMADAS;GESONI;Energizada;2;2;100%;;LV + BT;2 N1;123176 BT 129498(LV);;;PLANO 14;RECLAMAÇÃO;;;0,0%;1;100%;out./1;R$ 23.328,19;;;;;13/10/2025;18/10/2025;06/10/2025;;TRUE;TRUE;FALSE;FALSE;D570689;-10,8759863, -39,6008376;E875235 – E875236;https://drive.google.com/file/d/1qrRxEF62yPkoGQdBCF4EiKn880gZxoBl/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1196233;Consolidado;N/A
B-1180375;UB-CIND-RUA-CASAS POPULARES 657-CENTRO;CAMPO FORMOSO;ISRAEL;Energizada;2;2;100%;;BT;;120701 BT;;;PLANO 7;PRIORIDADE PLANO ANEEL;;2;100,0%;1;100%;out./1;R$ 10.572,11;;;;;07/10/2025;11/10/2025;07/10/2025;;TRUE;TRUE;;;D700734;-10,4976781, -40,3246296;E875170 – E875171;https://drive.google.com/file/d/1JAk2pq-IXne2hYLfzFV2kXB3byRWatVz/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1180375;Consolidado;N/A
B-1196743;ER-CIND-TRAV DA COMISA-CENTRO;CAMPO FORMOSO;ISRAEL;Energizada;2;2;100%;;BT;;120756 BT;;;PLANO 14;QLP;;;0,0%;1;100%;out./1;R$ 8.765,48;;;;;13/10/2025;18/10/2025;07/10/2025;;TRUE;TRUE;;;B079002;-10,538731, -40,4008459;E875172 – E875173;https://drive.google.com/file/d/1PRewnn1evfeEE_57oJvkWFbYqYVbCCp9/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1196743;Consolidado;N/A
B-1182542;ER-CIND-FAZ-JUNCO 100--A;SENHOR DO BONFIM;REGINALDO;Energizada;2;3;100%;;LV + ENERGZ;N1 C/ TRF;123509(LV)      124307(EN);;;PLANO 7;QLP;;2;100,0%;1;100%;out./1;R$ 22.875,07;;;;;13/10/2025;18/10/2025;08/10/2025;;TRUE;TRUE;FALSE;FALSE;B008651;-10,4819365, -40,0170831;E875223 – E875224;https://drive.google.com/file/d/1Hzy952xxU6t8Jmo8MgvzSn_vQyZb1bSj/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1182542;Consolidado;N/A
B-1196489;ER-CIND-POV-LAGOA DA PEDRA -RURAL;MONTE SANTO;OSMAR;Energizada;2;2;100%;;BT;;122206 BT;;;PLANO 14;QLP;;2;100,0%;1;100%;out./1;R$ 16.165,67;;;;;06/10/2025;11/10/2025;06/10/2025;;TRUE;TRUE;;;D239367;-10,3930219, -39,1808423;E875250 – E875251;https://drive.google.com/file/d/1DrubtASAciV_fTdFTuUUPNWJbIHM8Yes/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1196489;Consolidado;N/A
B-1197373;ER-CIND-FAZ-SAO PEDRO-RURAL;MONTE SANTO;JOSE;Energizada;2;2;100%;;BT;;122291 BT;;;PLANO 14;QLP;;2;100,0%;0;100%;out./1;R$ 10.376,75;;;;;06/10/2025;11/10/2025;06/10/2025;;TRUE;TRUE;;;D139214;-10,2297888, -39,3779683;E875230 – E875231;https://drive.google.com/file/d/1n2OMghOqOUbjo8k_KCUE99cFbneJynnf/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1197373;Consolidado;N/A
B-1149566;ER-CIND-POV-LAGE-RURAL;MONTE SANTO;ANAILTON;;1;1;100%;;LV + ENERGZ;N1 C/ TRF;127208 (EN);;;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 21.269,92;;;;;20/10/2025;25/10/2025;06/10/2025;;TRUE;TRUE;;;A249948;-10,4666449, -39,2706592;E875152 – E875153;https://drive.google.com/file/d/16vhzvlqzctwCDMbRAV9FK_aQisV0zVJb/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1149566;Consolidado;N/A
B-1198651;ER-CIND-FAZ-PEDRA-RURAL;MONTE SANTO;ANAILTON;;1;1;100%;;LV + ENERGZ;N1 C/ TRF;127095 (EN);;;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 21.323,67;;;;;27/10/2025;31/10/2025;06/10/2025;;TRUE;TRUE;;;D394972;-10,4752186, -39,3080912;E875154 – E875154;https://drive.google.com/file/d/1TqaAjnC2mF93Ls2xR-UZjEIBVRJEP98O/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1198651;Consolidado;N/A
B-1148214;ER-CIND-FAZ-LAGOA DO CURRAL-RURAL;NORDESTINA;ANAILTON;Energizada;7;7;100%;;LV + ENERGZ;N1 C/ TRF;124484(LV)       127076 (EN);;;PLANO 14;PRIORIDADE PLANO ANEEL;;4;57,1%;1;100%;out./1;R$ 49.168,53;;;;;06/10/2025;11/10/2025;06/10/2025;;TRUE;TRUE;;;D366607;-10,8040096, -39,4758105;E875255 – E875261;https://drive.google.com/file/d/1yvEV9rJqX6wwmaH3gnSBC74f17dFloLa/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1148214;Consolidado;N/A
B-1210510;ER-CIND-POV-FAZENDINHA 1-RURAL;NORDESTINA;ANAILTON;Energizada;6;6;100%;;BT;;127112 BT;;;PLANO 14;PRIORIDADE PLANO ANEEL;;3;50,0%;1;100%;out./1;R$ 30.651,90;;;;;13/10/2025;18/10/2025;06/10/2025;;TRUE;TRUE;;;Q102378;-10,8276884, -39,4531101;E875262 – E875267;https://drive.google.com/file/d/1EmLwTSJsWEYWi3rCE-Q_hcditAKJAqcQ/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1210510;Consolidado;N/A
B-1152445;ER-CIND-POV-VARZEA DO CURRAL 10-RURAL;QUEIMADAS;MARCELO;Cancelada;1;1;100%;;LV + BT;1 N1;127518 (LV) 123073 BT;;;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;0;100%;out./1;R$ 8.095,52;;;;;13/10/2025;18/10/2025;13/10/2025;;TRUE;TRUE;;;D205250;-11,0538934, -39,5930657;E875242 – E875242;https://drive.google.com/file/d/1j3oBmyhi1jBoBf0x7hAW8E19CjRIMOzj/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1152445;Descartado;Status Excluído (STATUS)
B-1145042;UB-CIND-RUA-NOVA-ALTO DO S O FRANCISCO;MONTE SANTO;JOSE;Energizada;1;1;100%;;LV + BT;1 CE1;123268 BT 128270(LV);;;PLANO 7;PRIORIDADE PLANO ANEEL;;1;100,0%;1;100%;out./1;R$ 11.163,56;;;;;13/10/2025;18/10/2025;13/10/2025;;TRUE;TRUE;;;D409478;-10,4318307, -39,3245447;E875253 – E875253;https://drive.google.com/file/d/1LxKFeEGfWl3J-ePgzSzfeMIeY2FzXrUl/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1145042;Consolidado;N/A
B-1197007;UB-CIND-RUA-DO ESTADIO-NOVA QUEIMADA;QUEIMADAS;GESONI;Energizada;1;1;100%;;BT;;123303 BT;;;PLANO 7;QLP;;1;100,0%;1;100%;out./1;R$ 8.296,37;;;;;06/10/2025;11/10/2025;06/10/2025;;TRUE;TRUE;FALSE;FALSE;Q103941;-10,9798573, -39,6197173;E875240 – E875240;https://drive.google.com/file/d/15AChqvsfXAn_OmNDLdW_PH5kBLkb3HkD/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1197007;Consolidado;N/A
B-1199123;ER-CIND-POV-CACIMBINHA 100-CACIMBINHA;CANSANÇÃO;JEFFERSON;Energizada;1;1;100%;;BT;;120012 BT;;;PLANO 14;QLP;;1;100,0%;1;100%;out./1;R$ 26.517,08;;;;;06/10/2025;11/10/2025;06/10/2025;;TRUE;TRUE;;;Q101280;-10,7185953, -39,4501851;E875338 – E875341;https://drive.google.com/file/d/1QnO1-jwvYiESE8wBLu8nIHi35UDUJmlH/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1199123;Consolidado;N/A
B-1196034;ER-CIND-POV-VARZEA DO POCO-PONTO NOVO;PONTO NOVO;EDVALDO;Energizada;1;1;100%;;LV + ENERGZ;N1 C/ TRF;124208 (EN) 127678 (LV);;;PLANO 7;REPUTACIONAL;;0;0,0%;1;100%;out./1;R$ 21.721,55;;;;;07/10/2025;11/10/2025;07/10/2025;;;TRUE;;;D001041;-10,9070848, -40,0633912;E875167 – E875167;https://drive.google.com/file/d/1o08oOHhWAfP4YiMBXRYusfBOof53qH20/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1196034;Consolidado;N/A
B-1177165;UB-CIND-LOT-SANTA LUZIA-CAMPO FORMOSO;CAMPO FORMOSO;ISRAEL;Energizada;1;1;100%;;BT;;120740 BT;;;PLANO 7;PRIORIDADE PLANO ANEEL;;1;100,0%;1;100%;out./1;R$ 5.173,29;;;;;13/10/2025;18/10/2025;07/10/2025;;TRUE;TRUE;;;E638583;-10,4962324, -40,3260021;E875174 – E875174;https://drive.google.com/file/d/1tWjFybAZ5ziwb_QPTwSp3qtV26VeEiE8/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1177165;Consolidado;N/A
B-1164103;ER-CIND-FAZ-DE CIMA-CENTRO;QUEIMADAS;GESONI;Energizada;1;1;100%;;LV + ENERGZ;N1 C/ TRF;124337 (EN) 129500 (LV);;;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 13.841,26;;;;;13/10/2025;18/10/2025;13/10/2025;;TRUE;TRUE;;;A264403;-11,1316656, -39,5756908;E875243 – E875243;https://drive.google.com/file/d/11zoiv22zgel_gngVzrIWt3witmat1pVG/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1164103;Consolidado;N/A
B-1149451;ER-CCOL-POV-SITIO DE NANINHA-S D NANINHA;MONTE SANTO;OSMAR;Energizada;1;1;100%;;LV + BT;N1 C/ TRF;127516 (LV) 123017 BT;;121458;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 19.850,67;;;;;13/10/2025;18/10/2025;06/10/2025;;;TRUE;;;A258407;-10,4938987, -39,4047298;E875254 – E875254;https://drive.google.com/file/d/1flkXaUuGURCjBZT6gKNyoXvbiR5jgJ8b/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1149451;Consolidado;N/A
B-1167466;ER CIND FZ VARZEA GRANDE RURAL;QUEIMADAS;GESONI;Energizada;1;1;100%;;LV + ENERGZ;N1 C/ TRF;127521 (LV) 124433 (EN);;123372;PLANO 7;AIC AUDITORIA;;;0,0%;1;100%;out./1;R$ 22.361,91;;;;;20/10/2025;25/10/2025;13/10/2025;;TRUE;TRUE;;;D396531;-10,9530155, -39,9582648;E875239 – E875239;https://drive.google.com/file/d/1GUOmAUJ2XR_JVpbQpWdmioAagkv2VA0t/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1167466;Consolidado;N/A
B-1172911;ER-CIND-RUA-DA PISTA-LOTEAMENTO SONIA;QUEIMADAS;MARCELO;Energizada;1;1;100%;;LV + BT;1 N1;127515 (LV) 122993 BT;;120813;PLANO 7;PRIORIDADE PLANO ANEEL;;1;100,0%;0;100%;out./1;R$ 8.024,25;;;;;13/10/2025;18/10/2025;13/10/2025;;TRUE;TRUE;;;E194712;-10,9876152, -39,6149923;E875244 – E875244;https://drive.google.com/file/d/1hZLL5s7NHT7R9MH8N-f_e7tSInlWanSr/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1172911;Consolidado;N/A
B-1189784;UB-CIND-RUA-AFONSO TOLENTINO 178-URBANA;MONTE SANTO;OSMAR;Energizada;1;1;100%;;BT;;122184 BT;;;PLANO 7;PRIORIDADE PLANO ANEEL;;1;100,0%;1;100%;out./1;R$ 10.251,56;;;;;06/10/2025;11/10/2025;06/10/2025;;;TRUE;;;D700706;-10,4359943, -39,3234803;E875252 – E875252;https://drive.google.com/file/d/1Zn9V8BdUndPiARw3cB1XdnPYXIzdGffs/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1189784;Consolidado;N/A
B-1148717;ER-CIND-POV-LAGINHA-RURAL;QUEIMADAS;GESONI;;1;1;100%;;LV + ENERGZ;N1 C/ TRF;124420 (EN);;123296;PLANO 7;PRIORIDADE PLANO ANEEL;;1;100,0%;1;100%;out./1;R$ 18.416,88;;;;;20/10/2025;25/10/2025;13/10/2025;;TRUE;TRUE;;;D565953;-11,0102411, -39,673026;E875241 – E875241;https://drive.google.com/file/d/1cYkIJgaRRFhfKUBTqgH_ueFQWVUTJ6la/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1148717;Consolidado;N/A
