PROJETO;TITULO;MUNICIPIO;ENCARREGADO;PSTP;OBS;RESUMO;STATUS;CONCRETO;PST EXEC;CAVR;LV;RESUMO LV;Nº PES;DT DESL;DESLIG;% POSTES;% CAVAS;CLIENT.;PLANO;CRITERIO;AVANÇO;CART;V. PROJETO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;ENERGIZAÇÃO;SACADO;PRÉ FECHAMENTO;AS BUILT;DIAS;DEVOLUÇAO;DIAS.1;BOOK;DIAS.2;VISITA PRÉVIA;REFERÊNCIA;LAT;LONG;COORDENADAS;LINK PROJETO;PG'S;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1211882;LD-CCOL-POV. ROMULO CAMPOS-RURAL;ITIUBA;;5;;LV + ENERGZ;Cancelada;0;0;;;1 N1-3;;;NÃO E POSSIVEL;;;1;PLANO 7;QLP;100%;fev./1;R$ 56.320,08;GABRIEL;;16/02/2026;20/02/2026;;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;Q089014;-10,6656649;-39,7442263;-10,6656649, -39,7442263;https://drive.google.com/file/d/1ZlShfdqHg53i_6yF_pkdkV7fC8rqInra/view;E960161 - E960165;;;SENHOR DO BONFIM;2026-02-01;1211882;Descartado;Status Excluído (STATUS)
B-1229382;RC-PREF-RUA-PONTE NOVA-CENTRO;QUEIMADAS;MARCELO;5;FALTA CABO 4 2202040, 3430547 ALÇA 25, ELO 0,5H 536778;DESL + LV;;0;4;5;;1 N4;22221 (D);28/02/2026;SUBS 2 VAOS MT;;;1;PLANO 8;QLP;100%;fev./1;R$ 56.320,08;GABRIEL;;23/02/2026;27/02/2026;02/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;Q104198;-10,966255;-39,6266983;-10,966255, -39,6266983;https://drive.google.com/file/d/1LCuK2VNEOWAEaBD78IbXkHPp9RxnLk5F/view;E960166 - E960170;;;SENHOR DO BONFIM;2026-02-01;1229382;Consolidado;N/A
B-1235222;UB-CIND-RUA-SALVADOR-NOVO PILAR;JAGUARARI;OSMAR;4;ENERGIZADA;BT;Energizada;0;0;4;;;19546 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 26.255,62;ADRIANO;;03/02/2026;06/02/2026;03/02/2026;;12/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;E383460;-9,8867443;-39,9750279;-9,8867443, -39,9750279;https://drive.google.com/file/d/15I_KjRDGKtSZJxg5POltd4Vsl7Q1pFqM/view?usp=drive_link;E960171 - E960175;;;SENHOR DO BONFIM;2026-02-01;1235222;Consolidado;N/A
B-1238247;ER-CIND-FAZ-ITAPICURU-RURAL-ITAPICURU;PINDOBAÇU;VITOR;4;ENERGIZADA;BT;Energizada;4;0;4;;;20280 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 20.120,43;ADRIANO;;16/02/2026;20/02/2026;10/02/2026;;10/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;D920705;-10,7603437;-40,3735219;-10,7603437, -40,3735219;https://drive.google.com/file/d/1wLyG-E0eKtrD--9koEfA8nV7i9vI1ML-/view;E960176 - E960180;;;SENHOR DO BONFIM;2026-02-01;1238247;Consolidado;N/A
B-1218933;ER-CIND-POV-TAPERA-RURAL;MONTE SANTO;ANAILTON;3;ENERGIZADA;DESL;Energizada;3;0;3;;;18365 (D)     25370 BT;20/02/2026;1 PSPT BT;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 17.019,62;GABRIEL;;16/02/2026;20/02/2026;16/02/2026;;21/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;A269213;-10,4765066;-39,3455336;-10,4765066, -39,3455336;https://drive.google.com/file/d/15--7xfkm0ARDRypmDEonZN4SBy1I4MqI/view;E960193 - E960195;;;SENHOR DO BONFIM;2026-02-01;1218933;Consolidado;N/A
B-1227102;UB-CIND-RUA-ALTO DAS POPULARES 80-NORDES;NORDESTINA;ANAILTON;3;ENERGIZADA;BT;Energizada;1;0;3;;;19530 BT;;;;;0;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 20.406,94;GABRIEL;;16/02/2026;20/02/2026;02/02/2026;;10/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;Q101743;-10,8300414;-39,4323508;-10,8300414, -39,4323508;https://drive.google.com/file/d/14eE8IL6rnR8HN6jAoXzkuCLR6BVSiQiq/view;E960199 - E960201;;;SENHOR DO BONFIM;2026-02-01;1227102;Consolidado;N/A
B-1153560;RC-CIND-CJN-CALUNGA-RURAL;MONTE SANTO;ANTONIO;3;ENERGIZADA;DESL + LV;Energizada;3;0;0;;2 PSTP;DESL 19007   //  21868 LV;27/02/2026;SUBS 2 VAOS MT;;;0;PLANO 8;INSTITUCIONAL;100%;fev./1;R$ 35.948,81;GABRIEL;;23/02/2026;27/02/2026;16/02/2026;;27/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;D366345;-10,3720924;-39,2941562;-10,3720924, -39,2941562;https://drive.google.com/file/d/15I_KjRDGKtSZJxg5POltd4Vsl7Q1pFqM/view;E960196 - E960199;;;SENHOR DO BONFIM;2026-02-01;1153560;Consolidado;N/A
B-1219020;UB-CIND-RUA-NOVA-ALTO DA COLINA;MONTE SANTO;MARCELO;3;FALTA 3431760 LAÇO 35;BT;;3;3;2 (1 PENDENTE COMPRESSOR);;;19497 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 17.237,92;GABRIEL;;09/02/2026;13/02/2026;16/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;E592238;-10,4283828;-39,3250001;-10,4283828,-39,3250001;https://drive.google.com/file/d/1P1_YjzmTpcYPiO9N_n6c7bb3TdLg5Dd1/view;E960190 - E960192;;;SENHOR DO BONFIM;2026-02-01;1219020;Consolidado;N/A
B-1239666;ER-CIND-RUA- JOEL ALVES-CENTRO;ITIUBA;GESONI;3;FALTA 3431760 LAÇO 35;BT;;3;0;3;;;20897 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 14.020,77;GABRIEL;;23/02/2026;27/02/2026;09/02/2026;;;FALSE;TRUE;FALSE;Nao concluida;FALSE;Nao concluida;FALSE;Nao concluida;FALSE;Q067141;-10,6836694;-39,8588552;-10,6836694, -39,8588552;https://drive.google.com/file/d/1rrszZusLpMF8hjVoQJJFEiHNeGSeG3xy/view?usp=drive_link;E960227 - E960229;;;SENHOR DO BONFIM;2026-02-01;1239666;Consolidado;N/A
B-1232017;ER-CIND-LOT-JOSE SEVERO HOMEM-RURAL;ITIUBA;GESONI;3;ENERGIZADA;BT;Energizada;1;0;3;;;19520 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 15.669,90;GABRIEL;;09/02/2026;13/02/2026;09/02/2026;;14/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;D512590;-10,6642587;-39,75363;-10,6642587, -39,75363;https://drive.google.com/file/d/1sHwwP4l5ZoiEr1oDAVoSPcbCeEBuZJD-/view;E960187 - E960189;;;SENHOR DO BONFIM;2026-02-01;1232017;Consolidado;N/A
B-1119843;ER-CIND-FAZ-TANQUINHO-RURAL;CAMPO FORMOSO;ISRAEL;3;ENERGIZADA;LV + BT;Energizada;3;0;3;;3 N1;19535 BT  // 22175 LV;;É POSSIVEL;;;1;PLANO 14;RECLAMAÇÃO;100%;fev./1;R$ 19.575,55;EDLECIO;;16/02/2026;20/02/2026;09/02/2026;;19/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;D930606;-10,3143776;-40,8585843;-10,3143776, -40,8585843;https://drive.google.com/file/d/1FkkUevFGcHwmZ-_Mna43D0OMIlFOCUmJ/view;E960184 - E960186;;;SENHOR DO BONFIM;2026-02-01;1119843;Consolidado;N/A
B-1228653;ER-CIND-RUA-DA LINHA-CENTRO-FLAMENGO;JAGUARARI;JEFFERSON;3;ENERGIZADA;DESL + LV + BT + ENERGZ;Energizada;2;0;3;;;1527 BT 1537 EN / DESL 20329;25/02/2026;PENDENTE ANALISE// SUBS TRF E VAOS BT;;;1;PLANO 7;SOLICITAÇÃO ATENDIMENTO;100%;jan./1;R$ 103.250,38;ADRIANO;;16/02/2026;20/02/2026;25/02/2026;;25/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;Q048359;-10,0433385;-40,2269572;-10,0433385, -40,2269572;https://drive.google.com/file/d/1koCRpj2CZnQIsd9IYKN1OYg42zhNUzl_/view;E960181 - E960183;;;SENHOR DO BONFIM;2026-02-01;1228653;Consolidado;N/A
B-1238912;AC-CIND-FAZ JUNCO 520-RURAL;SENHOR DO BONFIM;JOILSON;3;ENERGIZADA;BT;Energizada;0;0;3;;;20899 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 11.231,21;ADRIANO;;16/02/2026;20/02/2026;17/02/2026;;24/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;FALSE;B008655;-10,4832639;-40,0136436;-10,4832639, -40,0136436;https://drive.google.com/file/d/1IdxLDQnisP5cO0D-IZeBSwZzBpDomTe-/view?usp=drive_link;E960221 - E960223;;;SENHOR DO BONFIM;2026-02-01;1238912;Consolidado;N/A
B-1239356;ER-CIND-FAZ-BARRO DE CIMA 450-RURAL;SENHOR DO BONFIM;JOILSON;3;ENERGIZADA;BT;Energizada;0;0;3;;;20900 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 11.713,98;ADRIANO;;16/02/2026;20/02/2026;17/02/2026;;17/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;FALSE;Q038380;-10,5086457;-40,1820484;-10,5086457, -40,1820484;https://drive.google.com/file/d/1aE58Y8bzUTsBlIeEmgqbgm3wSRzRa3NK/view?usp=drive_link;E960224 - E960226;;;SENHOR DO BONFIM;2026-02-01;1239356;Consolidado;N/A
B-1222322;AC-PREF-POV-RIACHO SECO-RURAL;ANDORINHA;ALDAIR;2;ENERGIZADA;DESL;Energizada;2;0;2;;;19572(D);12/02/2026;PENDENTE ANALISE;;;1;PLANO 7;GOVERNO;100%;dez./1;R$ 44.108,41;GABRIEL;;02/02/2026;06/02/2026;05/02/2026;;12/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;D574414;-10,2959073;-40,7210239;-10,2959073, -40,7210239;https://drive.google.com/file/d/1d4XLET9qUCGH5O3CHAL69rbSlbrpuMfx/view?usp=drive_link;E903477 – E903478;;;SENHOR DO BONFIM;2026-02-01;1222322;Consolidado;N/A
B-1132650;ER-CIND-FAZ-LAGOA FORMOSA-LAGOA FORMOSA;MONTE SANTO;ALDAIR;2;ENERGIZADA;LV + ENERGZ;Energizada;0;0;2;;N1 C/ TRF;18620 EN // 21882 LV;;NÃO E POSSIVEL;;;1;PLANO 14;RECLAMAÇÃO;100%;fev./1;R$ 27.457,10;GABRIEL;;16/02/2026;20/02/2026;02/02/2026;;28/02/2026;;TRUE;;23;FALSE;23;TRUE;OK;;P118763;-10,2373031;-39,5073349;-10,2373031, -39,5073349;https://drive.google.com/file/d/1LyAdQKoPV5cZYiDB6dCOE5G4_g1c3Swk/view;E960210 - E960211;;;SENHOR DO BONFIM;2026-02-01;1132650;Consolidado;N/A
B-1238878;ER-CIND-POV-HORIZONTE NOVO 999-RURAL;MONTE SANTO;ALDAIR;2;ENERGIZADA;BT;Energizada;0;0;2;;;20872 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 17.263,72;GABRIEL;;23/02/2026;27/02/2026;16/02/2026;;11/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;FALSE;B048899;-10,3444855;-39,7149467;-10,3444855, -39,7149467;https://drive.google.com/file/d/1Hq-LuMZY-rpyAKUOVYJf0WUpK_eM6awT/view?usp=drive_link;E960219 - E960220;;;SENHOR DO BONFIM;2026-02-01;1238878;Consolidado;N/A
B-1220731;UB-CIND-RUA-EDVALDO A D CARVALHO-CENTRO;CANSANÇÃO;ANAILTON;2;ENERGIZADA;BT;Energizada;2;0;2;;;18631 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 13.620,25;GABRIEL;;16/02/2026;20/02/2026;02/02/2026;;25/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;D172248;-10,668861;-39,5047845;-10,668861, -39,5047845;https://drive.google.com/file/d/175LufnT7T9pMdxa0EhJIgPQ9o3UZN588/view;E960202 - E960203;;;SENHOR DO BONFIM;2026-02-01;1220731;Consolidado;N/A
B-1052311;ER-CIND-POV-SERROTE-RURAL;NORDESTINA;ANAILTON;2;ENERGIZADA;BT;Energizada;2;0;2;;;18636 BT;;;;;1;PLANO 14;SUBSÍDIO DE DEFESA;100%;fev./1;R$ 6.122,24;GABRIEL;;16/02/2026;20/02/2026;02/02/2026;;21/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;D224980;-10,8452114;-39,5146033;-10,8452114, -39,5146033;https://drive.google.com/file/d/1r7eGYPo3NCE1FaumAUxfeIhqJa2i6bQY/view;E960212 - E960213;;;SENHOR DO BONFIM;2026-02-01;1052311;Consolidado;N/A
