PROJETO;TITULO;MUNICIPIO;ENCARREGADO;PSTP;OBS;RESUMO;STATUS;CONCRETO;PST EXEC;CAVR;LV;RESUMO LV;Nº PES;DT DESL;DESLIG;% POSTES;% CAVAS;CLIENT.;PLANO;CRITERIO;AVANÇO;CART;V. PROJETO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;ENERGIZAÇÃO;SACADO;PRÉ FECHAMENTO;AS BUILT;DIAS;DEVOLUÇAO;DIAS.1;BOOK;DIAS.2;VISITA PRÉVIA;REFERÊNCIA;LAT;LONG;COORDENADAS;LINK PROJETO;PG'S;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1238843;ER-CCOL-ET-VELHA 4-RURAL;JAGUARARI;JEFFERSON;2;ENERGIZADA;BT;Energizada;0;0;2;;;18643 BT;;;;;1;PLANO 7;GOVERNO;100%;fev./1;R$ 15.975,59;ADRIANO;;03/02/2026;06/02/2026;03/02/2026;;14/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;E814768;-10,2767108;-40,1794177;-10,2767108, -40,1794177;https://drive.google.com/file/d/1ZnnwqWkJAwP8cRi0ocvDJsmY5DG11zAz/view;E960206 - E960207;;;SENHOR DO BONFIM;2026-02-01;1238843;Consolidado;N/A
B-1217394;ER-CIND-POV-SERRA DOS MORGADOS-RURAL;JAGUARARI;JEFFERSON;2;ENERGIZADA;LV + ENERGZ;Energizada;0;0;2;;1 N1 E N1 C/ TRF;18648 EN  //  21896 LV;;É POSSIVEL;;;1;PLANO 7;RECLAMAÇÃO;100%;fev./1;R$ 27.106,99;ADRIANO;;16/02/2026;20/02/2026;03/02/2026;;18/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;D698760;-10,2481589;-40,2386043;-10,2481589, -40,2386043;https://drive.google.com/file/d/1PA_aQMMfYTiBed0J1hS_Thx4w77xeQn6/view;E960208 - E960209;;;SENHOR DO BONFIM;2026-02-01;1217394;Consolidado;N/A
B-1209354;ER-CIND-RUA-FLAVIO SILVA 10-UMBURANAS;SENHOR DO BONFIM;JOILSON;2;ENERGIZADA;DESL;Energizada;0;0;2;;;14724(D)  // 21594 LV;12/02/2026;(20 VAOS DE ADF E 5 VAOS BT);;;1;PLANO 7;QLP;100%;jan./1;R$ 15.777,43;ADRIANO;;09/02/2026;12/02/2026;04/02/2026;;12/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;Q049888;-10,4589335;-40,1388655;-10,4589335, -40,1388655;https://drive.google.com/file/d/176vmqD-4dtx84CRC_w4PaEq-PdKBFWXJ/view;E937006 – E937007;;;SENHOR DO BONFIM;2026-02-01;1209354;Consolidado;N/A
B-1229071;ER-CIND-ET-VELHA CARRAPICHEL-RURAL;SENHOR DO BONFIM;JOILSON;2;ENERGIZADA;BT;Energizada;0;0;2;;;18123 BT;;;;;2;PLANO 14;QLP;100%;fev./1;R$ 13.023,01;ADRIANO;;02/02/2026;13/02/2026;04/02/2026;;10/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;Q043743;-10,3916105;-40,1605891;-10,3916105, -40,1605891;https://drive.google.com/file/d/169FwUzntD9Wh39Bk56SYNjqsCrJjUbio/view;E960214 - E960215;;;SENHOR DO BONFIM;2026-02-01;1229071;Consolidado;N/A
B-1224366;ER-CIND-POV-AGUADAS S N-RURAL;FILADÉLFIA;REGINALDO;2;ENERGIZADA;BT;Energizada;2;0;2;;;19493 BT;;;;;2;PLANO 14;QLP;100%;fev./1;R$ 14.278,51;ADRIANO;;16/02/2026;20/02/2026;17/02/2026;;17/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;Q039839;-10,681235;-40,1853344;-10,681235, -40,1853344;https://drive.google.com/file/d/1gkuWY6SDgJSX-N19HwAo9F_CXL1YvsUP/view;E960204 - E960205;;;SENHOR DO BONFIM;2026-02-01;1224366;Consolidado;N/A
B-1151586;AC-CIND-LOT-VILA PEIXE-VILA PEIXE;ANDORINHA;ALDAIR;1;ENERGIZADA;DESL + LV;Energizada;1;0;1;Pendente;;LV-150784  19456(D)  // 21850 LV;25/02/2026;PENDENTE ANALISE;;;0;PLANO 7;RECLAMAÇÃO;100%;dez./1;R$ 26.251,94;GABRIEL;;02/02/2026;06/02/2026;05/02/2026;;25/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;D130180;-10,3191272;-39,1863356;-10,3191272, -39,1863356;https://drive.google.com/file/d/1aF3wfEiV0Ka5ZLxYr_1gcyANVlnV3Y_9/view?usp=drive_link;E903442 – E903442;;;SENHOR DO BONFIM;2026-02-01;1151586;Consolidado;N/A
B-1237873;ER-CIND-FAZ-PAU D ARCO-RURAL-PEDRA VERME;MONTE SANTO;ALDAIR;1;ENERGIZADA;BT;Energizada;0;0;1;;;16651 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 6.780,42;GABRIEL;;09/02/2026;13/02/2026;02/02/2026;;10/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;D147548;-10,4175785;-39,5493229;-10,4175785, -39,5493229;https://drive.google.com/file/d/16Jk-v6HM8638rCJkTLlSrrJ_-S8eVtdA/view;E960112;;;SENHOR DO BONFIM;2026-02-01;1237873;Consolidado;N/A
B-1224382;RC-CIND-RUA-FORTALEZA-CENTRO;ANDORINHA;ALDAIR;1;Falta chace faca 34kv 501036, Ver a possibilidade de fazer Revisao;DESL;;1;;0;;;;28/02/2026;SUBS PST;;;0;PLANO 8;REPUTACIONAL;100%;jan./1;R$ 19.178,33;GABRIEL;;23/02/2026;27/02/2026;;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;Q093313;-10,3440237;-39,8314899;-10,3440237, -39,8314899;https://drive.google.com/file/d/1jxOGm6zBipEwb7xClJFj6lI0mjbttWiF/view;E936999;;;SENHOR DO BONFIM;2026-02-01;1224382;Consolidado;N/A
B-1233582;UB-CIND-RUA-GUILHERMINO S REIS-URBANA;NORDESTINA;ANAILTON;1;FALTA 3431760 LAÇO 35;BT;;1;1;0;;;27972 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 6.408,59;GABRIEL;;16/02/2026;20/02/2026;02/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;Q101430;-10,8194333;-39,4258933;-10,8194333, -39,4258933;https://drive.google.com/file/d/13NNJnINwr-hi4I1kUGVuGBe3JRKmbqWJ/view;E960115;;;SENHOR DO BONFIM;2026-02-01;1233582;Consolidado;N/A
B-1218616;UB-CIND-RUA-VERA L ANDRADE-C DAGUA;NORDESTINA;ANAILTON;1;ENERGIZADA;BT;Energizada;1;0;1;;;16660 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 6.038,93;GABRIEL;;16/02/2026;20/02/2026;02/02/2026;;14/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;E609025;-10,82515041;-39,4192863;-10,82515041,-39,4192863;https://drive.google.com/file/d/1sR7UYvHMGNWkeRa5f6sKziJQG4-zgrbH/view;E960114;;;SENHOR DO BONFIM;2026-02-01;1218616;Consolidado;N/A
B-1228614;UB-CIND-RUA-HELIO CARDOSO M-CENTRO;MONTE SANTO;MARCELO;1;FALTA 3431760 LAÇO 35;BT;;1;1;0;;;16726 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 7.426,49;GABRIEL;;09/02/2026;13/02/2026;16/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D007122;-10,4447127;-39,3295066;-10,4447127, -39,3295066;https://drive.google.com/file/d/14fCMK5Qc0YCvMJxR-t36VJm5bsZU7wlh/view;E960113;;;SENHOR DO BONFIM;2026-02-01;1228614;Consolidado;N/A
B-1241389;ER-CIND-FAZ-PEDRA-PEDRA;MONTE SANTO;MARCELO;1;FALTA 3430547 ALÇA 25;BT;;1;1;1;;;20838 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 4.543,60;GABRIEL;;23/02/2026;27/02/2026;16/02/2026;;;FALSE;TRUE;FALSE;Nao concluida;FALSE;Nao concluida;FALSE;Nao concluida;FALSE;D140128;-10,4898294;-39,2916554;-10,4898294, -39,2916554;https://drive.google.com/file/d/1n6e3Yqh5XPNapYfDIosJ3B49YJFIhs-Y/view?usp=drive_link;E960231;;;SENHOR DO BONFIM;2026-02-01;1241389;Consolidado;N/A
B-1233451;AC-CIND-RUA-OSVALDO CAMPOS-CENTRO ITIUBA;ITIUBA;GESONI;1;ENERGIZADA;BT;Energizada;1;0;1;;;16689 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 6.117,09;GABRIEL;;09/02/2026;13/02/2026;09/02/2026;;14/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;Q067476;-10,6853068;-39,8617353;-10,6853068, -39,8617353;https://drive.google.com/file/d/1RnIGJQxEdvdlnM3oggQ5KSl3rgmFD7-P/view;E960111;;;SENHOR DO BONFIM;2026-02-01;1233451;Consolidado;N/A
B-1228829;ER-CIND-POV-RURAL-BREJO GRANDE;CAMPO FORMOSO;ISRAEL;1;ENERGIZADA;BT;Energizada;0;0;1;;;16600 BT;;;;;0;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 5.558,69;EDLECIO;;03/02/2026;13/02/2026;03/02/2026;;07/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;D032740;-10,5290042;-40,4026605;-10,5290042, -40,4026605;https://drive.google.com/file/d/1VIXtkU9aG82andIvCCaNEM8e3OmBvzwR/view;E960110;;;SENHOR DO BONFIM;2026-02-01;1228829;Consolidado;N/A
B-1228487;ER-CIND-POV-QUICE-ENERGIA SOLAR;SENHOR DO BONFIM;JOILSON;1;ENERGIZADA;BT;Energizada;0;0;1;;;16684 BT;;;;;1;PLANO 7;GRUPO A;100%;fev./1;R$ 8.097,07;ADRIANO;;02/02/2026;13/02/2026;04/02/2026;;24/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;D659175;-10,5402603;-40,0287256;-10,5402603, -40,0287256;https://drive.google.com/file/d/1QDQSMGv6EUXOwomSNXt_dT0fUo2dIcgH/view;E960118;;;SENHOR DO BONFIM;2026-02-01;1228487;Consolidado;N/A
B-1241290;UB-CIND-RUA-ALTO RAINHA-ALTO DA COLINA;SENHOR DO BONFIM;JOILSON;1;ENERGIZADA;BT;Energizada;0;0;1;;;20803 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 4.178,83;ADRIANO;;16/02/2026;20/02/2026;17/02/2026;;18/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;FALSE;Q050645;-10,449225;-40,1815043;-10,449225, -40,1815043;https://drive.google.com/file/d/1BPIeYCErCApK8n6lwJk05rcKT2uvbxmt/view?usp=drive_link;E960230;;;SENHOR DO BONFIM;2026-02-01;1241290;Consolidado;N/A
B-1237631;AC-CIND-ET-VELHA CARRAPICHEL-RURAL;SENHOR DO BONFIM;JOILSON;1;ENERGIZADA;LV + ENERGZ;Energizada;0;0;1;;1 N1 C/TRF;20817 EN  // 22455 LV;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 28.460,33;ADRIANO;;16/02/2026;20/02/2026;17/02/2026;;19/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;FALSE;B167368;-10,3931652;-40,1705598;-10,3931652, -40,1705598;https://drive.google.com/file/d/1sZBfoc8kjRz4mCoi0UX0vLDrueRqZJUn/view?usp=drive_link;E960218;;;SENHOR DO BONFIM;2026-02-01;1237631;Consolidado;N/A
B-1230915;UB-CIND-RUA-SONIA MARIA-LOT SONIA MARIA;QUEIMADAS;ANAILTON;1;ENERGIZADA;BT;Energizada;0;0;0;;;16667 BT;;;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 7.663,04;GABRIEL;;09/02/2026;13/02/2026;02/02/2026;;27/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;D123181;-10,9843702;-39,6206785;-10,9843702, -39,6206785;https://drive.google.com/file/d/1eXS64EqJeaBDBtry4E7-W-QKeGw9WMOy/view;E960117;;;SENHOR DO BONFIM;2026-02-01;1230915;Consolidado;N/A
B-1233495;AC-PREF-PR -LEONIDAS FREIRE 2-CENTRO;PONTO NOVO;REGINALDO;1;ENERGIZADA;DESL + LV;Energizada;0;0;1;;1 N1 C/ TRF;18494 (D)  // 21610 LV;27/02/2026;1 PSTP EM REDE NUA;;;1;PLANO 7;GOVERNO;100%;fev./1;R$ 39.456,98;ADRIANO;;23/02/2026;27/02/2026;17/02/2026;;27/02/2026;TRUE;TRUE;TRUE;OK;FALSE;OK;TRUE;OK;;Q054112;-10,8620149;-40,1334201;-10,8620149, -40,1334201;https://drive.google.com/file/d/119JQA9DmhQAe6dJgSXF1ArALI2Yk-PdJ/view;E960116;;;SENHOR DO BONFIM;2026-02-01;1233495;Consolidado;N/A
B-1156736;EQ - GRUA AG. BELA VISTA - RURAL;CAMPO FORMOSO;;0;DEPENDE DE 9102038829;LV + ENERGZ;Paralisada;0;0;;;RELIG;;;NÃO E POSSIVEL;;;0;PLANO 7;MMGD;100%;fev./1;R$ 89.560,07;EDLECIO;;;;;;;;;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;;;;;https://drive.google.com/file/d/16sdX5zPfnnuBMBBm86O_x6JE501t67ir/view;;;;SENHOR DO BONFIM;2026-02-01;1156736;Consolidado;N/A
B-1221762;AC-CIND-AV-V OSVALDO CAMPOS-CENTRO;ITIUBA;GESONI;0;ENERGIZADA;DESL;Energizada;0;0;0;;;18404 (D);24/02/2026;SUBS TRF;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 21.160,33;GABRIEL;;23/02/2026;27/02/2026;09/02/2026;;25/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;Q067326;-10,6870918;-39,8628609;-10,6870918, -39,8628609;https://drive.google.com/file/d/1apUGiDZg542GMhBEDAugyiIYIYWGmWUp/view?usp=drive_link;;;;SENHOR DO BONFIM;2026-02-01;1221762;Consolidado;N/A
B-1225551;ER-CIND-POV-MANGABEIRA-RURAL;ITIUBA;GESONI;0;FALTA TRAFO 211235 3-75 34KV, 536780 - ELO 2H , CONECT ESTRIBO 2403000;LV + ENERGZ;;0;;0;;TRF;16650 EN  //  22077 LV;;NÃO E POSSIVEL;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 43.640,11;GABRIEL;;09/02/2026;13/02/2026;09/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;E636244;-10,853805;-39,785199;-10,853805, -39,785199;https://drive.google.com/file/d/1pHHwtGPbO4CAQyihfKV_OajU_ouh8s8r/view?usp=drive_link;;;;SENHOR DO BONFIM;2026-02-01;1225551;Consolidado;N/A
B-1218777;AC-CIND-FAZ-TEREZA 2-RURAL;CAMPO FORMOSO;ISRAEL;0;FALTA 210448 - TRAFO 3F 112,5KVA, 536783 - ELO  5H , CONECT ESTRIBO 2403000;DESL;;0;;0;;;18299 (D);20/02/2026;SUBS TRF;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 39.546,25;EDLECIO;;16/02/2026;20/02/2026;09/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;E157792;-10,450478;-40,677286;-10,450478, -40,677286;https://drive.google.com/file/d/1qo5oZmUJCBPFBUTD2D-ugtmAwwnoEE7W/view?usp=drive_link;;;;SENHOR DO BONFIM;2026-02-01;1218777;Consolidado;N/A
B-1234730;AC-CIND-RUA-DO LIMOEIRO-CENTRO-LIMOEIRO;CAMPO FORMOSO;;0;;DESL;Cancelada;0;0;;;;;;SUBS TRF;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 23.583,60;EDLECIO;;16/02/2026;19/02/2026;03/02/2026;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;Z012263;-10,5431072;-40,3691013;-10,5431072, -40,3691013;https://drive.google.com/file/d/151AA1xmpuhPIS3bcyNUmG8sQx4eFbGB3/view?usp=drive_link;;;;SENHOR DO BONFIM;2026-02-01;1234730;Descartado;Status Excluído (STATUS)
B-1237560;ER-CIND-POV-GAMELEIRA-RURAL;CAMPO FORMOSO;;0;;LV + ENERGZ;Cancelada;0;;;;TRF;16641 EN;;NÃO E POSSIVEL;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 21.301,93;EDLECIO;;03/02/2026;06/02/2026;03/02/2026;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D271827;-10,5220107;-40,3294311;-10,5220107, -40,3294311;https://drive.google.com/file/d/15HfLgF-iS2lXcvPJw4qPpHPjbiTn3_oh/view?usp=drive_link;;;;SENHOR DO BONFIM;2026-02-01;1237560;Descartado;Status Excluído (STATUS)
B-1225834;AC-CIND-POV-CONCEICAO-RURAL;JAGUARARI;;0;;DESL + LV;Cancelada;0;;;;CH;14748(D)  //  22071 LV;;SUBS TRF;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 17.624,09;ADRIANO;;09/02/2026;13/02/2026;03/02/2026;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D197055;-10,0361268;-40,1562247;-10,0361268, -40,1562247;https://drive.google.com/file/d/1iatETkgdgTdpoIaH3lVO37MHploSJ5rJ/view?usp=drive_link;;;;SENHOR DO BONFIM;2026-02-01;1225834;Descartado;Status Excluído (STATUS)
B-1230777;AC-CIND-RUA-SAIDA P DIOGO 1-JACUNA;JAGUARARI;;0;;DESL;Cancelada;0;0;;;;;;SUBS TRF;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 27.374,27;ADRIANO;;;;03/02/2026;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;Q047326;-10,2329782;-40,0987544;-10,2329782, -40,0987544;https://drive.google.com/file/d/1wW2rc4BIRhmoGUft5FouDWS8xVOJJ5EF/view?usp=drive_link;;;;SENHOR DO BONFIM;2026-02-01;1230777;Descartado;Status Excluído (STATUS)
B-1227020;ER-CIND-POV-ABOBORA 7-RURAL;JAGUARARI;;0;;LV + ENERGZ;Cancelada;0;;;;TRF;16625 EN;;É POSSIVEL;;;1;PLANO 7;OBRAS ÁGEIS;100%;fev./1;R$ 12.792,43;ADRIANO;;03/02/2026;06/02/2026;03/02/2026;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;E357511;-9,874637;-40,032492;-9,874637, -40,032492;https://drive.google.com/file/d/10ItCWdXhM_YhPSUEFs_AzD1OwUl6JL9Z/view?usp=drive_link;;;;SENHOR DO BONFIM;2026-02-01;1227020;Descartado;Status Excluído (STATUS)
B-1164073;AC-CIND-FAZ-SITIO 1-ALECRIM;QUEIMADAS;MARCELO;0;;LV + ENERGZ;Paralisada;0;;0;;N3;16606 EN  //  22018 LV;;É POSSIVEL;;;1;PLANO 7;QLP;100%;fev./1;R$ 2.969,50;GABRIEL;;09/02/2026;13/02/2026;02/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;Q100028;-10,9976335;-39,8376467;-10,9976335, -39,8376467;https://drive.google.com/file/d/1G5w0bX8TmX8IUW8NMO-qld9CqXm0KU34/view;;;;SENHOR DO BONFIM;2026-02-01;1164073;Consolidado;N/A
B-1235886;ER-CIND-POV-MAMAO-RURAL - SENHOR;SENHOR DO BONFIM;JOILSON;0;ENERGIZADA;BT;Energizada;0;0;0;;;16645 BT;;;;;1;PLANO 7;QLP;100%;fev./1;R$ 2.627,67;ADRIANO;;02/02/2026;13/02/2026;04/02/2026;;10/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;Q044428;-10,3876749;-40,1964778;-10,3876749, -40,1964778;https://drive.google.com/file/d/1jWKIjZZUcGIJdg0yMtUg8HDdCesZxQ5h/view;;;;SENHOR DO BONFIM;2026-02-01;1235886;Consolidado;N/A
B-1232913;ER-CIND-FAZ-PILOES 202-C FORMOSO;CAMPO FORMOSO;JOSE ROBERTO;0;ENERGIZADA;BT;Energizada;0;0;0;;;16628 BT;;;;;1;PLANO 7;QLP;100%;fev./1;R$ 1.824,52;EDLECIO;;03/02/2026;13/02/2026;03/02/2026;;09/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;B929521;-10,48472384;-40,3680194;-10,48472384,-40,3680194;https://drive.google.com/file/d/11lvvOb-kKdzdeWFo93_L7qectVonBnzZ/view;;;;SENHOR DO BONFIM;2026-02-01;1232913;Consolidado;N/A
B-1127253;AC-CIND-FAZ-VARZEA DO CURRAL-RURAL;PONTO NOVO;REGINALDO;0;ENERGIZADA;DESL;Energizada;0;0;0;;;18334 (D);20/02/2026;SUB TRF;;;0;PLANO 7;RECLAMAÇÃO;100%;fev./1;R$ 21.505,60;ADRIANO;;16/02/2026;20/02/2026;17/02/2026;;21/02/2026;TRUE;TRUE;TRUE;OK;TRUE;OK;TRUE;OK;;D003025;-10,8457883;-40,1147171;-10,8457883, -40,1147171;https://drive.google.com/file/d/12CiKXTuMRHQZvsh-Kot7zy-zcd2GW8bS/view;;;;SENHOR DO BONFIM;2026-02-01;1127253;Consolidado;N/A
B-1155089;EQ-GRUA-AG CANDICO FONSECA-RURAL;SENHOR DO BONFIM;;0;DEPENDE DE 9102065620;LV + ENERGZ;Paralisada;0;0;;;RELIG;;;NÃO E POSSIVEL;;;0;PLANO 7;MMGD;100%;fev./1;R$ 93.817,53;;;;;;;;;;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;;;;;https://drive.google.com/file/d/1ZuHCfaSHIwLmF5_-f_K3C4RIxzerz3qK/view;;;;SENHOR DO BONFIM;2026-02-01;1155089;Consolidado;N/A
