CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
SOLICITAÇÃO ATENDIMENTO;9101977212;1115260;AC-CIND-RUA-PADRE JOAO FRE-CENTRO;PILÃO ARCADO;;;ENTREGAR;25/03;NÃO INICIADA;1;4;;;;;PLANO 7;100%;R$ 69.502,35;R$ 17.375,59;01/03/2025;25/03/2025;;PAULO JUNIOR;DIEGO;-10,000539;-42,480473;;;;;;;1016690/APROVADA;E710834;E710841;JUAZEIRO;2025-03-01;1115260;Consolidado;N/A
RECLAMAÇÃO;9102051837;1139824;RR-CIND-POV- TIGRE -RURAL;CASA NOVA;;;ENERGIZADA;;CONCLUIDA;1;3;;;;;PLANO 7;100%;R$ 36.755,22;;11/03/2025;11/03/2025;;PAULO JUNIOR;DIEGO;-9,124540464;-40,9898488;;mar.-25;;;;;DA PLANILHA;E619709;E619711;JUAZEIRO;2025-03-01;1139824;Consolidado;N/A
QLP;9102045961;1135898;ER-CIND-POV-CARNAIBA DO SERTAO-RURAL;JUAZEIRO;;;;;RETIRADA;1;3;;;;;PLANO 7;100%;R$ 13.874,74;;;;;;EDVALDO;;;;mar.-25;;;;;;;;JUAZEIRO;2025-03-01;1135898;Descartado;Status Excluído (STATUS, STATUS 1)
AL/MELHORAMENTO;9102125740;1161662;ME-COEL-RUA-TIRADENTES 1-CENTRO-C ALEGRE;CAMPO ALEGRE DE LOURDES;;;MIGRAR;;NÃO INICIADA;0;3;;;;;PLANO 8;100%;R$ 803.302,22;;14/03/2025;15/03/2025;;;DEBORA;-9,354759;-43,401637;;mar.-25;;;;;DA PLANILHA;E619864;E619866;JUAZEIRO;2025-03-01;1161662;Consolidado;N/A
GRUPO A;9102238566;1193657;RR-GRUA-FAZ-VERMELHO-RURAL;JUAZEIRO;;;CAPACITOR 29/03;;NÃO INICIADA;0;3;;;;;PLANO 8;100%;;;10/03/2025;14/03/2025;JUAREZ;EDIE JONNES;VICTOR;;;;mar.-25;;;;;DA PLANILHA;E619946;E619948;JUAZEIRO;2025-03-01;1193657;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102155833;1182129;ER-CCOL-POV-RIACHO D SOBRADO-RURAL;CASA NOVA;;;MIGRAR;;NÃO INICIADA;3;3;;;;;PLANO 7;100%;R$ 16.429,42;;01/03/2025;29/03/2025;;PAULO JUNIOR;DIEGO;;;;mar.-25;;;;;DA PLANILHA;E619958;E619960;JUAZEIRO;2025-03-01;1182129;Consolidado;N/A
DIA C;9102135946;1164443;ER-CCOL-RUA-GUTEMBERG FERRAZ-RURAL;SOBRADINHO;11/03;ok;PES 37102 OC 77298;31/03;CONCLUIDA;1;3;;3;;2;PLANO 7;100%;R$ 38.322,04;;14/03/2025;14/03/2025;FERNANDO;SANTIAGO;SANDRO;-9,454806;-40,827582;;mar.-25;;;;;DA PLANILHA;E619963;E619965;JUAZEIRO;2025-03-01;1164443;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102158911;1183616;UB-CIND-RUA- PROJETADA 21-M DA AREIA;JUAZEIRO;;;;;RETIRADA;0;3;;;;;PLANO 7;100%;R$ 17.036,78;;;;;;EDVALDO;;;;mar.-25;;;;;;;;JUAZEIRO;2025-03-01;1183616;Descartado;Status Excluído (STATUS, STATUS 1)
MELHORIA;9102159911;1175928;IE - CJ DE MEDI  O - D005912;JUAZEIRO;;;ENERGIZADA;;CONCLUIDA;1;3;;;;;;100%;R$ 207.307,57;R$ 62.192,27;01/03/2025;05/03/2025;GISMARIO;ANDERSON;VICTOR COSTA;-9,356053936;-40,4164879;;;;;;;DA PLANILHA;E688663;E688665;JUAZEIRO;2025-03-01;1175928;Consolidado;N/A
AL/MELHORAMENTO;9101915089;1088191;AL - 01V8 - NOVA TOUR O - CONSTRU  O;JUAZEIRO;;;ENTREGA;;EM EXECUÇÃO;0;3;;;;;PLANO 1;100%;R$ 224.034,66;R$ 56.008,67;01/03/2025;31/03/2025;IVONALDO;RODRIGUES;SANDRO;-9,436886049;-40,38081355;;;;;;;DA PLANILHA;E620080;E620082;JUAZEIRO;2025-03-01;1088191;Consolidado;N/A
