ID;PROJETO;TITULO;MUNICIPIO;ENERGIZAÇÃO;ENTRADA;DIAS P/ ENTREGA;POSTES;CLIENTES;TECNICO;FECHAMENTO;AS BUILT;GSE;DT. SOL;ATESTO;DT. SOL.1;RESERVAS;DT. SOL.2;VALOR MAO DE OBRA LV;VALOR Á FATURAR DISTRI. DE POSTES;VALOR Á FATURAR LM;VALOR PENDENTE FATURAR;VALOR PROJETO;TIPO PENDENCIA;PENDENCIA;SUPERVISOR;TURMA;DT POSTAGEM;GEOEX;CICLO DE POSTAGEM;ANO;DATA ANALISE;UNITIZADO;TEMPO PARA ACEITE;DA ENTREGA A POSTAGEM;COORD;DIAS;DT. SOLIC;DT. SOLIC.1;DT. SOLIC.2;OBS;EVIDENCIAS;REALIZADO;DT. REALIZADO;ESTAGIÁRIO;DIAS ENTR. FECHA.;DESCRIÇÃO PENDÊNCIA;"VL FATURADO ""MED. PARCIAL""";UTEP;ULTIMA POSTAGEM;OBRAS SIMPLIFICADAS;EVIDENCIAS BOOK;PENDENCIAS;Column 38;DIAS EM FECHAM.;DIAS P/ ENTR. AS BUILT
LPT;B-1148818;MP-CIND-POV-AVN PRINCIPAL-JEQUITIBA RURA;MUNDO NOVO;29/03/2025;09/04/2025;11,0;23,0;;RAFAELLA;12/4/2025;11/4/2025;Conciliado;14/04/2025;Aprovado;;;;R$ 1.897,09;R$ 4.377,86;R$ 41.183,01;R$ 47.457,96;R$ 199.621,70;;Coelba;GABRIEL;JOÃOZITO;24/4/2025;Aceita;Maio;;6/5/2025;Sim;38;15;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1173826;ER-CIND-RUA-DO PREDIO-RURAL DELFINO;UMBURANAS;29/03/2025;08/04/2025;10,0;4,0;;RAFAELLA;9/4/2025;9/4/2025;Conciliado;14/04/2025;;;;;;;R$ 6.449,20;R$ 6.449,20;R$ 27.457,75;;Coelba;GABRIEL;LUCIANO;16/4/2025;Aceita;Abril;;17/4/2025;Sim;19;8;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-0924090;ER-CIND-POV CANJERANA-URBANO;MUNDO NOVO;31/03/2025;11/04/2025;11,0;8,0;;ALEXANDRE;3/5/2025;3/5/2025;Conciliado;06/05/2025;Aprovado;03/05/2025;Movimentado;;R$ 2.171,25;R$ 1.522,73;R$ 13.606,59;R$ 17.300,57;R$ 30.506,54;;Coelba;GABRIEL;HEMORGENES;16/5/2025;Aceita;Maio;;20/5/2025;Sim;50;35;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1148629;ER-CIND-FAZ-QUEIMADA NOVA-RURAL;BAIXA GRANDE;31/03/2025;11/04/2025;11,0;2,0;;LARISSA;14/4/2025;14/4/2025;Conciliado;25/04/2025;;;;;R$ 3.178,04;R$ 380,68;R$ 3.064,56;R$ 6.623,28;R$ 13.421,46;;Coelba;GABRIEL;JOSÉ MISAEL;8/5/2025;Aceita;Maio;;14/5/2025;Sim;44;27;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1161168;MP-CIND-POV LAGEDO RASO-TIQUARA-RURAL;CAMPO FORMOSO;31/03/2025;10/04/2025;10,0;15,0;;LARISSA;14/4/2025;14/4/2025;Conciliado;25/04/2025;;;;;;R$ 2.855,10;R$ 43.776,35;R$ 46.631,45;R$ 136.141,73;;Coelba;EDILECIO;ANTONIO;29/4/2025;Aceita;Maio;;8/5/2025;Sim;38;19;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1146336;RR-CIND-POV-CURRALINHO-RURAL;CAMPO FORMOSO;01/04/2025;11/04/2025;10,0;12,0;2;ALEXANDRE;22/4/2025;22/4/2025;Conciliado;23/04/2025;Aprovado;;Movimentado;;;R$ 2.284,08;R$ 34.567,83;R$ 36.851,91;R$ 95.944,40;;Coelba;EDILECIO;ANTONIO;15/5/2025;Aceita;Maio;;17/5/2025;Sim;46;34;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1098618;MP CIND POV EUCALIPTO RURAL;MUNDO NOVO;02/04/2025;09/04/2025;7,0;38,0;2;RAFAELLA;11/4/2025;10/4/2025;Conciliado;12/04/2025;Aprovado;;;;R$ 3.164,45;;R$ 73.701,22;R$ 76.865,67;R$ 458.625,84;;Coelba;GABRIEL;HEMORGENES;16/4/2025;Aceita;Abril;;17/4/2025;Sim;15;7;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1146061;ER-CIND-SI-GENIO-RURAL;CAMPO FORMOSO;02/04/2025;11/04/2025;9,0;5,0;1;LARISSA;15/4/2025;15/4/2025;Conciliado;26/04/2025;;;Movimentado;;;R$951,71;R$ 8.184,71;R$ 8.184,71;R$ 50.535,86;;Coelba;;;9/6/2025;Aceita;Junho;;14/6/2025;Sim;73;59;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1177859;KIT - CIND-SI-GENIO-RURAL;CAMPO FORMOSO;02/04/2025;11/04/2025;9,0;;;LARISSA;15/4/2025;15/4/2025;;;;;;;;;R$ 341,27;R$ 341,27;;APTA PARA UNITIZAÇÃO;Coelba;;;9/6/2025;Aceita;Junho;;14/6/2025;Sim;73;59;JACOBINA;;;;;;;;;;;;;;;;;;;;
LPT;B-1177860;MED - CIND-SI-GENIO-RURAL;CAMPO FORMOSO;02/04/2025;11/04/2025;9,0;;;LARISSA;15/4/2025;15/4/2025;;;;;;;;;R$ 179,25;R$ 179,25;;;Coelba;;;9/6/2025;Aceita;Junho;;14/6/2025;Sim;73;59;JACOBINA;;;;;;;;;;;;;;;;;;;;
