ID;PROJETO;TITULO;MUNICIPIO;ENERGIZAÇÃO;ENTRADA;DIAS P/ ENTREGA;POSTES;CLIENTES;TECNICO;FECHAMENTO;AS BUILT;GSE;DT. SOL;ATESTO;DT. SOL.1;RESERVAS;DT. SOL.2;VALOR MAO DE OBRA LV;VALOR Á FATURAR DISTRI. DE POSTES;VALOR Á FATURAR LM;VALOR PENDENTE FATURAR;VALOR PROJETO;TIPO PENDENCIA;PENDENCIA;SUPERVISOR;TURMA;DT POSTAGEM;GEOEX;CICLO DE POSTAGEM;ANO;DATA ANALISE;UNITIZADO;TEMPO PARA ACEITE;DA ENTREGA A POSTAGEM;COORD;DIAS;DT. SOLIC;DT. SOLIC.1;DT. SOLIC.2;OBS;EVIDENCIAS;REALIZADO;DT. REALIZADO;ESTAGIÁRIO;DIAS ENTR. FECHA.;DESCRIÇÃO PENDÊNCIA;"VL FATURADO ""MED. PARCIAL""";UTEP;ULTIMA POSTAGEM;OBRAS SIMPLIFICADAS;EVIDENCIAS BOOK;PENDENCIAS;Column 38;DIAS EM FECHAM.;DIAS P/ ENTR. AS BUILT
LPT-MED;B-1194322;MD-CIND POV JUNCO SALITRE RURAL;JUAZEIRO;25/09/2025;26/09/2025;;0,0;;BRUNO;;SIM;Conciliado;;;;Movimentado;;;;R$ 174,04;;R$ 1.086,74;Sem pendencia;Coelba;MICHEL;LIGAÇÃO;30/10/2025;Aceita;Novembro;;;;;;JUAZEIRO;112;;;;;;;;BRUNO;1.0;;;JUAZEIRO;;;;;;;
LPT-KIT;B-1194287;KT-CIND POV JUNCO SALITRE RURAL;JUAZEIRO;25/09/2025;26/09/2025;;0,0;;BRUNO;;SIM;Conciliado;;;;Movimentado;;;;R$ 331,35;;R$ 2.174,12;Sem pendencia;Coelba;MICHEL;LIGAÇÃO;30/10/2025;Aceita;Novembro;;;;;;JUAZEIRO;112;;;;;;;;BRUNO;1.0;;;JUAZEIRO;;;;;;;
UTEP;B-1210160;ER-CIND-POV-POCO DE PEDRA-RURAL - CASA;CASA NOVA;15/10/2025;16/10/2025;;2,0;;CAIO;;SIM;Conciliado;;;;Movimentado;; R$  -   ; R$  369,61 ;R$ 3.769,61;;R$ 16.346,65;Sem pendencia;Coelba;MICHEL;CARLOS LIMA;31/10/2025;Aceita;Novembro;;;;;;JUAZEIRO;92;;;;;;;;CAIO;1.0;OBRA ÁGIL; R$  -   ;REMANSO;;SIM;;;;;
UTEP;B-1205921;ER-CIND-POV-TELHEIRO-TELHEIRO;REMANSO;15/08/2025;15/08/2025;;1,0;;JORGE;;SIM;Conciliado;;;;Movimentado;; R$  -   ; R$  184,80 ;R$ 1.884,80;;R$ 22.894,49;Sem pendencia;Coelba;JORGE RESSUREIÇÃO;JORGE RESSUREIÇÃO;31/10/2025;Aceita;Novembro;;;;;;JUAZEIRO;153;;;;;;;;JORGE;0.0;; R$  -   ;REMANSO;;SIM;ETIQUETA NÃO SIMPLIFICADA;;;;
UTEP;B-1185166;AC-CIND-FAZ-SÃO JOAQUIM-RURAL;SOBRADINHO;30/09/2025;01/10/2025;;1,0;;MATEUS;;SIM;Conciliado;22/10/2025;;;Movimentado;22/10/2025; R$  -   ; R$  184,80 ;R$ 6.285,35;;R$ 54.933,93;Sem pendencia;Coelba;ANDERSON;PEDRO BATISTA;01/11/2025;Aceita;Novembro;;;;;;JUAZEIRO;107;;;;;;;;LUCAS;1.0;; R$  -   ;JUAZEIRO;;SIM;;;;;
UTEP;B-1206677;RR CIND FZ MACHADO PINHOES;JUAZEIRO;23/09/2025;26/09/2025;;2,0;;LUCAS;;SIM;Conciliado;02/10/2025;;;Movimentado;; R$  3.197,25 ; R$  369,61 ;R$ 7.001,49;;R$ 32.360,91;Sem pendencia;Coelba;EDIE JONNES;GISMARIO;03/11/2025;Aceita;Novembro;;;;;;JUAZEIRO;114;;;;;;;;LUCAS;3.0;; R$  -   ;JUAZEIRO;;SIM;;;;;
UTEP;B-1215350;AC-GOVE-RUA-7 DE SETEMBRO-CENTRO ;UAUÁ;16/09/2025;22/09/2025;;2,0;;BRUNO;;SIM;Conciliado;;;;Movimentado;; R$  -   ; R$  369,61 ;R$ 10.288,36;;R$ 56.213,34;Sem pendencia;Coelba;EDIE JONNES;JUAREZ;05/11/2025;Aceita;Novembro;;;Nao;;;JUAZEIRO;121;;;;;;;;BRUNO;6.0;; R$  -   ;JUAZEIRO;;SIM;;;;;
LPT - MED;B-1144802;MED MP CIND POV LAGOA DOS CAVALOS RURAL;JUAZEIRO;23/09/2025;03/10/2025;;0,0;;BEATRIZ;;SIM;Conciliado;16/10/2025;Postado;;Movimentado;10/10/2025; R$  -   ; R$  -   ; R$  127,22 ;; R$  -   ;Sem pendencia;Coelba;MICHEL;LIGAÇÃO;23/10/2025;Aceita;Novembro;;10/11/2025;Nao;;;JUAZEIRO;114;;;;;;;;BEATRIZ;10.0;PONTOS POSTADOS NO CES; R$  -   ;JUAZEIRO;04/11/2025;NÃO;ETIQUETA NÃO SIMPLIFICADA;;;;
UTEP;B-1144796;MP-CCOL-POV.LAGOA DOS CAVALOS-RURAL;JUAZEIRO;23/09/2025;03/10/2025;;19,0;;BEATRIZ;;SIM;Conciliado;16/10/2025;Postado;;Movimentado;10/10/2025; R$  841,49 ; R$  3.511,26 ; R$  64.210,47 ;; R$  136.998,34 ;Sem pendencia;Coelba;SANTIAGO;IVONALDO;23/10/2025;Aceita;Novembro;;10/11/2025;Nao;;;JUAZEIRO;114;;;;;;;;BEATRIZ;10.0;PONTOS POSTADOS NO CES; R$  -   ;JUAZEIRO;04/11/2025;NÃO;ETIQUETA NÃO SIMPLIFICADA;;;;
LPT - KIT;B-1228786;KT-CCOL-POV.LAGOA DOS CAVALOS-RURAL;JUAZEIRO;23/09/2025;03/10/2025;;0,0;;BEATRIZ;;SIM;Conciliado;16/10/2025;Postado;;Movimentado;10/10/2025; R$  -   ; R$  -   ; R$  284,84 ;; R$  -   ;Sem pendencia;Coelba;MICHEL;LIGAÇÃO;23/10/2025;Aceita;Novembro;;10/11/2025;Nao;;;JUAZEIRO;114;;;;;;;;BEATRIZ;10.0;PONTOS POSTADOS NO CES; R$  -   ;JUAZEIRO;04/11/2025;NÃO;ETIQUETA NÃO SIMPLIFICADA;;;;
UTEP;B-1182613;AC-CIND-FAZ-RIO SALITRE-RURAL;JUAZEIRO;17/06/2025;19/06/2025;;1,0;;BRUNO;;SIM;Conciliado;;;;Movimentado;04/07/2025; R$  -   ; R$  184,80 ;R$ 2.952,13;;R$ 24.931,23;Sem pendencia;Coelba;ANDERSON;PEDRO LINO ;17/07/2025;Aceita;Novembro;;;Nao;;;JUAZEIRO;212;;;;;;;;BRUNO;2.0;; R$  -   ;JUAZEIRO;07/11/2025;NÃO;ETIQUETA NÃO SIMPLIFICADA;;;;
UTEP;B-1221230;ER-CIND-POV-DE ALGODAO NOVO 76-RURAL;SOBRADINHO;13/10/2025;14/10/2025;;1,0;;MATEUS;;SIM;Conciliado;21/10/2025;;;Movimentado;17/10/2025; R$  4.378,98 ; R$  184,80 ;R$ 7.231,58;;R$ 21.350,93;Sem pendencia;Coelba;EDIE JONNES;JUAREZ;05/11/2025;Aceita;Novembro;;;;;;JUAZEIRO;94;;;;;;;;MATEUS;1.0;INSERIR RESPONSAVEL; R$  -   ;JUAZEIRO;;SIM;;;;;
UTEP;B-1167478;ER-CIND-POV-CANAA 3-RURAL;SOBRADINHO;13/08/2025;14/08/2025;;1,0;;BEATRIZ;;SIM;Conciliado;30/10/2025;;;Movimentado;30/10/2025; R$  4.378,98 ; R$  214,48 ;R$ 7.165,23;;R$ 18.515,05;Sem pendencia;Coelba;ANDERSON;PEDRO BATISTA;03/11/2025;Aceita;Novembro;;12/11/2025;Nao;;;JUAZEIRO;155;;;;;;;;BEATRIZ;1.0;; R$  -   ;JUAZEIRO;06/11/2025;SIM;APROVADA;;;;
UTEP;B-1198655;ER-CIND-CJN-PROJETO CURACA 2-CT-CURACA I;JUAZEIRO;14/10/2025;20/10/2025;;0,0;;BEATRIZ;;SIM;Conciliado;31/10/2025;;;Movimentado;; R$  2.125,33 ; R$  -   ;R$ 2.954,05;;R$ 20.298,87;Sem pendencia;Coelba;EDIE JONNES;JUAREZ;06/11/2025;Aceita;Novembro;;12/11/2025;Nao;;;JUAZEIRO;93;;;;;;;;LUCAS;6.0;; R$  -   ;JUAZEIRO;;NÃO;ETIQUETA NÃO SIMPLIFICADA;;;;
UTEP;B-1207641;AC-CIND-ROD-LOMANTO JUNIOR-D INDUST;JUAZEIRO;04/10/2025;06/10/2025;;0,0;;GUILHERME;;SIM;Conciliado;14/10/2025;;;Movimentado;14/10/2025; R$  -   ; R$  -   ;R$ 2.106,03;;R$ 43.494,13;Sem pendencia;Coelba;ANDERSON;PEDRO LINO;05/11/2025;Aceita;Novembro;;;;;;JUAZEIRO;103;;;;;;;;GUILHERME;2.0; PONTOS POSTADOS NO CES ; R$  -   ;JUAZEIRO;11/11/2025;SIM;;;;;
UTEP;B-1179465;ER-CIND-POV-CALCADO 552-RURAL;CURAÇÁ;25/10/2025;27/10/2025;;1,0;;BRUNO;;SIM;Conciliado;;;28/10/2025;Movimentado;; R$  -   ; R$  184,80 ;R$ 5.456,99;;R$ 17.725,14;Sem pendencia;Coelba;EDIE JONNES;JUAREZ;;Aceita;Dezembro;;13/11/2025;;;;JUAZEIRO;82;;;;;;;;BRUNO;2.0;; R$  -   ;JUAZEIRO;10/11/2025;SIM;;;;;
UTEP;B-1144577;UB-CIND-AV-DEP R QUEIROZ-CENTRO;PILÃO ARCADO;26/06/2025;05/09/2025;;2,0;;BEATRIZ;;SIM;Conciliado;45958;;;Movimentado;45958; R$  3.409,25 ; R$  369,61 ;R$ 7.472,30;;R$ 43.544,14;Sem pendencia;Coelba;PAULO JUNIOR;AILTON;04/11/2025;Aceita;Novembro;;17/11/2025;Nao;;;JUAZEIRO;203;;;;;;;;BEATRIZ;71.0;; R$  -   ;REMANSO;10/11/2025;SIM;APROVADA;;;;
UTEP;B-1174527;ER-CIND-FAZ-OITEIRO 5-RURAL;CURAÇÁ;26/08/2025;02/09/2025;;2,0;;BEATRIZ;;SIM;Conciliado;28/10/2025;;;Movimentado;28/10/2025; R$  3.960,68 ; R$  428,95 ;R$ 8.574,53;;R$ 38.328,20;Sem pendencia;Coelba;EDIE JONNES ;PAULO;05/11/2025;Aceita;Novembro;;17/11/2025;Nao;;;JUAZEIRO;142;;;;;;;;BEATRIZ;7.0;"Foto do As Built no Grupo ""FECHAMENTO DE OBRA"""; R$  -   ;JUAZEIRO;13/11/2025;SIM;POSTADA;;;;
UTEP;B-1211868;ER-CIND-POV-SALGADINHA-SALGADINHA;SOBRADINHO;21/10/2025;22/10/2025;;2,0;;BEATRIZ;;SIM;Conciliado;10/11/2025;Postado;05/11/2025;Movimentado;05/11/2025; R$  -   ; R$  369,61 ;R$ 3.769,61;;R$ 28.894,27;Sem pendencia;Coelba;EDIE JONNES;JUAREZ;13/11/2025;Aceita;Dezembro;;18/11/2025;Nao;;;JUAZEIRO;86;;;;;;;;LUCAS;1.0;CAVA EM ROCHA COM PERFURATRIZ - KLC / estorno; R$  -   ;JUAZEIRO;;NÃO;ETIQUETA NÃO SIMPLIFICADA;;;;
UTEP;B-1045158;MP-CCOL-POV-CANAA CALDEIRAOZINHO RURAL;SOBRADINHO;27/06/2025;29/07/2025;;11,0;;MATEUS;;SIM;Conciliado;23/10/2025;Postado;14/10/2025;Movimentado;06/10/2025; R$  1.198,84 ; R$  2.032,83 ;R$ 42.536,15;;R$ 138.866,93;Sem pendencia;Coelba;SANTIAGO;JUAREZ;05/11/2025;Aceita;Dezembro;;18/11/2025;;;;JUAZEIRO;202;;;;;;;;MATEUS;32.0;CIA CADASTRADO NA OBRA DE BIA, FOI PASSADO PRA EXECUÇÃO CONFERIR O CIA; R$  -   ;JUAZEIRO;14/11/2025;NÃO;ETIQUETA NÃO SIMPLIFICADA;;;;
LPT;B-1152831;LD-CIND POV.CARNAIBA DO SERTÃO;JUAZEIRO;27/08/2025;05/09/2025;;25,0;;MATEUS;;SIM;Conciliado;04/10/2025;Postado;03/10/2025;Movimentado;03/10/2025; R$  3.749,03 ; R$  4.620,08 ;R$ 87.731,71;;R$ 225.254,43;Sem pendencia;Coelba;EDIE JONNES;PAULO;06/11/2025;Aceita;Dezembro;;19/11/2025;;;;JUAZEIRO;141;;;;;;;;MATEUS;9.0;; R$  -   ;JUAZEIRO;17/11/2025;NÃO;ETIQUETA NÃO SIMPLIFICADA;;;;
LPT - KIT;B-1214556;KT-CIND POV.CARNAIBA DO SERTÃO;JUAZEIRO;27/08/2025;05/09/2025;;0,0;;MATEUS;;SIM;Conciliado;;;;Movimentado;; R$  -   ; R$  -   ;R$ 284,84;;R$ 2.125,38;Sem pendencia;Coelba;MICHEL;LIGAÇÃO;06/11/2025;Aceita;Dezembro;;19/11/2025;;;;JUAZEIRO;141;;;;;;;;MATEUS;9.0;; R$  -   ;JUAZEIRO;17/11/2025;SIM;;;;;
LPT - MED;B-1152833;MED LD-CIND POV.CARNAIBA DO SERTÃO-RURAL;JUAZEIRO;27/08/2025;05/09/2025;;0,0;;MATEUS;;SIM;Conciliado;;;;Movimentado;; R$  -   ; R$  -   ;R$ 127,22;;R$ 232,65;Sem pendencia;Coelba;MICHEL;LIGAÇÃO;06/11/2025;Aceita;Dezembro;;19/11/2025;;;;JUAZEIRO;141;;;;;;;;MATEUS;9.0;; R$  -   ;JUAZEIRO;17/11/2025;SIM;;;;;
