NOTA;PROJETO;TÍTULO;MUNICIPIO;PLANO;CRITERIO;PSTP;PST EXEC;CLIET. PREV;CLIET. REAL;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;ENCARREGADO;PERFIL;COORD;Carteira;STATUS 1;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102136651;B-1167180;RR-SEIN-FAZ-PATIOBA-RURAL;SENHOR DO BONFIM;;DIA C;2;;;;;;;;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1167180;Consolidado;N/A
9101691568;B-1044483;MP-CCOL-POV.CACIMBINHA-RURAL;CAMPO FORMOSO;;REPUTACIONAL;324;;;;;;;;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1044483;Consolidado;N/A
9003901510;B-0477336;MP-CCOL-POV CURRAL FALSO AROEIRA-RURAL;MONTE SANTO;;REPUTACIONAL;281;;;;;;;;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;0477336;Consolidado;N/A
;B-1173976;RR-CIND-POV- TANQUINHO-RURAL;NORDESTINA;;;;0;;1;;2025-02-11 00:00:00;ALAN;ANAILTON;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1173976;Consolidado;N/A
;B-1190045;ER-CIND-POV-BARRO DE BAIXO II 6-B D B II;SENHOR DO BONFIM;;;;2;;1;;2025-02-17 00:00:00;WESLEY;JOILSON;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1190045;Consolidado;N/A
;B-1167180;RR-SEIN-FAZ-PATIOBA-RURAL;SENHOR DO BONFIM;;;;2;;1;;2025-02-20 00:00:00;DICSON;JOILSON;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1167180;Consolidado;N/A
;B-1091723;AC-CCOL FAZ CALDEIRÃO DO COXO RURAL;NORDESTINA;;;;20;;4;;2025-02-05 00:00:00;ALAN;ANAILTON;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1091723;Consolidado;N/A
;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;nan;Descartado;Projeto Vazio/Inválido
;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;nan;Descartado;Projeto Vazio/Inválido
;;;;;;;;;;;;;;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;nan;Descartado;Projeto Vazio/Inválido
;B-1121813;MP-CCOL-POV.SANTO EUSEBIO-RURAL;QUEIMADAS;;;;;;;;;;;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1121813;Consolidado;N/A
;B-1112875;ER-CCOL-FAZ-CALDEIR O DO COXO-RURAL;NORDESTINA;;;;;;;;;;;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1112875;Consolidado;N/A
;B-1089356;MP-CCOL-FAZ.VARZEA DA NOVILHA RURAL;QUEIMADAS;;;;;;;;;;;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1089356;Consolidado;N/A
;B-1128973;MP CIND POV QUEIMADA GRANDE RURAL;MONTE SANTO;;;;;;;;;;;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1128973;Consolidado;N/A
;B-1053427;MP-CCOL-FAZ OLHOS DAGUA-RURAL;ITIÚBA;;;;;;;;;;;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1053427;Consolidado;N/A
;B-1160430;ER-CIND-RUA-DO MATADOURO 95-CATUNY;JAGUARARI;;;;;;;;;;;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1160430;Consolidado;N/A
;B-0914747;RU-CCOL-FAZ GENIO-RURAL-CRB;CAMPO FORMOSO;;;;;;;;;;;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;0914747;Consolidado;N/A
