PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;PSTP;PST EXEC;STATUS 1;LV;RESUMO;OBS;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;CONCRETO;% POSTES;CAVR;% CAVAS;OBS CAVA;CLIET.;PLANO;CRITERIO;AVANÇO;CARTEIRA;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;PG'S;LINK PROJETO;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1204005;ER-CIND-FAZ-TATU DEUS ME LIVRE-RURAL;ITIÚBA;GESONI;9;0;Energizada;Pendente;LV+BT;;N1;138320 BT 140890 LV;;;14;155,5555556%;9;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 49.564,10;18/11/2025;JOAO;;03/11/2025;15/11/2025;10/11/2025;Sim;TRUE;TRUE;;;D100510;-10.7005335, -39.9329799;E903278 – E903286;https://drive.google.com/file/d/1SQ5Zt5IjfJHJ7YzWSy7h7zowc6DzNRDF/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1204005;Consolidado;N/A
B-1216748;ER-CIND-POV-MORRINHOS-RURAL;CAMPO FORMOSO;EDVALDO;9;5;Energizada;;LV+BT+ENERGZ;FALTA TRAFO;N3/B1/1/TRAFO;BT 138052 LV- 148141;;;9;100%;9;100,0%;;0;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 74.118,23;25/11/2025;JOAO;;22/11/2025;29/11/2025;19/11/2025;;;TRUE;;;E654970;-10.391477, -40.593649;E902953 – E902961;https://drive.google.com/file/d/1LQbj9kq7wQX70BBmTiVCBcAhHDqM088E/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1216748;Consolidado;N/A
B-1214173;AC-CIND-FAZ-PE DA SERRA-PIAUS;ITIÚBA;JEFFERSON;9;0;Energizada;;LV+BT;;N1;138341 BT 140831 LV;;;9;100%;9;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 61.674,23;13/11/2025;GABRIEL;;17/11/2025;22/11/2025;08/11/2025;Sim;TRUE;TRUE;;;Q090033;-10.6163083, -39.7836231;E902944 – E902952;https://drive.google.com/file/d/16FyWmKLzIIEqOGQydaDk3ctXFzyKiYDv/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1214173;Consolidado;N/A
B-1174392;ER-CIND-FAZ-RAPOSA-QUICE;SENHOR DO BONFIM;JOILSON;8;0;Energizada;Pendente;LV+ENERGIZ;;N1/BANCADA;134442 EN 141491 LV;;;13;162,5%;8;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 55.522,36;;JOAO;;07/11/2025;15/11/2025;12/11/2025;Sim;TRUE;TRUE;;;B111663;-10.5742747, -39.984193;E902894 – E902901;https://drive.google.com/file/d/1H-5c6omeThJ7rBWE_FSNlwwyAhIaEFNY/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1174392;Consolidado;N/A
B-1214003;ER-CIND-POV-PASSAGEM VELHA -RURAL;SENHOR DO BONFIM;REGINALDO;8;8;Energizada;;BT;;;133639 BT;;;0;0%;8;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 39.572,37;13/11/2025;JOAO;;05/11/2025;15/11/2025;13/11/2025;Sim;TRUE;TRUE;;;E376748;-10.5033724, -40.1679919;E902902 – E902909;https://drive.google.com/file/d/1EbaTg_RLEIrTN33Fq_pwgG-nJbjTkskO/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1214003;Consolidado;N/A
B-1205642;ER-CIND-POV-ALAGADICO DO MEL-RURAL;ITIÚBA;GESONI;7;0;Energizada;;ENERG;Falta o cabo: CABO COBRE XLPE 35MM2 1F PRETO;N1/1.TRAFO;139301 EN 140805 LV;;143334;7;100%;7;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 44.962,55;;JOAO;;17/11/2025;22/11/2025;14/11/2025;Sim;TRUE;TRUE;;;D397457;-10.831568, -39.9729284;E902937 – E902943;https://drive.google.com/file/d/176lRGE7YnMjoYUiGJA6HpwyCtrO9b2rl/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1205642;Consolidado;N/A
B-1171381;ER-CIND-POV-LAGE DOS NEGROS -L D NEGROS;CAMPO FORMOSO;ISRAEL;7;0;Energizada;Pendente;LV + ENERGZ;;TRF;124663 (LV)      145880 (EN);;;7;100%;7;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 62.354,50;14/11/2025;JOAO;;20/10/2025;15/11/2025;;;TRUE;TRUE;;;E528660;-10,1591055, -40,9337948;E875299 – E875305;https://drive.google.com/file/d/17d7bgA-151hAo1z4GU7CjbDq6y2gNKvL/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1171381;Consolidado;N/A
B-1206073;ER-CIND-POV-RURAL-CACIMBINHA;CAMPO FORMOSO;ISRAEL;7;0;Energizada;Pendente;LV + ENERGZ;PENDENTE TRAFO 1FF 10KVA 13,8KV 220V 3T VG ;TRF;124657 (LV)      124861 (EN);;;7;100%;7;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;out./1;R$ 89.359,21;28/11/2025;JOAO;;20/10/2025;15/11/2025;;;TRUE;TRUE;;;D010745;-9,9124989, -40,6843068;E875291 – E875298;https://drive.google.com/file/d/1fUb8klgF5nSnHVTy2-KASHhdBbEIKTw9/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1206073;Consolidado;N/A
B-1183329;ER-CIND-ET-ADUTORA MINA-RURAL-NUCLEO PIL;JAGUARARI;ALDAIR;6;6;Energizada;;ENERG;;N1/OBS-LINHA(T);139493 BT;;;4;66,66666667%;6;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 57.675,15;;JOAO;;24/11/2025;29/11/2025;18/11/2025;Solicitado;;TRUE;;;Q068964;-9.8185572, -40.0175522;E903411 - E903416;https://drive.google.com/file/d/1tk4upj6aJ23XuDc0J5VjXdroyHMO3J7k/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1183329;Consolidado;N/A
B-1215543;ER-CIND-POV-RES MORROS-TANQUINHO;SENHOR DO BONFIM;REGINALDO;6;0;Energizada;;BT;;;133644 BT;;;6;100%;6;100,0%;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 28.559,54;12/11/2025;JOAO;;03/11/2025;15/11/2025;11/11/2025;Sim;TRUE;TRUE;;;E801034;-10.535905, -40.126363;E902888 – E902893;https://drive.google.com/file/d/1dNGU1_kASvqivdrEOcKNPUJq-ADAJxe6/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1215543;Consolidado;N/A
