PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;PSTP;CONCRETO;STATUS 1;PST EXEC;CAVR;OBS;RESUMO;LV;RESUMO LV;Nº PES;% CAVAS;DT DESL;PES DESLIG;% POSTES;CLIENT.;PLANO;CRITERIO;AVANÇO;CARTEIRA;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;AS BUILT;DEVOLUÇAO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;LINK PROJETO;PG'S;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1180267;ER-CIND-POV-SUMIDOURO-RURAL;CAMPO FORMOSO;ISRAEL;11;11;Energizada;;11;ENERGIZADA;LV + ENERGZ;Pendente;;LV-151213            155594 EN;;;;100%;1;PLANO 7;INSTITUCIONAL;100%;dez./1;R$ 130.483,38;;;;01/12/2025;13/12/2025;10/12/2025;;TRUE;TRUE;TRUE;TRUE;;;D068248;-10,7520101, -39,4984245;https://drive.google.com/file/d/11VNesRoWB3HZaad5JUyrA0_Vx88k-OD2/view?usp=drive_link;E875184 – E875194;;;SENHOR DO BONFIM;2026-01-01;1180267;Consolidado;N/A
B-1229609;ER-CIND-POV-TIQUARA X-RURAL-TIQUARA;CAMPO FORMOSO;ISRAEL;2;3;Energizada;;2;ENERGIZADA;LV + ENERGZ;;;LV-1182         1496 EN;;;;150%;3;PLANO 7;QLP;100%;jan./1;R$ 29.850,03;;;;05/01/2026;16/01/2026;06/01/2026;;TRUE;TRUE;TRUE;TRUE;;;D023868;-10,4572679, -40,5517428;https://drive.google.com/file/d/1p3jxIQyqNMlgqMtbPGmxGkteOB92z_HD/view;E937002 – E937003;;;SENHOR DO BONFIM;2026-01-01;1229609;Consolidado;N/A
B-1188776;ER-SEIN-FAZ-TANQUINHO DA PEDRA-ODILON G;JAGUARARI;JEFFERSON;23;26;Energizada;;23;ENERGIZADA;LV + ENERGZ;;;2797 EN LV-5991;;;;113%;2;PLANO 7;GOVERNO;100%;jan./1;R$ 172.986,77;;;;05/01/2026;17/01/2026;08/01/2026;;TRUE;TRUE;TRUE;TRUE;;;B457888;-10,2491339, -40,1542061;https://drive.google.com/file/d/1mKFkn050SDLJx3LYxzSkuYRMsutpGxZi/view;E875654 – E875676;;;SENHOR DO BONFIM;2026-01-01;1188776;Consolidado;N/A
B-0734547;MP-CCOL-POV ATALHO 44444 - RURAL;CAMPO FORMOSO;ISRAEL;14;13;;;;FALTA TRAFO 2-10 211304, FALTA ELO 0,5H 536778, SUSPENSAO 34 2322006;LV + ENERGZ;;;5346 EN LV-6480;;;;93%;3;PLANO 14;REPUTACIONAL;100%;jan./1;R$ 69.829,38;;;;05/01/2026;16/01/2026;06/01/2026;;TRUE;TRUE;FALSE;FALSE;;;Q025022;-10,1273956, -40,732631;https://drive.google.com/file/d/18UJcbZbswKDWyPqqCjc-0SFHTwe3YsNK/view;E875570 – E875583;;;SENHOR DO BONFIM;2026-01-01;0734547;Consolidado;N/A
B-0984471;MP-CCOL-POV ARARAS-RURAL;CAMPO FORMOSO;JAIRO;51;51;;2;;FALTA ELO 0,5H 536778, 3430547 ALÇA 25, 3431611 LAÇO 25, CABO POT 35 2223464;LV + ENERGZ;;;LV-6619         24172 EN;;;;100%;6;PLANO 14;AIC AUDITORIA;50%;jan./1;R$ 248.561,08;;;;20/01/2026;28/02/2026;19/01/2026;;TRUE;TRUE;FALSE;FALSE;;;B139231;-10,1154277, -40,4850514;https://drive.google.com/file/d/1yFKO37daW2DuXEErbro-rEfuw7VKp6kj/view;E936559 – E936608;;;SENHOR DO BONFIM;2026-01-01;0984471;Consolidado;N/A
B-1145072;ER-CIND-FAZ-CARPINTARIA-NUCLEO PILAR;JAGUARARI;JEFFERSON;19;4;Energizada;;;ENERGIZADA;LV + ENERGZ;Pendente;;LV-151307                   157669 EN;;;;21%;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 74.659,68;;;;08/12/2025;31/12/2025;18/12/2025;;TRUE;TRUE;TRUE;TRUE;;;D261007;-10,2315923, -39,3376556;https://drive.google.com/file/d/1v0rY_6dPG0KH_kxLjPJc78_tIXMNVB2L/view?usp=drive_link;E875155 – E875163;;;SENHOR DO BONFIM;2026-01-01;1145072;Consolidado;N/A
B-1217158;UB-SEIN-ROD-LOMANTO JUNIOR -URBANA;JAGUARARI;JEFFERSON;12;12;Energizada;;;ENERGIZADA;BT;;;1540 BT;;;;100%;0;PLANO 7;GOVERNO;100%;jan./1;R$ 92.197,25;;;;05/01/2026;16/01/2026;07/01/2026;;TRUE;TRUE;TRUE;TRUE;;;Q046958;-10,1933772, -40,2203276;https://drive.google.com/file/d/1Hio-bSdJNej731nan7kgcFHcHpLnVohu/view;E875532 – E875543;;;SENHOR DO BONFIM;2026-01-01;1217158;Consolidado;N/A
B-1170043;UB-CIND-RUA-QUIPA 1226 -PR-CENTRO;JAGUARARI;JEFFERSON;2;0;Energizada;;;ENERGIZADA;DESL + LV;;;LV-4591;;30/01/2026;7588;0%;1;PLANO 7;GOVERNO;100%;jan./1;R$ 56.320,08;;;;05/01/2026;16/01/2026;07/01/2026;;TRUE;TRUE;TRUE;TRUE;;;Q069246;-9,8913282, -39,9656842;https://drive.google.com/file/d/1cvg8_AgVYmPryFcsAkPydO3A98IwoVey/view;E937004 – E937005;;;SENHOR DO BONFIM;2026-01-01;1170043;Consolidado;N/A
B-1023469;RR-SEIN-FAZ-ANJO-RURAL;SENHOR DO BONFIM;JOILSON;15;2;Energizada;;15;ENERGIZADA;DESL + ENERGZ;;;1591 EN;;15/01/2026;167030;13%;4;PLANO 14;GOVERNO;100%;jan./1;R$ 135.705,85;;;;19/01/2026;31/01/2026;07/01/2026;;TRUE;TRUE;TRUE;TRUE;;;D250701;-10,3841074, -40,1187975;https://drive.google.com/file/d/1D_HpxkPYmhMOgQzicJAzR6K4DOqufsIq/view;E875598 – E875612;;;SENHOR DO BONFIM;2026-01-01;1023469;Consolidado;N/A
B-1221916;UB-CIND-RUA-DO MORRINHO-CENTRO;JAGUARARI;JEFFERSON;21;25;Em execução;;;;DESL + LV + BT + ENERGZ;;;EN1551-BT1563-BT-1567-LV6498;;31/01/2026;7655;119%;8;PLANO 7;QLP;100%;jan./1;R$ 188.959,99;;;;12/01/2026;17/01/2026;07/01/2026;;TRUE;TRUE;FALSE;FALSE;;;Q069242;-9,8904815, -39,9658245;https://drive.google.com/file/d/1n_xffADCT16pqNHvte3HZBQd3Rc1Hrom/view;E875633 – E875653;;;SENHOR DO BONFIM;2026-01-01;1221916;Consolidado;N/A
