PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;PSTP;CONCRETO;STATUS 1;PST EXEC;CAVR;OBS;RESUMO;LV;RESUMO LV;Nº PES;% CAVAS;DT DESL;PES DESLIG;% POSTES;CLIENT.;PLANO;CRITERIO;AVANÇO;CARTEIRA;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;AS BUILT;DEVOLUÇAO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;LINK PROJETO;PG'S;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1022962;RR-CCOL-FAZ-BOA VISTA-RURAL;QUEIMADAS;MARCELO;28;19;;;;;LV + ENERGZ;;;LV-1138          24256 EN;;;;68%;0;PLANO 14;INSTITUCIONAL;100%;jan./1;R$ 115.177,33;;;;05/01/2025;17/01/2026;05/01/2026;;TRUE;TRUE;FALSE;FALSE;;;D755470;-11,1366409, -39,7243466;https://drive.google.com/file/d/1iYz87MMRvru0zsqQrykoZ7K8AJ4IPix8/view;E936270 – E936296;;;SENHOR DO BONFIM;2026-01-01;1022962;Consolidado;N/A
B-1192514;RR-CCOL-POV-MALACAXETA 1800-LAGEDO;JAGUARARI;OSMAR;28;27;Energizada;;;ENERGIZADA;LV + ENERGZ;;;2890 EN LV-5647;;;;96%;3;PLANO 7;GOVERNO;100%;jan./1;R$ 223.226,52;;;;19/01/2026;24/01/2026;13/01/2026;;TRUE;TRUE;TRUE;TRUE;;;Q048752;-10,1785883, -40,1623422;https://drive.google.com/file/d/15T5edlGcCGLBZsGk8FBz7k7aSNEGzBGO/view;E936297 – E936324;;;SENHOR DO BONFIM;2026-01-01;1192514;Consolidado;N/A
B-1218599;ER-CIND-ET-PEDRA BRANCA-RURAL;MONTE SANTO;OSMAR;10;10;Energizada;;;ENERGIZADA;BT;;;154524 EN LV-161772;;;;100%;0;PLANO 7;QLP;100%;dez./1;R$ 85.822,51;;;;;;;;TRUE;TRUE;TRUE;TRUE;;;D772198;-10,7408517, -40,1242072;https://drive.google.com/file/d/1FBZ8mw8c7iDhTCvgp8LBeXd8FO9byPXz/view?usp=drive_link;;;;SENHOR DO BONFIM;2026-01-01;1218599;Consolidado;N/A
B-1123207;ER-CIND-FAZ-PEDRA-DO MATADOURO;MONTE SANTO;OSMAR;6;0;Energizada;;;ENERGIZADA;BT;;;1605 BT;;;;0%;1;PLANO 14;NOVOS QUESTIONAMENTOS ANEEL;100%;jan./1;R$ 36.939,22;07/01/2026;;;05/01/2026;10/01/2026;05/01/2026;;TRUE;TRUE;TRUE;TRUE;;;D394958;-10,479504, -39,3025142;https://drive.google.com/file/d/1Slf6OG7UadPjZ1SHAOa39ahiJrTYSi13/view;E875514 – E875519;;;SENHOR DO BONFIM;2026-01-01;1123207;Consolidado;N/A
B-1192368;ER-CIND-FAZ-MARIA DE LIMA-MARIA DE LIMA;MONTE SANTO;OSMAR;0;0;Energizada;;;ENERGIZADA;BT;;;1597 BT;;;;100%;1;PLANO 14;SLA;100%;jan./1;R$ 1.660,62;08/01/2026;;;05/01/2026;10/01/2026;05/01/2026;;TRUE;TRUE;TRUE;TRUE;;;D252116;-10,4062685, -39,210528;https://drive.google.com/file/d/1WjkWdoE9aMIypSmy2MMhjjzWcREpEi6H/view;;;;SENHOR DO BONFIM;2026-01-01;1192368;Consolidado;N/A
B-1225952;UB-CIND-RUA-MARIA ARAUJO-JUSTINO GOMES;ANDORINHAS;REGINALDO;3;2;Energizada;3;;ENERGIZADA;BT;;;5226 BT;;;;67%;1;PLANO 7;AGIL;100%;jan./1;R$ 18.490,19;;;;27/01/2026;31/01/2026;20/01/2026;;;TRUE;TRUE;TRUE;;;Q097016;-10,3439107, -39,8354242;;;;;SENHOR DO BONFIM;2026-01-01;1225952;Consolidado;N/A
B-1227477;ER-CIND-POV-SERRA MORGADOS-RURAL;JAGUARARI;REGINALDO;8;0;Energizada;;;ENERGIZADA;BT;;;5177 BT;;;;0%;1;PLANO 7;AGIL;100%;jan./1;R$ 54.221,62;;;;19/01/2026;30/01/2026;20/01/2026;;;TRUE;TRUE;TRUE;;;D137558;-10,2396611, -40,2399918;;;;;SENHOR DO BONFIM;2026-01-01;1227477;Consolidado;N/A
B-1157179;IT GRUA AG CANDIDO FONSECA RURAL;SENHOR DO BONFIM;;36;3;Paralisada;0;;;DESL + LV;;;;;;;100%;1;PLANO 7;GRUPO A;67%;jan./1;R$ 455.995,37;;;;05/01/2026;31/01/2026;06/01/2026;;;TRUE;FALSE;FALSE;;;;;https://drive.google.com/file/d/1nZP2Q6clxLAi_G9FpR2MdqvbdUJSXpbr/view;E936449 – E936483;;;SENHOR DO BONFIM;2026-01-01;1157179;Consolidado;N/A
B-1157045;EQ GRUA-AG CANDIDO FONSECA;SENHOR DO BONFIM;;1;0;Paralisada;0;;;LV;;;;;;;100%;0;PLANO 7;MMGD;100%;jan./1;R$ 99.427,13;;;;;;;;;;FALSE;FALSE;;;Q041880;-10,4831793, -40,1660255;https://drive.google.com/file/d/1jHzMUmfkfSL9z1YRdGBS4ADe8iBXbHg3/view;E936996;;;SENHOR DO BONFIM;2026-01-01;1157045;Consolidado;N/A
B-1234592;ER CIND MARISTAS ;SENHOR DO BONFIM;REGINALDO;1;1;Energizada;1;;ENERGIZADA;;;;;;;;100%;;;;;;;;;;;;;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;;;;;;SENHOR DO BONFIM;2026-01-01;1234592;Consolidado;N/A
