NOTA;PROJETO;TÍTULO;MUNICIPIO;PLANO;CRITERIO;PSTP;PST EXEC;CLIET. PREV;CLIET. REAL;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;ENCARREGADO;PV. INICIO;PV. FIM;PERFIL;COORD;Carteira;STATUS 1;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
;B-1093839;AC-CIND-POV  TANQUINHO DO POÇO-RURAL;ANDORINHAS;;SOLICITAÇÃO ATENDIMENTO;1;0;1;1;25421.07;2025-01-09 00:00:00;DICSON;REGINALDO;;2025-01-20 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1093839;Consolidado;N/A
;B-1094402;AC-PREF-AV-CARLOS HUMBERTO FILHO-MEDRADO;ANDORINHAS;;SOLICITAÇÃO ATENDIMENTO;0;0;1;1;2158.36;2025-01-23 00:00:00;DICSON;REGINALDO;;2025-01-17 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1094402;Consolidado;N/A
;X-1160430;ER-CIND-RUA-DO MATADOURO 95-CATUNY;JAGUARARI;;RECLAMAÇÃO;1;;1;;9171.67;;;;;2025-01-09 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1160430;Consolidado;N/A
;X-1073129;ER-CCOL-POV-GAMELEIRA-GAMELEIRA;ANDORINHAS;;REPUTACIONAL;5;6;6;6;15032.02;2025-01-24 00:00:00;DICSON;REGINALDO;;2025-01-13 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1073129;Consolidado;N/A
;X-1131409;AC-CIND-AV-ANTONIO LAURINDO-CENTRO;SENHOR DO BONFIM;;REPUTACIONAL;2;2;1;1;42042.49;2025-01-28 00:00:00;WESLEY;JOILSON;;2025-01-19 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1131409;Consolidado;N/A
;B-1044483;MP-CCOL-POV.CACIMBINHA-RURAL;CAMPO FORMOSO;;REPUTACIONAL;324;;27;;3518237.37;;;;;2025-03-31 00:00:00;;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1044483;Consolidado;N/A
;B-0914747;RU-CCOL-FAZ GENIO-RURAL-CRB;CAMPO FORMOSO;;JUDICIAL;96;;10;;660273.67;;;;;2025-01-31 00:00:00;51-100 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;0914747;Consolidado;N/A
;B-1156377;AC-CIND-LOT-RIO DA PRATA-MISSAO DO SAHY;SENHOR DO BONFIM;;;;5;;1;;2025-01-11 00:00:00;DICSON;REGINALDO;;;;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1156377;Consolidado;N/A
9102124526;B-1158654;ER-CIND-POV-FOLHA LARGA-RURAL;CAMPO FORMOSO;;JUDICIAL;6;6;1;1;;2025-01-22 00:00:00;ALAN;VAGNER;2024-12-17 00:00:00;2024-12-19 00:00:00;;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1158654;Consolidado;N/A
;B-1140793;ER-CIND-POV-SANTO ANTONIO-RURAL;FILADÉLFIA;;;;0;;0;;2025-01-28 00:00:00;DICSON;GERSONI;;;;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1140793;Consolidado;N/A
9101905218;B-1121963;IT-GRUA-POV-CONSORCIO BA SOLAR 2-RURAL;FILADÉLFIA;;;65;63;;1;1172396;2025-01-25 00:00:00;DICSON;GERSONI;;;;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1121963;Consolidado;N/A
;B-1183001;ER-CIND-POV-CARIACA DE CIMA-CARIACA;SENHOR DO BONFIM;;;;4;;1;;2025-01-29 00:00:00;WESLEY;JOILSON;;;;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1183001;Consolidado;N/A
;B-1121944;ER-CIND-FAZ-BOM SUCESSO-ROMULO CAMPOS;ITIÚBA;;;;0;;1;;2025-01-30 00:00:00;DICSON;ALDAIR;;;;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1121944;Consolidado;N/A
;B-1033879;ER-CIND-FAZ-VARZINHA-ROMULO CAMPOS;ITIÚBA;;;;4;;4;;2025-01-30 00:00:00;DICSON;ALDAIR;;;;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1033879;Consolidado;N/A
;B-1155045;ER-CCOL-POV-TEIU-RURAL;SENHOR DO BONFIM;;;;4;;2;;2025-01-16 00:00:00;DICSON;REGINALDO;;;;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1155045;Consolidado;N/A
