PROJETO;ENERGIZAÇÃO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS 1;CAVR;PSTP;PST EXEC;OBS;RESUMO;LV;RESUMO LV;Nº PES;% CAVAS;DT DESL;PES DESLIG;% POSTES;CONCRETO;OBS CAVA;CLIET.;PLANO;CRITERIO;AVANÇO;CARTEIRA;V. PROJETO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;AS BUILT;DEVOLUÇAO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;LINK PROJETO;PG'S;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1180267;;ER-CIND-POV-SUMIDOURO-RURAL;CAMPO FORMOSO;ISRAEL;;11;11;;FALTA TRAFO 211253 3-30 E 2223464 CABO POT 35, ALÇA DE CABO 4;LV + ENERGZ;Pendente;N3/N4;LV-151213            155594 EN;;;;100%;11;;1;PLANO 7;INSTITUCIONAL;100%;dez./1;R$ 130.483,38;JOAO;;01/12/2025;13/12/2025;10/12/2025;;;TRUE;FALSE;FALSE;;;D068248;-10,7520101, -39,4984245;https://drive.google.com/file/d/11VNesRoWB3HZaad5JUyrA0_Vx88k-OD2/view?usp=drive_link;E875184 – E875194;;;SENHOR DO BONFIM;2025-12-01;1180267;Consolidado;N/A
B-1184427;26/12/2025;ER-CIND-POV-VARZEA D ONCA-RURAL;QUEIMADAS;MARCELO;Energizada;;1;;ENERGIZADA;LV + ENERGZ;Pendente;N1 C/ TRF;LV-161677                 161723 EN;;;;100%;1;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 20.276,06;GABRIEL;;23/12/2025;31/12/2025;08/12/2025;;;TRUE;TRUE;FALSE;;;D660014;-10,4329331, -39,3229729;https://drive.google.com/file/d/1peZVhvZP89VUH7GKmaQgdBpsQOdJRvGm/view?usp=drive_link;E903462 – E903462;;;SENHOR DO BONFIM;2025-12-01;1184427;Consolidado;N/A
B-1198374;26/12/2025;ER-CIND-POV-BOA VISTA 106-RURAL;FILADÉLFIA;GESONI;Energizada;3;3;;ENERGIZADA;LV + ENERGZ;;N1 C/ TRF;LV-151341                   161682 EN;;;149560;0%;0;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 27.094,29;JOAO;;15/12/2025;20/12/2025;09/12/2025;;;TRUE;FALSE;FALSE;;;Q060116;-10,4251666, -40,2657237;https://drive.google.com/file/d/1BvlL0IHzR3Z11GEnyIVgR_2DDpJfFFbP/view?usp=drive_link;E903519 – E903521;;;SENHOR DO BONFIM;2025-12-01;1198374;Consolidado;N/A
B-1218789;;UB-CIND-RUA-JOAO GONCALVES-CENTRO ANTONI;ANTÔNIO GONÇALVES;EDVALDO;;3;3;;PARA CONCLUIR ATE 31-12;BT;;;161649 BT;;;;0%;0;;;;;100%;;;JOAO;;15/12/2025;19/12/2025;11/12/2025;;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;;;SENHOR DO BONFIM;2025-12-01;1218789;Consolidado;N/A
B-1198729;26/12/2025;ER-CIND-FAZ-CABACEIRA-RURAL;ITIÚBA;GESONI;Energizada;5;5;;ENERGIZADA;LV + ENERGZ;Realizado;N1 C/ TRF;LV-151427                   155658 EN;;10/dez;149365;100%;5;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 41.638,76;JOAO;;08/12/2025;13/12/2025;09/12/2025;;;TRUE;FALSE;FALSE;;;D206223;-10,6870094, -39,3047097;https://drive.google.com/file/d/1hzkr8rNqFoi2puezFKkyq5J17HyN7Pm6/view?usp=drive_link;E875418 - E875422;;;SENHOR DO BONFIM;2025-12-01;1198729;Consolidado;N/A
B-1051348;26/12/2025;ER-CIND-FAZ-POCO DAS QUEIMADAS-N PILAR;JAGUARARI;WAGNER;Energizada;;1;;ENERGIZADA;LV + ENERGZ;Realizado;N1 C/ TRF;LV-151233       161746 EN;;09/dez;149363 (ANEXAR PEX);0%;0;;1;PLANO 7;QLP;100%;dez./1;R$ 9.254,81;JOAO;;08/12/2025;13/12/2025;09/12/2025;;;TRUE;FALSE;FALSE;;;;-9,95274, -40,04116;https://drive.google.com/file/d/1rpqWRrDlIQLmxJyDfM_ZkWI_8AqgbeLM/view?usp=drive_link;E903454 – E903454;;;SENHOR DO BONFIM;2025-12-01;1051348;Consolidado;N/A
B-1067126;;IS-COEL-PR -COMERCIO-ANDORINHA;ANDORINHAS;ALDAIR;Em execução;;27;;FALTA 3X70XLPE 2212008 3X70 XLPE 2212016;DESL + LV;Pendente;;LV-162146;;;;66,66666667%;18;;1;PLANO 8;JUDICIAL;100%;dez./1;R$ 335.050,76;GABRIEL;;15/12/2025;30/12/2025;12/12/2025;;;;FALSE;FALSE;;;Q109712;-10,5021538, -39,4067176;;E875206 – E875232;;;SENHOR DO BONFIM;2025-12-01;1067126;Consolidado;N/A
B-1151586;;AC-CIND-LOT-VILA PEIXE-VILA PEIXE;ANDORINHAS;ALDAIR;;1;1;;FALTA CABO 2230078 3X120. PRECISA DESLIGAMENTO;DESL + LV;Pendente;B1-N3;LV-150784;;23/dez;157225;100%;1;;0;PLANO 7;RECLAMAÇÃO;100%;dez./1;R$ 26.251,94;GABRIEL;;15/12/2025;20/12/2025;12/12/2025;;;TRUE;FALSE;FALSE;;;D130180;-10,3191272, -39,1863356;https://drive.google.com/file/d/1aF3wfEiV0Ka5ZLxYr_1gcyANVlnV3Y_9/view?usp=drive_link;E903442 – E903442;;;SENHOR DO BONFIM;2025-12-01;1151586;Consolidado;N/A
B-1222322;;AC-PREF-POV-RIACHO SECO-RURAL;ANDORINHAS;ALDAIR;;2;2;;FALTA CABO 2230084 3X70. PRECISA DESLIGAMENTO;DESL;;;;;20/dez;149663;100%;2;;1;PLANO 7;GOVERNO;100%;dez./1;R$ 44.108,41;GABRIEL;;15/12/2025;20/12/2025;12/12/2025;;;TRUE;FALSE;FALSE;;;D574414;-10,2959073, -40,7210239;https://drive.google.com/file/d/1d4XLET9qUCGH5O3CHAL69rbSlbrpuMfx/view?usp=drive_link;E903477 – E903478;;;SENHOR DO BONFIM;2025-12-01;1222322;Consolidado;N/A
B-1178662;26/12/2025;ER-CIND-LOT-ALTO DA BOA VISTA-MORRINHOS;CAMPO FORMOSO;ISRAEL;Energizada;7;7;;ENERGIZADA;LV + ENERGZ;;N1-3;LV-151032                161766 EN;;20/dez;149649;171,4285714%;12;;0;PLANO 7;QLP;100%;dez./1;R$ 56.692,27;JOAO;;15/12/2025;31/12/2025;10/12/2025;;;TRUE;FALSE;FALSE;;;D773999;-10,3878015, -39,8191379;https://drive.google.com/file/d/1abk4hCSXH3MqnXXXf3vA980Gdhsu_bn0/view?usp=drive_link;E875118 – E875124;;;SENHOR DO BONFIM;2025-12-01;1178662;Consolidado;N/A
B-1158358;27/12/2025;RR-CIND-FAZ-BAIXA DA MINA-RURAL;CAMPO FORMOSO;ISRAEL;Energizada;11;11;4;ENERGIZADA;LV + ENERGZ;;N1-3;LV-159435               161700 EN;;17/dez;149510;18,18181818%;2;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 98.184,79;JOAO;;15/12/2025;31/12/2025;10/12/2025;;;TRUE;FALSE;FALSE;;;D316873;-10,3443348, -39,9255146;https://drive.google.com/file/d/1hJojN2QLOICfCdS2RmnkMyn2l5nGsEVJ/view?usp=drive_link;E875195 – E875205;;;SENHOR DO BONFIM;2025-12-01;1158358;Consolidado;N/A
B-1156142;27/12/2025;ER-CIND-POV-CARIACA-RURAL;CANSANÇÃO;ANAILTON;Energizada;2;2;;ENERGIZADA;DESL + LV;Pendente;;LV-161768;;27/dez;157234 ;100%;2;;1;PLANO 7;QLP;100%;dez./1;R$ 33.623,01;GABRIEL;;15/12/2025;20/12/2025;15/12/2025;;;TRUE;FALSE;FALSE;;;B929905;-10,687, -39,3047;https://drive.google.com/file/d/1IeCsCvOsetpDuaAB73Zx0KSSS2LD8G6W/view?usp=drive_link;E903493 – E903494;;;SENHOR DO BONFIM;2025-12-01;1156142;Consolidado;N/A
B-1144703;27/12/2025;ER-SEIN-POV-SITIO DOS PIAUS-RURAL;ITIÚBA;ANAILTON;Energizada;3;3;;ENERGIZADA;DESL + LV;Pendente;N1 C/ TRF;LV-161752;;27/12;158536;166,6666667%;5;;1;PLANO 7;GOVERNO;100%;dez./1;R$ 56.661,91;GABRIEL;;22/12/2025;30/12/2025;15/12/2025;;;TRUE;FALSE;FALSE;;;Q095747;-10,8191377, -39,4311659;https://drive.google.com/file/d/18GYc4_bhHGiIcQS-E703LO89ZLUoyP7s/view?usp=drive_link;E875438-E875442;;;SENHOR DO BONFIM;2025-12-01;1144703;Consolidado;N/A
B-1154641;29/12/2025;ER-CIND-POV-CABECA DA VACA 110-RURAL;FILADÉLFIA;GESONI;Energizada;1;1;;ENERGIZADA;LV + ENERGZ;;N1 C/ TRF;LV-151326                    161689 EN;;;149473;0%;0;;1;PLANO 7;QLP;100%;dez./1;R$ 18.467,16;JOAO;;15/12/2025;20/12/2025;09/12/2025;;;TRUE;FALSE;FALSE;;;Q050926;-10,4458212, -39,9699907;https://drive.google.com/file/d/1RznpTGBFaww4wXvhm7pVyou55adghPxb/view?usp=drive_link;E903449 – E903449;;;SENHOR DO BONFIM;2025-12-01;1154641;Consolidado;N/A
B-1218599;;ER-CIND-ET-PEDRA BRANCA-RURAL;MONTE SANTO;OSMAR;;10;10;;FALTA TRAFO 210497 2-10 E ALÇA DE CABO 4;LV + ENERGZ;Pendente;N3/N4;154524 EN LV-161772;;;;100%;10;;0;PLANO 7;QLP;100%;dez./1;R$ 85.822,51;GABRIEL;;22/12/2025;30/12/2025;15/12/2025;;;TRUE;FALSE;FALSE;;;D772198;-10,7408517, -40,1242072;https://drive.google.com/file/d/1FBZ8mw8c7iDhTCvgp8LBeXd8FO9byPXz/view?usp=drive_link;E875174 – E875183;;;SENHOR DO BONFIM;2025-12-01;1218599;Consolidado;N/A
B-1157179;;IT GRUA AG CANDIDO FONSECA RURAL;SENHOR DO BONFIM;REGINALDO;Em execução;;34;22;JA IMPLANTADO TRECHO LIVRE;DESL + LV;;;LV-162002,162010,162014,162023,162029;;;;8,823529412%;3;;0;PLANO 7;QLP;60%;dez./1;R$ 1.706.478,98;JOAO;;17/12/0205;31/01/2026;15/12/2025;;;;FALSE;FALSE;;;D129136;-10,4529673, -40,5616592;;E875233 – E875295;;;SENHOR DO BONFIM;2025-12-01;1157179;Consolidado;N/A
B-1148575;30/12/2025;ER-CIND-POV-TIQUARA-RURAL;CAMPO FORMOSO;EDVALDO;Energizada;;5;;ENERGIZADA;BT;;;159081 BT;;;;100%;5;;1;PLANO 7;QLP;100%;dez./1;R$ 30.617,44;JOAO;;15/12/2025;20/12/2025;09/12/2025;;;TRUE;FALSE;FALSE;;;D010382;-10,413798, -39,2763061;https://drive.google.com/file/d/1TBdjFfLbOmaSKHjdqUkyY1eVpR5to9SZ/view?usp=drive_link;E875448-E875452;;;SENHOR DO BONFIM;2025-12-01;1148575;Consolidado;N/A
B-1145072;;ER-CIND-FAZ-CARPINTARIA-NUCLEO PILAR;JAGUARARI;WAGNER;;;19;;FALTA ALÇA DE CABO 4 E LAÇO DE 25;LV + ENERGZ;Pendente;N3/N4;LV-151307                   157669 EN;;12/dez;149376;21,05263158%;4;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 74.659,68;JOAO;;08/12/2025;31/12/2025;18/12/2025;;;TRUE;FALSE;FALSE;;;D261007;-10,2315923, -39,3376556;https://drive.google.com/file/d/1v0rY_6dPG0KH_kxLjPJc78_tIXMNVB2L/view?usp=drive_link;E875155 – E875163;;;SENHOR DO BONFIM;2025-12-01;1145072;Consolidado;N/A
B-1212962;30/12/2025;ER-CIND-POV-BEBEDOURO-BEBEDOURO;CAMPO FORMOSO;ISRAEL;Energizada;2;2;;ENERGIZADA;LV + ENERGZ;Pendente;N1 C/ TRF;LV-151022             155607 EN;;;;100%;2;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 22.173,58;JOAO;;01/12/2025;13/12/2025;10/12/2025;;;TRUE;FALSE;FALSE;;;E427156;-10,08367, -40,79028;https://drive.google.com/file/d/1rqy7eaE8zQOW-9VDxF5vU47QM4pqhmOO/view?usp=drive_link;E903483 – E903484;;;SENHOR DO BONFIM;2025-12-01;1212962;Consolidado;N/A
