PROJETO_FATO;Carteira;COORD;NOTA;TÍTULO;MUNICIPIO;STATUS 1;ENCARREGADO;SUPERVISOR;AR COELBA;nan;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNR;AVANÇO;INCIO;PV. FIM;ENERGIZAÇÃO;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;PLANO;OC. ENERG.;22%%;STATUS_FATO;;VALOR SERVIÇO;SERV. X % AVNP;Ticket Médio;% Vlr Serv / Vlr Projeto;DIAS PREVISTOS;% Vlr Serv x Vlr Projeto;PES ENCAB. BT / ENERG.;SOLICITAÇÃO DE TRANSPORTE CONCRETO;OBRA SIMPLIFICADA;DATA ENERG REAL;VALOR DE PROJETO;PV. INÍCIO;INCIO REAL;FIM REAL;B-1227403;ETAPA;CARTEIRA;VALOR REAL;PIN;MAPS;REFERÊNCIA;PG'S;VISITA PRÉVIA;PRÉ-FECHAMENTO;LINK PROJETO;SOL. DE RESERVA NO CES;DT. SEPARAÇÃO CES;DT. SAQUE DE MATERIAIS;PES ENCAB. BT/ ENERG.;RESUMO ENCAB. BT/ENERG.;RESUMO LV;RESUMO PES PD;% POSTES;CAVP;CAVR;% CAVAS;DT REPROG;OBRA MIGRADA;DT I REAL;DT F REAL;ENERG. INFORMADA;AS BUILT;OBS.1;Unnamed: 0;AVANÇO.1;CONCRETO ENVIADO;DEVOLUÇÃO;BOOK/EVIDÊNCIAS;IMPEDITIVO
0823492;01/01/2025;JACOBINA;9101077475;MP-CIND-POV PEDRA BRANCA-RURAL;MUNDO NOVO;nan;EDILSON;RENATO;DIORLAN;nan;LPT;03/01/25;03/01/25;10/01/25;2025-7250;2025-7260;nan;nan;nan;nan;E615818 AO E615825;1;8;4;nan;8;nan;nan;08/01/25;21/01/25;nan;nan;-12.007194;nan;R$ 122.973,00;nan;nan;nan;nan;nan;Intercalar poste c LV, solo bom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1056397;01/01/2025;JACOBINA;9101763912;MP-CIND-FAZ-LAGOA DO FELIPAO-RURAL;PIRITIBA;ANDAMENTO;RODRIGO;DURVAL;DIORLAN;nan;LPT;03/01/25;03/01/25;08/01/25;2025-7271;2025-7282;nan;nan;nan;1016757/2024;E698713 ao E698723;1;10;nan;nan;10;nan;nan;20/01/25;31/01/25;nan;nan;-11.722435;-40.667881;R$ 129.497,91;nan;nan;nan;nan;nan;Montar bancada N3 c LV. Solo bom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0801606;01/01/2025;JACOBINA;9100996248;LD CIND FAZ LAGOA DA PEDRA RURAL;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;nan;JUDICIAL;02/01/25;02/01/25;07/01/25;2025-9578;nan;nan;nan;nan;nan;E615811 AO E615817;1;7;7;7;0;100,00%;nan;20/01/25;25/01/25;25/01/2025;nan;-11.643832;-40.466862;R$ 42.662,80;nan;nan;nan;nan;nan;Intercalar poste c LV, solo bom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1152973;01/01/2025;JACOBINA;9102099617;ER-CCOL-FAZ-MELANCIAS-RR-OUROLANDIA;OUROLÂNDIA;ENERGIZADA;ELIEZER;ETEMILSON;NAILTON;nan;REPUTACIONAL;02/01/25;02/01/25;07/01/25;2025-7862;2025-7867;nan;nan;nan;1016759/2024;E698747 ao E698798;3;52;52;52;0;100,00%;nan;06/01/25;31/01/25;31/01/2025;nan;-10.891227;-41.1274074;R$ 554.239,65;nan;nan;510,00;nan;nan;Intercalar poste c LC, Pelas fotos do geoex os postes já estao implantados por outra EPS. NECESSIDADE DE VISITAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1073346;01/01/2025;JACOBINA;9101899532;LD-CIND-PR.GALDINO VITORIA-RURAL;MUNDO NOVO;nan;LUCIANO;RENATO;DIORLAN;nan;LPT;03/01/25;06/01/25;09/01/25;2025-9929;nan;nan;nan;nan;nan;E615827 E E615827;1;2;nan;nan;2;0%;nan;11/01/25;18/01/25;nan;nan;-12.041839;-40.793877;R$ 27.036,75;nan;nan;nan;nan;nan;Intercalar poste c LV, solo bom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1077724;01/01/2025;JACOBINA;9101891345;LD CIND POV BAIXINHA RURAL;CAMPO FORMOSO;ENERGIZADA;EUDARIO;ETEMILSON;HIAGO;nan;REPUTACIONAL;23/01/25;23/01/25;25/01/25;2025-9864;2025-11043;nan;nan;nan;nan;E615914 ao E615922;1;9;9;9;0;100,00%;nan;23/01/25;28/01/25;29/01/2025;nan;nan;nan;R$ 82.906,45;nan;nan;nan;nan;nan;Intercalar poste c LV. Muita poda. Cava trado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1160910;01/01/2025;JACOBINA;9102127550;ER CIND FZ BOA VISTA RURAL;MUNDO NOVO;ENERGIZADA;LUCIANO;RENATO;DIORLAN;nan;QLP;07/01/25;07/01/25;17/01/25;nan;2025-7201;nan;nan;nan;nan;E615830;1;1;1;nan;1;nan;nan;20/01/25;25/01/25;29/01/2025;nan;-11.824869;-40.488726;R$ 23.515,59;nan;nan;235,00;nan;nan;Extensão BT, solo bom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1035980;01/01/2025;JACOBINA;9101799780;MP- CIND - POV.MANICOBA-RURAL;PIRITIBA;EM  LOCAÇÃO;RODRIGO;DURVAL;DIORLAN;nan;LPT;09/01/25;09/01/25;28/01/25;2025-9948;2025-9969;nan;nan;nan;1016760/2024;E698799 ao E698813;1;15;nan;nan;15;0%;nan;17/01/25;21/01/25;nan;nan;-11.759154;-40.627565;R$ 134.719,83;nan;nan;nan;nan;nan;Intercalar poste c LV, solo bom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1065855;01/01/2025;JACOBINA;9101868390;LD-CIND-POV VILA NOVA-RURAL PRB;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;nan;RECLAMAÇÃO;16/01/25;16/01/25;20/01/25;nan;nan;2025-891;22/01/25;CONCLUÍDO;nan;E615896 ao E615898;1;3;3;3;0;nan;nan;22/01/25;22/01/25;22/01/2024;nan;-11.6044054;-40.7605411;R$ 20.489,85;nan;nan;nan;nan;nan;Desligamento para realocar rede MT e extender poste BT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1114605;01/01/2025;JACOBINA;9101971076;MP-CIND-POV-MIRANDAS-RURAL;MUNDO NOVO;ENERGIZADA;EDILSON;RENATO;DIORLAN;nan;JUDICIAL;08/01/25;08/01/25;11/01/25;2025-9996;2025-10009;nan;nan;nan;1016762/2024;E698994 ao E699023;1;29;28;29;0;100,00%;nan;21/01/25;31/01/25;31/01/2025;nan;-11.955822;-40.638326;R$ 383.705,16;nan;nan;nan;nan;nan;Transformar estrutura em poste circular c LV. Solo cava c/ trado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
