NOTA;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS 1;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNR;AVANÇO;INCIO;PV. FIM;ENERGIZAÇÃO;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9101977642;B-1114109;AL GRUA AG SERRA RURAL;MUNDO NOVO;LUCIANO/ ANTONIO;PROJETO EM REVISÃO;RENATO;DIORLAN;PLANO 7;TRANSGRESSÃO;AGUARDAR;nan;AGUARDAR;nan;nan;CRIAR;AGUARDAR;DEFINIR;1019600/2025;nan;0;177;nan;nan;177;0%;nan;10/02/25;30/05/25;nan;nan;D262172;-11,8515623;-40,4812778;R$ 2.996.234,13;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1114109;Consolidado;N/A
9101728976;B-1011761;IS-CIND-POV-TOCA DA NOVILHA 195-RURAL;CAMPO FORMOSO;EUD / MARIO / JAILTON;aguardando visita;EDILECIO;GUTTEMBERG;PLANO 8;DIA C - ESTADUAL;14/02/25;14/02/25;nan;2025-17533  CONJ. PD;nan;2025-17525  CONJ COM LV;27/02/25;APROVADA;nan;E677225 ao E677227;0;4;nan;nan;4;0%;nan;10/02/25;28/02/25;nan;nan;Q063146;https://maps.app.goo.gl/NkMqkdzsoUdtTToA8;-40,5631565;R$ 36.720,86;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1011761;Consolidado;N/A
9102140830;B-1174797;UB-CIND-RUA-BENJAMIM CONSTANTINO-CENTRO;CAMPO FORMOSO;EUD / MARIO / JAILTON;ENERGIZADA;EDILECIO;GUTTEMBERG;PLANO 7;DIA C - REPUTACIONAL;10/02/25;10/02/25;12/02/25;"2025-11057
CONJ. PD";nan;"2025-10999
CONJ. LV";13/02/25;APROVADA;nan;E615964;1;2;2;2;0;100%;nan;13/02/25;13/02/25;13/02/2025;2025-2-32683;D527972;https://maps.app.goo.gl/9NtXG54PAeiornEj6;-40,324034;R$ 48.313,30;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1174797;Consolidado;N/A
9102151721;B-1176820;UB-CIND-RUA-CELINO DA SILVA 20-CENTRO-TI;CAMPO FORMOSO;EUD / MARIO / JAILTON;MIGRADA PARA MARÇO;EDILECIO;GUTTEMBERG;PLANO 7;DIA C - REPUTACIONAL;14/02/25;14/02/25;25/02/25;nan;nan;2025-11931;28/02/25;REPROVADO;nan;E615831 ao E615832;1;2;nan;nan;2;0%;nan;24/02/25;28/02/25;nan;nan;Q063578;https://maps.app.goo.gl/74hPsMse8gysb8HB9;-40,5457401;R$ 35.769,22;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1176820;Consolidado;N/A
9102138148;B-1168683;ER-CCOL-RCL-FAZ-PILOES-RURAL;CAMPO FORMOSO;nan;4 postes implantados, falta cabo 1x25;EDILECIO;GUTTEMBERG;PLANO 14 - LPT;DIA C - ESTRATEGIA PR;10/02/25;10/02/25;12/02/25;nan;2025-16301;nan;nan;nan;nan;E682381 ao E682385;12;5;nan;nan;5;0%;nan;16/02/25;19/02/25;nan;nan;D520466;https://maps.app.goo.gl/gjPL9TokNstZ4rn96;-40,3516244;R$ 35.769,22;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1168683;Consolidado;N/A
9102128524;B-1160485;ER-CIND-FAZ-ESPERANCA-LAGOA DO MAMAO;BAIXA GRANDE;LUCIANO;ENERGIZADA;GABRIEL;DIORLAN;PLANO 7;DIA C - ESTRATEGIA PR;nan;nan;nan;nan;2025-14469;nan;nan;nan;nan;E615957 ao E615959;1;3;3;3;0;100%;nan;08/02/25;08/02/25;08/02/2025;18574;E507611;https://maps.app.goo.gl/M66uAWntPtozeUv47;-40,141026;R$ 16.573,93;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1160485;Consolidado;N/A
9102122107;B-1161149;ER-CIND-FAZ-S O JORGE-RURAL;BAIXA GRANDE;LUCIANO;não iniciada;GABRIEL;DIORLAN;PLANO 14 - LPT;DIA C - ESTRATEGIA PR;18/02/25;18/02/25;24/02/25;nan;2025-16338;nan;nan;nan;nan;E682386 ao E682390;1;5;nan;nan;5;0%;nan;20/02/25;22/02/25;nan;nan;B888747;https://maps.app.goo.gl/NyS8MBDtpFhk21JcA;-40,1267864;R$ 29.491,41;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1161149;Consolidado;N/A
9102125176;B-1161926;ER-CIND-FAZ-BOLIVIA-RURAL;BAIXA GRANDE;LUCIANO;não iniciada;GABRIEL;DIORLAN;PLANO 14 - LPT;QLP;18/02/25;18/02/25;24/02/25;nan;2025-16427;nan;nan;nan;nan;E615831 ao E615832;1;2;nan;nan;2;0%;nan;23/02/25;25/02/25;nan;nan;L382657;https://maps.app.goo.gl/fxRtBtxUdNW8eJDt6;-40,2081846;R$ 12.560,48;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1161926;Consolidado;N/A
9102081338;B-1148629;ER-CIND-FAZ-QUEIMADA NOVA-RURAL;BAIXA GRANDE;LUCIANO;não iniciada;GABRIEL;DIORLAN;PLANO 14 - LPT;RECLAMAÇÃO;18/02/25;18/02/25;24/02/25;2025-11761;nan;nan;nan;nan;nan;E682393 ao E682394;1;2;nan;nan;2;0%;nan;26/02/25;27/02/25;nan;nan;B462086;https://maps.app.goo.gl/AtG8QydNL9NswLDf6;-40.027873;R$ 13.421,46;nan;nan;nan;nan;nan;INTERCALAR 02 POSTES AT E LANÇAR 02 VÃO DE BT (161 UCS - CHI 966);JACOBINA;01/02/2025;1148629;Consolidado;N/A
9102072982;B-1146508;ER-CIND-POV-ALDEIA-RURAL;BAIXA GRANDE;LUCIANO;não iniciada;GABRIEL;DIORLAN;PLANO 7;QLP;18/02/25;18/02/25;24/02/25;2025-11809;2025-16587;nan;nan;nan;1019033/2025;E717055 ao E717067;1;13;nan;nan;13;0%;nan;19/02/25;28/02/25;nan;nan;D101905;https://maps.app.goo.gl/v4pzfoNrxFZC1QTZ7;-40.1897042;R$ 124.069,73;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1146508;Consolidado;N/A
9101442113;B-0946219;ER-CCOL-POV.ARARAS-RURAL;CAMPO FORMOSO;MARIO;AVANÇO - 50% - não iniciada;EDILECIO;GUTTEMBERG;PLANO 14 - LPT;REPUTACIONAL;31/01/25;31/01/25;nan;2025-12094;CRIAR;nan;nan;nan;1019044/2025;E717068 AO E717108;3;41;nan;nan;41;0%;nan;18/02/25;30/03/25;nan;nan;B139191;https://maps.app.goo.gl/jRLJ6ugU1kxxp11s9;-40.791195;R$ 172.701,96;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;0946219;Consolidado;N/A
9102128652;B-1161918;AC-CIND-POV-LAGOA DO PORCO-RURAL;CAMPO FORMOSO;nan;ENERGIZADA;EDILECIO;GUTTEMBERG;PLANO 7;REPUTACIONAL;07/02/25;07/02/25;11/02/25;2025-12129;2025 - 19287;nan;nan;nan;1019049/2025;E717119 ao E717125;1;9;nan;9;0;100%;nan;10/02/25;20/02/25;28/02/2025;nan;Q064537;https://maps.app.goo.gl/EQy29HmcCvhyAFAf8;-40.6222073;R$ 108.046,82;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1161918;Consolidado;N/A
9101934468;B-1094013;AC CIND PO LAGOA CAVADA RURAL CPF;CAMPO FORMOSO;nan;FALTA DETONAR 4 CAVAS, IMPLANTAR POSTES E FALTA CABO 1X25;EDILECIO;GUTTEMBERG;PLANO 7;REPUTACIONAL;18/02/25;18/02/25;25/02/25;2025-13973;CRIAR;nan;nan;nan;1019065/2025;E717146 ao E717156;1;11;nan;nan;11;0%;nan;20/02/25;27/02/25;nan;nan;Q062252;https://maps.app.goo.gl/qGybmjZCcQdWQ67N7;-40.3977383;R$ 127.909,10;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1094013;Consolidado;N/A
9101883904;B-1073798;ER-CIND-POV-OLHOS DAGUA-RURAL;CAMPO FORMOSO;JAILTON;ENERGIZADA;EDILECIO;GUTTEMBERG;PLANO 14 - LPT;REPUTACIONAL;07/02/25;07/02/25;11/02/25;nan;nan;2025-11668;21/02/25;APROVADA;1019070/2025;E717157 ao E717171;4;16;16;16;0;100%;nan;10/02/25;21/02/25;26/02/2025;66371;D156285;https://maps.app.goo.gl/wzddEt1iXbR3BviH6;-40.3889989;R$ 67.281,19;nan;nan;nan;nan;nan;VERIFICAR NECESSIDADE DE SUBSTITUIR POSTE DA DV;JACOBINA;01/02/2025;1073798;Consolidado;N/A
9102085632;B-1146336;RR-CIND-POV-CURRALINHO-RURAL;CAMPO FORMOSO;JAILTON;JÁ ESTÁ NO QUINTO REPASSE E AS CAVAS NÃO SAEM;nan;HIAGO SANTANA;nan;REPUTACIONAL;11/11/24;11/11/24;12/11/24;2024-131589;2025-3334;nan;nan;nan;1012146/2024;E669427 ao E669438;nan;12;16;nan;12;0%;40,00%;22/11/24;28/02/25;nan;nan;E238073;-10,235994;-40,605536;R$ 122.883,92;nan;nan;190,00;nan;nan;Transformar N3/N4;JACOBINA;01/02/2025;1146336;Consolidado;N/A
9102083176;B-1145254;ER-CIND-POV-LAGEDO RASO-RURAL;CAMPO FORMOSO;EUDÁRIO;CAVAS EXPLORADAS -PARA DETONAR ( REPASSE);EDILECIO;HIAGO SANTANA;nan;DIA C;19/11/24;20/11/24;29/01/25;nan;2025-12194;nan;nan;nan;nan;E615891 ao E615895;1;6;4;nan;6;0%;40,00%;30/11/24;28/02/25;nan;nan;nan;-10,4469726;-40,5390414;R$ 29.446,95;nan;nan;nan;nan;Pendente detonação , 4 cava perfurada;nan;JACOBINA;01/02/2025;1145254;Consolidado;N/A
9102108609;B-1159520;UB-CIND-RUA-MANDACARU-TIQUARA;CAMPO FORMOSO;EUDÁRIO;CAVAS EXPLORADAS -PARA DETONAR;nan;RAMON;nan;PRIORIDADE PLANO ANEEL;29/11/24;29/11/24;29/01/25;nan;2024-147371;nan;nan;nan;1014089/2024;E682280 AO E682286;14;7;nan;nan;7;0%;100,00%;26/12/24;28/02/25;nan;nan;D397270;https://maps.app.goo.gl/cwCkNvMD45b7xujSA;-40.5457041;R$ 34.592,90;nan;nan;185,00;nan;Pendente detonação 7 cavas, cavas perfuradas;Extensão 7 BT cabo 1x25 (185mts). Tiquara, cava em rocha;JACOBINA;01/02/2025;1159520;Consolidado;N/A
9102081216;B-1146061;ER-CIND-SI-GENIO-RURAL;CAMPO FORMOSO;MARIO;CAVAS EXPLORADAS -PARA DETONAR;nan;HIAGO SANTANA;nan;PRIORIDADE PLANO ANEEL;16/12/24;06/12/24;15/01/24;2025-19675;nan;nan;nan;nan;nan;E601299 AO E601303;1;5;nan;nan;5;0%;100,00%;17/12/24;28/02/25;nan;nan;E427776;https://maps.app.goo.gl/eTU2ZjM4PvRgWVuf7;-40.5009006;R$ 50.535,86;nan;nan;485,00;nan;Alterou projeto para 5 postes, pendente perfuração e detonação;Extensão 8 BT cabo 1x25 (485mts). Cava em rocha;JACOBINA;01/02/2025;1146061;Consolidado;N/A
9102105527;B-1153564;ER-CIND-SI-GENIO 500-RURAL;CAMPO FORMOSO;MARIO;ENERGIZADA;nan;HIAGO SANTANA;nan;PRIORIDADE PLANO ANEEL;20/12/24;06/12/24;09/12/24;nan;2025-19596;nan;nan;nan;nan;"E601323 ao E601325
E615810";1;4;4;4;0;100%;100,00%;20/12/24;nan;27/02/2025;72818;B182570;-10,2727445;-40,4822468;R$ 17.629,47;nan;nan;185,00;nan;Pendente perfuração e detonação de 4 cavas;Extensão 3 BT cabo 1x25 (185mts), Cava em rocha retro];JACOBINA;01/02/2025;1153564;Consolidado;N/A
9102055259;B-1138569;ER-CIND-POV-TANQUE NOVO-RURAL;CAMPO FORMOSO;JAILTON;ENERGIZADA;EDILECIO;HIAGO SANTANA;nan;DIA C SIPEL JACOBINA;10/12/24;10/12/24;30/01/25;2025-11297;2025-18218;nan;nan;nan;nan;E601282;nan;1;1;1;0;100%;nan;14/12/24;28/02/2025;14/02/2025;35954;nan;-10,5672906;-40,477524;R$ 20.745,60;nan;nan;nan;nan;Pendente detonação , cava perfurada;nan;JACOBINA;01/02/2025;1138569;Consolidado;N/A
9102099150;B-1151265;ER CIND FAZ BAIXA DA MINA RURAL;CAMPO FORMOSO;WAGNER;NÃO INICIADA;ALAN;HIAGO SANTANA;nan;PRIORIDADE PLANO ANEEL;23/12/24;23/12/24;25/02/25;nan;2024-150146;nan;nan;nan;nan;E615799 AO E615802;1;4;nan;nan;4;0%;100,00%;11/12/24;28/02/25;nan;nan;D574604;-10,2691168;-40,6424555;R$ 24.119,08;nan;nan;235,00;nan;Não iniada;Extensão 4 BT cabo 1x25 (235mts), depois do povoado Panela, solo cava em rocha;JACOBINA;01/02/2025;1151265;Consolidado;N/A
9102092311;B-1151807;ER-CIND-POV-VARGEM DO SAL-VARGEM DO SAL;CAMPO FORMOSO;EUDARIO;SÓ SAIU UMA CAVA, 4 REPASSE PENDENTE;nan;RAMON - U464714;PLANO 14 - LPT;PRIORIDADE PLANO ANEEL;19/12/24;19/12/24;21/12/24;2024-151786;nan;nan;nan;nan;nan;E615785 ao E615789;1;5;nan;nan;5;0%;100,00%;21/01/25;28/02/25;nan;nan;E237974;-10,4096905;-40,6827986;R$ 50.830,09;nan;nan;240,00;nan;Pendente perfuração e detonação de 5 cavas;Instalar trafo no PG E237874, extensão 5 postes BT cabo 1x25 (235mts), Vargem do Sal, 100% detonada;JACOBINA;01/02/2025;1151807;Consolidado;N/A
9102082302;B-1146725;ER-CIND-POV-VARZEA DO LACO-RURAL;GAVIÃO;JOSÉ MISAEL;ENERGIZADA;GABRIEL;MANOEL;PLANO 7;QLP;04/02/25;04/02/25;06/02/25;nan;nan;2025-11273;45702;APROVADA;nan;E615951;1;1;1;1;0;100%;nan;12/02/25;14/02/25;14/02/2025;35591;D536774;https://maps.app.goo.gl/NbkhinJi9n8sgKXD7;-39.748166;R$ 17.836,04;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1146725;Consolidado;N/A
