NOTA;PROJETO;TÍTULO;MUNICIPIO;STATUS 1;ENCARREGADO;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCAB. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVANÇO;AVNR;INCIO;PV. FIM;ENERGIZAÇÃO;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;VALOR SERVIÇO;SERV. X % AVNP;Ticket Médio;% Vlr Serv x Vlr Projeto;PROVAVEL ROCHA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;DIAS PREVISTOS;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9101989343;B-1119965;ER-CIND-POV-CURRALINHO-CURRALINHO;CAMPO FORMOSO;ENERGIZADA;JOSÉ MILTON;EDILECIO;ALEFE SANTOS - U360418;PLANO 14;RECLAMAÇÃO;26/05/2025;26/05/2025;nan;2025-60309;nan;PES = 2025-66949 - 26.06 - Desligamento.pdf;45834;APROVADA;nan;E766917 e E766918;1;2;3;3;2;100%;nan;20/06/2025;20/06/2025;26/06/2025;PES 66949/ OC 66426;D054192 -  J53306;-10.2014375;-40.6442806;R$ 13.514,46;R$ 3.972,46;R$ 3.972,46;R$ 1.986,23;29%;nan;nan;nan;PES LV - INTERCALAR POSTE AT ENTRE OS PGS D054192 E  D054193 E ENTRE D054193 E D054194 PARA EXTENSÃO DE REDE BT. PES BT - ENCABEÇAR REDE BT NOVA NO PG EXISTENTE D054194 E ENERGIZAR A OBRA.;nan;nan;JACOBINA;01/06/2025;1119965;Consolidado;N/A
9102148308;B-1176801;ER - CIND - POV GAMELEIRA - RURAL;CAMPO FORMOSO;ENERGIZADA;JOÃOZITO;EDILECIO;ALEFE SANTOS - U360418;PLANO 14;PRIORIDADE PLANO ANEEL;26/05/2025;26/05/2025;nan;nan;2025-60723;nan;nan;nan;nan;E734625 ao E734627;4;3;3;3;3;100%;nan;25/06/2025;25/06/2025;11/06/2025;PES 60723/OC 26963;D366677 - W54271;-10.5218729;-40.3308356;R$ 12.878,86;R$ 4.743,25;R$ 4.743,25;R$ 1.581,08;37%;nan;nan;nan;PES BT - (TRAFO W54271) ENCABEÇAR REDE BT NOVA O PG EXISTENTE D366677 E ENERGIZAR A OBRA;nan;nan;JACOBINA;01/06/2025;1176801;Consolidado;N/A
9101977762;B-1116388;AC-CIND-POV-VARZINHA-VARZINHA;CAMPO FORMOSO;ENERGIZADA;ANTONIO;EDILECIO;ALEFE SANTOS - U360418;PLANO 7;RECLAMAÇÃO;26/05/2025;26/05/2025;nan;nan;2025-60733;nan;nan;nan;nan;E742524 AO E742529;1;6;6;6;6;100%;nan;25/06/2025;27/06/2025;11/06/2025;PES 60733/OC 25633;D106086 - J58213;-10.4775037;-40.5616704;R$ 38.663,02;R$ 10.115,41;R$ 10.115,41;R$ 1.685,90;26%;nan;nan;nan;PES BT - ENCABEÇAR REDE BT NOVA NO PG EXISTENTE D106086 E ENERGIZAR A OBRA. (TRAFO J58213);nan;nan;JACOBINA;01/06/2025;1116388;Consolidado;N/A
9102059665;B-1149434;MP CIND-POV-RIACHAO-RURAL;CAMPO FORMOSO;SAMPAIO TIROU DA CARTEIRA;JOÃOZITO;GABRIEL;ALEFE SANTOS - U360418;PLANO 7;PRIORIDADE PLANO ANEEL;27/05/2025;27/05/2025;nan;2025-60327;CRIAR;nan;nan;nan;nan;E766810 ao E766833;2;31;nan;nan;nan;100%;nan;nan;nan;nan;nan;D070520 / J54596;-10.3570665;-41.1181831;R$ 295.559,25;nan;R$ 0,00;R$ 0,00;0%;nan;nan;nan;PES LV - TRANSF. N3 EM N4 NO PG EXISTENTE D070521, TENCIONAR REDE NOVA E ENERGIZAR A OBRA. PES BT - SUBSTITUIR OS PG EXISTENTES D070522, D070523, D070524, D070525, D070526  E D070527, TRANSFERIR REDE BT DO PG EXISTENTE PARA OS POSTES NOVOS, FECHAR CHAVE NOVA INSTALADA NO PG NOVO E ENERGIZAR A OBRA.;nan;nan;JACOBINA;01/06/2025;1149434;Consolidado;N/A
9102252060;B-1201874;ER-CIND-FAZ-NOVILHA-RURAL;CAPIM GROSSO;OBRA JA EXECUTADA EM OUTRO PROJETO;nan;/;/;PLANO 7;DIA C;28/05/2025;28/05/2025;nan;nan;CRIAR;nan;nan;nan;nan;nan;1;0;nan;nan;nan;100%;nan;nan;nan;nan;nan;B840213;-11.3757368;-39.9331287;R$ 1.527,22;nan;R$ 0,00;R$ 0,00;0%;nan;nan;nan;PES BT - ENCABEÇAR REDE BT NOVA NO PG EXISTENTE D036490 E ENERGIZAR A OBRA. (CH G56074);nan;nan;JACOBINA;01/06/2025;1201874;Consolidado;N/A
9102252061;B-1201677;UB-CIND-AV-PINHEIRO-OLIVEIRA;CAPIM GROSSO;ENERGIZADA;nan;GABRIEL;MANOEL GUSTAVO - U464710;PLANO 7;DIA C;28/05/25;28/05/25;nan;nan;2025-71252;nan;nan;nan;nan;E719768;1;1;1;1;1;100%;nan;nan;nan;25/06/2025;PES71252 / OC 63070;R003827;-11.3835545;-40.0062088;R$ 6.165,68;nan;R$ 0,00;R$ 0,00;0%;nan;nan;nan;PES BT - ENCABEÇAR REDE BT NOVA NO PG EXISTENTE R003827 E ENERGIZAR A OBRA. (TRAFO J02364);nan;nan;JACOBINA;01/06/2025;1201677;Consolidado;N/A
9102222579;B-1194120;ER-CIND-FAZ-UMBURANA-RURAL;GAVIÃO;SAMPAIO TIROU DA CARTEIRA;nan;GABRIEL;MANOEL GUSTAVO - U464710;PLANO 14;DIA C;30/05/2025;30/05/2025;nan;nan;CRIAR;nan;nan;nan;nan;nan;1;3;nan;nan;nan;100%;nan;nan;nan;nan;nan;D072658 - J56557;-11.5468671;-39.6970819;R$ 1.527,22;nan;R$ 0,00;R$ 0,00;0%;nan;nan;nan;PES BT - INTERCALAR POSTE BT ENTRE OS PGS D072658 E O D072659, ENCABEÇAR REDE BT E ENERGIZAR A OBRA. (TRAFO J56557);nan;nan;JACOBINA;01/06/2025;1194120;Consolidado;N/A
9102220064;B-1193992;UB-CIND-RUA-A-NOVO OESTE;CAPIM GROSSO;SAMPAIO TIROU DA CARTEIRA;nan;GABRIEL;MANOEL GUSTAVO - U464710;PLANO 7;DIA C;28/05/2025;28/05/2025;nan;nan;CRIAR;nan;nan;nan;nan;nan;1;2;nan;nan;nan;100%;nan;nan;nan;nan;nan;D375332 / W72912;-11.3736309;-40.0164436;R$ 14.666,99;nan;R$ 0,00;R$ 0,00;0%;nan;nan;nan;PES BT - ENCABEÇAR REDE BT NOVA NO PG EXISTENTE D375332 E ENERGIZAR A OBRA. (TRAFO W72912);nan;nan;JACOBINA;01/06/2025;1193992;Consolidado;N/A
9102007027;B-1122127;MP-CCOL-POV.BOA VISTA DO CAJ-RURAL;CAMPO FORMOSO;ENERGIZADA;JAIRO;EDILECIO;DIORLAN;PLANO 7;REPUTACIONAL;20/03/25;20/03/25;nan;2025-31520;2025-63838;2025-49374 2025-49379;15/05/2025 e 30/05/2025;APROVADA/ APROVADA;1021925;E734507 ao E734542;3;46;45;45;46;100%;nan;15/04/25;30/05/25;04/06/2025;nan;D188098;-10.051111;-40.3945463;R$ 783.832,42;R$ 61.154,02;R$ 61.154,02;R$ 1.329,44;8%;nan;nan;nan;nan;nan;nan;JACOBINA;01/06/2025;1122127;Consolidado;N/A
9102203508;B-1192562;ER-CIND-POV-PEDRAS ALTAS -P A DO MIRIM;CAPIM GROSSO;ENERGIZADA;nan;GABRIEL;MANOEL GUSTAVO - U464710;PLANO 7;DIA C;30/05/2025;30/05/2025;nan;nan;2025-68897;nan;nan;nan;nan;nan;1;2;2;2;nan;100%;nan;nan;nan;14/06/2025;68897/36955;N56986 / B745488;-11.1879967;-40.0413643;R$ 17.368,59;nan;R$ 0,00;R$ 0,00;0%;nan;nan;nan;PES BT - ENCABEÇAR REDE BT NOVA NO PG EXISTENTE B745488 E ENERGIZAR A OBRA. (TRAFO N56986);nan;nan;JACOBINA;01/06/2025;1192562;Consolidado;N/A
