B-1227403;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS 1;ETAPA;OBS;SUPERVISOR;AR COELBA;CARTEIRA;VALOR DE PROJETO;VALOR REAL;PIN;PLANO;AVANÇO;OBRA SIMPLIFICADA;CRITÉRIO;LATITUDE;LONGITUDE;MAPS;REFERÊNCIA;SI PG;PG'S;VISITA PRÉVIA;PRÉ-FECHAMENTO;LINK PROJETO;SOL. DE RESERVA NO CES;DT. SEPARAÇÃO CES;DT. SAQUE DE MATERIAIS;PES ENCAB. BT/ ENERG.;RESUMO ENCAB. BT/ENERG.;PES LV;RESUMO LV;PES PD;RESUMO PES PD;DATA PD;STATUS PES PD;CLIET.;PSTP;PST EXEC;% POSTES;CAVP;CAVR;% CAVAS;PROVAVEL ROCHA;PV. INÍCIO;PV. FIM;DT REPROG;OBRA MIGRADA;DT I REAL;DT F REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OC. ENERG.;AS BUILT;OBS.1;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102339113;B-1226351;ER-CIND-FAZ-RIACHO-PILOES;CAEM;OLISVALDO;ENERGIZADA;ENERGIZADA;nan;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 19.700,30;R$ 3.127,47;7.1.2.3;PLANO 7;100%;NÃO;0;-11,116931;-40,006586;nan;D777818;nan;E899717;nan;20/11/2025;17/11/2025;OK;05/12/2025;nan;2025-158776;nan;2025-149648;nan;nan;nan;nan;nan;1;1;1,00;100,00%;nan;nan;0,00%;nan;02/12/2025;02/12/2025;09/12/2025;nan;nan;nan;10/12/2025;SIM;2025-10-34720;nan;nan;JACOBINA;01/12/2025;1226351;Consolidado;N/A
9102344618;B-1227689;UB-CIND-RUA-DO CONTORNO-CENTRO;CAEM;OLISVALDO;ENERGIZADA;ENERGIZADA;nan;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 15.219,38;nan;7.1.1.3;PLANO 7;100%;NÃO;QLP;-11,087138;-40,430872;nan;D699524;nan;E899681 AO E899682;nan;nan;17/11/2025;OK;05/12/2025;nan;2025-159380;nan;nan;nan;nan;nan;nan;nan;2;2;2,00;100,00%;2;2;100,00%;nan;03/12/2025;03/12/2025;10/12/2025;nan;nan;nan;11/12/2025;SIM;39308;nan;nan;JACOBINA;01/12/2025;1227689;Consolidado;N/A
9102347650;B-1230051;AC-CIND-AV-ITAPICURU MIRIM 10-GONCALO;CAEM;OLISVALDO;ENERGIZADA;ENERGIZADA;CONCLUI ATÉ DIA 30/12;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 50.349,75;R$ 7.362,13;7.1.2.3;PLANO 7;100%;NÃO;INSTITUCIONAL;-11,187123;-40,265646;nan;D123502;nan;E899678;nan;02/12/2025;17/11/2025;OK;04/12/2025;nan;nan;nan;2025-149841;nan;2025-149361;nan;21/12;nan;1;3;3,00;100,00%;nan;nan;0,00%;nan;04/12/2025;05/12/2025;30/12/2025;nan;nan;nan;05/01/2026;nan;nan;nan;Desligamento reprogramado deu cava em rocha.;JACOBINA;01/12/2025;1230051;Consolidado;N/A
9102145474;B-1184679;EQ-COEL-CO-ALTO BONITO-RURAL;CALDEIRÃO GRANDE;OLISVALDO;INICIADA;ALOCAÇÃO;FALTA REGULADOR TENSÃO - 1000015 RT 13,8KV 276KVA 200A 1F;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 402.104,27;nan;8.2.2.3;PLANO 8;100%;NÃO;PERDAS TÉCNICAS;-10,992291;-40,344884;nan;R013203;nan;E899649 AO E899650;nan;nan;17/11/2025;ok;08/12/2025;nan;nan;nan;2025-149915;nan;nan;nan;nan;nan;0;2;nan;0,00%;nan;nan;0,00%;nan;06/12/2025;06/12/2025;23/12/2025;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/12/2025;1184679;Consolidado;N/A
9102163733;B-1186926;ER-CIND-FAZ-SETE PORCOS-RURALSETE PORCOS;CAPIM GROSSO;JOSE MISAEL;ENERGIZADA;ENERGIZADA;nan;EDUARDO;MANOEL CONCEIÇAO;12/11/2025;R$ 33.987,03;R$ 4.442,28;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,434045;-40,034336;nan;D408827;nan;E899651 AO E899652;nan;20/11/2025;17/11/2025;OK;05/12/2025;nan;nan;nan;2025-149927;nan;nan;nan;nan;nan;1;2;2,00;100,00%;nan;nan;0,00%;nan;02/12/2025;04/12/2025;09/12/2025;nan;nan;12/12/2025;12/12/2025;nan;2025-10-43173;nan;nan;JACOBINA;01/12/2025;1186926;Consolidado;N/A
9102332225;B-1221429;ER-CIND-FAZ-TIYUYU-RURAL;CAPIM GROSSO;JOSE MISAEL;ENERGIZADA;ENERGIZADA;nan;EDUARDO;MANOEL CONCEIÇAO;12/11/2025;R$ 52.635,47;R$ 10.820,18;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,302075;-40,024852;nan;D321196;nan;E899709 AO E899713;nan;24/11/2025;17/11/2025;OK;05/12/2025;nan;CRIAR;nan;2025-149942;nan;nan;nan;nan;nan;1;5;5,00;100,00%;nan;nan;0,00%;nan;05/12/2025;09/12/2025;19/12/2025;nan;nan;nan;19/12/2025;nan;nan;nan;nan;JACOBINA;01/12/2025;1221429;Consolidado;N/A
9102322954;B-1226149;UB-CIND-AV-CARMEM MIRANDA 416-NOVO OESTE;CAPIM GROSSO;JOSE MISAEL;ENERGIZADA;ENERGIZADA;DESLI. ( ABRIR CHAVE W84160  SUBSTITUIÇÃO DE REDE BT, SUBSTITUIÇÃO DE TRAFO.;EDUARDO;MANOEL CONCEIÇAO;12/11/2025;R$ 46.487,56;R$ 1.779,98;7.1.1.3;PLANO 7;100%;NÃO;QLP;-11,375126;-40,027395;nan;D506887;nan;nan;nan;25/11/2025;17/11/2025;OK;05/12/2025;nan;nan;CRIAR;nan;nan;2025-151061;nan;10/12;nan;1;0;nan;0,00%;nan;nan;0,00%;nan;10/12/2025;10/12/2025;nan;nan;nan;nan;10/12/2025;SIM;2025-10-35488;nan;nan;JACOBINA;01/12/2025;1226149;Consolidado;N/A
9102336569;B-1218813;RC-CIND-POV-CANAVIEIRA-NAZARE;JACOBINA;OLISVALDO;INICIADA;IMPLANTAÇÃO;CONCLUI ATÉ DIA 30/12;EDUARDO;NATALICIO SILVA;12/11/2025;R$ 66.669,84;R$ 11.879,17;8.6.2003;PLANO 8;100%;NÃO;INSTITUCIONAL;-11,330276;-40,170730;nan;R001803;nan;E899778 AO E899782;nan;02/12/2025;17/11/2025;OK;05/12/2025;nan;CRIAR;nan;nan;nan;CRIAR  22/01/06;DESLIGAMENTO DO TRAFO J23161 SUBSTITUIÇÃO DE REDE BT NOS POSTE R001232 ,R001231, R001229;verificar;nan;0;5;5,00;100,00%;nan;nan;0,00%;nan;13/12/2025;17/12/25;depende de manobra;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/12/2025;1218813;Consolidado;N/A
9102327924;B-1226485;AC-PREF-RUA-ANTONIO T SOBRINHO-MISSAO;JACOBINA;OLISVALDO;ENERGIZADA;CONCLUIDA;DESLI. ( ABRIR CHAVE TRAFO N92428  SUBSTITUIÇÃO DE TRAFO E REDE BT ENTRE OS POSTES R010018 E D934032.;EDLECIO;NATALICIO SILVA;12/11/2025;R$ 34.090,27;nan;7.1.1.3;PLANO 7;100%;NÃO;QLP;-11,181168;-40,517116;nan;R010019;nan;nan;nan;nan;17/11/2025;nan;09/12/2025;nan;nan;nan;nan;nan;2025-156337;nan;19/12;nan;1;0;nan;0,00%;nan;nan;0,00%;nan;20/12/2025;20/12/2025;19/12/2025;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/12/2025;1226485;Consolidado;N/A
9101856252;B-1073291;MP CIND RUA DO CRUZEIRO RURAL;MIRANGABA;EUDARIO;INICIADA;ESCAVAÇÃO;FALTA ALÇA E TRAFO - 211190 TRAFO 1FF 10KVA 34,5KV 220V 3T MI  - 3430120 ALCA PREF DIST ALUM 4AWG 430MM;EDLECIO;ANTONIO GALINDO;12/11/2025;R$ 141.307,86;R$ 34.813,94;14.4.12.1;PLANO 14;100%;NÃO;LPT;-10,7048332;-40.7767819;nan;E070995;1043552;E919753 AO E919766;nan;03/12/2025;17/11/2025;OK;05/12/2025;nan;CRIAR;nan;2025-149975;nan;nan;nan;nan;nan;1;14;6,00;42,86%;14;14;100,00%;nan;10/12/2025;13/12/2025;23/12/25;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/12/2025;1073291;Consolidado;N/A
