PROJETO;TÍTULO;MUNICIPIO;SUPERVISOR;ENCARREGADO;STATUS 1;AR COELBA;PLANO;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNR;AVANÇO;INCIO;PV. FIM;ENERGIZAÇÃO;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;22%%;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;STATUS_FATO;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1146336;RR-CIND-POV-CURRALINHO-RURAL;CAMPO FORMOSO;EDILECIO;ANTONIO;JÁ ESTÁ NO QUINTO REPASSE E AS CAVAS NÃO SAEM;HIAGO SANTANA;PLANO 14 - LPT;REPUTACIONAL;11/11/24;11/11/24;12/11/24;2025-31501;2025-27240;nan;nan;nan;1012146/2024;E669427 ao E669438;2;12;16;nan;12;0%;100,00%;20/03/25;30/03/25;nan;nan;E238073;-10,235994;-40,605536;R$ 122.883,92;R$ 27.034,46;nan;nan;nan;nan;Transformar N3/N4;nan;JÁ ESTÁ NO QUINTO REPASSE E AS CAVAS NÃO SAEM;JACOBINA;01/03/2025;1146336;Consolidado;N/A
B-1144572;ER-CIND-RUA-PAU DE COLHER-CAATINGA MOURA;JACOBINA;GABRIEL;ELIEZER;ENERGIZADA;NATALICIO;PLANO 14 - LPT;QLP;11/02/25;12/02/25;13/02/25;2025-28168;2025-28455;nan;nan;nan;1019077/2025;E717192 ao E717199;1;8;8;8;0;100%;nan;10/03/25;12/03/25;13/03/2025;PES 28168 OC 33162;D233182;https://maps.app.goo.gl/bc8FKXV4ZAonkruP6;-40.772549;R$ 70.282,89;R$ 15.462,24;nan;nan;nan;nan;nan;nan;ENERGIZADA;JACOBINA;01/03/2025;1144572;Consolidado;N/A
B-1097767;ER-CIND-FAZ-BREJO-RURAL;MIRANGABA;GABRIEL;ELIEZER;ENERGIZADA;;PLANO 14 - LPT;QLP;19/02/25;19/02/25;nan;2025-31502;2025-31667;nan;nan;nan;1019082/2025;E717246 ao E717258;1;13;13;13;0;100%;nan;17/03/25;22/03/25;19/03/2025;PES 31667 OC 46346;D180516;https://maps.app.goo.gl/mp1hcPy5fQcyAKzF9;-40.5035908;R$ 62.930,31;R$ 13.844,67;nan;nan;nan;nan;nan;nan;ENERGIZADA;JACOBINA;01/03/2025;1097767;Consolidado;N/A
B-0924090;ER-CIND-POV CANJERANA-URBANO;MUNDO NOVO;GABRIEL;HEMORGENES;nan;DIORLAN SOUZA - U352259;PLANO 7;JUDICIAL;24/01/25;24/01/25;28/01/25;2025-31503;2025-27242;nan;nan;nan;nan;E615923 ao E615931;1;9;nan;nan;9;0%;100,00%;25/02/25;18/03/25;nan;nan;L381946;-11,9554406;-40.2021638;R$ 30.506,54;R$ 6.711,44;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;0924090;Consolidado;N/A
B-1098618;MP CIND POV EUCALIPTO RURAL;MUNDO NOVO;GABRIEL;HEMORGENES;nan;DIORLAN SOUZA - U352259;PLANO 14 - LPT;NOVOS QUESTIONAMENTOS ANEEL;08/03/25;08/03/25;nan;2025-31505;2025-25815;nan;nan;nan;1021480/2025;E732432 ao E732469;2;37;nan;nan;38;0%;50,00%;18/03/25;30/04/25;nan;nan;D016418;-11,9825692;-40,4960503;R$ 458.625,84;R$ 100.897,68;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;1098618;Consolidado;N/A
B-1148818;MP-CIND-POV-AVN PRINCIPAL-JEQUITIBA RURA;MUNDO NOVO;GABRIEL;JOÃOZITO;nan;2025-35990;PLANO 7;PRIORIDADE PLANO ANEEL;07/03/25;07/03/25;11/03/25;nan;2025-23972   E TRANSFERÊNCIA 2025-33861;nan;nan;nan;1021929;E734643 - E734661;3;22;nan;nan;nan;0%;100,00%;10/03/25;30/03/25;nan;nan;D009330;-12,0403391;-40.48976;R$ 199.621,70;R$ 43.916,77;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;1148818;Consolidado;N/A
B-1171960;IE-RELIGADOR-MUN-01N3-T21140;MUNDO NOVO;GABRIEL;HEMORGENES;MIGRADA PARA MARÇO;DIORLAN;PLANO 8;AL/MELHORAMENTO;15/02/25;15/02/25;nan;CRIAR;nan;nan;nan;nan;nan;E682395;0;0;nan;nan;0;0%;nan;10/02/25;20/03/25;nan;nan;L398153;https://maps.app.goo.gl/CAjyFe8FfYYATo4r8;-40.4618933;R$ 106.993,38;R$ 23.538,54;nan;nan;nan;nan;nan;nan;MIGRADA PARA MARÇO;JACOBINA;01/03/2025;1171960;Consolidado;N/A
B-1146840;ER-SEIN-FAZ-GUANABARA-RURAL-INDAI;MUNDO NOVO;GABRIEL;HEMORGENES;MIGRA PARA ABRIL;DIORLAN;PLANO 14 - LPT;REPUTACIONAL;14/02/25;14/02/25;18/02/25;nan;2025-28195;2025-11935;21/02/2025;EXECUTADO;1019115/2025;E717259 ao E717285;1;30;nan;nan;30;0%;nan;10/03/25;21/03/25;nan;nan;E545284;https://maps.app.goo.gl/Bt3aMLbJ4bN6Tcwt8;-40.5877595;R$ 223.783,24;R$ 49.232,31;nan;nan;nan;nan;nan;nan;MIGRA PARA ABRIL;JACOBINA;01/03/2025;1146840;Consolidado;N/A
B-1114109;AL GRUA AG SERRA RURAL;MUNDO NOVO;GABRIEL;HEMORGENES;nan;DIORLAN;PLANO 7;TRANSGRESSÃO;20/03/25;20/03/25;nan;nan;nan;CRIAR;AGUARDAR;DEFINIR;1019600/2025;E719592 ao E719638;0;62;nan;nan;58;0%;nan;17/03/25;30/06/25;nan;nan;D262172;https://maps.app.goo.gl/1WN3qJb2K99Nn9YL9;-40,4812778;R$ 2.996.234,13;R$ 659.171,51;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;1114109;Consolidado;N/A
B-1113324;MP CIND RUA ALAGADIÇO RURAL;OUROLÂNDIA;GABRIEL;ELIEZER;nan;RICARDO SANTOS - U465100;PLANO 7;QLP;14/03/25;15/03/02;nan;2025-31506;2025-23881;nan;nan;nan;1021505/2025;E732572 ao E732596/E732614 ao E732617;3;35;nan;nan;35;0%;nan;20/03/25;30/03/25;nan;nan;R036717;https://maps.app.goo.gl/eGMnc5yJdWJqif2w9;-41,2879903;R$ 240.951,15;R$ 53.009,25;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;1113324;Consolidado;N/A
B-1165228;UB-CIND-RUA JURACY BORGES-CENTRO;PIRITIBA;GABRIEL;JOSÉ MISAEL;ENERGIZADA;DIORLAN SOUZA - U352259;PLANO 7;NOVOS QUESTIONAMENTOS ANEEL;11/03/25;11/03/25;nan;nan;2025-28285;nan;nan;nan;nan;E732482 ao E732487;1;6;6;6;6;100%;100,00%;23/03/25;30/03/25;21/03/2025;PES 28285 OC 52137;L381016;-11,7312776;-40.5718945;R$ 36.076,55;R$ 7.936,84;nan;nan;nan;nan;nan;nan;ENERGIZADA;JACOBINA;01/03/2025;1165228;Consolidado;N/A
