PROJETO;TÍTULO;MUNICIPIO;SUPERVISOR;ENCARREGADO;STATUS 1;AR COELBA;PLANO;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNR;AVANÇO;INCIO;PV. FIM;ENERGIZAÇÃO;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;22%%;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;STATUS_FATO;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1146489;ER-CIND-POV-QUEIMADA DO CAPIM-QUEIMADA;OUROLÂNDIA;GABRIEL;ELIEZER;ENERGIZADA;nan;PLANO 14 - LPT;QLP;17/02/25;17/02/25;nan;2025-28271;nan;nan;nan;nan;nan;E682399;2;1;1;1;0;100%;nan;07/03/25;15/03/25;13/03/2025;PES 28271 OC 32306;B503985;https://maps.app.goo.gl/VyQKpHe58EuVxfaE6;-41.1343653;R$ 22.539,11;R$ 4.958,60;nan;nan;nan;nan;nan;nan;ENERGIZADA;JACOBINA;01/03/2025;1146489;Consolidado;N/A
B-1173475;ER-CERB-POV-SANTO ANTONIO-RURAL;CAMPO FORMOSO;EDILECIO;ANTONIO;ENERGIZADA;HIAGO SANTANA - U470061;PLANO 7;GOVERNO;28/02/25;11/03/25;nan;2025-31512;nan;nan;nan;nan;nan;E717371;1;1;1;1;0;100%;nan;28/03/25;28/03/25;21/03/2025;PES 31512 OC 51766;Q062827;-10.5674167;-40.4512912;R$ 25.216,99;R$ 5.547,74;nan;nan;nan;nan;nan;nan;ENERGIZADA;JACOBINA;01/03/2025;1173475;Consolidado;N/A
B-1122127;MP-CCOL-POV.BOA VISTA DO CAJ-RURAL;CAMPO FORMOSO;EDILECIO;ANTONIO;nan;HIAGO SANTANA - U470061;PLANO 7;REPUTACIONAL;20/03/25;20/03/25;nan;nan;CRIAR;CRIAR;AGUARDAR;DEFINIR;1021925;E734507 ao E734542;3;46;nan;nan;46;0%;nan;15/03/25;30/04/25;nan;nan;D188098;-10.0511111;-40.3945463;R$ 783.832,42;R$ 172.443,13;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;1122127;Consolidado;N/A
B-0936302;ER-CIND-RUA DO SUMIDOURO-RURAL-CPF;CAMPO FORMOSO;EDILECIO;ANTONIO;nan;HIAGO SANTANA - U470061;PLANO 7;REPUTACIONAL;11/02/25;11/02/25;nan;nan;2025-29162;nan;nan;nan;1021927;E734552 ao E734570;3;19;nan;nan;19;0%;nan;21/03/25;27/03/25;nan;nan;R025542;-10.5905000;-40.9336936;R$ 192.548,83;R$ 42.360,74;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;0936302;Consolidado;N/A
B-1156133;MP CIND POV PANELINHA RURAL;CAMPO FORMOSO;EDILECIO;ANTONIO;nan;HIAGO SANTANA - U470061;PLANO 7;REPUTACIONAL;16/03/25;45733;nan;nan;2025-29194;nan;nan;nan;1021926;E734571 ao E734621;5;57;nan;nan;57;0%;nan;20/03/25;30/04/25;nan;nan;E279783;-10.3127222;-40.510141;R$ 499.023,93;R$ 109.785,26;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/03/2025;1156133;Consolidado;N/A
B-1161168;MP-CIND-POV LAGEDO RASO-TIQUARA-RURAL;CAMPO FORMOSO;EDILECIO;ANTONIO;MIGRAR;HIAGO SANTANA - U470061;PLANO 7;REPUTACIONAL;13/03/25;13/03/25;nan;nan;2025-29210;2025-28227;27/03/2025;APROVADA;1021928;E734628 ao E734642;1;15;nan;nan;15;0%;nan;10/03/25;27/03/25;nan;nan;B823038;-10.4508611;-40.5400979;R$ 136.141,73;R$ 29.951,18;nan;nan;nan;nan;nan;nan;MIGRAR;JACOBINA;01/03/2025;1161168;Consolidado;N/A
B-1100444;ER-CIND-POV-ALDEIA VELHA-RURAL;CAMPO FORMOSO;EDILECIO;ANTONIO;OBRA PREVISTA 17 POSTES, MAS APENAS 10 PROJETADOS;HIAGO SANTANA - U470061;PLANO 7;REPUTACIONAL;13/03/25;13/03/25;nan;2025-34512 - TRECHO I 2025-34523 - TRECHO II 2025-34530 -TRECHO III;nan;nan;nan;nan;nan;E732597 ao E732613;5;17;nan;nan;17;0%;nan;15/03/25;19/03/25;nan;nan;B425301;-10.4749722;-40.3093405;R$ 109.594,38;R$ 24.110,76;nan;nan;nan;nan;nan;nan;OBRA PREVISTA 17 POSTES, MAS APENAS 10 PROJETADOS;JACOBINA;01/03/2025;1100444;Consolidado;N/A
B-1011761;IS-CIND-POV-TOCA DA NOVILHA 195-RURAL;CAMPO FORMOSO;EDILECIO;ANTONIO;ENERGIZADA;HIAGO SANTANA - U470061;PLANO 7;REPUTACIONAL;13/03/25;13/02/25;nan;2025-34464 CONJ PD;nan;2025-27765 CONJ LV;26/03/25;APROVADA;nan;E677225 ao E677227;0;4;3;3;1;75%;nan;10/02/25;26/03/25;26/03/2025;PES 27765 OC 64045;Q063146;-10.4322222;-40,5631565;R$ 36.720,86;R$ 8.078,59;nan;nan;nan;nan;nan;nan;ENERGIZADA;JACOBINA;01/03/2025;1011761;Consolidado;N/A
B-1151445;ER-CIND-POV-BARRIGUDA BRASILIA-RURAL;UMBURANAS;EDILECIO;nan;ENERGIZADA;nan;PLANO 7;QLP;11/02/25;12/02/25;13/02/25;"2025-11942
CONJ. PD";nan;2025-11941 CONJ LV;28/02/25;APROVADA;1019124/2025;E717437 ao E717444;1;8;8;8;0;100%;nan;26/02/25;28/02/25;28/02/2025;nan;R071129;https://maps.app.goo.gl/bR95u8RRQV7hNGYb7;-41.391788;R$ 62.824,07;R$ 13.821,30;nan;nan;nan;nan;nan;nan;ENERGIZADA;JACOBINA;01/03/2025;1151445;Consolidado;N/A
B-1177447;ME-COEL-RUA-MANOEL DANTAS-TANQUE NOVO;MAIRI;GABRIEL;JOSÉ MISAEL;DESLIGAMENTO MARCADO PARA 3 TURMAS;MANOEL GUSTAVO;PLANO 7;RECLAMAÇÃO;23/01/25;23/01/25;29/01/25;nan;2025-7218;2025-27789;28/03/2025;REMARCAR;nan;E601293;0;1;1;1;0;100%;nan;01/02/25;28/03/25;nan;nan;nan;-11.71255095;/;R$ 111.820,29;R$ 24.600,46;;nan;nan;nan;nan;nan;DESLIGAMENTO MARCADO PARA 3 TURMAS;JACOBINA;01/03/2025;1177447;Consolidado;N/A
