NOTA;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS 1;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;OBRA SIMPLIFICADA;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;SOLICITAÇÃO DE TRANSPORTE CONCRETO;PES LV;PES ENCAB. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVANÇO;AVNR;PV. INÍCIO;PV. FIM;INCIO REAL;FIM REAL;DATA ENERG REAL;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;VALOR DE PROJETO;VALOR SERVIÇO;SERV. X % AVNP;Ticket Médio;% Vlr Serv x Vlr Projeto;PROVAVEL ROCHA;OBS;AVALIAÇÃO SERVIÇO;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102322926;B-1225672;UB-CIND-AV-STO AMARO-SAO LUIZ;CAPIM GROSSO;HERMOGENES;ENERGIZADA;ANDERSON;MANOEL CONCEICAO;PLANO 7;QLP;NÃO;14/10/2025;21/10/2025;04/11/2025;nan;nan;nan;nan;nan;nan;nan;E878561;0;1;nan;1;0;nan;nan;04/11/2025;05/11/2025;04/11/2025;04/11/2025;04/11/2025;nan;R300032;-11,384693;-40,003282;nan;nan;nan;nan;nan;nan;PES DE ENERGIZAÇÃO DE OBRA ENCABEÇAMENTO REDE BT;POSTE NA OBRA;JACOBINA;01/11/2025;1225672;Consolidado;N/A
9102323375;B-1224389;ER-CIND-FAZ-SAPUCAIA-RURAL;JACOBINA;JOSE ROBERTO;ENERGIZADA;EDLECIO;NATALICIO SILVA;PLANO 7;QLP;NÃO;14/10/2025;29/10/2025;04/11/2025;nan;nan;CRIAR;nan;nan;nan;nan;E878562 AO E878566;1;5;5;5;0;nan;nan;10/11/2025;11/11/2025;06/11/25;06/11/25;06/11/2025;nan;B723798;-11,224585;-40.402.402;nan;nan;nan;nan;nan;nan;PES DE ENERGIZAÇÃO DE OBRA ENCABEÇAMENTO REDE BT;SACAR POSTE NA BASE;JACOBINA;01/11/2025;1224389;Consolidado;N/A
9102333392;B-1225777;ER-CIND-FAZ-LAGOA DO GAG 30-RURAL;JACOBINA;OLISVALDO;ENERGIZADA;EDLECIO;NATALICIO SILVA;PLANO 7;QLP;NÃO;14/10/2025;30/10/2025;12/11/2025;nan;nan;nan;2025-142281;21/11/2025;APROVADO;nan;nan;1;0;nan;nan;0;nan;nan;19/11/2025;20/11/2025;21/11/2025;21/11/2025;nan;nan;E355358;-11,189905;-40,570439;nan;nan;nan;nan;nan;nan;PES DE DESLIGAMENTO  SUBSTITUIÇÃO DE TRAFO E TROCA DE CABO BT;nan;JACOBINA;01/11/2025;1225777;Consolidado;N/A
9102334919;B-1225750;ER-CIND-FAZ-SANTA MARTA 46-JACOBINA;JACOBINA;OLISVALDO;ENERGIZADA;EDLECIO;NATALICIO SILVA;PLANO 7;QLP;NÃO;14/10/2025;30/10/2025;05/11/2025;nan;2025-142180;2025-142192;nan;nan;nan;nan;E878567;0;1;1;1;0;nan;nan;05/11/2025;06/11/2025;07/11/2025;07/11/2025;07/11/2025;nan;R010654;-11,1710062;-40,5863699;nan;nan;nan;nan;nan;nan;PES DE LINHA VIVA INSTALAR  POSTE MT E N1 E BANCADA DE TRAFO E PES DE ENERGIZAÇÃO DE TRAFO;nan;JACOBINA;01/11/2025;1225750;Consolidado;N/A
9102140192;B-1175126;RR-CIND-FAZ-BOSQUE DAS ALGAROBAS-RURAL;OUROLÂNDIA;EUDÁRIO/ JOSÉ MIZAEL/ JAIRO/ JOSÉ ROBERTO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;22/10/2025;06/11/2025;10/11/2025;nan;2025-143142;2025-143182;nan;nan;nan;1040843;E899533 AO E899564;3;32;32;31;1;nan;nan;24/11/2025;28/11/2025;24/11/2025;28/11/2025;nan;nan;B170844;-10,868114;-41.169.321;nan;nan;nan;nan;nan;nan;(PES DE LV  INTERCALAR POSTE MT E INSTALAR ESTRUTURA N4-3  E ENCABECAMENTO MT) ( PES DE ENERGIZAÇÃO DE OBRA );FALTA 3 TRAFOS;JACOBINA;01/11/2025;1175126;Consolidado;N/A
9102227011;B-1064548;MP-CIND-POV.DA CHAPADA RURAL;OUROLÂNDIA;EUDÁRIO/ JOSÉ MIZAEL/ JAIRO/ JOSÉ ROBERTO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;22/10/2025;27/10/2025;8/11/2025;nan;2025-143197;2025-143200;"2025-134721
2025-144089";"12/11/2025
27/11/2025";APROVADO;1040845;E899583 AO E899590;1;20;20;19;1;nan;nan;10/11/2025;14/11/2025;10/11/2025;27/11/2025;27/11/2025;nan;R036651;-10,681019;-4.128.662;nan;nan;nan;nan;nan;nan;LV ENCABECAR REDE MT NO POSTE  R036651 / DESLIGAMENTO;nan;JACOBINA;01/11/2025;1064548;Consolidado;N/A
9102310727;B-1214685;ER-CIND-POV-ALCAPAO-RURAL;OUROLÂNDIA;EUDÁRIO// JAIRO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;22/10/2025;06/11/2025;10/11/2025;nan;nan;nan;2025-140707;19/11/2025;APROVADO;1040846;E899633 AO E899645;1;23;23;23;0;nan;nan;17/11/2025;21/11/2025;17/11/2025;20/11/2025;nan;nan;B496110;-10,786439;-41,311597;nan;nan;nan;nan;nan;nan;PES DE SUBSTITIUÇÃO POSTE BT POR MT DESLIGAMENTO;REALIZADO PRÉ VISTORIA;JACOBINA;01/11/2025;1214685;Consolidado;N/A
9102335750;B-1221766;ER-CIND-FAZ-SAO MAURICIO-RURAL;OUROLÂNDIA;EUDÁRIO/ JOSÉ MIZAEL/ JAIRO/ JOSÉ ROBERTO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;14/10/2025;06/11/2025;10/11/2025;nan;nan;nan;"2025-137338
2025-143224";"14/11/2025
25/11/2025";APROVADO;nan;E878568;1;1;nan;1;0;nan;nan;14/11/2025;26/11/2025;14/11/2025;18/11/2025;nan;nan;B667186;-10,681203;-41,281684;nan;nan;nan;nan;nan;nan;2 DESLIGAMENTO;nan;JACOBINA;01/11/2025;1221766;Consolidado;N/A
9102336239;B-1221838;ER-CIND-POV-GITIRANA-RURAL;OUROLÂNDIA;EUDÁRIO/OLISVALDO;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;QLP;NÃO;14/10/2025;27/10/2025;04/11/2025;nan;nan;nan;nan;nan;nan;nan;E878519 AO E878536;1;18;18;18;0;nan;nan;03/11/2025;07/11/2025;03/11/2025;06/11/25;06/11/2025;nan;D088372;-10,884503;-41,225721;nan;nan;nan;nan;nan;nan;PES LV E ENERGIZAÇÃO;REALIZADO PRÉ VISTORIA;JACOBINA;01/11/2025;1221838;Consolidado;N/A
9102150682;B-1196986;RR-CIND-FAZ-GAFIEIRA-RURAL;PIRITIBA;JOAOZITO/ ANTÔNIO/ ALESSANDRO;ENERGIZADA;ANDERSON;NAILTON SANTANA;PLANO 7;QLP;NÃO;22/10/2025;29/10/2025;04/11/2025;nan;2025-143228;nan;nan;nan;nan;1040856;E899683 AO E899708;1;27;5;27;0;nan;nan;04/11/2025;15/11/2025;04/11/2025;20/11/2025;nan;nan;D098619;-11,831854;-40,611866;nan;nan;nan;nan;nan;nan;PES DE LV E PES DE ENERGIZAÇÃO DE OBRA;nan;JACOBINA;01/11/2025;1196986;Consolidado;N/A
