NOTA;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS 1;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;OBRA SIMPLIFICADA;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;SOLICITAÇÃO DE TRANSPORTE CONCRETO;PES LV;PES ENCAB. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVANÇO;AVNR;INCIO;PV. FIM;DATA ENERG REAL;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;VALOR DE PROJETO;VALOR SERVIÇO;SERV. X % AVNP;Ticket Médio;% Vlr Serv x Vlr Projeto;PROVAVEL ROCHA;OBS;AVALIAÇÃO SERVIÇO;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102330760;B-1223173;UB-CIND-TRV-QUINTINO ALVES-LAGES;JACOBINA;EUDÁRIO;ENERGIZADA;EDLECIO;NATALICIO SILVA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;09/10/2025;16/10/2025;nan;nan;2025-130472;nan;nan;nan;nan;E857534 AO E857535;0;2;nan;0;nan;100%;nan;24/10/25;25/10/25;nan;nan;B890301;-11,054092;-40,779353;R$ 13.121,70;R$  3.385,64;0%;R$  -;26%;nan;nan;nan;JACOBINA;01/10/2025;1223173;Consolidado;N/A
9102130566;B-1165581;ME-COEL-ROD-AL DAS ARVORES-CONTORNOLANDI;SERROLÂNDIA;JOSÉ MIZAEL;ENERGIZADA;EDUARDO;WELLINGTON SOUZA;PLANO 1;AL/MELHORAMENTO;SIM;18/09/2025;nan;nan;nan;2025-133709;nan;nan;nan;nan;nan;E863236 AO E863239;0;4;nan;nan;nan;100%;nan;27/10/25;25/10/25;nan;nan;D304366;-11,3207067;-40,1601236;R$ 837.471,38;nan;0%;R$  (20.853,31);0%;nan;nan;nan;JACOBINA;01/10/2025;1165581;Consolidado;N/A
9102327385;B-1222000;ER-CIND-POV-CURRAL VELHO-RURAL;MIGUEL CALMON;JOAOZITO;ENERGIZADA;ANDERSON;ERIC TEIXEIRA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;09/10/2025;16/10/2025;nan;nan;2025-128195;2025-123754;28/10/2025;APROVADO;nan;E857560 AO E857561;1;2;nan;1;nan;100%;nan;28/10/25;28/10/25;nan;nan;D026654;-11,291222;-40,62602;R$ 15.021,50;R$  3.619,53;361953%;R$  3.619,53;24%;nan;ABRIR TRAFO D08577 PARA POSSIBILITAR ENCABEÇAMWENTO DE REDE NOVA BT NO PG E673926 E ENERGIZAR OBRA. PONTOS DE ATERRAMENTO: E673926;nan;JACOBINA;01/10/2025;1222000;Consolidado;N/A
9102224278;B-1193533;UB-CIND-POV-COMUNIDADE-DE ALAGOINHAS;JACOBINA;José Roberto;ENERGIZADA;ANDERSON;ERIC TEIXEIRA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;09/10/2025;16/10/2025;nan;nan;2025-130477;2025-123788;29/10/2025;APROVADO;nan;E857463;1;2;nan;0;2;100%;nan;29/10/25;29/10/25;nan;nan;nan;-11,1809963;-40,5381566;R$ 26.813,91;R$  3.624,46;0%;R$  -;14%;nan;ABRIR CHAVE J60186 PARA SUBSTITUIR POSTE D026655, LANÇAR REDE BT DO PG B772029 AO D026655 E ENERGIZAR OBRA. PONTOS DE ATERRAMENTOS:  B772029 E D026655.;nan;JACOBINA;01/10/2025;1193533;Consolidado;N/A
9102337685;B-1223489;ER-CIND-FAZ-CURRAL VELHO-RURAL;MIGUEL CALMON;EUDÁRIO;ENERGIZADA;EDLECIO;ERIC TEIXEIRA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;18/09/2025;09/10/2025;16/10/2025;nan;nan;2025-128255;nan;nan;nan;nan;E857562 AO E857564;1;3;nan;1;nan;100%;nan;24/10/25;24/10/25;nan;nan;B800661;-11,284316;-40,620029;R$ 20.590,15;R$  4.859,63;485963%;R$  4.859,63;24%;nan;PES BT: ENCABEÇAR REDE BT NOVA NO PG EXISTENTE B800661 E ENERGIZAR OBRA.;nan;JACOBINA;01/10/2025;1223489;Consolidado;N/A
9102327161;B-1219522;UB-CIND-RUA-JOSE M QUEIROZ-J M QUEIROZ;CAPIM GROSSO;nan;ENERGIZADA;GUSTAVO;WELLINGTON SOUZA;PLANO 7;QLP;NÃO;18/09/2025;nan;nan;nan;nan;nan;nan;nan;nan;nan;E857525;1;1;nan;nan;nan;100%;nan;nan;nan;01/10/25;PES 116927 / OC 1029;E408091;-11,388637;-40,007504;R$ 10.555,49;nan;0%;R$  -;0%;nan;R003838;nan;JACOBINA;01/10/2025;1219522;Consolidado;N/A
9102333115;B-1219533;UB-CIND-RUA-JOSE SANTANA 211-CONTORNO SA;CAPIM GROSSO;nan;ENERGIZADA;GUSTAVO;WELLINGTON SOUZA;PLANO 7;QLP;NÃO;18/09/2025;nan;nan;nan;nan;nan;nan;nan;nan;nan;E839054;1;1;nan;nan;nan;100%;nan;nan;nan;01/10/25;PES 116949 / OC 1522;B725967;-11,389959;-40,01713;R$ 9.267,04;nan;0%;R$  -;0%;nan;nan;nan;JACOBINA;01/10/2025;1219533;Consolidado;N/A
9102323164;B-1219845;UB-CIND-RUA-SAO PEDRO-NOVO OESTE;CAPIM GROSSO;nan;ENERGIZADA;EDUARDO;WELLINGTON SOUZA;PLANO 7;QLP;NÃO;18/09/2025;nan;nan;nan;nan;nan;nan;nan;nan;nan;E838969 AO E838971;1;3;nan;nan;nan;100%;nan;nan;nan;nan;nan;B925078;-11,37777;-40,021299;R$ 26.595,30;nan;0%;R$  -;0%;nan;obra falta fazer um trecho;nan;JACOBINA;01/10/2025;1219845;Consolidado;N/A
nan;B-1227403;COEL-ROD-BA130-CAPIM GROSSO-COMPLEMENTO;CAPIM GROSSO;JOSÉ MIZAEL;nan;EDUARDO;WELLINGTON SOUZA;1.2.1.1.3 - DISTR URBA.SDMT NORT;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/10/2025;1227403;Consolidado;N/A
9102130568;B-1174903;AL-COEL-03-CAPIM GROSSO II -CONSTR-RURAL;CAPIM GROSSO;nan;nan;EDUARDO;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;31/10/2025;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/10/2025;1174903;Consolidado;N/A
9102093081;B-1148379;IS-CIND-AV-SETE SETEMBRO-URBANA;OUROLÂNDIA;OLISVALDO;CONCLUSÃO NO DESLIGAMENTO  30/10;EDLECIO;ANTÔNIO MELO;PLANO 8;TRANSGRESSÃO;SIM;02/09/2025;nan;24/09/2025;nan;nan;nan;2025-128835;29/10/2025;nan;nan;E839080 AO E839082;0;5;4;4;nan;0%;nan;22/09/2025;31/10/2025;nan;nan;D929742;-10,851471;-41,376750;R$ 61.641,33;R$ 9.099,24;nan;nan;nan;nan;PES LV. - INTERCALAR DOIS POSTES AT ENTRE OS PG'S R046475 E D929742 COM ESTRUTURA N3-3, E INTERCALAR POSTE AT COM ESTRUTURA N3-3 ENTRE OS PG'S D039296 E O D929742.PES DESL.: ABRIR RELIGADOR  J02517(FAZER CORTE VISIVEL), FECHAR RELIGADOR J04025,  ABRIR TRAFO N80765,  PARA POSSIBILITAR ABERTURA DE PASSAGEM NO PG R046476, INTERCALAR POSTE MT COM ESTRUTURA N3-3 ENTRE OS PG'S R046475 E D929742, ENCABEÇAR REDE MT NOVA E ENERGIZAR OBRA.(ATERRAR OS PG'S D929742 E R046475).;nan;JACOBINA;01/10/2025;1148379;Consolidado;N/A
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/10/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/10/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/10/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/10/2025;0000000;Descartado;Projeto Vazio/Inválido
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/10/2025;0000000;Descartado;Projeto Vazio/Inválido
;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/10/2025;0000000;Descartado;Projeto Vazio/Inválido
