NOTA;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS 1;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;OBRA SIMPLIFICADA;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;SOLICITAÇÃO DE TRANSPORTE CONCRETO;PES LV;PES ENCAB. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVANÇO;AVNR;INCIO;PV. FIM;DATA ENERG REAL;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;VALOR DE PROJETO;VALOR SERVIÇO;SERV. X % AVNP;Ticket Médio;% Vlr Serv x Vlr Projeto;PROVAVEL ROCHA;OBS;AVALIAÇÃO SERVIÇO;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102327435;B-1223183;ER-CIND-FAZ-JUNCO 34-RURAL-CADEIR GRANDE;CALDEIRÃO GRANDE;EUDÁRIO;ENERGIZADA;EDLECIO;RAFAEL CRUZ;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;20/09/2025;07/10/2025;09/10/2025;30/10/2025;2025-117986;2025-126197;nan;nan;nan;nan;E857516 AO E857522;1;7;4;nan;nan;100%;nan;13/10/25;13/10/25;nan;nan;B186496;-11,016878;-40,282181;R$ 45.680,49;R$  11.830,52;0%;R$  -;26%;nan;PES LV: TRANSFORMAR N3-3 EM N4-3 NO PG Q057643 E ENCABEÇAR REDE NOVA E ENERGIZAR OBRA. PES BT.: ENCABEÇAR REDE BT NOVA NO PG R012413 E ENERGIZAR A OBRA.;nan;JACOBINA;01/10/2025;1223183;Consolidado;N/A
9102325831;B-1223602;ER-CIND-FAZ-MALHADA DA PEDRA-RURAL;VÁRZEA DA ROÇA;ALEXSANDRO;ENERGIZADA;ANDERSON;MANOEL CONCEICAO;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;26/09/2025;27/09/2025;01/10/2025;nan;nan;2025-127909;nan;nan;nan;nan;nan;1;0;nan;nan;nan;100%;nan;14/10/25;24/10/25;nan;nan;B694418;-11,5649641;-40,0732497;R$ 2.120,18;nan;nan;R$  (52,91);0%;nan;PES BT:ENCABEÇAR REDE BT NOVA NO PG EXISTENTE B694417 E ENERGIZAR OBRA.;nan;JACOBINA;01/10/2025;1223602;Consolidado;N/A
9102126821;B-1163417;ER CIND POV DO VIEIRA - RURAL;GAVIÃO;ANTÔNIO;ENERGIZADA;EDUARDO;MANOEL CONCEICAO;PLANO 7;PRIORIDADE PLANO ANEEL;SIM;22/09/2025;07/10/2025;13/10/2025;nan;nan;2025-126666;2025-120602;13/10/2025;APROVADO;nan;E838980;1;0;nan;nan;nan;100%;nan;13/10/25;13/10/25;nan;nan;D244613;-11,5567097;-39,6949826;R$ 19.501,32;R$  2.262,45;0%;R$  -;12%;nan;PES DESL.: ABRIR CHAVE H93010 PARA INTERCALAR POSTE ENTRE OS PGS D244612 E D244613, INSTALAR TRAFO E ENERGIZAR OBRA.(ATERRAR PG'S D244612 E D244613);nan;JACOBINA;01/10/2025;1163417;Consolidado;N/A
9102145157;B-1171022;AC-CIND-POV-SAO MIGUEL-RURAL;OUROLÂNDIA;ELIEZER;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;PRIORIDADE PLANO ANEEL;SIM;22/09/2025;07/10/2025;13/10/2025;nan;nan;nan;2025-120694;15/10/2025;APROVADO;nan;nan;0;1;nan;nan;nan;100%;nan;15/10/25;15/10/25;nan;nan;R046853;-10,8041026;-41,3194096;R$ 28.406,74;R$  1.854,02;0%;R$  -;7%;nan;PES DESL.: ABRIR CHAVE DO TRAFO J02392 PARA POSSIBILITAR A SUA SUBSTITUIÇÃO. SUBSTITUIR REDE BT DO PG R046851 AO R046849 E ENERGIZAR OBRA.(ATERRAR PG'S R046854, R046852 E R046849);nan;JACOBINA;01/10/2025;1171022;Consolidado;N/A
9102124562;B-1226821;UB-CIND-RUA-JOANA FERREIRA-N HORIZONTE;CAPIM GROSSO;JOSÉ MIZAEL/ANTONIO;ENERGIZADA;EDUARDO;WELLINGTON SOUZA;PLANO 7;QLP;NÃO;26/09/2025;07/10/2025;09/10/2025;nan;CRIAR;CRIAR;"2025-121715
2025-121753";17/10/25 22/10/2025;APROVADO;nan;nan;1;6;nan;6;nan;0%;nan;15/10/25;22/10/25;nan;nan;nan;-11.3796894;-40.0081705;R$ 98.088,35;nan;nan;nan;nan;nan;ABRIR CHAVE J60186 PARA SUBSTITUIR POSTE D026655, LANÇAR REDE BT DO PG B772029 AO D026655 E ENERGIZAR OBRA. PONTOS DE ATERRAMENTOS:  B772029 E D026655.;nan;JACOBINA;01/10/2025;1226821;Consolidado;N/A
9102327370;B-1221874;AC-CIND-POV-MARGEM DO RIO JACUIPE-RURAL;SÃO JOSÉ DO JACUÍPE;ANTÔNIO;ENERGIZADA;EDUARDO;MANOEL CONCEICAO;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;25/09/2025;PENDENTE;PENDENTE;nan;2025-125180;2025-127194;nan;nan;nan;nan;E857573;1;1;nan;nan;nan;100%;nan;15/10/25;15/10/25;nan;nan;D021838;-11,4774607;-39,9341515;R$ 22.475,38;R$  2.305,21;230521%;R$  (562,81);10%;nan;PES LV: INTERCALAR POSTE MT COM ESTRUTURA N1 ENTRE OS PGs D021838 E D021839 INSTALAR BANCADA DO TRAFO E INSTALAR TRAFO E ENERGIZAR OBRA.;nan;JACOBINA;01/10/2025;1221874;Consolidado;N/A
9102329777;B-1223506;ER-CIND-FAZ-ANASTACIO 17-RURAL OUROLANDI;OUROLÂNDIA;ELIEZER;ENERGIZADA;EDLECIO;ANTONIO MELO;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;22/09/2025;07/10/2025;09/10/2025;nan;2025-127715;2025-128114;nan;nan;nan;nan;E863308 AO E863309;0;2;nan;nan;nan;100%;nan;17/10/25;17/10/25;nan;nan;R029414;-10,9407143;-41,1078267;R$ 31.635,05;R$  4.042,40;202120%;R$  (769,56);13%;nan;PES LV: INTERCALAR POSTE MT COM ESTRUTURA N1 ENTRE OS PGs R029413 E R029414 INSTALAR BANCADA DO TRAFO E ENERGIZAR OBRA.;nan;JACOBINA;01/10/2025;1223506;Consolidado;N/A
9101725698;B-1008533;RR-CIND-FAZ-SEBASTIAO-RURAL;SAÚDE;EUDÁRIO;ENERGIZADA;EDLECIO;RAFAEL CRUZ;PLANO 7;QLP;SIM;02/10/2025;07/10/2025;09/10/2025;nan;2025-127827;2025-127946;nan;nan;nan;nan;nan;1;2;nan;nan;nan;100%;nan;14/10/25;14/10/25;nan;nan;B093656;nan;-40.3722584;R$ 12.457,78;nan;0%;R$  (0,00);0%;nan;PES LV: TRANSFORMAR N3 EM N4 NO PG B093656 E ENCABEÇAR REDE MT NOVA E ENERGIZAR OBRA. PES BT:ENCABEÇAR REDE BT NOVA NO PG EXISTENTE B093656 E ENERGIZAR OBRA.;nan;JACOBINA;01/10/2025;1008533;Consolidado;N/A
9102334332;B-1223190;UB-CIND-RUA-DO GRAVATA-CENTRO;PIRITIBA;JOAOZITO;ENERGIZADA;ANDERSON;NAILTON SANTANA;PLANO 7;PRIORIDADE PLANO ANEEL;NÃO;25/09/2025;07/10/2025;09/10/2025;nan;nan;2025-127488;nan;nan;nan;nan;E857499 AO E857501;1;3;nan;nan;nan;100%;nan;15/10/25;15/10/25;nan;nan;D541388;-11,7357744;-40,5613292;R$ 18.862,21;R$  4.807,46;160249%;R$  (465,03);25%;nan;ABRIR CHAVE DO TRAFO H91894 PARA INSTALAR POSTE ENTRES OS PGS D251445 E D251444, INSTALAR TRAFO E ENERGIZAR OBRA. PES BT: FECHAR CHAVE DO TRAFO NOVO INSTALADO NO PG NOVO E ENERGIZAR OBRA.;nan;JACOBINA;01/10/2025;1223190;Consolidado;N/A
9102127374;B-1165655;ER-CIND-FAZ-CAI ARA-RURAL;SERROLÂNDIA;JOSÉ MILTON;ENERGIZADA;ANDERSON;RAFAEL CRUZ;PLANO 7;PRIORIDADE PLANO ANEEL;SIM;26/09/2025;07/10/2025;09/10/2025;nan;nan;2025-130422;2025-120766;17/10/25;APROVADO;nan;E863240;1;1;nan;nan;nan;100%;nan;17/10/25;17/10/25;nan;nan;R040538;-11,3703038;-40,2387958;R$ 22.588,32;nan;0%;R$  (561,36);0%;nan;ABRIR CHAVE W87290 PARA INTERCALAR POSTE ENTRE OS PGS R040538 E R040537, INSTALAR TRAFO E ENERGIZAR OBRA. PONTOS DE ATERRAMENTO: R040538 E R040537 134 CI 804 CHI. 13,8KVA;nan;JACOBINA;01/10/2025;1165655;Consolidado;N/A
