NOTA;DATA DO CONTATO;DATA DO RETORNO;MUNICIPIO;RESPONSAVEL;STATUS;CONFORMIDADE
4506254639;2024-08-30;;SENHOR DO BONFIM;ITHALLO;Inapto;Deficiencia tecnica
4506255538;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506255544;2024-09-02;;SENHOR DO BONFIM;JOVANIA;Aguardando Retorno;
4506255545;2024-08-30;2024-09-03;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506255561;2024-08-30;;SENHOR DO BONFIM;ANDRESSA;Aguardando Retorno;
4506256142;2024-08-30;;SENHOR DO BONFIM;ANDRESSA;Aguardando Retorno;
4506256172;2024-09-02;2024-09-02;SENHOR DO BONFIM;ITHALLO;Inapto;Cliente deseja KIT financiado
4506256565;2024-09-02;;SENHOR DO BONFIM;JOVANIA;Aguardando Retorno;
4506256569;2024-08-30;2024-08-30;SENHOR DO BONFIM;ANDRESSA;Apto;Apto
4506257531;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506258012;2024-09-02;;SENHOR DO BONFIM;JOVANIA;;
4506258525;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506229371;2024-09-03;2024-09-03;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506243964;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506246499;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506247040;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506248727;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506249469;2024-09-02;2024-09-03;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506249486;2024-09-02;2024-09-02;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506249854;2024-09-02;2024-09-04;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506250376;2024-09-02;2024-09-02;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506250413;2024-09-02;2024-09-02;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506251418;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506251901;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506252815;2024-09-02;2024-09-02;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506252834;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506253160;2024-09-02;2024-09-02;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506253647;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506254791;2024-09-02;2024-09-03;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506255313;2024-09-02;2024-09-02;SENHOR DO BONFIM;ITHALLO;Inapto;Irregularidade do Padrao
4506256230;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506256311;2024-09-03;;SENHOR DO BONFIM;JOVANIA;Aguardando Retorno;
4506256526;2024-09-03;;SENHOR DO BONFIM;JOVANIA;Aguardando Retorno;
4506259042;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506260007;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506260039;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506260133;2024-09-03;;SENHOR DO BONFIM;JOVANIA;Aguardando Retorno;
4506261080;2024-09-03;;SENHOR DO BONFIM;JOVANIA;Aguardando Retorno;
4506218391;2024-09-03;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506236106;2024-09-03;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506244749;2024-09-04;2024-09-05;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506251226;2024-09-04;;SENHOR DO BONFIM;ITHALLO;Inapto;Ja realizada
4506251957;2024-09-04;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506251966;2024-09-04;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506252897;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506256272;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506257724;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506259689;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506260163;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506200636;2024-09-03;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506235992;2024-09-03;2024-09-03;SENHOR DO BONFIM;ITHALLO;Inapto;Deficiencia tecnica
4506240513;2024-09-03;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506242705;2024-09-03;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506250469;2024-09-04;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506250972;2024-09-04;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506252934;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506254908;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506255674;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506257216;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506258135;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506258639;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506259639;2024-09-05;2024-09-05;SENHOR DO BONFIM;ITHALLO;Inapto;Irregularidade do Padrao
4506247918;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506247965;2024-09-06;;SENHOR DO BONFIM;;;
4506252367;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506252973;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Inapto;Sem contato
4506253318;2024-09-06;2024-09-09;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506253697;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506254935;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506254944;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506256311;2024-09-06;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506256356;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506256358;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506256370;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506256398;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506256404;2024-09-05;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
