PROJETO;TITULO;CRITERIO;MUNICIPIO;CARTEIRA;STATUS 1;ESTÁGIO DE OBRAS;PRE FECHAMENTO;OBS;SUPERVISOR;ENCARREGADO;RESPONSÁVEL;PLANO;AVANÇO;CLIENTE;PSTP INICIAL;PSTP FINAL;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;LATITUDE;LONGITUDE;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OBS.1;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
1225098;ME-COEL-REATOR PG B707030-RMN-09X3;EQUIPAMENTO;REMANSO;DEZEMBRO;EM EXECUÇÃO;EQUIPAMENTO;VIA E-MAIL;;SANTIAGO;;MARLOS LOPES ;8.2.2.3;100%;0;6;;;17/12/2025;22/12/2025;;SIM;NÃO;;-9.514847;-43.309865;Ver no Mapa;;;;;;JUAZEIRO;2025-12-01;Consolidado;N/A
1146807;NT-RECOND-SBO-01S4-D134830-Q023936;EQUIPAMENTO;SOBRADINHO;NOVEMBRO;CONCLUÍDA;ENERGIZADA;COMPLETO;;ANDERSON;PEDRO LINO;DIEGO ALMEIDA;8.4.1.1;100%;1;2;2;;29/10/2025;21/11/2025;;SIM;NÃO;;-9.5366625;-40.9057719;Ver no Mapa;08/10/2025;03/11/2025;03/11/2025;SIM;;JUAZEIRO;2025-11-01;Consolidado;N/A
1170764;ME-COEL-RUA-PAULO MACHADO -357 🕯️;;UAUÁ;NOVEMBRO;AVANÇO;IMPLANTAÇÃO;COMPLETO;;RODRIGUES;DOMINGOS;CARLOS EDUARDO;8.2.1.3;50%;0;25;;13/11/2025;20/11/2025;26/12/2025;;;NÃO;;-9.8301307;-39.4773741;Ver no Mapa;;;;;;JUAZEIRO;2025-11-01;Consolidado;N/A
1225155;ME-COEL-POV-AZULAO-ALTO DA BELA VISTA;MELHORIA;REMANSO;DEZEMBRO;EM EXECUÇÃO;EQUIPAMENTO;COMPLETO;;SANTIAGO;;MARLOS LOPES ;8.2.2.3;100%;0;5;;;;30/12/2025;;SIM;NÃO;;-9.4888497;-43.515759;Ver no Mapa;;;;;;JUAZEIRO;2025-12-01;Consolidado;N/A
1210327;ER-CIND-POV-CAITITUS-CAITITUS 🕯️;QLP;UAUÁ;NOVEMBRO;CONCLUÍDA;ENERGIZADA;COMPLETO;;RODRIGUES;DOMINGOS;CARLOS EDUARDO;7.1.2.3;100%;1;20;20;19/11/2025;05/11/2025;11/11/2025;;SIM;SIM;;-9.9312168;-39.3249672;Ver no Mapa;05/11/2025;19/11/2025;19/11/2025;SIM;;JUAZEIRO;2025-11-01;Consolidado;N/A
1144762;SE UAU 34 5 13 8KV;;UAUÁ;NOVEMBRO;CONCLUÍDA;ENERGIZADA;COMPLETO;;ANDERSON;PEDRO LINO;CARLOS EDUARDO;1.2.2.2.3;100%;0;1;5;;;;;SIM;NÃO;;-9.8468026;-39.4664253;Ver no Mapa;23/10/2025;06/11/2025;06/11/2025;SIM;;JUAZEIRO;2025-11-01;Consolidado;N/A
1228505;ER-CIND-POV-S O PAULO-RURAL;JUDICIAL;UAUÁ;NOVEMBRO;CONCLUÍDA;ENERGIZADA;COMPLETO;;RODRIGUES;DOMINGOS;CARLOS EDUARDO;7.1.2.3 ;100%;1;5;5;;14/11/2025;17/11/2025;;;;;-10.1044118;-39.4941886;Ver no Mapa;17/11/2025;18/11/2025;18/11/2025;18/11/2025;;JUAZEIRO;2025-11-01;Consolidado;N/A
1092651;MP-CCOL-RUA DA CONCEIÇÃO-RURAL;;SENTO SÉ;SETEMBRO;CONCLUÍDA;ENERGIZADA;;;SANTIAGO;JACSON;SANDRO SANTOS;14.4.12.1;100%;3;15;15;;06/08/2025;04/09/2025;04/09/2025;SIM;SIM;;-9.8048531;-41.4354007;Ver no Mapa;;;04/09/2025;04/09/2025;;JUAZEIRO;2025-09-01;Consolidado;N/A
1141818;ER-CIND-SI-PASCACIO-RURAL;;CASA NOVA;SETEMBRO;CONCLUÍDA;CONCLUÍDA;;IVONALDO / FERNANDO;SANTIAGO;IVONALDO;SANDRO SANTOS;7.1.2.2;100%;;0;0;26/09/2025;10/09/2025;26/09/2025;;NÃO;SIM;;-9.3099092;-41.138693;Ver no Mapa;10/09/2025;26/09/2025;29/09/2025;29/09/2025;;JUAZEIRO;2025-09-01;Consolidado;N/A
1196624;AC-CIND-RUA-MALHADA DA AREIA-MALHADA DA;;JUAZEIRO;SETEMBRO;CONCLUÍDA;CONCLUÍDA;;;ANDERSON;MANUTENÇÃO;VICTOR BARROS;7.1.1.3;100%;1;0;;1;27/08/2025;27/09/2025;;SIM;SIM;;-9.4449179;-40.5157863;Ver no Mapa;13/08/2025;19/09/2025;19/09/2025;19/09/2025;;JUAZEIRO;2025-09-01;Consolidado;N/A
