CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;SITUAÇÃO;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 30%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;SITUAÇÃO.1;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
EQUIPAMENTO;9102166173;1182027;IE-BC AUTOMATICO-RMN-01Z2-B781464;REMANSO;;;;;CONCLUIDA;0;1;1;;;;;100%;R$ 78.117,80;R$ 19.529,45;10/01/2025;22/01/2025;;;DIEGO DE CARVALHO;;;;;FALSE;;FALSE;FALSE;1017647/2025;;;JUAZEIRO;01/01/2025;Consolidado;N/A
REPUTACIONAL;9102132629;1161619;ER-CIND-FAZ-MASSAYO-RURAL;JUAZEIRO;;RL - LV+LM;;;NÃO INICIADA;1;1;1;;;;PLANO 7;100%;R$ 91.201,34;R$ 27.360,40;15/01/2025;30/01/2025;PEPEU;EDIE JONNES / ANDERSON;VICTOR;-9,372143;-40,349066;;jan.-25;FALSE;;FALSE;FALSE;1016680/APROVADA;E710910;E710911;JUAZEIRO;01/01/2025;Consolidado;N/A
LPT;9101960412;1113349;ER-CIND-POV-LAGOA SALITRE-LAGOA;JUAZEIRO;SACADO;PENDENTE LV;ENTREGA 31/01;;CONCLUIDA;8;4;4;;;;PLANO 14;100%;R$ 26.673,94;R$ 6.668,49;;;FABIO;SANTIAGO;VICTOR;-9,4910748;-40,63034;;;FALSE;;FALSE;FALSE;APROVADA/1013554;E681434;E681438;JUAZEIRO;01/01/2025;Consolidado;N/A
DIA C;9102008575;1123063;ER-CIND-POV-ANGICO DOS DIAS-ANGICO;CAMPO ALEGRE DE LOURDES;;  ;ENTREGA 31/01;29/01;CONCLUIDA;1;4;4;;;;;100%;R$ 44.126,44;R$ 11.031,61;;;DOMINGOS;PAULO JUNIOR;DIEGO;-9,349527;-43,4020049;;;FALSE;;FALSE;FALSE;;;;JUAZEIRO;01/01/2025;Consolidado;N/A
DIA C;9101862889;1070825;AC-PREF-RUA-LAGOA DE PEDRA -LAGOA DE PED;CAMPO ALEGRE DE LOURDES;;;ENTREGA 31/01;30/01;CONCLUIDA;1;1;1;;;;;100%;R$ 8.364,79;R$ 2.091,20;;;DOMINGOS;PAULO JUNIOR;DIEGO;-9,748747;-42,8311133;;;FALSE;;FALSE;FALSE;LISTA DE PG;E688644;E688645;JUAZEIRO;01/01/2025;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/01/2025;Descartado;Erro/Nulo em CRITÉRIO
;;;;;;;;;;;;;50;30;60,00%;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/01/2025;Descartado;Erro/Nulo em CRITÉRIO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/01/2025;Descartado;Erro/Nulo em CRITÉRIO
;;;;;;;;;;;;;56;36;64,29%;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/01/2025;Descartado;Erro/Nulo em CRITÉRIO
;;;;;;;;;;;;;;417;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/01/2025;Descartado;Erro/Nulo em CRITÉRIO
;;;;;;;;;;;;;66;36;54,55%;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/01/2025;Descartado;Erro/Nulo em CRITÉRIO
;;;;;;;;;;;;;;273;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/01/2025;Descartado;Erro/Nulo em CRITÉRIO
