CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;SITUAÇÃO;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 30%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;SITUAÇÃO.1;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
RECLAMAÇÃO;9102047558;1130857;RC-CIND-RUA-JOAQUIM CARDOSO 571-CENTRO;UAUÁ;10/01;pes 3540, oc 85910 - 23/01;;23/01;CONCLUIDA;1;1;2;;;;PLANO 8;100%;R$ 3.585,16;R$ 896,29;14/01/2025;15/01/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;-9,840855;-39,481041;;jan.-25;FALSE;;FALSE;FALSE;1016705/APROVADA;E710822;E710823;JUAZEIRO;01/01/2025;Consolidado;N/A
FATURA PG CLIENTE;9102040988;1137653;AC-CIND-FAZ-PROJETO CURACA-RURAL;JUAZEIRO;08/01;LM PG E LV ENCABÇ;ENTREGA 31/01;;CONCLUIDA;2;2;2;;;;PLANO 7;100%;R$ 39.100,45;R$ 9.775,11;13/01/2025;23/01/2025;GERALDO;EDIE JONNES;EDVALDO;-9,122282;-40,090877;;jan.-25;FALSE;;FALSE;FALSE;1013610/APROVADA ;E681605;E681607;JUAZEIRO;01/01/2025;Consolidado;N/A
ESTRATÉGICA;9101979029;1112593;UB-CIND-RUA-NOSSA S  DE NAZARE-PALMARES;JUAZEIRO;11/01;pes 3678, oc 87207 - 23/01;;;CONCLUIDA;16;9;9;;;;PLANO 7;100%;R$ 32.553,04;R$ 8.138,26;13/01/2025;28/01/2025;PEPEU;EDIE JONNES / ANDERSON;VICTOR;-9,433927;-40,523223;;jan.-25;FALSE;;FALSE;FALSE;1016674/APROVADA;E710824;E710833;JUAZEIRO;01/01/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102070311;1143605;ER-CIND-POV-CALDEIRAO DA ONCA-CAMPO GRAN;PILÃO ARCADO;;;MIGRAR;;NÃO INICIADA;1;1;;;;;;100%;R$ 16.361,47;R$ 4.090,37;30/01/2025;15/01/2025;;;DIEGO DE CARVALHO;;;;;;;;;APROVADA ;E663597;E663598;JUAZEIRO;01/01/2025;Consolidado;N/A
LPT;9102056031;1136433;ER-CIND-POV-JAZIDA-RURAL;JUAZEIRO;08/01;EXT BT;;;CONCLUIDA;1;6;6;;;;PLANO 14;100%;R$ 19.450,28;R$ 4.862,57;10/01/2025;18/01/2025;GERALDO;EDIE JONNES;VICTOR;-9,240037101;-40,2438927;;jan.-25;FALSE;;FALSE;FALSE;1016677/APROVADA ;E710855;E710861;JUAZEIRO;01/01/2025;Consolidado;N/A
REPUTACIONAL;9102065798;1142928;RR-CIND-FAZ-LAGOS-RURAL;CURAÇÁ;EMERSON;pes 4209, oc 88812 - 24/01;ENTREGA 31/01;;CONCLUIDA;0;1;1;;;;PLANO 7;100%;R$ 10.982,21;R$ 2.745,55;13/01/2025;18/01/2025;EMERSON;EMERSON;CARLOS EDUARDO;-8,8179616;-39,832914;;jan.-25;FALSE;;FALSE;FALSE;1016715/APROVADA;E710862;E710863;JUAZEIRO;01/01/2025;Consolidado;N/A
ESTRATÉGICA;9101893156;1084183;RR-CCOL-RCL-POV-DE LAJES-LAJES;JUAZEIRO;;DL BT(APENAS SECCIONAR);MIGRAR;;NÃO INICIADA;75;55;55;;;;PLANO 7;50%;R$ 274.737,62;R$ 82.421,29;13/01/2025;22/02/2025;JUAREZ;SANTIAGO;SANDRO;-9,479125;-40,506838;;jan.-25;FALSE;;FALSE;FALSE;1016647/APROVADA;E710334;E710393;JUAZEIRO;01/01/2025;Consolidado;N/A
REPUTACIONAL;9102094171;1149341;RR-SEIN-RUA-DO CEMITERIO-RETIRO DE CIMA;SENTO SÉ;09/01;LV;ENTREGA 31/01;;CONCLUIDA;18;24;24;;;;PLANO 7;100%;R$ 135.640,45;R$ 33.910,11;13/01/2025;30/01/2025;FABIO;SANTIAGO;SANDRO;-9,980689652;-42,1290698;;jan.-25;FALSE;;FALSE;FALSE;1016697/APROVADO ;E710838;E710897;JUAZEIRO;01/01/2025;Consolidado;N/A
RECLAMAÇÃO;9102092784;1151682;UB-CIND-RUA-B-CENTRO;JUAZEIRO;13/01;LV+LM;ENTREGA 31/01;;CONCLUIDA;45;7;7;;;;PLANO 7;100%;R$ 72.090,21;R$ 18.022,55;13/01/2025;29/01/2025;PEPEU;EDIE JONNES / ANDERSON;VICTOR;-9,438884;-40,502059;;jan.-25;FALSE;;FALSE;FALSE;1017629/APROVADA ;E711864;E711870;JUAZEIRO;01/01/2025;Consolidado;N/A
LPT;9102105678;1157330;ER-CIND-SI-SOCORRO-CHACARAS UNIDAS;JUAZEIRO;11/01;EXT BT;;;CONCLUIDA;1;6;0;;;;PLANO 14;100%;R$ 20.325,05;R$ 5.081,26;13/01/2025;24/01/2025;PEPEU;EDIE JONNES / ANDERSON;VICTOR;-9,513265;-40,43766;;jan.-25;FALSE;;FALSE;FALSE;SEM SI;E688593;E688598;JUAZEIRO;01/01/2025;Consolidado;N/A
