CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;LINK MAPS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
RECLAMAÇÃO;9101900453;1090033;MP-CIND-RUA DANTA CATARINA BAZUCA-RURAL;SENTO SÉ;07/02;ENTREGA 25/02;;CONCLUIDA;1;22;;;;;PLANO 14;100%;R$ 211.069,41;R$ 52.767,35;01/02/2025;22/02/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-9,801903;-41,554951;;;;;;;APROVADA;E663478;E663505;JUAZEIRO;01/02/2025;Consolidado;N/A
AL/MELHORAMENTO;9101909683;1085504;AL - 01V1 - NOVA TOURÃO - CONSTRUÇÃO;JUAZEIRO;;MIGRAR;;NÃO INICIADA;0;19;;;;;PLANO 8;100%;R$ 609.832,67;R$ 152.458,17;01/02/2025;28/02/2025;IVONALDO;SANTIAGO;SANDRO;-9,436886049;-40,38081355;;;;;;;1017639;;;JUAZEIRO;01/02/2025;Consolidado;N/A
ESTRATÉGICA;9101963531;1106990;UB-COEL-RCL-AV-JORGE KHOURY-QUIDE;JUAZEIRO;13/02;ENTREGA;;NÃO INICIADA;45;17;;4;;;PLANO 7;100%;R$ 90.640,50;R$ 22.660,13;17/02/2025;22/02/2025;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,426099;-40,5204124;https://maps.app.goo.gl/uomEHKtg9E6ZFUmz5;fev.-25;FALSE;;FALSE;FALSE;DA PLANILHA ;E710944;E711828;JUAZEIRO;01/02/2025;Consolidado;N/A
REPUTACIONAL;9102140320;1171632;ER-CIND-FAZ-BEIRA RIO-SANTA TEREZINHA;UAUÁ;SACADO;;;CONCLUIDA;2;16;;;;;PLANO 7;100%;R$ 96.099,88;R$ 24.024,97;03/02/2025;11/02/2025;MAURICIO GERALDO;EDIE JONNES;CARLOS EDUARDO;-10,021087;-39,258733;;;;;;;1017632/APROVADA;E711871;E711886;JUAZEIRO;01/02/2025;Consolidado;N/A
LPT;9102044194;1132153;ER-CIND-POV-LAGOA DO PEIXE 10-RURAL;CASA NOVA;;LM ;;CONCLUIDA;1;13;;;;;PLANO 14;100%;R$ 44.761,47;R$ 11.190,37;03/02/2025;13/02/2025;;PAULO JUNIOR;DIEGO;-9,2369508;-41,1979035;https://maps.app.goo.gl/k5jGvDXPK87mFh5j8;fev.-25;FALSE;;FALSE;FALSE;1019872/APROVADA;E725755;E725767;JUAZEIRO;01/02/2025;Consolidado;N/A
LPT;9101867167;1062389;LD - CIND POV. LAGES VELHA - RURAL;REMANSO;;7970 / 46920 / 18/02;;CONCLUIDA;1;13;;;;;PLANO 14;100%;R$ 90.568,07;R$ 22.642,02;;;;PAULO JUNIOR;DIEGO;;;;fev.-28;FALSE;;FALSE;FALSE;854583/APROVADA;E180283;E180295;JUAZEIRO;01/02/2025;Consolidado;N/A
LPT;9102041735;1132752;ER-CIND-POV-OURICURI-RURAL;CASA NOVA;;19336 - 44195 - 17/02;;CONCLUIDA;1;11;;;;;PLANO 14;100%;R$ 89.659,07;R$ 22.414,77;01/02/2025;15/02/2025;;PAULO JUNIOR;DIEGO;-8,9619109;-41,3678994;https://maps.app.goo.gl/DkMdzjKfBqT8EhkV6;fev.-25;FALSE;;FALSE;FALSE;1019868/APROVADA;E725744;E725754;JUAZEIRO;01/02/2025;Consolidado;N/A
AL/MELHORAMENTO;9101909686;1085374;AL-01V3-NOVA TOURÃO-CONSTRUÇÃO ITEM 1, 2;JUAZEIRO;;MIGRAR;;NÃO INICIADA;0;10;;;;;PLANO 8;100%;R$ 491.175,01;R$ 122.793,75;01/02/2025;28/02/2025;IVONALDO;SANTIAGO;SANDRO;-9,436886049;-40,38081355;;fev.-25;FALSE;;FALSE;FALSE;1019623;;;JUAZEIRO;01/02/2025;Consolidado;N/A
LPT;9101964733;1108281;ER-CIND-POV-PAUDARCO-MUQUEM;JUAZEIRO;SACADO;LM (ENCABEÇAR RD);;CONCLUIDA;1;8;;;;;PLANO 14;100%;R$ 24.317,68;R$ 6.079,42;01/02/2025;19/02/2025;MANUTENÇÃO;ANDERSON / EDIE JONNES;CARLOS EDUARDO;-9,287844172;-39,96277385;;;;;;;959519/APROVADA;E420795;E420803;JUAZEIRO;01/02/2025;Consolidado;N/A
LPT;9101437623;945802;RR-CIND-FAZ JUREMAL-ITAPERA;SENTO SÉ;19/02;MIGRAR;;NÃO INICIADA;1;8;;;;;PLANO 14;100%;R$ 29.017,36;R$ 7.254,34;22/02/2025;26/02/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-9,755965;-41,9242724;https://maps.app.goo.gl/EVeVs3HVHQ8JbCov9;fev.-25;FALSE;;FALSE;FALSE;1019907;;;JUAZEIRO;01/02/2025;Consolidado;N/A
GOVERNO;9102104318;1157570;ER-CCOL-RUA-DO ASFALTO -PIRI - RURAL;SENTO SÉ;07/02 - POSTE;13335 - 43626 - 17/02;;CONCLUIDA;1;7;;;;;PLANO 7;100%;R$ 49.679,93;R$ 12.419,98;10/02/2025;15/02/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-9,7823852;-41,415294;https://maps.app.goo.gl/1vLk6aSopkkVaEvXA;fev.-25;FALSE;;FALSE;FALSE;DA PLANILHA ;E688666;E688672;JUAZEIRO;01/02/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102095232;1152297;RU-PREF-CA-DAS AVES-PARQUE UMBUZEIROS;UAUÁ;07/02;LV;;CONCLUIDA;1;7;;;;;PLANO 7;100%;R$ 52.216,95;R$ 13.054,24;10/02/2025;17/02/2025;MAURICIO GERALDO;EDIE JONNES;CARLOS EDUARDO;-9,836194;-39,48777;https://maps.app.goo.gl/PjHtQsMdRg15gwTh9;fev.-25;FALSE;;FALSE;FALSE;DA PLANILHA;E710936;E710942;JUAZEIRO;01/02/2025;Consolidado;N/A
LPT;9101982936;1117258;LD-CIND-POV DESENGANO-RURAL;SENTO SÉ;;ENTREGA;;CONCLUIDA;1;7;;;;;PLANO 14;100%;R$ 94.178,01;R$ 23.544,50;15/02/2025;28/02/2025;EMERSON;EMERSON;SANDRO;-9,8503651;-41,8163697;https://maps.app.goo.gl/oj27cqeS7QnxmAVb6;fev.-25;FALSE;;FALSE;FALSE;1019184/APROVADA;E725711;E725717;JUAZEIRO;01/02/2025;Consolidado;N/A
REPUTACIONAL;9102130864;1164126;ER-CIND-POV-ALTO MULUNGU-RURAL;SENTO SÉ;SACADO;;;CONCLUIDA;1;7;;;;;PLANO 7;100%;R$ 39.878,44;R$ 9.969,61;;;FABIO / FERNANDO;SANTIAGO;SANDRO;-9,7047012;-41,2933329;;;;;;;;;;JUAZEIRO;01/02/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102138571;1166776;ER-CIND-POV-NOVO MARCOS-MARCOS;REMANSO;;ENTREGA;;CONCLUIDA;1;7;;;;;;100%;R$ 89.583,34;R$ 22.395,84;;;DOMINGOS;PAULO JUNIOR;DEBORA;-9,5633678;-42,0505186;https://maps.app.goo.gl/eKhXz3ySFBcsJmqT6 ;fev.-25;FALSE;;FALSE;FALSE;1020095/APROVADA;E725904;E725910;JUAZEIRO;01/02/2025;Consolidado;N/A
