CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;LINK MAPS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
MELHORIA;9102159911;1175928;IE - CJ DE MEDI  O - D005912;JUAZEIRO;SACADO;MIGRAR;;NÃO INICIADA;1;3;;;;;;100%;R$ 207.307,57;R$ 62.192,27;03/02/2025;22/02/2025;MANUTENÇÃO;ANDERSON / EDIE JONNES;VICTOR COSTA;-9,356053936;-40,4164879;;;;;;;DA PLANILHA ;E688663;E688665;JUAZEIRO;01/02/2025;Consolidado;N/A
RECLAMAÇÃO;9101898474;1082680;LD CIND PO JUREMA VERMELHA;JUAZEIRO;24/02;ENTREGA;;CONCLUIDA;1;3;;;;;PLANO 7;100%;R$ 49.436,01;R$ 12.359,00;22/02/2025;22/02/2025;MANUTENÇÃO;ANDERSON;VICTOR;-9,1648856;-40,2654863;https://maps.app.goo.gl/EXN3daSU1fuEefdQ9;fev.-25;FALSE;;FALSE;FALSE;1019613/APROVADA;E725911;E725913;JUAZEIRO;01/02/2025;Consolidado;N/A
QLP;9102096422;1157169;AC-CIND-RUA-BLOCO E-VILA SANTANA;SOBRADINHO;24/02;MIGRAR;25/02;NÃO INICIADA;0;3;;;;;PLANO 7;100%;R$ 48.070,15;R$ 12.017,54;25/02/2025;25/02/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-9,4539071;-40,8271665;https://maps.app.goo.gl/dU8Djrs1wZDSjpsV7;fev.-25;FALSE;;FALSE;FALSE;1020101;;;JUAZEIRO;01/02/2025;Consolidado;N/A
AL/MELHORAMENTO;9101915089;1088191;AL - 01V8 - NOVA TOUR O - CONSTRU  O;JUAZEIRO;;MIGRAR;;NÃO INICIADA;0;3;;;;;PLANO 1;100%;R$ 224.034,66;R$ 56.008,67;03/02/2025;28/02/2025;IVONALDO;SANTIAGO;SANDRO;-9,436886049;-40,38081355;;;;;;;1010298;;;JUAZEIRO;01/02/2025;Consolidado;N/A
JUDICIAL;9101937359;1097831;ER-CIND-POV-TAPARICA-RURAL;JUAZEIRO;SACADO;;;CONCLUIDA;1;3;;;;;PLANO 7;100%;R$ 33.577,54;R$ 8.394,39;;;MANUTENÇÃO;ANDERSON;CARLOS EDUARDO;-9,10517;-40,275412;;;;;;;1013573/APROVADA;E681541;E681544;JUAZEIRO;01/02/2025;Consolidado;N/A
QLP;9102003734;1125229;ER-CIND-AG 04 29-AGROVILA PEDRA BRANCA 0;CURAÇÁ;;LM ;;CONCLUIDA;1;2;;;;;PLANO 7;100%;R$ 8.145,11;R$ 2.036,28;10/02/2025;22/02/2025;EMERSON;EMERSON;CARLOS EDUARDO;-8,665675;-39,4272457;https://maps.app.goo.gl/mKToLfK3LFQHo3UM9;fev.-25;FALSE;;FALSE;FALSE;1019909/APROVADA ;E725890;E725891;JUAZEIRO;01/02/2025;Consolidado;N/A
GOVERNO;9102034602;1132575;RC-PREF-RUA-RAUL ALVES DE SOUZA-CENTRO;SENTO SÉ;19/02;ENTREGA;27/02;CONCLUIDA;0;2;;;;;PLANO 8;100%;R$ 7.489,61;R$ 1.872,40;18/02/2025;22/02/2025;FABIO ;SANTIAGO;SANDRO;-9,746955;-41,8809545;https://maps.app.goo.gl/TRp4B8RdLGhK7cxL6;fev.-25;FALSE;;FALSE;FALSE;1020104;;;JUAZEIRO;01/02/2025;Consolidado;N/A
EQUIPAMENTO;9102089653;1148050;IE-REGULADOR SE:CNN ALIM:01C3-RURAL;CASA NOVA;;MIGRAR;;NÃO INICIADA;0;2;;;;;PLANO 8;100%;R$ 336.662,56;R$ 84.165,64;05/02/2025;27/02/2025;;PAULO JUNIOR;DIEGO;;;;fev.-27;FALSE;;FALSE;FALSE;1019875/APROVADA ;E725809;E755810;JUAZEIRO;01/02/2025;Consolidado;N/A
AIC OBJETIVO;9102089657;1146819;NT-RECOND-MND-01N3-Q028290 -Q028297;CASA NOVA;;MIGRAR;;NÃO INICIADA;0;2;;;;;PLANO 8;100%;R$ 221.908,41;R$ 55.477,10;15/02/2025;28/02/2025;;PAULO JUNIOR;DIEGO;-9,3531261;-40,8462015;https://maps.app.goo.gl/eSJfeLhTy1bFg16h8;fev.-25;FALSE;;FALSE;FALSE;1019155/APROVADA;E752880;E755881;JUAZEIRO;01/02/2025;Consolidado;N/A
GOVERNO;9102157612;1172946;IE-REGULADOR-RMN-09X1-Q076477;PILÃO ARCADO;;MIGRAR;;NÃO INICIADA;0;2;;;;;PLANO 8;100%;R$ 189.769,75;R$ 47.442,44;15/03/2025;28/02/2025;;PAULO JUNIOR;DIEGO;;;;fev.-26;FALSE;;FALSE;FALSE;1020107/APROVADA;E725932;E725933;JUAZEIRO;01/02/2025;Consolidado;N/A
