CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;TITULO.1;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;LATITUDE;LONGITUDE;CARTEIRA;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
SOLICITAÇÃO ATENDIMENTO;9102156696;1180015;ER-CIND-AV-DR JORGE KHOURY-MATA BURRO;JUAZEIRO;;;;;;;CONCLUIDA;28/06/2025;1;1;0;1;;;PLANO 7;100%;;;R$ 1.700,00;27/06/2025;30/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799861;E799861;JUAZEIRO;01/06/2025;Consolidado;N/A
QLP;9101976713;1113834;AC-CIND ESCOLA MUN.DE BREJINHO-RURAL;PILÃO ARCADO;;;;;;;NÃO INICIADA;;65;416;;41,6;;;PLANO 7;10%;;;;20/06/2025;30/08/2025;DANIEL;PAULO JUNIOR;;;;;DA PLANILHA;E799950;E800365;JUAZEIRO;01/06/2025;Consolidado;N/A
EQUIPAMENTO;9102136954;1170871;IE-RELIGADOR-CSN-01C3-J06102;CASA NOVA;;;;;;;CONCLUIDA;;0;1;1;1;;;PLANO 8;100%;;;;18/06/2025;21/06/2025;DANIEL / AILTON;PAULO JUNIOR;;;;;;;;JUAZEIRO;01/06/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102153932;1182613;AC-CIND-FAZ-RIO SALITRE-RURAL;JUAZEIRO;;;;;;;CONCLUIDA;17/06/2025;1;1;1;1;;;PLANO 7;100%;;;R$ 1.700,00;17/06/2025;23/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799859;E799859;JUAZEIRO;01/06/2025;Consolidado;N/A
REPUTACIONAL;9102132629;1161619;ER-CIND-FAZ-MASSAYO-RURAL;JUAZEIRO;;OK;MIGRAR ;;;;CONCLUIDA;12/06/2025;1;1;1;1;;;PLANO 7;100%;R$ 91.201,34;;R$ 1.700,00;15/06/2025;30/06/2025;MANUTEÇÃO;ANDERSON;;;;;1020103/APROVADA;E725929;E725929;JUAZEIRO;01/06/2025;Consolidado;N/A
EQUIPAMENTO;9102136919;1170266;IE-RELIGADOR-CSN-01C3-G58377;CASA NOVA;;;;;;;CONCLUIDA;21/06/2025;0;1;1;1;;;PLANO 8;100%;R$ 98.146,95;;R$ 1.700,00;16/06/2025;19/06/2025;AILTON;PAULO JUNIOR;;;;;DA PLANILHA;E777197;E777197;JUAZEIRO;01/06/2025;Consolidado;N/A
RECLAMAÇÃO;9102163350;1185415;AC-CIND-POV-CHAPADINHA-RURAL-SOBRADINHO;SOBRADINHO;;OK;MIGRAR ;;;;CONCLUIDA;03/06/2025;1;1;1;1;;;PLANO 7;100%;R$ 33.004,23;;R$ 1.700,00;03/06/2025;03/06/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E778060;E778060;JUAZEIRO;01/06/2025;Consolidado;N/A
JUDICIAL;9100096585;515938;MP-CCOL-FAZ SERRA BRANCA E ARRED.-RURAL;REMANSO;;;OURO;JORGE;;;NÃO INICIADA;;21;1392;;835,2;;;PLANO 14;60%;;;;02/06/2025;31/08/2025;JORGE;JORGE;;;;;DA PLANILHA ;E618988;E619487;JUAZEIRO;01/06/2025;Consolidado;N/A
EQUIPAMENTO;9102136917;1170253;IE-RELIGADOR-CSN-01C6-J54312;CASA NOVA;;OK;ENTREGA;;;;CONCLUIDA;02/06/2025;0;1;1;1;;;PLANO 8;100%;R$ 93.430,26;;R$ 1.700,00;02/06/2025;02/05/2025;DANIEL;PAULO JUNIOR;;;;;DA PLANILHA;E777196;E777196;JUAZEIRO;01/06/2025;Consolidado;N/A
AIC OBJETIVO;9102095255;1151010;AC-REG.FV-CIND-POV PEDRA GRANDE 160-RURA;CASA NOVA;;;;;;;CONCLUIDA;;1;0;0;0;;;PLANO 7;100%;;;;14/06/2025;14/06/2025;;;;;;;;;;JUAZEIRO;01/06/2025;Consolidado;N/A
ESTRATÉGICA;9102089916;1151587;ER-CIND-POV-MANICOBA 29-RURAL;JUAZEIRO;;;;;;;CONCLUIDA;13/06/2025;1;0;0;0;;;PLANO 7;100%;;;R$ 0,00;12/06/2025;16/06/2025;PEDRO BATISTA;ANDERSON;;;;;0 POSTE;;;JUAZEIRO;01/06/2025;Consolidado;N/A
