CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;TITULO.1;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;LATITUDE;LONGITUDE;CARTEIRA;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
GOVERNO;9102096483;1132085;ER-SEIN-RUA-DAS FLORES-XIQUE-XIQUE;PILÃO ARCADO;;;OURO;EMERSON;;;NÃO INICIADA;;11;26;;13;;;PLANO 7;50%;;;;25/06/2025;31/07/2025;AILTON / DANIEL;PAULO JUNIOR;;;;;DA PLANILHA;E799629;E799654;JUAZEIRO;01/06/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102232840;1199748;UB-CIND-POV-NUCLEO-CENTRO-CURACA;JUAZEIRO;;;;;;;CONCLUIDA;16/06/2025;2;2;2;2;;;;100%;;;R$ 3.400,00;14/06/2025;20/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799869;E799870;JUAZEIRO;01/06/2025;Consolidado;N/A
QLP;9102075676;1157515;MP-CIND-POV.RURAL;CURAÇÁ;;;;;;;EM EXECUÇÃO;;1;30;;30;;;PLANO 7;100%;;;R$ 51.000,00;16/06/2025;30/06/2025;FABIO;EDIE JONNES;;;;;DA PLANILHA ;E799580;E799609;JUAZEIRO;01/06/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102034008;1129174;MP CIND POV LAGOINHA RURAL;PILÃO ARCADO;;;MIGRAR;EMERSON;;;NÃO INICIADA;;5;33;;33;;;PLANO 7;100%;;;;02/06/2025;30/06/2025;EMERSON;JORGE;;;;;DA PLANILHA;E799655;E799687;JUAZEIRO;01/06/2025;Consolidado;N/A
RECLAMAÇÃO;9101967243;1112429;MP-CIND-POV-JAZIDA RURAL;JUAZEIRO;;;;;;;EM EXECUÇÃO;;3;33;;33;;;PLANO 14;100%;;;R$ 56.100,00;03/06/2025;16/06/2025;DOMINGOS;SANTIAGO;;;;;DA PLANILHA;E800494;E800526;JUAZEIRO;01/06/2025;Consolidado;N/A
RECLAMAÇÃO;9102093355;1156209;AC REG FV CIND FAZ CAPUCHU 16 RURAL;CURAÇÁ;;;MIGRAR;;;;NÃO INICIADA;;2;37;;37;;;PLANO 7;100%;R$ 374.111,28;;R$ 62.900,00;23/06/2025;30/06/2025;JOÃO BATISTA;EDIE JONNES;;;;;DA PLANILHA;E773943;E773979;JUAZEIRO;01/06/2025;Consolidado;N/A
JUDICIAL;9102238517;1196129;ER-CIND-POV-POCO DANTAS-PEDRA BRANCA;PILÃO ARCADO;;;MIGRAR;OURO;;;EM EXECUÇÃO;;2;41;;41;;;PLANO 7;100%;;;R$ 69.700,00;11/06/2025;28/06/2025;DANIEL;PAULO JUNIOR;;;;;DA PLANILHA;E799894;E799934;JUAZEIRO;01/06/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102081086;1144577;UB-CIND-AV-DEP R QUEIROZ-CENTRO;REMANSO;;;;;;;CONCLUIDA;26/06/2025;1;2;2;2;;;;100%;;;R$ 3.400,00;25/06/2025;30/06/2025;MANUTENÇÃO;ANDERSON;;;;;DA PLANILHA ;E750523;E750524;JUAZEIRO;01/06/2025;Consolidado;N/A
RECLAMAÇÃO;9102160395;1189508;UCIND-RUA-11-VILA SAO JOAQUIM;SOBRADINHO;;OK;MIGRAR;;;;CONCLUIDA;02/06/2025;3;2;2;2;;;PLANO 7;100%;R$ 12.961,61;;R$ 3.400,00;02/06/2025;03/06/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E777235;E777236;JUAZEIRO;01/06/2025;Consolidado;N/A
QLP;9102060561;1138495;ER-CIND-RUA-DA BARRAGEM-PEDRA GRANDE;UAUÁ;;;MIGRAR;;;;EM EXECUÇÃO;;1;41;;41;;;PLANO 7;100%;;;R$ 69.700,00;10/06/2025;20/06/2025;JOÃO BATISTA;EDIE JONNES;;;;;DA PLANILHA;E800584;E800624;JUAZEIRO;01/06/2025;Consolidado;N/A
AL/MELHORAMENTO;9101909687;1085220;AL - 01V3 - SE NOVA TOURÃO-EQUIP-Q008200;JUAZEIRO;;OK;ENTREGA;;;;CONCLUIDA;04/06/2025;0;2;2;2;;;PLANO 1;100%;R$ 90.897,71;;R$ 3.400,00;01/06/2025;07/06/2025;IVONALDO;SANTIAGO;;;;;DA PLANILHA;E619909;E619910;JUAZEIRO;01/06/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102156197;1179957;ER-CIND-POV-BAIX O-RURAL;CASA NOVA;;;;;;;CONCLUIDA;30/06/2025;1;2;2;2;;;7.1.2.3;100%;R$ 34.124,54;R$ 6.824,91;R$ 3.400,00;;;JORGE;JORGE;DIEGO CARVALHO;0;0;;;;;JUAZEIRO;01/06/2025;Consolidado;N/A
