CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;Unnamed: 5;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;DATA DESLIG;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;LATITUDE;LONGITUDE;CARTEIRA;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
TRANSGRESSÃO OURO;9102040560;1130105;IT-GRUA-ET-DISTRITO DE IRRIG-RURAL;JUAZEIRO;;;OK;;;;;CONCLUIDA;;0;0;0;0;;;PLANO 7;100%;R$ 52.218,19;;R$ 0,00;05/05/2025;15/05/2025;LINHA VIVA;EDIE JONNES;;;;;0 POSTE;;;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102098277;1159829;ER-CIND-FAZ-PE DE MORRO-RURAL;JUAZEIRO;;;OK;MIGRAR;;;;CONCLUIDA;;2;0;0;0;;;PLANO 7;100%;R$ 29.249,57;;R$ 0,00;23/05/2025;26/05/2025;GISMARIO;EDIE JONNES;;;;;0 POSTE;;;JUAZEIRO;01/05/2025;Consolidado;N/A
AL/MELHORAMENTO;9102128052;1160624;ME-COEL-AG AGUAS BELAS-99999;JUAZEIRO;;;OK;MIGRAR;;;;NÃO INICIADA;;1;13;;13;;;PLANO 8;100%;R$ 127.773,10;;R$ 22.100,00;20/05/2025;23/05/2025;GISMARIO;EDIE JONNES;;;;;DA PLANILHA;E774801;E774813;JUAZEIRO;01/05/2025;Consolidado;N/A
EQUIPAMENTO;9102136894;1169864;IE-RELIGADOR-MAN-01W2-J02927;JUAZEIRO;;pes 62038 - oc 89671 - 30/05;OK;ENTREGA;;;;CONCLUIDA;;0;0;0;0;;;PLANO 8;100%;R$ 86.767,58;;R$ 0,00;28/05/2025;31/05/2025;GISMARIO;EDIE JONNES;;;;;0 POSTE;;;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102139750;1170306;UCIND-RUA-ILHA SOLTEIRA-VILA S FRANC;SOBRADINHO;;;OK;;;;;CONCLUIDA;;1;1;1;1;;;PLANO 7;100%;R$ 8.321,36;;R$ 1.700,00;08/05/2025;09/05/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E777198;E777198;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102130358;1165820;ER-CIND-POV-TIGRE 595-RURAL;CASA NOVA;;;OK;;MIGRAR;;;CONCLUIDA;;1;1;1;1;;;;100%;R$ 18.841,24;;R$ 1.700,00;09/05/2025;10/05/2025;DANIEL/ AILTON;PAULO JUNIOR;;;;;DA PLANILHA;E750235;E750235;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102135898;1168500;AC-CIND-CA-ELLIS MARIA-RURAL DE CIMA;JUAZEIRO;;;OK;;MIGRAR;;;CONCLUIDA;;1;1;1;1;;;;100%;R$ 27.211,65;;R$ 1.700,00;13/05/2025;16/05/2025;DOMINGOS;SANTIAGO;;;;;DA PLANILHA;E750233;E750233;JUAZEIRO;01/05/2025;Consolidado;N/A
INTERV SEGURANÇA;9102244605;1197173;IS-COEL-AV-MARIA DA G DE JESUS-J VITOR;JUAZEIRO;;;;AVANÇO;;;;NÃO INICIADA;;0;8;;4,8;;;PLANO 8;60%;R$ 106.579,70;;R$ 8.160,00;23/05/2025;26/05/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E777259;E777266;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102069749;1201323;RR-CIND-POV-TOME-RURAL;JUAZEIRO;;;OK;;;;;CONCLUIDA;;2;23;23;23;;;;100%;R$ 233.043,39;;R$ 39.100,00;07/05/2025;17/05/2025;GISMARIO;EDIE JONNES;;;;;DA PLANILHA;E777309;E777331;JUAZEIRO;01/05/2025;Consolidado;N/A
RECLAMAÇÃO REITERADA OURO;9102025347;1126041;IT CIND FAZ CURAÇA PEQUENO RURAL;JUAZEIRO;;;OK;MIGRAR;;;;NÃO INICIADA;;0;95;;95;;;PLANO 7;100%;R$ 1.638.439,13;;R$ 161.500,00;14/05/2025;31/05/2025;FABIO;SANTIAGO;;;;;DA PLANILHA;E619540;E619634;JUAZEIRO;01/05/2025;Consolidado;N/A
GOVERNO OURO;9102208522;1193204;ER-CCOL-FAZ-ALEGRIA-DUNAS;CURAÇÁ;;;OK;;;;;CONCLUIDA;;1;2;2;2;;;PLANO 7;100%;R$ 9.710,21;;R$ 3.400,00;12/05/2025;14/05/2025;GISMARIO;EDIE JONNES;;;;;DA PLANILHA;E777246;E777247;JUAZEIRO;01/05/2025;Consolidado;N/A
JUDICIAL OURO;9101038464;806660;MP-CCOL-POV. CHAMUSCADO-RURAL;PILÃO ARCADO;;;EMERSON;AVANÇO;;;;NÃO INICIADA;;19;208;;104;;;PLANO 7;50%;R$ 915.701,36;;R$ 176.800,00;12/05/2025;30/06/2025;EMERSON;EMERSON;;;;;DA PLANILHA ;E773493;E773700;JUAZEIRO;01/05/2025;Consolidado;N/A
GOVERNO;9100061120;556240;RR-CCOL-POV.SÃO FRANCISCO-RURAL;REMANSO;;;OK;ENTREGA;;;;NÃO INICIADA;;15;73;;73;;;PLANO 14;100%;R$ 416.825,23;;R$ 124.100,00;12/05/2025;28/05/2025;DOMINGOS ;PAULO JUNIOR;;;;;DA PLANILHA;E774000;E774072;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9101708533;1058096;MP-CCOL-POV-PONTA DA SERRA-RURAL;REMANSO;;;RUBEM;AVANÇO;;;;NÃO INICIADA;;6;74;;37;;;PLANO 14;50%;R$ 555.795,74;;R$ 62.900,00;20/05/2025;30/06/2025;RUBEM;RUBEM;;;;;DA PLANILHA;E774128;E774201;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9101867742;1058100;AC-CIND-POV-PONTA DA SERRA-RURAL;REMANSO;;;RUBEM;AVANÇO;;;;NÃO INICIADA;;59;380;;76;;;PLANO 7;20%;R$ 4.001.588,32;;R$ 129.200,00;20/05/2025;31/08/2025;RUBEM;RUBEM;;;;;DA PLANILHA;E774354;E774683;JUAZEIRO;01/05/2025;Consolidado;N/A
GOVERNO OURO;9102158859;1182615;UCIND-ROD-235 KM-CENTRO;REMANSO;;;OK;ENTREGA;;;;CONCLUIDA;;1;1;1;1;;;PLANO 7;100%;R$ 42.657,68;;R$ 1.700,00;13/05/2025;23/05/2025;DOMINGOS ;PAULO JUNIOR;;;;;DA PLANILHA;E777234;E777234;JUAZEIRO;01/05/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102166569;1183798;ER-CIND-POV-LAGOA DE S BENTO-RURAL;REMANSO;;;OK;ENTREGA;;;;NÃO INICIADA;;3;18;;18;;;PLANO 7;100%;R$ 148.133,83;;R$ 30.600,00;31/05/2025;31/05/2025;AILTON;PAULO JUNIOR;;;;;DA PLANILHA;E778042;E778059;JUAZEIRO;01/05/2025;Consolidado;N/A
JUDICIAL OURO;9100096585;515938;MP-CCOL-FAZ SERRA BRANCA E ARRED.-RURAL;REMANSO;;;JORGE;AVANÇO;JORGE;;;NÃO INICIADA;;21;1390;;834;;;PLANO 14;60%;R$ 3.562.538,12;;R$ 1.417.800,00;01/05/2025;30/06/2025;JORGE;JORGE;;;;;DA PLANILHA ;E618988;E619487;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102160548;1181568;ER-CIND-POV-ILHA ANDORINHA-I ANDORINHA;SENTO SÉ;;;OK;ENTREGA;;DESLIGAMENTO;;NÃO INICIADA;;3;19;;19;;;PLANO 7;100%;R$ 137.245,97;;R$ 32.300,00;27/05/2025;31/05/2025;CARLOS;SANTIAGO;;;;;DA PLANILHA;E777508;E777526;JUAZEIRO;01/05/2025;Consolidado;N/A
EQUIPAMENTO;9102170254;1191690;ME-COEL-ET-AGUAS BELAS-MALHADA DA AREIA;JUAZEIRO;;;OK;;MIGRAR;;;CONCLUIDA;;0;2;2;2;;;;100%;R$ 444.810,94;;R$ 3.400,00;01/05/2025;31/05/2025;IVONALDO;SANTIAGO;;;;;1016645/APROVADA ;E710264 ;E710333;JUAZEIRO;01/05/2025;Consolidado;N/A
LPT;9101924775;1093845;LD-CIND-POV LIMOEIRO-RURAL;SENTO SÉ;;pes 61164 - oc 93058 - 31/05;OK;;MIGRAR;LV;;CONCLUIDA;;1;12;13;12;;;PLANO 14;100%;R$ 167.046,83;;R$ 20.400,00;22/05/2025;28/05/2025;CARLOS;SANTIAGO;SANDRO;;;;;;;JUAZEIRO;01/05/2025;Consolidado;N/A
JUDICIAL OURO;9101862682;1064697;ER-CIND-POV-PINHOES-RURAL;JUAZEIRO;;;OK;;;;;CONCLUIDA;;1;3;3;3;;;PLANO 7;100%;R$ 8.547,93;;R$ 5.100,00;05/05/2025;10/05/2025;GISMARIO;EDIE JONNES;;;;;DA PLANILHA;E774754;E774756;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102126429;1165609;LD-CIND-POV-DESENGANO-RURAL;SENTO SÉ;;;EMERSON;;;;;CONCLUIDA;;1;11;11;11;;;PLANO 7;100%;R$ 58.958,21;;R$ 18.700,00;01/05/2025;15/05/2025;EMERSON;EMERSON;;;;;DA PLANILHA;E774089;E774099;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102045025;1130721;ER-CIND-RUA-SANTO ANTONIO-QUIXABA;SENTO SÉ;;pes 59305 - oc 84720 - 28/05;OK;ENTREGA;;LV;;CONCLUIDA;;1;8;8;8;;;PLANO 7;100%;R$ 49.393,73;;R$ 13.600,00;19/05/2025;23/05/2025;CARLOS;SANTIAGO;;;;;DA PLANILHA;E774346;E774353;JUAZEIRO;01/05/2025;Consolidado;N/A
AL/MELHORAMENTO;9102051310;1142287;ME-INTERL-SBO-01S1-SBO-01S4;SOBRADINHO;;;;AVANÇO;;DESLIGAMENTO;;NÃO INICIADA;;0;32;;16;;;PLANO 8;50%;R$ 302.798,40;;R$ 27.200,00;29/05/2025;31/05/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E773702;E773733;JUAZEIRO;01/05/2025;Consolidado;N/A
RECLAMAÇÃO;9101817187;1054973;MP-CIND-POV SANTA BARBARA-RURAL;SOBRADINHO;;pes 62273 - oc 91192 - 30/05;OK;ENTREGA;;DESLIGAMENTO + LV;;CONCLUIDA;;2;20;20;20;;;PLANO 14;100%;R$ 194.952,92;;R$ 34.000,00;14/05/2025;17/05/2025;FERNANDO;SANTIAGO;;;;;DA PLANILHA;E773980;E773999;JUAZEIRO;01/05/2025;Consolidado;N/A
RECLAMAÇÃO;9101769479;1045158;MP-CCOL-POV-CANAA CALDEIRAOZINHO RURAL;SOBRADINHO;;;OK;MIGRAR;;LV;;NÃO INICIADA;;3;15;;15;;;PLANO 14;100%;R$ 135.319,31;;R$ 25.500,00;22/05/2025;30/05/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E774073;E774087;JUAZEIRO;01/05/2025;Consolidado;N/A
AL/MELHORAMENTO;9101915089;1088191;AL - 01V8 - NOVA TOUR O - CONSTRU  O;JUAZEIRO;;;OK;;MIGRAR;;;CONCLUIDA;;0;3;3;3;;;PLANO 1;100%;R$ 224.034,66;;R$ 5.100,00;01/05/2025;15/05/2025;IVONALDO;SANTIAGO;;;;;DA PLANILHA ;E620080;E620082;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102131339;1164340;ER-CIND-POV-TATAUI-RURAL;SOBRADINHO;;;OK;MIGRAR;;;;NÃO INICIADA;;2;4;;4;;;PLANO 7;100%;R$ 24.026,53;;R$ 6.800,00;12/05/2025;15/05/2025;FERNANDO;SANTIAGO;;;;;DA PLANILHA;E774814;E774817;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102142635;1168621;ER-CIND-POV-SAO ROMAO-RURAL;CASA NOVA;;;OK;;MIGRAR;;;CONCLUIDA;;1;3;3;3;;;;100%;R$ 32.526,25;;R$ 5.100,00;08/05/2025;10/05/2025;DANIEL/ AILTON;PAULO JUNIOR;;;;;DA PLANILHA;E750238;E750240;JUAZEIRO;01/05/2025;Consolidado;N/A
RECLAMAÇÃO;9102160395;1189508;UCIND-RUA-11-VILA SAO JOAQUIM;SOBRADINHO;;;OK;MIGRAR;;;;NÃO INICIADA;;3;2;;2;;;PLANO 7;100%;R$ 12.961,61;;R$ 3.400,00;09/05/2025;12/05/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E777235;E777236;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102195507;1191865;ER-CIND-POV-TATAUI-RURAL;SOBRADINHO;;;OK;MIGRAR;;;;NÃO INICIADA;;2;9;;9;;;PLANO 7;100%;R$ 66.652,13;;R$ 15.300,00;05/05/2025;09/05/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E777237;E777245;JUAZEIRO;01/05/2025;Consolidado;N/A
AIC AUDITORIA;9102075175;1148449;MP-CIND-FAZ.DOS LOIOLAS SITIO-RURAL;UAUÁ;;;OK;ENTREGA;;;;CONCLUIDA;;1;37;38;37;;;PLANO 7;100%;R$ 338.301,36;;R$ 62.900,00;14/05/2025;31/05/2025;MAURICIO;EDIE JONNES;;;;;DA PLANILHA;E773794;E773830;JUAZEIRO;01/05/2025;Consolidado;N/A
AL/MELHORAMENTO;9102125740;1161662;ME-COEL-RUA-TIRADENTES 1-CENTRO-C ALEGRE;CAMPO ALEGRE DE LOURDES;;;OK;;MIGRAR;;;CONCLUIDA;;0;3;7;7;;;PLANO 8;100%;R$ 803.302,22;;R$ 11.900,00;01/05/2025;31/05/2025;DOMINGOS;PAULO JUNIOR;;;;;DA PLANILHA;E741496;E741502;JUAZEIRO;01/05/2025;Consolidado;N/A
NOVOS QUESTIONAMENTOS ANEEL OURO;9102171131;1189757;ME-COEL-RUA-AGUAS BELAS-MALHADA DA AREIA;JUAZEIRO;;;OK;;;;;CONCLUIDA;;0;4;4;4;;;PLANO 8;100%;R$ 147.367,64;;R$ 6.800,00;01/05/2025;31/05/2025;MANUTENÇÃO;ANDERSON;;;;;;;;JUAZEIRO;01/05/2025;Consolidado;N/A
REPUTACIONAL OURO;9102139488;1170180;RR-CIND-POV-PAREDAO-RURAL;UAUÁ;;pes 62180 - oc 91397 - 30/05;OK;ENTREGA;;;;CONCLUIDA;;1;5;5;5;;;PLANO 7;100%;R$ 31.517,78;;R$ 8.500,00;12/05/2025;15/05/2025;MAURICIO;EDIE JONNES;;;;;DA PLANILHA;E777186;E777190;JUAZEIRO;01/05/2025;Consolidado;N/A
RECLAMAÇÃO;9101988722;1117371;ER-CIND-POV LOGRADOURO DE BAIXO-RURAL;UAUÁ;;;OK;PES 53332 OC 52808 - 16/05;;;;CONCLUIDA;;1;4;4;4;;;PLANO 14;100%;R$ 33.172,55;;R$ 6.800,00;26/05/2025;29/05/2025;MAURICIO;EDIE JONNES;;;;;DA PLANILHA;E774713;E774716;JUAZEIRO;01/05/2025;Consolidado;N/A
GOVERNO OURO;9102074965;1145056;RR-SEIN-POV-CALDEIRAOZINHO-RURAL;UAUÁ;;;OK;AVANÇO;;;;NÃO INICIADA;;11;149;;149;;;PLANO 14;100%;R$ 1.070.372,80;;R$ 253.300,00;01/05/2025;31/05/2025;RUBEM;RUBEM;;;;;;;;JUAZEIRO;01/05/2025;Consolidado;N/A
AL/MELHORAMENTO;9102136535;1166496;ME-COEL-POV-SANTANA SOBRADO-RURAL;CASA NOVA;;;OK;;;;;CONCLUIDA;;0;5;5;5;;;PLANO 8;100%;R$ 57.713,68;;R$ 8.500,00;12/05/2025;17/05/2025;AILTON;PAULO JUNIOR;;;;;DA PLANILHA;E774823;E777185;JUAZEIRO;01/05/2025;Consolidado;N/A
AL/MELHORAMENTO;9101909687;1085220;AL - 01V3 - SE NOVA TOURÃO-EQUIP-Q008200;JUAZEIRO;;;OK;ENTREGA;;;;NÃO INICIADA;;0;2;;2;;;PLANO 1;100%;R$ 90.897,71;;R$ 3.400,00;01/05/2025;15/05/2025;IVONALDO;SANTIAGO;;;;;DA PLANILHA;E619909;E619910;JUAZEIRO;01/05/2025;Consolidado;N/A
