CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;Unnamed: 5;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;DATA DESLIG;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;LATITUDE;LONGITUDE;CARTEIRA;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
RECLAMAÇÃO;9101988655;1116730;ER-CIND-SI-BARREIRINHO-RURAL;CASA NOVA;;;OK;;;;;CONCLUIDA;;1;13;13;13;;;PLANO 14;100%;R$ 81.171,15;;R$ 22.100,00;21/05/2025;28/05/2025;DANIEL;PAULO JUNIOR;;;;;DA PLANILHA;E774780;E774792;JUAZEIRO;01/05/2025;Consolidado;N/A
AIC AUDITORIA;9102121094;1161408;ER-CIND-FAZ-BARRINHA-RURAL;SOBRADINHO;;;OK;;;DESLIGAMENTO;;CONCLUIDA;;8;13;15;15;;;PLANO 14;100%;R$ 69.589,61;;R$ 25.500,00;12/05/2025;17/05/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E774290;E774302;JUAZEIRO;01/05/2025;Consolidado;N/A
AL/MELHORAMENTO;9101909685;1085103;AL - 01V2 - SE NOVA TOURÃO - EQUIP. Q008;JUAZEIRO;;;OK;ENTREGA;;;;CONCLUIDA;;0;2;2;2;;;PLANO 1;100%;R$ 75.636,00;;R$ 3.400,00;01/05/2025;31/05/2025;IVONALDO;SANTIAGO;;;;;DA PLANILHA;E619907;E619908;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102139564;1176266;RR-CIND-POV RIACHO DO SOBRADO-RURAL;CASA NOVA;;;OK;;MIGRAR;;;CONCLUIDA;;2;20;20;20;;;;100%;R$ 136.471,64;;R$ 34.000,00;19/05/2025;24/05/2025;DANIEL/ AILTON;PAULO JUNIOR;;;;;DA PLANILHA;E750206;E750225;JUAZEIRO;01/05/2025;Consolidado;N/A
REPUTACIONAL OURO;9102066379;1158033;MP-CIND-POV.GERGELIM 999-RURAL;CAMPO ALEGRE DE LOURDES;;;OK;;MIGRAR;;;CONCLUIDA;;3;34;34;34;;;;100%;R$ 745.323,36;;R$ 57.800,00;01/05/2025;10/05/2025;DOMINGOS;PAULO JUNIOR;;;;;DA PLANILHA ;E750259;E750292;JUAZEIRO;01/05/2025;Consolidado;N/A
QLA;9101725732;1009250;"ER CIND POV BREJO DE FORA RURAL
";SENTO SÉ;;; ;MIGRAR;;;;NÃO INICIADA;;;3;;;;;PLANO 7;100%;R$ 23.591,18;;;;;;;;;;;;;;JUAZEIRO;01/05/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102121279;1164561;UCIND-RUA-5 987-CENTRO;SENTO SÉ;;;OK;;;;;CONCLUIDA;;3;1;1;1;;;PLANO 7;100%;R$ 8.115,27;;R$ 1.700,00;01/05/2025;15/05/2025;EMERSON;EMERSON;;;;;DA PLANILHA;E741478;E741478;JUAZEIRO;01/05/2025;Consolidado;N/A
AIC OBJETIVO;9101611073;1053585;MP-CIND-POV-TRAIRAS-RURAL;SOBRADINHO;;;OK;ENTREGA;;;;CONCLUIDA;;1;14;14;14;;;;100%;R$ 123.165,81;;R$ 23.800,00;17/05/2025;23/05/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA ;E750509;E750522;JUAZEIRO;01/05/2025;Consolidado;N/A
SUBSÍDIO DE DEFESA;9101473034;983487;MP CIND POV JUAZEIRO TOME RURAL;JUAZEIRO;;;OK;;;;;CONCLUIDA;;1;23;3;23;;;PLANO 14;100%;R$ 234.811,03;;R$ 39.100,00;12/05/2025;15/05/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E774684;E774706;JUAZEIRO;01/05/2025;Consolidado;N/A
AIC OBJETIVO;9102047690;1132936;MP CIND POV RIACHO SECO RURAL;CURAÇÁ;;pes 62067 - oc 90872 - 30/05;OK;ENTREGA;;;;CONCLUIDA;;2;16;16;16;;;;100%;R$ 171.281,73;;R$ 27.200,00;28/05/2025;31/05/2025;IVONALDO;EDIE JONNES;;;;;DA PLANILHA;E750242;E750257;JUAZEIRO;01/05/2025;Consolidado;N/A
GOVERNO OURO;9102167302;1190937;ER-CCOL-POV-PATAMUTE-RURAL;CURAÇÁ;;;OK;;MIGRAR;;;CONCLUIDA;;1;31;30;30;;;;100%;R$ 264.976,91;;R$ 51.000,00;01/05/2025;08/05/2025;FERNANDO;SANTIAGO;;;;;DA PLANILHA ;E750118;E750148;JUAZEIRO;01/05/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9101190009;875302;MP-CCOL-POV.LAGOA DOS BOIS-RURAL;JUAZEIRO;;;OK;;MIGRAR;;;CONCLUIDA;;2;37;37;37;;;PLANO 14;100%;R$ 394.092,32;;R$ 62.900,00;01/05/2025;10/05/2025;JUAREZ;EDIE JONNES;;;;;DA PLANILHA ;E619663;E619699;JUAZEIRO;01/05/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9101977212;1115260;AC-CIND-RUA-PADRE JOAO FRE-CENTRO;PILÃO ARCADO;;;OK;ENTREGA;;;;NÃO INICIADA;;1;4;;4;;;PLANO 7;100%;R$ 69.502,35;;R$ 6.800,00;01/05/2025;26/05/2025;DOMINGOS;PAULO JUNIOR;;;;;1016690/APROVADA;E710834;E710841;JUAZEIRO;01/05/2025;Consolidado;N/A
JUDICIAL OURO;9102103285;1157069;ER-CIND-POV-BARRO VERMELHO-RURAL;CURAÇÁ;;;OK;;MIGRAR;;;CONCLUIDA;;1;42;42;42;;;PLANO 7;100%;R$ 235.113,59;;R$ 71.400,00;01/05/2025;10/05/2025;FABIO;SANTIAGO;;;;;DA PLANILHA ;E619712;E619753;JUAZEIRO;01/05/2025;Consolidado;N/A
REPUTACIONAL;9102132629;1161619;ER-CIND-FAZ-MASSAYO-RURAL;JUAZEIRO;;;OK;MIGRAR ;;;;NÃO INICIADA;;1;1;;1;;;PLANO 7;100%;R$ 91.201,34;;R$ 1.700,00;01/05/2025;31/05/2025;MANUTENÇÃO;ANDERSON;;;;;1020103/APROVADA;E725929;E725929;JUAZEIRO;01/05/2025;Consolidado;N/A
RECLAMAÇÃO;9102163350;1185415;AC-CIND-POV-CHAPADINHA-RURAL-SOBRADINHO;SOBRADINHO;;;OK;MIGRAR ;;;;EM EXECUÇÃO;;1;1;1;1;;;PLANO 7;100%;R$ 33.004,23;;R$ 1.700,00;16/05/2025;16/05/2025;JUAREZ;SANTIAGO;;;;;DA PLANILHA;E778060;E778060;JUAZEIRO;01/05/2025;Consolidado;N/A
;9102096113;1152296;ER-CCOL-FAZ-ROCADO-CORRENTEZA;SOBRADINHO;;;;MIGRAR;;;;NÃO INICIADA;;4;6;;;;;PLANO 7;100%;R$ 26.721,20;;R$ 0,00;;;;;;;;;;;;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9101913416;1086962;LD CIND POV QUIXABÁ RURAL;SENTO SÉ;;;OK;;;LV;;CONCLUIDA;;1;1;1;1;;;PLANO 7;100%;R$ 39.454,90;;R$ 1.700,00;17/05/2025;20/05/2025;JACKSON;SANTIAGO;;;;;DA PLANILHA;E774088;E774088;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102125866;1165100;ER-CIND-POV-BAIXAO 2852-RURAL-CASA NOVA;CASA NOVA;;;;;;;;CONCLUIDA;;1;2;2;;;;;100%;R$ 14.285,89;R$ 3.571,47;R$ 4.200,00;11/04/2025;11/04/2025;AILTON;PAULO JUNIOR;DIEGO;-9,325327756;-41,0751019;;DA PLANILHA;E750231;E750232;JUAZEIRO;01/05/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102153549;1175531;ER-CIND-PR -CASTRO ALVES 7-MASSAROCA;JUAZEIRO;;;OK;;;;;CONCLUIDA;;1;5;5;5;;;PLANO 7;100%;R$ 23.995,33;R$ 5.998,83;R$ 10.500,00;;;;ANDERSON;;;;;DA PLANILHA;E750194;E750198;JUAZEIRO;01/05/2025;Consolidado;N/A
REPUTACIONAL;9102243345;1201535;AC-REGFV-CCOL-POV DESTERRO-CAI ARA-III;CASA NOVA;;;;;;;;CONCLUIDA;;53;94;94;;;;PLANO 7;100%;R$ 769.784,85;;;;;JORGE;JORGE;;;;;;;;JUAZEIRO;01/05/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102155987;1183422;ER-CIND-POV-NEGROS-NEGROS;REMANSO;;;;;;;;CONCLUIDA;;7;20;20;;;;PLANO 14;100%;R$ 155.145,69;;;;;JORGE;JORGE;;;;;;;;JUAZEIRO;01/05/2025;Consolidado;N/A
