CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;DATA DESLIG;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
NOVOS QUESTIONAMENTOS ANEEL;9101575275;1040604;MP-CCOL-POV DESENGANO-RURAL;SENTO SÉ;;EMERSON;MIGRADA;;;CONCLUIDA;;32;278;;278;;;PLANO 14;20%;R$ 2.756.104,87;;;01/04/2025;19/04/2025;EMERSON;EMERSON;SANDRO;-9,7533815;-41,8857659;;fev.-25;FALSE;;FALSE;FALSE;1019161/APROVADA;E724391;E724668;JUAZEIRO;01/04/2025;Consolidado;N/A
ESTRATÉGICA;9101893156;1084183;RR-CCOL-RCL-POV-DE LAJES-LAJES;JUAZEIRO;SACADO;;MIGRADA;;;CONCLUIDA;;87;60;;60;;;PLANO 7;100%;R$ 274.737,62;R$ 68.684,41;;;02/04/2025;PAULO;SANTIAGO;VICTOR;-9,4790867;-40,5060819;;fev.-25;TRUE;;FALSE;FALSE;1019173/APROVADA;E724694;E724750;JUAZEIRO;01/04/2025;Consolidado;N/A
AL/MELHORAMENTO;9101909684;1085090;AL-01V2-NOVA TOURÃO-CONSTRUÇÃO (ITEM 2);JUAZEIRO;;;PES 38272 / OC 6336 - 03/04;;13/03 - 19/03;CONCLUIDA;;0;51;;51;;;PLANO 8;100%;R$ 717.378,39;R$ 179.344,60;;01/04/2025;20/04/2025;IVONALDO;RODRIGUES;SANDRO;-9,436886049;-40,38081355;;fev.-25;FALSE;;FALSE;FALSE;DA PLANILHA ;E619983;E620023;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9101649848;1032702;MP CIND POV TOME RURAL;JUAZEIRO;04/04;OK;abril-25;;;CONCLUIDA;;2;32;;28;;;;100%;R$ 440.383,01;R$ 110.095,75;R$ 67.200,00;05/04/2025;19/04/2025;GISMARIO;EDIE JONNES;;-9,4410603;-40,285742;;;;;;;DA PLANILHA ;E750042;E750075;JUAZEIRO;01/04/2025;Consolidado;N/A
JUDICIAL OURO;9102072295;1146501;LD - CIND RUA BOA SORTE - RURAL;REMANSO;;OK;PENDENTE CABO 1x25;;;CONCLUIDA;;9;30;;4;;;;100%;R$ 196.015,59;R$ 49.003,90;R$ 63.000,00;08/04/2025;12/04/2025;DOMINGOS / AILTON;PAULO JUNIOR;DEBORA;-9,6723986;-42,1921106;;;;;;;DA PLANILHA ;E750478;E750507;JUAZEIRO;01/04/2025;Consolidado;N/A
AL/MELHORAMENTO;9101915080;1088197;AL - 01V5 - NOVA TOUR O - CONSTRU  O;JUAZEIRO;;;PES 38276 / OC 7332 - 03/04;;;CONCLUIDA;;0;27;;27;;;PLANO 1;100%;R$ 321.516,58;R$ 80.379,15;;01/04/2025;21/04/2025;IVONALDO;RODRIGUES;SANDRO;-9,436886049;-40,38081355;;;;;;;DA PLANILHA ;E620024;E620050;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9101744304;1015836;ER-CCOL-SI-JUAZEIRO-PINHOES;JUAZEIRO;04/04;OK;PENDENTE CABO 1x25;;;CONCLUIDA;;5;25;;25;;;;100%;R$ 220.850,04;R$ 55.212,51;R$ 52.500,00;01/04/2025;12/04/2025;JUAREZ;EDIE JONNES;;-9,5726189;-39,9000523;;;;;;;DA PLANILHA ;E749877/E750169;E749896/E750173;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9101858658;1083865;MP-CIND-FAZ. RODEADOURO-RURAL;UAUÁ;;OK;abril-25;;;CONCLUIDA;;6;14;;14;;;;100%;R$ 147.918,91;R$ 36.979,73;R$ 29.400,00;12/04/2025;25/04/2025;MAURICIO;EDIE JONNES;;-9,8445915;-39,50630863;;;;;;;DA PLANILHA ;E749861;E749874;JUAZEIRO;01/04/2025;Consolidado;N/A
JUDICIAL OURO;9101726710;1054419;MP-CIND-POV. SANTANA-RURAL;UAUÁ;;OK;ENERGIZA 11/04;;;CONCLUIDA;;1;13;;13;;;;100%;R$ 167.451,27;R$ 41.862,82;R$ 27.300,00;04/04/2025;12/04/2025;MAURICIO;EDIE JONNES;;-9,8645634;-39,6571608;;;;;;;DA PLANILHA ;E749824;E749836;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9102126768;1161990;LD-CCOL-FAZ.SÃO BENTO-RURAL;UAUÁ;;OK;abril-25;;;CONCLUIDA;;2;13;;13;;;;100%;R$ 101.480,32;R$ 25.370,08;R$ 27.300,00;14/04/2025;17/04/2025;MAURICIO;EDIE JONNES;EDVALDO;-9,84933752;-39,4703284;;;;;;;da PLANILHA ;E749897;E749909;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9101066125;814100;LD-CIND-ET SERRA DA BATATEIRA-RURAL;JUAZEIRO;;OK;abril-25;;;CONCLUIDA;;8;11;;11;;;;100%;R$ 102.926,64;R$ 25.731,66;R$ 23.100,00;09/04/2025;28/04/2025;PEPEU;ANDERSON;;-9,5114581;-40,505111;;;;;;;DA PLANILHA ;E750149;E750159;JUAZEIRO;01/04/2025;Consolidado;N/A
AL/MELHORAMENTO;9101909686;1085374;AL-01V3-NOVA TOURÃO-CONSTRUÇÃO ITEM 1, 2;JUAZEIRO;SACADO;;PES 37430 / OC 1529 - 01/04;;;CONCLUIDA;;0;10;;10;;;PLANO 8;100%;R$ 491.175,01;R$ 122.793,75;;;;IVONALDO;RODRIGUES;SANDRO;-9,436886049;-40,38081355;;fev.-25;FALSE;;FALSE;FALSE;DA PLANILHA ;E620070;E620079;JUAZEIRO;01/04/2025;Consolidado;N/A
JUDICIAL OURO;9101769040;1021872;ER-CIND-POV-CALDEIRAO GRANDE-CURRAL NOVO;JUAZEIRO;;OK;abril-25;;;CONCLUIDA;;1;9;;9;;;;100%;R$ 34.445,62;R$ 8.611,41;R$ 18.900,00;14/04/2025;22/04/2025;GISMARIO;EDIE JONNES;;-9,8253289;-40,192637;;;;;;;da PLANILHA ;E750160;E750168;JUAZEIRO;01/04/2025;Consolidado;N/A
RECLAMAÇÃO;9101978067;1113335;MP-CIND-FAZ-BANGUE 1250-RURAL;CURAÇÁ;;OK;abril-25;;;CONCLUIDA;;1;8;;8;;;;100%;R$ 64.859,04;R$ 16.214,76;R$ 16.800,00;12/04/2025;16/04/2025;FERNANDO;SANTIAGO;;-9,2682018;-39,8037415;;;;;;;DA PLANILHA ;E750019;E750026;JUAZEIRO;01/04/2025;Consolidado;N/A
QLP;9102126489;1165825;ER-CIND-POV-CURUNDUNDUN-RURAL;UAUÁ;;OK;abril-25;;;CONCLUIDA;;1;7;;7;;;;100%;R$ 55.021,09;R$ 13.755,27;R$ 14.700,00;28/04/2025;30/04/2025;MAURICIO;EDIE JONNES;;-9,718006;-39,276716;;;;;;;DA PLANILHA ;E749910;E749916;JUAZEIRO;01/04/2025;Consolidado;N/A
AL/MELHORAMENTO;9102006139;1157379;RS-COEL-SAIDA AL NOVA TOURAO;JUAZEIRO;SACADO;OK;;MIGRAR;;EM EXECUÇÃO;;0;0;;;;;PLANO 1;100%;R$ 1.374.462,12;;;04/04/2025;20/04/2025;IVONALDO;RODRIGUES;SANDRO;-9,436886049;-40,38081355;;fev.-25;FALSE;;FALSE;FALSE;0 POSTE;;;JUAZEIRO;01/04/2025;Consolidado;N/A
AL/MELHORAMENTO;9101909687;1085220;AL - 01V3 - SE NOVA TOURÃO-EQUIP-Q008200;JUAZEIRO;SACADO;OK;;MIGRAR;;EM EXECUÇÃO;;0;2;;;;;PLANO 1;100%;R$ 90.897,71;;;03/04/2025;20/04/2025;IVONALDO;RODRIGUES;SANDRO;-9,4335364;-40,3828412;;mar.-25;;;;;DA PLANILHA;E619909;E619910;JUAZEIRO;01/04/2025;Consolidado;N/A
AL/MELHORAMENTO;9101915089;1088191;AL - 01V8 - NOVA TOUR O - CONSTRU  O;JUAZEIRO;SACADO;OK;;MIGRAR;;EM EXECUÇÃO;;0;3;;;;;PLANO 1;100%;R$ 224.034,66;;;02/04/2025;20/04/2025;IVONALDO;RODRIGUES;SANDRO;-9,436886049;-40,38081355;;;;;;;DA PLANILHA ;E620080;E620082;JUAZEIRO;01/04/2025;Consolidado;N/A
JUDICIAL;9102095200;1151835;AC-CIND-POV-ITAPICURU-RURAL;SENTO SÉ;;OK;;MIGRAR;;EM EXECUÇÃO;;1;3;;;;;;100%;R$ 112.962,82;R$ 28.240,71;R$ 6.300,00;14/05/2025;15/05/2025;CARLOS;SANTIAGO;SANDRO;-10,548659;-41,84232;;;;;;;DA PLANILHA ;E750016;E750018;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9101899666;1077391;LD-CIND-POV LAGOA DOS BOIS-LAGOA DOS BO;JUAZEIRO;;OK;abril-25;;;CONCLUIDA;;2;5;;5;;;;100%;R$ 50.561,40;R$ 12.640,35;;12/04/2025;28/04/2025;JUAREZ;EDIE JONNES;;-9,49175927;-40,2001457;;;;;;;DA PLANILHA;E750668;E750672;JUAZEIRO;01/04/2025;Consolidado;N/A
LPT;9101924775;1093845;LD-CIND-POV LIMOEIRO-RURAL;SENTO SÉ;;OK;;MIGRAR;;ESCAVAÇÃO;;1;12;;;;;PLANO 14;100%;R$ 167.046,83;;R$ 25.200,00;22/05/2025;26/05/2025;CARLOS;SANTIAGO;SANDRO;-10,073223;-41,370786;;mar.-25;;;;;DA PLANILHA;E619929;E619940;JUAZEIRO;01/04/2025;Consolidado;N/A
TRANSGRESSÃO;9102109004;1157325;RR-CIND-POV-SANTANA SOBRADO-RR-CASA NOVA;CASA NOVA;;OK;abril-25;;;CONCLUIDA;;1;5;;5;;;;100%;R$ 39.143,31;R$ 9.785,83;R$ 10.500,00;16/04/2025;16/04/2025;AILTON;PAULO JUNIOR;DIEGO;-9,296343;-40,834028;;;;;;;DA PLANILHA;E750226;E750230;JUAZEIRO;01/04/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9101190009;875302;MP-CCOL-POV.LAGOA DOS BOIS-RURAL;JUAZEIRO;;OK;;MIGRAR;;ESCAVAÇÃO;;2;37;;;;;PLANO 14;100%;R$ 394.092,32;R$ 98.523,08;R$ 77.700,00;12/04/2025;02/05/2025;JUAREZ;EDIE JONNES;VICTOR;-9,42475819;-40,242379;;mar.-25;;;;;DA PLANILHA ;E619663;E619699;JUAZEIRO;01/04/2025;Consolidado;N/A
NOVOS QUESTIONAMENTOS ANEEL;9102025347;1126041;IT CIND FAZ CURAÇA PEQUENO RURAL;JUAZEIRO;SACADO;OK;;MIGRAR;;ESCAVAÇÃO;;0;108;;82;;;PLANO 7;100%;R$ 1.565.846,66;R$ 200.000,00;R$ 0,00;15/03/2024;31/05/2025;FERNANDO/FABIO;SANTIAGO;CARLOS EDUARDO;-9,1258481;-40,0323912;;mar.-25;;;;;DA PLANILHA;E619540;E619634;JUAZEIRO;01/04/2025;Consolidado;N/A
QLP;9102125866;1165100;ER-CIND-POV-BAIXAO 2852-RURAL-CASA NOVA;CASA NOVA;;OK;;;;NÃO INICIADA;;1;2;;;;;;100%;R$ 14.285,89;R$ 3.571,47;R$ 4.200,00;11/04/2025;11/04/2025;AILTON;PAULO JUNIOR;DIEGO;-9,325327756;-41,0751019;;;;;;;DA PLANILHA;E750231;E750232;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102157797;1182944;ER-CIND-POV-ALGODAO DE CIMA 1452-AL CIMA;CASA NOVA;;OK;MIGRADA;;;CONCLUIDA;;1;5;;5;;;PLANO 7;100%;R$ 35.896,88;R$ 8.974,22;R$ 10.500,00;28/04/2025;29/04/2025;AILTON;PAULO JUNIOR;DIEGO;-9,200843;-41,226521;;mar.-25;;;;;DA PLANILHA ;E619966;E619970;JUAZEIRO;01/04/2025;Consolidado;N/A
QLP;9102130886;1165605;AC-CIND-LOT-PEDRO RAIMUND-MALHAD DA AREI;JUAZEIRO;;OK;abril-25;;;CONCLUIDA;;1;5;;5;;;;100%;R$ 59.184,78;R$ 14.796,20;R$ 10.500,00;28/04/2025;29/04/2025;PAULO;SANTIAGO;;-9,4515829;-40,507978;;;;;;;DA PLANILHA;E750182;E750186;JUAZEIRO;01/04/2025;Consolidado;N/A
AL/MELHORAMENTO;9101909688;1085227;AL - 01V4 - NOVA TOURÃO - CONSTRUÇÃO;JUAZEIRO;SACADO;;PES 38257 / OC 7264 - 03/04;;;CONCLUIDA;;0;4;;4;;;PLANO 8;100%;R$ 616.794,25;R$ 154.198,56;;01/04/2025;20/04/2025;IVONALDO;RODRIGUES;SANDRO;-9,4307884;-40,3956456;;fev.-25;FALSE;;FALSE;FALSE;1017645/APROVADA;E711971;E711972;JUAZEIRO;01/04/2025;Consolidado;N/A
LPT;9101783582;1028355;ER-CIND-POV-SANTA BARBARA-RURAL;SOBRADINHO;;;MIGRADA;;;CONCLUIDA;;1;4;;4;;;PLANO 14;100%;R$ 25.946,33;R$ 6.486,58;;;;CARLOS;SANTIAGO;SANDRO;-9,4638721;-40,8140499;;mar.-25;;;;;DA PLANILHA;E619911;E619914;JUAZEIRO;01/04/2025;Consolidado;N/A
