CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;DATA DESLIG;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
PRIORIDADE PLANO ANEEL;9102140429;1173101;AC-CIND-FAZ-TESTA BRANCA-CALDEIRAO DO AL;UAUÁ;;OK;abril-25;;;CONCLUIDA;;1;2;;2;;;;100%;R$ 7.943,54;R$ 1.985,89;R$ 4.200,00;14/04/2025;14/04/2025;MAURICIO;EDIE JONNES;;-9,995853;-39,536663;;;;;;;DA PLANILHA ;E749920;E749921;JUAZEIRO;01/04/2025;Consolidado;N/A
QLP;9102135898;1168500;AC-CIND-CA-ELLIS MARIA-RURAL DE CIMA;JUAZEIRO;;OK;;MIGRAR;;NÃO INICIADA;;1;1;;;;;;100%;R$ 27.211,65;R$ 6.802,91;R$ 2.100,00;13/05/2025;13/05/2025;PEPEU;SANTIAGO;;-9,453858;-40,5391525;;;;;;;DA PLANILHA;E750233;E750233;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9102089657;1146819;NT-RECOND-MND-01N3-Q028290 -Q028297;CASA NOVA;;;;;;NÃO INICIADA;;0;2;;;;;PLANO 8;100%;R$ 221.908,41;;R$ 4.200,00;22/04/2025;22/04/2025;DANIEL;PAULO JUNIOR;DIEGO;-9,3531261;-40,8462015;;fev.-25;FALSE;;FALSE;FALSE;1019155/APROVADA;E752880;E755881;JUAZEIRO;01/04/2025;Consolidado;N/A
;9102146389;1177220;ER-CCOL-POV-BREJO FORA-BREJO FORA;SOBRADINHO;;;MIGRADA;;;CONCLUIDA;;1;1;;1;;;;100%;R$ 6.810,47;R$ 1.702,62;;27/03/2025;03/04/2025;CARLOS ;SANTIAGO;;-9.533.277;-41.045.161;;;FALSE;;FALSE;FALSE;DA PLANILHA ;E620088;E620088;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102209027;1189982;UB-CIND-ROD-235 KM-CENTRO-REMANSO;REMANSO;;;abril-25;;;CONCLUIDA;;1;1;;1;;;;100%;R$ 9.587,30;R$ 2.396,83;R$ 2.100,00;;;MANUTENÇÃO;ANDERSON;DEBORA;-9,606204;-42,072652;;;;;;;DA PLANILHA ;E749674;E749674;JUAZEIRO;01/04/2025;Consolidado;N/A
AL/MELHORAMENTO;9102006140;1157282;AL 06-NOVA TOUR O - CONSTRU  O 1 3;JUAZEIRO;;;PES 37149 / OC 1859 - 01/04;;01/04;CONCLUIDA;;0;1;;1;;;PLANO 1;100%;R$ 15.075,30;R$ 3.768,83;;;;IVONALDO;RODRIGUES;SANDRO;-9,436886049;-40,38081355;;;;;;DA PLANILHA ;E620083;E620083;;JUAZEIRO;01/04/2025;Consolidado;N/A
GOVERNO OURO;9102167302;1190937;ER-CCOL-POV-PATAMUTE-RURAL;CURAÇÁ;;OK;;MIGRAR;;NÃO INICIADA;;1;31;;;;;;100%;R$ 264.976,91;R$ 66.244,23;R$ 65.100,00;01/05/2025;03/05/2025;FABIO;SANTIAGO;;-9,044985;-39,482341;;;;;;;DA PLANILHA ;E750118;E750148;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9101811791;1041575;MP-CCOL-POV-SERROTIM-RURAL;CURAÇÁ;;;;MIGRAR;;NÃO INICIADA;;1;15;;;;;;100%;R$ 150.289,62;R$ 37.572,41;;05/05/2025;08/05/2025;;;;-9,1440435;-39,840718;;;;;;;;;;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102164042;1182461;UB-CIND-ROD-235 KM 01 23-CENTRO;REMANSO;;;MIGRADA;;;CONCLUIDA;;3;1;;1;;;PLANO 7;100%;R$ 33.926,10;R$ 8.481,53;;;;DOMINGOS;PAULO JUNIOR;DEBORA;-9,587614;-42,063516;;mar.-25;;;;;DA PLANILHA ;E619961;E619961;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102145707;1172617;UB-CIND-AV-POUSADA-CENTRO;UAUÁ;;OK;abril-25;;;CONCLUIDA;;1;1;;1;;;;100%;R$ 5.110,28;R$ 1.277,57;R$ 2.100,00;12/04/2025;12/04/2025;MAURICIO;EDIE JONNES;;-9,83367;-39,4814945;;;;;;;DA PLANILHA ;E749922;E749922;JUAZEIRO;01/04/2025;Consolidado;N/A
