CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;TITULO.1;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;REPROGRAMAÇÃO;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
TRANSGRESSÃO;9102160779;1187240;ER-CINDQD Z 10-BEM BOM;CASA NOVA;OK;;;;;;NÃO INICIADA;;1;2;;;;;37816;100%;R$ 33.799,59;;R$ 3.400,00;12/09/2025;12/09/2025;;MANUTENÇÃO;PAULO JUNIOR;DIEGO ALMEIDA;0;0;;DA PLANILHA;E864277;E864278;JUAZEIRO;01/09/2025;Consolidado;N/A
RECLAMAÇÃO;9102080524;1141807;ER-CIND-POV-ENTRONCAMENTO-RECREIO;CASA NOVA;;;;;;;NÃO INICIADA;;;2;;;;;7.1.2.3;100%;R$ 54.390,13;;R$ 3.400,00;10/09/2025;26/09/2025;;AILTON;PAULO JUNIOR;SANDRO SANTOS;-9.318951;-41.123503;;DA PLANILHA;E876724;E876725;JUAZEIRO;01/09/2025;Consolidado;N/A
RECLAMAÇÃO;9102068123;1141818;ER-CIND-SI-PASCACIO-RURAL;CASA NOVA;OK;;;;;;NÃO INICIADA;;;0;;;;;7.1.2.2;100%;R$ 26.704,72;;R$ 0,00;10/09/2025;26/09/2025;;AILTON;PAULO JUNIOR;SANDRO SANTOS;-9.3099092;-41.138693;;;;;JUAZEIRO;01/09/2025;Consolidado;N/A
GOVERNO;9102096483;1132085;ER-SEIN-RUA-DAS FLORES-XIQUE-XIQUE;PILÃO ARCADO;;;OURO;;;;NÃO INICIADA;;11;26;;;;;7.1.2.3;100%;R$ 243.570,88;;R$ 44.200,00;20/09/2025;30/09/2025;;;PAULO JUNIOR;MARLOS LOPES ;-10,5568842;-42,6234047;;DA PLANILHA;E799629;E799654;JUAZEIRO;01/09/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102033317;1128925;LD-CIND-POV BAIXAO-RURAL-CSN;CASA NOVA;OK;;;;;;NÃO INICIADA;;1;6;;;;;37451;100%;R$ 175.752,82;;R$ 10.200,00;15/09/2025;30/09/2025;;SILVONEY;PAULO JUNIOR;SANDRO SANTOS;-9.3139292;-41.0714687;;DA PLANILHA;E876686;E876691;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9101976713;1113834;AC-CIND ESCOLA MUN.DE BREJINHO-RURAL;PILÃO ARCADO;OK;;;;;;NÃO INICIADA;;65;416;;217;;;7.1.2.3;80%;R$ 5.716.579,81;;R$ 707.200,00;01/09/2025;30/10/2025;;AILTON;PAULO JUNIOR;MARLOS LOPES ;#N/D;#N/D;;DA PLANILHA;E799950;E800365;JUAZEIRO;01/09/2025;Consolidado;N/A
REPUTACIONAL;9102084906;1145786;AC CIND POV XIQUE XIQUE RURAl;CASA NOVA;OK;;OURO;;;;NÃO INICIADA;;18;29;;;;;7.1.2.3;20%;R$ 184.243,28;;R$ 49.300,00;22/09/2025;31/10/2025;;FERNANDO;PAULO JUNIOR;DIEGO ALMEIDA;#N/D;#N/D;;DA PLANILHA;E865080;E865108;JUAZEIRO;01/09/2025;Consolidado;N/A
REPUTACIONAL;9102031594;1128536;MP-CCOL-POV-XIQUE XIQUE-RURAL;CASA NOVA;OK;;OURO;;;;NÃO INICIADA;;17;166;;;;;14.4.12.1;70%;R$ 1.425.753,93;;R$ 282.200,00;07/08/2025;31/10/2025;;FERNANDO;PAULO JUNIOR;DIEGO ALMEIDA;-9,6263923;-41,838502;;DA PLANILHA;E819709;E819874;JUAZEIRO;01/09/2025;Consolidado;N/A
GOVERNO;9102092612;1146131;AC-REGFV-CCOL-POV DESTERRO-CAI ARA-III;CASA NOVA;;;OURO;;;;NÃO INICIADA;;141;394;;;;;7.1.2.3;25%;R$ 2.463.892,39;;R$ 669.800,00;;30/12/2025;;FERNANDO;PAULO JUNIOR;DIEGO ALMEIDA;-9,335318;-41,8057884;;DA PLANILHA;E863624;E864017;JUAZEIRO;01/09/2025;Consolidado;N/A
REPUTACIONAL;9100945323;763601;MP-CCOL-POV CANOINHA-RURAL;CASA NOVA;;;OURO;;;;NÃO INICIADA;;25;541;;;;;37816;10%;R$ 3.490.517,75;;R$ 919.700,00;;AVANÇO;;FERNANDO;PAULO JUNIOR;DIEGO ALMEIDA;-9,1657286;-41,3927492;;DA PLANILHA;E864495;E865035;JUAZEIRO;01/09/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9101992624;1120277;MP-CCOL-RUA 03-RURAL;SENTO SÉ;OK;;;;;;CONCLUIDA;03/09/2025;1;23;28;;;;7.1.2.3;100%;R$ 215.103,20;;R$ 39.100,00;;03/09/2025;;FABIO;RODRIGUES;SANDRO SANTOS;-9.75338;-41.8858;;;;;JUAZEIRO;01/09/2025;Consolidado;N/A
AIC OBJETIVO;9101932015;1092651;MP-CCOL-RUA DA CONCEIÇÃO-RURAL;SENTO SÉ;OK;;;;;;CONCLUIDA;04/09/2025;3;15;15;;;;14.4.12.1 ;100%;R$ 202.401,98;;R$ 25.500,00;06/08/2025;04/09/2025;;JACSON;RODRIGUES;SANDRO SANTOS;-9.8048531;-41.4354007;;;;;JUAZEIRO;01/09/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102027760;1129183;MP-CCOL-POV.MANTEIGA-RURAL;REMANSO;;;;;;;NÃO INICIADA;;3;46;;;;;7.1.2.3;100%;R$ 580.092,82;;R$ 78.200,00;01/09/2025;30/09/2025;;RUBEM;RUBEM;MARLOS LOPES ;-9,5839657;-42,1016911;;DA PLANILHA;E864024;E864069;JUAZEIRO;01/09/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9101867742;1058100;AC-CIND-POV-PONTA DA SERRA-RURAL;REMANSO;OK;;;;;;NÃO INICIADA;;59;380;;;;;7.1.2.3;55%;R$ 4.341.201,10;;R$ 646.000,00;;30/11/2025;;RUBEM;RUBEM;MARLOS LOPES ;-9,392305;-42,1929795;;DA PLANILHA;E774354;E774683;JUAZEIRO;01/09/2025;Consolidado;N/A
AL/MELHORAMENTO;9102150089;1191546;IE-RELIGADOR-NCU-01Z4-B360628;JUAZEIRO;OK;;RELIGADOR;;;;CONCLUIDA;;0;1;;;;;8.2.2.3;100%;R$ 109.730,89;;R$ 1.700,00;05/09/2025;05/09/2025;09/09/2025;IVONALDO;SANTIAGO;VICTOR BARROS;-9,172178;-40,0666537;;DA PLANILHA;E864084;E864084;JUAZEIRO;01/09/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102308523;1211795;ER-CIND-POV-DE MARI 17-MARI;JUAZEIRO;OK;;;;;;NÃO INICIADA;;1;5;;;;;7.1.2.3;100%;R$ 26.426,38;;R$ 8.500,00;08/09/2025;09/09/2025;;IVONALDO;SANTIAGO;VICTOR BARROS;0;0;;DA PLANILHA;E864191;E864195;JUAZEIRO;01/09/2025;Consolidado;N/A
REPUTACIONAL;9102152928;1221851;ER-CIND-SI-S O JOSE-RURAL;JUAZEIRO;OK;;;;;;NÃO INICIADA;;3;11;;;;;7.1.2.3;100%;R$ 124.079,02;;R$ 18.700,00;25/08/2025;11/09/2025;;IVONALDO;SANTIAGO;VICTOR BARROS;-9.4558324;-40.4694899;;DA PLANILHA;E865111;E865121;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102074566;1144796;MP-CCOL-POV.LAGOA DOS CAVALOS-RURAL;JUAZEIRO;OK;;;;;;NÃO INICIADA;;2;19;;;;;7.1.2.3;100%;R$ 136.998,34;;R$ 32.300,00;10/09/2025;16/09/2025;;IVONALDO;SANTIAGO;VICTOR BARROS;-9,2880477;-40,0738188;;DA PLANILHA;E864234;E864252;JUAZEIRO;01/09/2025;Consolidado;N/A
AL/MELHORAMENTO;9102083111;1144762;PT UAU 34 5 13 8KV;UAUÁ;;;;;;;NÃO INICIADA;;0;6;;;;;1.2.2.2.3;50%;R$ 458.444,21;;R$ 10.200,00;15/09/2025;17/09/2025;;JUAREZ;SANTIAGO;CARLOS EDUARDO;-9,8468026;-39,4664253;;DA PLANILHA ;E864018;E864023;JUAZEIRO;01/09/2025;Consolidado;N/A
RECLAMAÇÃO;9102021225;1129437;LD CIND FAZ MANI OBA VELHA RURAL;JUAZEIRO;OK;;;;;;NÃO INICIADA;;1;15;;;;;14.7.2003;100%;R$ 210.471,66;;R$ 25.500,00;01/09/2025;18/09/2025;;PAULO;SANTIAGO;VICTOR BARROS;;;;DA PLANILHA;E876663;E876677;JUAZEIRO;01/09/2025;Consolidado;N/A
JUDICIAL;9102154209;1212994;RR-CIND-POV-ALMAS-ALMAS;SENTO SÉ;OK;;OURO;;;;NÃO INICIADA;;0;35;;;;;37816;100%;R$ 329.800,60;;R$ 59.500,00;04/09/2025;22/09/2025;;JACSON;SANTIAGO;DIEGO ALMEIDA;-10,2842731;-41,3726258;;DA PLANILHA;E864428;E864462;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102316140;1214805;ER-CIND-FAZ-BARRA BONITA-RURAL;JUAZEIRO;;;OURO;;;;NÃO INICIADA;;3;44;;;;;37816;100%;R$ 308.392,86;;R$ 74.800,00;17/09/2025;30/09/2025;;IVONALDO;SANTIAGO;VICTOR BARROS;0;0;;DA PLANILHA;E865036;E865079;JUAZEIRO;01/09/2025;Consolidado;N/A
JUDICIAL;9101664952;997469;ER-CIND-POV-ALMAS-ALEGRE;SENTO SÉ;OK;;OURO;;;;NÃO INICIADA;;2;43;;;;;37816;100%;R$ 431.864,85;;R$ 73.100,00;23/09/2025;30/09/2025;;JACSON;SANTIAGO;DIEGO ALMEIDA;-10,2638619;-41,3329393;;DA PLANILHA;E864116;E864158;JUAZEIRO;01/09/2025;Consolidado;N/A
GOVERNO;9102125670;1159894;UB-CIND-RUA-JUAZEIRO-2;JUAZEIRO;OK;;OURO;;;;NÃO INICIADA;;0;66;;;;;7.1.1.3;40%;R$ 1.460.659,08;;R$ 112.200,00;01/09/2025;31/10/2025;;PAULO;SANTIAGO;VICTOR BARROS;-9,4665442;-40,4999899;;DA PLANILHA ;E750526;E750585;JUAZEIRO;01/09/2025;Consolidado;N/A
RECLAMAÇÃO;9102030324;1120926;MP CIND POV MANTEIGA RURAL MOD;REMANSO;OK;;;;;;NÃO INICIADA;;17;111;;;;;37816;100%;R$ 1.228.147,83;;R$ 188.700,00;22/08/2025;AVANÇO;;;;MARLOS LOPES ;-9,5834495;-42,1018369;;DA PLANILHA;E778061;E778176;JUAZEIRO;01/09/2025;Consolidado;N/A
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;                       ;;;;;;;;JUAZEIRO;01/09/2025;Descartado;Erro/Nulo em PROJETO
