PROJETO_FATO;Carteira;COORD;TÍTULO;MUNICIPIO;STATUS;CLIET.;PSTP;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVNP;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;STATUS 1.1;DATA DE ENERG.;VALOR/PST;Unnamed: 5;GPM;VALOR A FATURAR;TITULO.1;STATUS 2;REPROGRAMAÇÃO;TITULO;CRITERIO;ESTÁGIO DE OBRAS;PRE FECHAMENTO;OBS;RESPONSÁVEL;CLIENTE;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERG. INFORMADA;OBS.1
1127877;;JUAZEIRO;;JUAZEIRO;CONCLUIDA;;2;2;;;7.1.2.3;100%;;;JUAREZ;EDIE JONNES;;-9.1338841;-39.9841666;;20/10/0205;;;;;;;;ER-CIND-POV-CURACA-RURAL;;CONCLUÍDA;;;MARLOS LOPES ;1;;27/10/2025;27/10/2025;27/10/2025;SIM;NÃO;;Ver no Mapa;14/10/2025;18/10/2025;20/10/2025;
1212958;;JUAZEIRO;;JUAZEIRO;CONCLUIDA;;2;2;;;7.1.2.3;100%;;;JUAREZ;EDIE JONNES;;-9.1813549;-40.0585027;;27/10/2025;;;;;;;;AC-CIND-POV-PROJETO CURACA-RURAL;;CONCLUÍDA;;;MARLOS LOPES ;1;27/10/2025;27/10/2025;27/10/2025;;;NÃO;;Ver no Mapa;27/10/2025;27/10/2025;28/10/2025;
1209467;;JUAZEIRO;;JUAZEIRO;CONCLUIDA;;2;2;;;;100%;;;JUAREZ;EDIE JONNES;;;;;29/10/2025;;;;;;;;UB-CCOL-RUA-MERCADO PRODUTOR-T  NEVES;;CONCLUÍDA;;;VICTOR BARROS;1;;29/10/2025;29/10/2025;;SIM;NÃO;;Ver no Mapa;29/10/2025;29/10/2025;30/10/2025;
1058100;;JUAZEIRO;;REMANSO;CONCLUIDA;;380;427;;;7.1.2.3;100%;;;RUBEM;RUBEM;;-9.39231;-42.193;;;;;;;;;;AC-CIND-POV-PONTA DA SERRA-RURAL;PRIORIDADE PLANO ANEEL;ENERGIZADA;COMPLETO;;MARLOS LOPES ;59;;03/11/2025;07/11/2025;;;NÃO;;Ver no Mapa;;;;
1145935;;JUAZEIRO;;REMANSO;CONCLUIDA;;62;47;;;14.7.2;100%;;;JORGE;JORGE;;-9.4735;-42.2502;;03/11/2025;;;;;;;;AC CIND FAZ NOVA TABUA (REGUL. FV) RURAL;QLP;ENERGIZADA;COMPLETO;;MARLOS LOPES ;15;;;20/11/2025;;NÃO;NÃO;;Ver no Mapa;22/10/2025;03/11/2025;SIM;
1195623;;JUAZEIRO;;JUAZEIRO;CONCLUIDA;;2;2;;;7.1.2.3;100%;;;GISMARIO;EDIE JONNES;;-9.1132413;-40.1270647;;30/10/2025;;;;;;;;RR-CIND-POV-ARUEIRA-RURAL;;CONCLUÍDA;CONCLUIDO;GISMARIO E JUAREZ/ ADC;MARLOS LOPES ;1;15/10 E 31/10;15/10/2025;30/10/2025;;;NÃO;;Ver no Mapa;15/10/2025;30/10/2025;31/10/2025;
1173964;;JUAZEIRO;;REMANSO;CONCLUIDA;;227;234;;;14.4.12.1;100%;;;JORGE;JORGE;;-9.41902;-41.9204;;25/11/2025;;;;;;;;RR-CIND-POV-SALINA GRANDE-RURAL;JUDICIAL;ENERGIZADA;COMPLETO;OURO;MARLOS LOPES ;36;;;20/11/2025;;;NÃO;;Ver no Mapa;17/07/2025;25/11/2025;SIM;
1228694;;JUAZEIRO;;REMANSO;AVANÇO;;;;;;;100%;;;MANUTENÇÃO;ANDERSON;;-9.6277730;-42.081040;;;;;;;;;;REDE PEDAGOGICA REMANSO (COELBA);COELBA;ESCAVAÇÃO;PARCIAL;;MARLOS LOPES ;;;10/11/2025;21/11/2025;;NÃO;SIM;;Ver no Mapa;;;;
1210327;;JUAZEIRO;;UAUÁ;AVANÇO;;20;;;;7.1.2.3;100%;;;;SANTIAGO;;-9.9312168;-39.3249672;;;;;;;;;;ER-CIND-POV-CAITITUS-CAITITUS;;ESCAVAÇÃO;;;CARLOS EDUARDO;1;;28/10/2025;;;;SIM;;Ver no Mapa;;;;
1218769;;JUAZEIRO;;REMANSO;CONCLUIDA;;6;6;;;8.2.2.3;100%;;;PEDRO LINO;ANDERSON;;-9.482037;-43.396138;;29/11/2025;;;;;;;;ME-COEL-POV-AZULAO-ALTO DA BELA VISTA;EQUIPAMENTO;ENERGIZADA;VIA E-MAIL;;MARLOS LOPES ;0;;10/11/2025;15/11/2025;;SIM;NÃO;;Ver no Mapa;17/11/2025;28/11/2025;SIM;
