SUPERINTENDENCIA;GERENCIA;UNIDADE;LOCALIDADE;NOTA;MEDIDA;MAGNETICO;ID;PROCESSO;TITULO;MUNICIPIO;CONJUNTO;CLIENTES;PIN;PLANO;VL_PROJETO;VL_PREV_MAT;VL_PREV_SERV;VL_PREV_UNIT;VL_CUST_HIST;P_REAL;CAPEX_ARL;EMPRESA;PROJETO_KIT;PROJETO_MEDIDOR;CART;PREVISAO_EXECUCAO_INICIO;PREVISAO_EXECUCAO_FIM;CRITERIO;PSTP;PSTR;EQPP;EQPR;RDEP;RDER;AVNP;AVNR;DT_ENGZ;SI;STATUS_SI;STATUS;DT_CADASTRO;USUARIO_CADASTRO;DT_VALIDACAO;USUARIO_VALIDACAO;DT_ATESTO;USUARIO_ATESTO;AGENTE_RESPONSAVEL;ST_CARTEIRA;ADRN;STATUS_REVISAO_ORCAMENTO;DATA_REVISAO_ORCAMENTO;DATA_INSERCACAO_ENGZ;JUSTIFICATIVA_EXPURGO;OBSERVACAO_OPERACAO;JUSTIFICATIVA;CLIENT_PRE_CAD;DT_PRE_CADASTRO;EMPRESA_CONTRATO_PROJETO;CALCULO_QCR
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP CENTRO NORTE;JACOBINA;9102079189;FINLNOTA;SIM;PCO0096510/24;Y-1143039;AC-CIND-POV-BODE-RURAL;MUNDO NOVO;;1;7.1.2.3;PLANO 7;39.293,46;;;29.470,10;26.243,49;66,79%;3.226,61;SIPEL;;;10/2024;18/10/2024;18/10/2024;QLP;0;0;1;1;0,36;0,40;100%;100%;19/10/2024;;;APROVADO - MANTER;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024 10:21;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;DIORLAN REIS - U352259;CONCLUÍDO;CONF.;ENVIADO;01/10/2024;22/10/2024;;;;0;;4600074798;1
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP CENTRO NORTE;SENHOR DO BONFIM;9101870383;FINLNOTA;SIM;PCO0102766/24;Y-1063545;UB-CIND-RUA-FRANCISCO-PIDOBACU;PINDOBAÇU;;1;7.1.1.3;PLANO 7;17.546,58;;;13.159,94;25.974,14;148,03%;-8.427,56;SIPEL;;;10/2024;;;MAIS OBRAS;1;1;2;2;0,00;0,00;100%;100%;04/10/2024;;;APROVADO - MANTER;02/10/2024;TIAGO DE OLIVEIRA CASTRO;02/10/2024 14:12;TIAGO DE OLIVEIRA CASTRO;02/10/2024;TIAGO DE OLIVEIRA CASTRO;HIAGO SANTANA - U470061;CONCLUÍDO;CONF.;ENVIADO;02/10/2024;07/10/2024;;;;0;;4600074798;1
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP CENTRO NORTE;SENHOR DO BONFIM;9102072522;FINLNOTA;SIM;PCO0095299/24;Y-1140266;ER-CIND-POV-DE BURACO 2-BURACO II;CAMPO FORMOSO;;4;14.4.12.1;PLANO 14;20.870,35;;;15.652,76;25.930,49;124,25%;-5.060,14;SIPEL;Y-1167722;Y-1167734;10/2024;15/10/2024;15/10/2024;LPT;4;6;6;6;0,15;0,15;100%;100%;22/10/2024;;;APROVADO - MANTER;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024 10:21;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;HIAGO SANTANA - U470061;CONCLUÍDO;CONF.;ANALISADO;16/10/2024;23/10/2024;;;;4;03/10/2024 07:28:00;4600074798;1
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP CENTRO NORTE;JACOBINA;9102070265;FINLNOTA;SIM;PCO0096505/24;Y-1142936;ER-CIND-RUA-AVENITO BARBOSA-RURAL;OUROLÂNDIA;;0;7.1.2.3;PLANO 7;45.423,68;;;34.067,76;25.877,31;56,97%;8.190,45;SIPEL;;;10/2024;29/10/2024;31/10/2024;QLP;8;7;7;7;0,00;0,00;100%;100%;22/10/2024;;;APROVADO - MANTER;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024 10:21;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;NAILTON SANTANA - U344575;CONCLUÍDO;CONF.;ENVIADO;18/10/2024;23/10/2024;;;;0;;4600074798;1
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP NORTE;JUAZEIRO;9102038250;FINLNOTA;SIM;PCO0097911/24;Y-1133454;IS-COEL-TRV-AGUAS BELAS-MALHADA DA AREIA;JUAZEIRO;;0;8.6.3;PLANO 8;25.932,71;;;19.449,53;25.863,36;99,73%;69,35;SIPEL;;;10/2024;;;AL/MELHORAMENTO;3;2;0;0;0,23;0,13;100%;100%;18/10/2024;;;APROVADO - MANTER;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024 10:29;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;VICTOR BARROS - U462427;CONCLUÍDO;CONF.;;;21/10/2024;;;;0;;4600074796;1
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP CENTRO NORTE;SENHOR DO BONFIM;9102086274;FINLNOTA;SIM;PCO0108562/24;Y-1148549;UB-CIND-RUA-TARCISIO VIEIRA MELO-CENTRO;QUEIMADAS;;3;7.1.1.3;PLANO 7;24.201,23;;;18.150,92;25.773,17;106,50%;-1.571,94;SIPEL;;;10/2024;;;MAIS OBRAS;4;6;9;9;0,12;0,18;100%;100%;16/10/2024;;;APROVADO - MANTER;18/10/2024;TIAGO DE OLIVEIRA CASTRO;18/10/2024 11:33;TIAGO DE OLIVEIRA CASTRO;18/10/2024;TIAGO DE OLIVEIRA CASTRO;ADISON FERREIRA - U343222;CONCLUÍDO;CONF.;;;18/10/2024;;;;0;;4600074798;1
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP CENTRO NORTE;SENHOR DO BONFIM;9102036400;FINLNOTA;SIM;PCO0097061/24;Y-1134926;UB-CIND-AV-LUIZ E MAGALHAES-546;MONTE SANTO;;5;7.1.1.3;PLANO 7;60.271,22;;;45.203,42;25.660,63;42,58%;19.542,79;SIPEL;;;10/2024;14/10/2024;18/10/2024;QLP;3;2;3;3;0,09;0,18;100%;100%;18/10/2024;;;APROVADO - MANTER;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024 10:21;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;ADISON FERREIRA - U343222;CONCLUÍDO;CONF.;;;22/10/2024;;;;0;;4600074798;1
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP NORTE;JUAZEIRO;9102076860;FINLNOTA;SIM;PCO0096967/24;Y-1144505;UB-CIND-ROD-BR-407-DISTRITO INDUSTRIAL;JUAZEIRO;;0;7.1.1.3;PLANO 7;28.638,12;;;21.478,59;24.923,72;87,03%;3.714,40;SIPEL;;;10/2024;;;QLP;1;1;2;2;0,00;0,00;100%;100%;04/10/2024;;;APROVADO - MANTER;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024 10:21;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;VICTOR BARROS - U462427;CONCLUÍDO;CONF.;;;04/10/2024;;;;0;;4600074796;1
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP CENTRO NORTE;SENHOR DO BONFIM;9101978564;FINLNOTA;SIM;PCO0095757/24;Y-1113154;UB-CIND-RUA-ANTONIO MENDON A 741-CALUMBI;ITIÚBA;;5;7.1.1.3;PLANO 7;19.983,72;;;14.987,79;24.473,93;122,47%;-4.490,21;SIPEL;;;10/2024;03/09/2024;04/10/2024;REPUTACIONAL;4;7;9;9;0,10;0,11;100%;100%;23/10/2024;;;APROVADO - MANTER;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024 10:21;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;LUDIMILA OLIVEIRA - U464746;CONCLUÍDO;CONF.;;;24/10/2024;;;;0;;4600074798;3
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP NORTE;REMANSO;9102085325;FINLNOTA;SIM;PCO0096577/24;Y-1148984;AC-CIND-SI-ANGICAL 0258-RR-CASA NOVA;CASA NOVA;;1;7.1.2.3;PLANO 7;27.633,78;;;20.725,34;23.863,99;86,36%;3.769,79;SIPEL;;;10/2024;;;QLP;0;0;1;1;0,35;0,35;100%;100%;10/10/2024;;;APROVADO - MANTER;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024 10:21;PAULO DE TARSO DIAS DO NASCIMENTO;29/09/2024;PAULO DE TARSO DIAS DO NASCIMENTO;DIEGO ALMEIDA - U462235;CONCLUÍDO;CONF.;;;15/10/2024;;;;0;;4600074796;1
